,post,targetStereotype,targetMinority
1693,I'm naturally bowlegged.. I be trying to stand normal . I think i look deformed while hoes thinking that shit is cute.,"[""post calls women names"", ""women are called hoes""]","[""women""]"
1695,"I'm not a Misandrist but Males in General can not Capitalize @g0ldenWan I'm not Sexist , but Females in General can not Drive.","[""are bad drivers"", ""can't drive"", ""i'm not a sexist but"", ""women are bad drivers"", ""women can't drive""]","[""women""]"
1697,"I'm not going to screen you for STDs because you aren't really at risk as a lesbian. But then again, I don't really know how you people have sex.","[""can't get stds"", ""can't have real sex"", ""lesbian sex is gross"", ""lesbian sex is weird"", ""lesbians are weird"", ""lesbians aren't at risk for stds""]","[""lesbian women""]"
1700,"I'm not racist Because racism is a crime, and crime is only for black people","[""are criminals"", ""black folks are criminals."", ""black folks do most of the crime."", ""commit crimes""]","[""black folks""]"
1701,"I'm not racist racism is a crime, and crime is for black people.","[""black folks are criminals"", ""black folks are inferior to whites"", ""black people are criminals"", ""black people are racist"", ""blacks are criminals"", ""blacks commit crimes""]","[""black folks""]"
1702,I'm not racist. One of my best slaves is black.,"[""black people are good slaves"", ""black people deserve to be slaves"", ""blacks are target of hate crimes"", ""blacks were slaves once""]","[""black folks""]"
1703,I'm not running and giving it to the muds .,"[""black people are good at sports"", ""black people look like mud""]","[""black folks""]"
1705,I'm not vegetarian to an extent but eat anything but beef? No. @ConnorAPercival I'm not sexist to an extent but female rappers? No,"[""women are less talented then men"", ""women cannot rap"", ""women shouldn't make rap music""]","[""women""]"
1706,"I'm not weird, you're just a faggot","[""being gay is wrong"", ""gay men are weird"", ""gay men aren't normal"", ""gay people are bad""]","[""gay men""]"
1707,"I'm okay when India decriminalizes gay sex, Hindus don't believe in hell anyway.","[""gay folks are going to hell"", ""gay folks are immoral""]","[""gay folks""]"
1719,I'm sure the Jews in Scandinavia dumb down the education systems there too .,"[""jewish folks are incompetent"", ""jewish folks aren't smart"", ""jewish people are not intelligent."", ""jewish people don't do well in school."", ""jews plot against countries""]","[""jewish folks""]"
1723,I'm tired of all the Holocaust jokes that's why we gas them.,"[""are all gassed"", ""gotten rid of"", ""jewish people deserved to die"", ""jewish people get gassed"", ""trivializes harm to victims of holocaust""]","[""Holocaust"", ""jewish folks""]"
1736,I've been looking and it seem almost all countries have kicked out Jews or fought them even the Chinese had wars with them .,"[""claims most countries hate jews"", ""jews are universally distrusted."", ""jews create controversy and strife wherever they go.""]","[""jewish folks""]"
1739,"I've decided to keep a spade in the boot of my car... If I get stuck in the snow the cunt can get out and push it.

____________

Credit: r/sickipedia","[""black people are slaves."", ""black people are worthless."", ""women are objects"", ""women are servants""]","[""black folks"", ""women""]"
1743,"I've just realized that Indians are an hybrid of white people and black people They are smart like a white man, work like a black man and they have brown skin like a mix of races","[""black people are not as smart"", ""im not sure the rest"", ""indians are mutts?"", ""whites are lazy""]","[""Indians"", ""black folks, native american/first nation folks, whites""]"
1746,I've never heard of blacks being better at cutting weight .,"[""black people are a waste"", ""black people are inferior""]","[""black folks""]"
1754,IRONY IS FUCKING DEAD @ibustos123 Im not sexist but feminists are the most annoying people out there.,"[""feminists are always angry about something"", ""feminists are shrill""]","[""feminists""]"
1756,"ITT: List what makes you ugly
For me:

* Light bulb shaped head
* Overpowering extra wide negroid nose
* Lack of under eye support leading to sagging/tired eyes
* Ice pick scars from acne
* Large pores","[""black folks have overly large noses"", ""black folks have ugly noses"", ""black people are ugly"", ""black people are weird physically""]","[""black folks""]"
1759,"If A Femoid Calls You ""Entitled"" For Wanting A GF It's Projecting
The femcunt probably can't stand going a mere week without sex and thinks it deserves to have a superChad.","[""women are inferior to men"", ""women are jealous"", ""women are sluts"", ""women are stupid"", ""women think they deserve sex"", ""women want sex all the time""]","[""women""]"
1763,If I had a dime for every racist joke I told... Some black guy would probably rob me,"[""black people are thieves"", ""black people are violent"", ""black people will steal white people's possessions."", ""rob people"", ""you need to be careful around black people.""]","[""black folks""]"
1764,If I had a dollar for every gender there is... I would have $1.74 because women make less,"[""make less"", ""not a full person"", ""women are not equal to men"", ""women are not worth as much as men"", ""women make less than equal male counterparts"", ""women should make less than men""]","[""women""]"
1765,If I had a dollar for every gender... I'd have $1.50,"[""women are not as valuable to society as men."", ""women are only subhuman"", ""women are worth less than men."", ""women aren't people""]","[""women""]"
1766,"If I had a dollar for every time I said the n-word, I'd have none cause those damn niggers keep stealing.","[""black folks are called the n word as a slur"", ""black folks are criminals and thieves"", ""black people are criminials"", ""black people steal"", ""blacks are criminals"", ""blacks steal""]","[""black folks""]"
1767,"If I had a nickel for every gender... I would have 5 cents because women are property.

(Probably been told here before but I heard it from my uncle and I thought it belonged here.)","[""are property"", ""aren't considered a gender"", ""women are inferior"", ""women are property"", ""women are the lesser sex"", ""women aren't independent people""]","[""women""]"
1770,If I was president.... I would gather all the people with ADHD and put them in concentration camps..,"[""mental patients are useless"", ""mental patients deserve to die"", ""mentally disabled folks are subhuman"", ""mentally disabled folks don't deserve to live"", ""physically disabled are inferior"", ""physically disabled deserve to die off""]","[""folks with mental illness/disorder"", ""mentally disabled folks""]"
1776,If a Muslim isn't raping your daughters he is giving tacit approval to one that is.,"[""are rapists"", ""are violent"", ""muslims are rapists"", ""muslims are rapists."", ""muslims condone sex trafficking"", ""they are all violent to women""]","[""muslim folks""]"
1777,If a bitch is bad n single she single fo a reason....hoe prolly cray or a runna,"[""single women are crazy"", ""single women are runners""]","[""women""]"
1778,If a black person makes a joke It's literally a dark joke,"[""are all dark"", ""are dark"", ""hard to see"", ""tell dark jokes""]","[""black folks""]"
1780,"If a man who was raped by a woman later raped her back feminists would say the first rape was female empowerment, but the second rape should condemn the man to eternal torment.","[""makes fun of feminists"", ""makes fun of rape"", ""women are hypocrites"", ""women are sluts"", ""women are stupid"", ""women can't rape men""]","[""women""]"
1782,If a woman is in a forest and there is no one around to hear her. Is she still wrong?,"[""women are always wrong"", ""women are dumb"", ""women are dumb."", ""women are unintelligent"", ""women like to argue"", ""women talk too much.""]","[""women""]"
1784,If all these people are actually just immigrants seeking a better life and not invaders why do they act like an invading army,"[""act like an invading army"", ""are invaders"", ""immigrants don't actually want to live peacefully."", ""immigrants want to invade other countries.""]","[""immigrants""]"
1786,"If black men screwing white people is called blacked, what is muslims screwing white people called? London.","[""muslims are sexually dangerous"", ""muslims control london""]","[""muslim folks""]"
1788,"If feminists are the champions of women, why do they openly mock the looks & intelligence of Sarah Sanders & Kellyanne Conway?","[""are contradictory"", ""are unsure of what they want"", ""feminists are hypocrites"", ""feminists don't really care about women, it's all politics""]","[""Feminist"", ""feminists""]"
1792,If men are so privileged and women have it so hard why are so many men choosing to live as females?,"[""trans people are not really part of their gender."", ""trans women are pretending for an easier life.""]","[""women, trans women""]"
1793,"If monkeys are on my property i call animal control and defend my family and property with whatever means possible , simply talking sense to a monkey and pointing at it will not stop it from misbehaving !","[""black people are monkeys"", ""black people are violent""]","[""black folks""]"
1795,If only Africa had more mosquito nets If only Africa had more mosquito nets then every year we could save millions of mosquitoes from dying needlessly from AIDs.,"[""african folks are subhuman"", ""african folks have aids"", ""africans all have aids"", ""africans all have and spread aids"", ""africans are dirty"", ""africans are worse than animals and pests""]","[""African folks"", ""Africans"", ""africans""]"
1801,"If the Japs are offended, then screw them. They should have stayed away from Pearl Harbor.""	The highest rated comment on a very old and very racist Bugs Bunny cartoon shown on YouTube.												7	macro,race	6 years ago","[""japanese are responsible for pear harbor"", ""japanese folks are too easily offended"", ""japanese folks need to be punished"", ""slang term \""japs\""""]","[""Japanese folks"", ""asian folks""]"
1804,If we'd known that they'd cause this much trouble we'd have picked the fucking cotton ourselves!,"[""are nothing but trouble"", ""black people are too much trouble"", ""blacks are slaves"", ""blacks pick cotton"", ""do not contribute"", ""makes a joke of slavery""]","[""black folks""]"
1806,"If women weren't meant to be sluts, Eve wouldn't have fucked the first guy she met","[""has skewed views on sexuality"", ""women are promiscious"", ""women are sluts"", ""women are subservient"", ""women will have sex with anyone"", ""worships a false idea""]","[""christian folks"", ""women""]"
1808,"If you are American and say ""spot on"" you are most likely gay...","[""being homosexual is a negative character trait"", ""gay men are inferior"", ""gay men speak dumbly"", ""gays are inferior"", ""gays speak strangely"", ""homosexuals have their own phrases they use.""]","[""gay men"", ""lesbian women, gay men""]"
1811,If you are what you eat... Then Africans must be nothing!,"[""african folks are hungry"", ""african folks are poor"", ""africans are poor"", ""africans are too poor to even eat"", ""africans can't afford to eat"", ""africans starve"", ""black africans are too poor to even eat"", ""black africans can't afford to eat""]","[""African folks"", ""african folks"", ""black folks""]"
1812,"If you became chad tier good looking through surgeries, would you revenge be your first priority to stacies?","[""deserve revenge for rejecting men""]","[""women""]"
1813,"If you can keep your head whilst everyone else around you is losing their's...

Than you're probably in an Arabic country fighting for Isis.","[""arabs are terrorists"", ""arabs cut off people's heads"", ""trivializes harm to victims.""]","[""arabic folks"", ""terrorism victims""]"
1814,"If you can stop a comma with a period point, what do you use to stop a coma? A hollow-point.","[""disabled people are useless"", ""disabled people should be killed""]","[""folks with physical illness/disorder""]"
1816,If you don’t have a self story to tell about “Sexual Assault” either you are; or were not charming or you are out of fashion- #MeToo,"[""assault doesn't really happen."", ""assault is fake."", ""trivializes harm to victims""]","[""assault victims""]"
1823,If you hate me over a nigga seek help Bitch&#128514;&#128514;&#128514;&#129318;&#127998;‍♀️,"[""black people are bad"", ""black people are lesser"", ""women are bitches"", ""women sleep around""]","[""black folks"", ""women""]"
1824,If you hit a girl Is it destruction of property?,"[""it's funny to hit women."", ""women are defined by their men."", ""women are just property."", ""women are no better than property."", ""women are objects."", ""women are property"", ""women should be beaten""]","[""assault victims"", ""women""]"
1825,"If you look like me, you should just give up and/or kill yourself
I won't show what I look like but you'll get what I mean.","[""makes light of depression"", ""makes light of suicide""]","[""folks with mental illness/disorder""]"
1828,If you saw a nigger drowning what type rifle would you use to help him sink?,"[""are niggers"", ""are not equal"", ""black folks are subhuman"", ""black folks deserve derogatory names"", ""black folks deserve to die"", ""black folks ruin everything""]","[""black folks""]"
1831,If you shoot up a home schooled kid at home is it considered a school shooting Serious question,"[""trivializes harm to victims""]","[""mass shooting victims""]"
1836,"If you're a 7-8/10 minority, you can't even compete with 5-6/10 white guys
Honestly, if you're a minority incel, suicide is the better option.","[""people of color are inferior to whites"", ""people of color are ugly"", ""people of color should kill themselves""]","[""people of color""]"
1838,"If you're gonna be a hoe, then don't look for relationships. you lost that privilege when you decided to be a hoe.","[""women who have a lot of sex don't deserve to be in a relationship"", ""women who have a lot of sex don't want relationships""]","[""women""]"
1841,"If your house door was locked , but at midnight your neighbor opened the door for some muslims to come inside and take your stuff , rape your wife and beat you nearly to death ... would you still think your neighbor was a nice guy ?","[""muslims are bad"", ""muslims are evil"", ""muslims are rapists"", ""muslims are violent""]","[""muslim folks""]"
1844,"Im not ugly cause im fat, im fat because im ugly","[""fat people are ugly"", ""ugly people are fat""]","[""overweight/fat folks, ugly folks""]"
1848,"Important poll:

Do you think @Cernovich's gay lisp detracts from his #MAGA message?","[""gay folks are odd."", ""gay folks speak strangely.""]","[""gay men""]"
1850,"In 1977, a prominent feminist lawyer Ruth Bader Ginsburg wrote  the “age of consent” for sexual acts should be lowered to the age of 12.","[""liberals are hypocrites."", ""liberals are perverts.""]","[""liberals""]"
1854,In Soviet Russia when you steal food... they break every bone in your body and execute your family. They are not the most reasonable people.,"[""are mean"", ""are tough"", ""criminals"", ""russians are unreasonable"", ""russians are violent"", ""violent""]","[""Russians"", ""russian"", ""russian people""]"
1861,"In my mind it 's not even close to being obselete , I believe it is a symbol of the white race and it 's fight to save itself in this sick and twisted multicult world we live in .","[""minorities shouldn't mix with white people"", ""minority folks are inferior"", ""minority folks are undeserving"", ""multiculturalism is wrong""]","[""Minority folks"", ""black folks, asian folks, latino/latina folks, native american/first nation folks""]"
1864,"In our area , they 've pretty much stopped showing mug shots of Negroes like this : Whites have to go on the names to figure it out .","[""are negros"", ""blacks are criminals"", ""blacks are negroes"", ""blacks are violent"", ""blacks commit all the crimes"", ""have mugshots""]","[""black folks""]"
1865,"In regards to being harassed by GamerGate, i was just told: ""Let your experience better you as a woman instead of seeking sympathy.""","[""women are not tech savvy."", ""women aren't as smart as men.""]","[""women""]"
1868,In the UK we go to New year countdowns for shots and fireworks In America we go to school,"[""americans get shot at school"", ""americas are all about school shootings"", ""makes light of school shootings"", ""trivializes harm to victims""]","[""Americans"", ""mass shooting victims""]"
1872,"Incels, stop referring to women as people
They are sexual resources.","[""women are objects."", ""women are sex objects"", ""women aren't human"", ""women have no purpose"", ""women should be controlled by men""]","[""women""]"
1879,Internment Camps are a good start for all illegals and muslims.....Round Ups immediately,"[""are not desirable"", ""belong in concentration camps"", ""immigrants should be in camps"", ""muslim folks are dangerous"", ""muslim folks need to be tracked"", ""they don't belong in america""]","[""immigrants"", ""muslim folks"", ""muslim folks, immigrants""]"
1881,"Irony:

Being put on trial for killing a homosexual but then swearing on a bible which tells you to kill gays (Leviticus 20:13)","[""homosexuals are sinful."", ""homosexuals should be killed."", ""trivializes harm to victims""]","[""assault victims"", ""lesbian women, gay men""]"
1882,"Is Lyudmila Pavlichenko's reputation true
I understand how sexist this can come off to doubt a woman's accomplishments but unfortunately with the persistent feminist narrative of exaggerating women's accomplishments or in some cases completely fabricating them, I was curious about this women's accomplishments and if they're true or the product of propaganda.","[""feminists are liars."", ""women are deceptive"", ""women exaggerate their accomplishments""]","[""women""]"
1883,Is dare any colored players in hockey?,"[""black folks are \""coloreds\"""", ""black folks can only participate in certain sports/activities"", ""black people can't skate"", ""black people don't play hockey""]","[""black folks""]"
1884,Is it just a coincidence that black ice is the most dangerous?,"[""black people are dangerous"", ""black people are scary"", ""blacks are dangerous"", ""blacks are not to be trusted""]","[""black folks""]"
1888,"Is the KKK really that racist? I went to one of their meetings, and there were tons of black people hanging around.","[""blacks are less than human"", ""blacks are targeted by the kkk"", ""blacks lives don't matter"", ""blacks were lynched/hanged in civil war era days"", ""joking about kkk killing people is okay"", ""kkk should hang people""]","[""black folks""]"
1890,Is there any good reason to not hate women?,"[""are lower than men"", ""should be hated"", ""women are unlikeable"", ""women are unwelcomed""]","[""women""]"
1891,Islam is cancer and we keep importing more of it into this country.....but at least we have our cute little #NYCStrong hashtag.,"[""belittles their religion"", ""is cancer"", ""muslims shouldn't be in america"", ""says all islamics are a cancer on society"", ""they are terrorists""]","[""Islam"", ""muslim folks""]"
1892,"Isn’t it ironic how Jews are the only people who meet Santa? Then again, they’re the only ones in the chimney.","[""jewish people are always whining about the holocaust"", ""jewish people are worthless."", ""jewish people deserve to die."", ""jewish people hate christmas"", ""jewish people were burned alive"", ""jewish people were massacred""]","[""jewish folks""]"
1897,"It doesn't matter suicide rates are going up in Black communities, The race was killing itself anyway.","[""are worthless"", ""black foks commit suicide"", ""black folks lives don't matter"", ""black people are inferior"", ""black people are worthless"", ""black people deserve to die"", ""deserve to die""]","[""black folks""]"
1899,"It is Impossible to Truly Love if You're Not Insecure
Validation from one person means nothing if you're already validated by everyone else

This is why females are incapable of love, because they receive non-stop, around-the-clock validation from scores of men.","[""are overconfident in themselves"", ""they can't love others"", ""women can't love others."", ""women get unearned attention"", ""women have attention showered on them by men."", ""women have no feelings""]","[""women""]"
1911,"It only take one geniune affection from a girl to save all of us
Yet here we are a lot kiled themselves , i hope that yu are proud of yourself femoids","[""women are incompetent"", ""women are vain""]","[""women""]"
1919,"It's Incredible how Femoids have Snapchat Scores in the Hundred-Thousands
They literally stay on their phones ALL DAY","[""have high snapchat scores"", ""stay on their phone all day"", ""women are hoes"", ""women are on social media all the time."", ""women are on their phone all the time."", ""women are vain.""]","[""women"", ""women, lesbian women, trans women, bisexual women""]"
1928,It's easy for them to multiply because their African genes are so incredibly pronounced .,"[""black folks have too many kids."", ""black genes contaminate white genes."", ""black peoples genetics are responsible for having too many kids."", ""blacks have lots of kids.""]","[""black folks""]"
1933,It's ironic black people are sometimes called chocolate. My hunting dogs haven't died yet.,"[""are chocolate"", ""are hunted"", ""black people are dog food"", ""black people should be killed""]","[""black folks""]"
1936,It's not a sin to kill Muslim invader God will forgive,"[""are bad people"", ""are invaders"", ""god hates muslims"", ""it's okay to kill muslims"", ""should be killed"", ""they are terrorists""]","[""muslim folks""]"
1939,"It's not rape If you yell ""Surprise!""","[""trivializes harm to victims.""]","[""assault victims""]"
1947,It's the Marine Corps Birthday Tomorrow One former marine started celebrating early by buying a bar free shots.,"[""trivializes harm to victims""]","[""mass shooting victims""]"
1949,"Its high time we ended this cancer called ""racism"" already Bomb Africa right now","[""are inferior to other groups"", ""are violent"", ""blacks are better off dead."", ""blacks are inferior."", ""blacks should be exterminated"", ""killing blacks would eliminate racism""]","[""black folks""]"
1953,It’s not rape if you’re really ugly... Ungrateful bitch.,"[""women are bitches"", ""women can't be raped if they're ugly."", ""women deserve to be raped"", ""women secretly want to be raped.""]","[""women""]"
1956,I’m not racist Only niggers are racist,"[""black folks are less than human, so you can't be racist against them."", ""black folks don't deserve the consideration of white people."", ""black people are called niggas"", ""black people are racist"", ""doesn't imply anything, just uses derogatory language"", ""only uses derogatory language""]","[""black folks""]"
1957,I’m starving and scared That I might offend Africans because I’m culturally appropriating them,"[""african folks are poor"", ""african folks are starving"", ""africans are lesser"", ""africans are poor"", ""africans are starving"", ""africans don't eat""]","[""african folks"", ""africans"", ""black folks""]"
1960,Japanese people are bad pilots They always crash into ships,"[""are bad pilots"", ""blow people up"", ""japanese pilots are bad pilots."", ""japanese pilots go on suicide missions.""]","[""asian folks"", ""japanese""]"
1961,Jesus gave 6 million people bread and wine But Hitler made 6 million Jews toast,"[""compares hitler and jesus"", ""it's funny that jews were massacred."", ""jews deserved to be burnt."", ""jews dying is funny"", ""makes fun of holocaust"", ""trivializes harm to victims of holocaust"", ""trivializes holocaust""]","[""Holocaust"", ""jewish folks""]"
1963,Jews are terrified of you because they know they're fucking you over and they realize you could possibly figure this out at some point.,"[""jewish folks are dishonest"", ""jewish folks are out to trick others"", ""jewish folks are ripping people off"", ""jewish folks control everything"", ""jewish people cause others harm""]","[""jewish folks""]"
1964,Jihad is one of the Five Pillars of Islam. The whole thing is basically founded on going out and killing people for G-d.,"[""muslim folks are all terrorists"", ""muslim folks are all violent"", ""muslims are jihadist"", ""muslims faith is about killing""]","[""muslim folks""]"
1966,"Just a regular conversation Person A- “Is he fast?”

Person B- “yea, he’s pretty black”","[""black people are faster than others."", ""black people are inherently more physical."", ""black people are only good at doing sports"", ""black people run fast"", ""run fast""]","[""black folks""]"
1973,"Just how Americans draw themselves slimmer. Japan does the same, they make anime have giant eyes while in reality they can’t see what their drawing","[""asian people can't see"", ""asian people can't see because their eyes are small"", ""asian people have squint eyes"", ""asian people's eyes are too small"", ""asians can't see"", ""japanese have slanted eyes""]","[""asian folks""]"
1985,Just went to my first Chanukah party Had now idea that Jews were so adept at frying,"[""jews deserved to die in the holocaust"", ""jews lives are worthless"", ""trivializes harm to jewish holocaust victims"", ""trivializes the holocaust""]","[""jewish folks"", ""terrorism victims""]"
1995,"Kitchen appliances salesman to the Jewish man.. ""Sir would you like a tour to the new LG oven ?""","[""advocates violence"", ""jewish people deserved to be victims of hitler"", ""jewish people like to inspect ovens because of the holocaust"", ""makes light of holocaust"", ""making fun of the holocaust"", ""trivializes the holocaust""]","[""jewish folks""]"
2000,Know the best part about raping a midget? When they scream like a fucking child.,"[""are calle midgets"", ""dwarves are inferior."", ""it's ok to mistreat dwarves."", ""scream when they are raped"", ""short people are child like"", ""short people are to be victimized"", ""trivializes harm to victims""]","[""little people"", ""rape victims"", ""shorts folks""]"
2004,Koreans do anything to achieve their purpose. https://t.co/o5tT5nInny #Pakistan #UAE #Israel #Palestrina,"[""korean people are insensitive"", ""korean people would do anything to get what they want""]","[""korean people""]"
2009,LMAO.. this is funny .. i dunno if they 'd pay attention to ya though .. are the WWF board all jewish ? lolz,"[""are on the wwf board"", ""don't pay attention""]","[""jewish folks""]"
2011,LOL EDGY @ein_schoner_tag @shedevil___ @ahptik im not sexist but why are women allowed opinions lol,"[""women are dumb"", ""women are emotional"", ""women are stupid"", ""women shouldn't have opinions"", ""women shouldn't have opinons""]","[""women""]"
2014,LOLOLOL @manorwood97 @karlmalonee @karlmalonee I'm not sexist but it's always the females that expect you to read their minds Lolol,"[""women expect too much of men."", ""women expect you to be a mind reader"", ""women get upset over small things."", ""women want men to read their minds.""]","[""women""]"
2021,Labour started as a party for 'the people' and under @jeremycorbyn it seems to represent an ideology that would see said people destroyed,"[""labour party folks are liars"", ""labour party folks want to ruin the country (uk)""]","[""labour party folks""]"
2023,"Laptops are like paralyzed children. They are very mobile, and they cannot run that well.","[""physically disabled folks are objects"", ""physically disabled folks aren't people""]","[""physically disabled folks""]"
2026,Last thing we want is them moving off the reserves .,"[""native americans do not deserve to live in normal society"", ""native americans should not live off of reserves""]","[""native american/first nation folks""]"
2029,Laugh it up ape cause without yt to protect your race Asians will probably do the world a favour and wipe your kind from the face of the Earth .,"[""black folks are animals/apes"", ""black folks deserve to die/be killed"", ""non-whites are primitive."", ""non-whites should be eradicated.""]","[""black folks"", ""non-whites""]"
2034,Leaked phone call shows Newly appointed Jewish government in Ukraine behind sniper attacks on protesters and police | European Daily News.org Thank god for the internet .,"[""jewish folks are oppressive"", ""jewish folks control the world""]","[""jewish folks""]"
2035,Left wanted to push normalization of Nazism as they target the right as all Soclist Nazi nationalist and they have achieved there goal but how do we handle this issue we all know the power of voting with silence will be ours but that just leaves violence as a choice for the Left not winning.,"[""liberals are incompetent"", ""liberals are liars"", ""liberals are stupid"", ""liberals are violent."", ""liberals are white supremacists"", ""liberals call conservatives nazis.""]","[""liberals""]"
2040,Let me go take a showers the projects makin me a lil dirty nigga,"[""black folks are dirty"", ""black folks are poor""]","[""black folks""]"
2042,"Let's hope they rot in hell. Yeah, that's how the Trumpocalypse makes me feel &#128544; https://t.co/cUUrjsh1gm","[""trump supporters are stupid"", ""trump will kick off ww3""]","[""conservatives""]"
2043,"Let's make England great again here's how we do it, join the British military comindeer some tanks storm Tharissa May'$ 🏠 round up the Muslim invader put them on a leaky deflating rubber raft back to afreeka","[""muslims are evil"", ""muslims are invaders"", ""muslims are invading"", ""muslims should be deported""]","[""muslim folks""]"
2050,Life RT @AC_Hussle: I'm not giving these hoes free meals so they can go lay up with the dude they can't get over. Nope.,"[""women are easy"", ""women are hoes"", ""women are lesser""]","[""women""]"
2051,Life is like a box of choclate It dosent last as long for fat people,"[""don't live as long as others"", ""eat a lot"", ""fat people can't control their cravings"", ""fat people eat a lot""]","[""overweight/fat folks""]"
2059,"Listen, you're sexist. @TommyJohn15 Listen, I'm not sexist, but every dumbass driver I've crossed lately has been a female.","[""are bad drivers"", ""shouldn't have a license"", ""women are bad drivers"", ""women are clueless."", ""women are inferior"", ""women can't drive.""]","[""women""]"
2063,"Lock the thread if ur gay B -Because your
L - Locking
A - All
C - Comments,
K - Kill yourself.","[""gay men are inferior."", ""gay men are weak."", ""gay people deserve to die"", ""gays are gross""]","[""gay men""]"
2067,"Lol, Asian gay guys are too girly, I suppose.","[""asian gay guys are too girly"", ""asian gays are feminine"", ""asian gays are girly"", ""asians are feminine"", ""asians are weird"", ""it's bad to be a girly asian guy""]","[""asian folks"", ""gay men""]"
2068,"London police arrest two men in connection with the London Terrorist Bombing

One, 18 yrs old

One, 21 yrs old

Won't tell us who/what they ARE, but I can just about tell you who/what they AREN'T

White/European
British
Native Londoners
IQ above room temperature
Self-sufficient

Any takers at 10:1?
","[""only non whites are extremists"", ""only non whites are terrorists""]","[""black folks, asian folks, latino/latina folks, native american/first nation folks""]"
2069,"Long term, Jews are actually worse for your society than niggers. ","[""bad"", ""black people are inferior"", ""blacks are bad for society"", ""blacks are n word"", ""criminals"", ""evil"", ""jewish people are dangerous"", ""jewish people are the cause of the worlds problems"", ""jews are bad"", ""jews are bad for society"", ""uses the n word""]","[""black folks"", ""jewish folks""]"
2072,Look for more famous people who have been indictment watch out OSAMABAMAVICH we are on to your TREASON Muslim brotherhood,"[""muslim folks are terrorists"", ""muslim folks are traitors"", ""muslims are in cahoots with obama"", ""muslims are violent""]","[""muslim folks""]"
2087,"Man society got so strict with races and whatnot, I can't even say ""bl@ck paint."" Now I have to say, ""Tyronigillian, paint that wall.""","[""black people are criminals"", ""black people are often named tyrone"", ""black people do manual labor"", ""blacks are lazy""]","[""black folks""]"
2090,Mana would legit be a retard driving an F1 car and telling the people that are made up of 3 vienna sausages.,"[""mentally disabled people are seen as stupid"", ""retarded is an offensive term""]","[""folks with mental illness/disorder""]"
2095,Mark Richardson was on the 92nd floor of the world trade center on September 11th. What was the first thing that went through his mind when the planes struck the towers? The 93rd floor.,"[""trivializes harm to victims""]","[""terrorism victims""]"
2097,May a cock rash never find you and a fag never get behind you,"[""all they think about is sex"", ""don't let gays get near you"", ""gays can't control their sexual desires"", ""they come up behind anyone""]","[""gay men"", ""gays""]"
2102,"Me, a new worker in a department store:: It looks like someone switched the tags on these shirts. They're not even the right brand. An older, white coworker:: Sometimes customers switch tags and put cheap prices on expensive clothes. Those Mexicans don't realize that the computers tell us the brands when we scan them. They can't read the screens, you know. I was shocked that she made so many racist assumptions about our store's shoplifters.","[""mexicans are criminal"", ""mexicans are criminals"", ""mexicans are stupid"", ""mexicans can't read"", ""mexicans can't read english""]","[""mexicans"", ""native american/first nation folks""]"
2104,"Me:: I can't believe that someone could commit such a horrible crime. People can scare me sometimes. Guy:: You know, if black people don't want to be called criminals... Me:: I didn't say anything about what the man looked like. Guy:: [Silence]","[""black people are scary"", ""black people commit horrible crimes"", ""blacks are criminals"", ""if there was a crime it was a black person that committed it""]","[""black folks""]"
2108,MeToo Movement Femoid Likens Being Hit on in Public to Being Mugged.,"[""attacking how women feel about being hit on in public."", ""feminists are bad"", ""trivializes harm to victims"", ""using derogatory term towards women(femoid)"", ""women are lesser""]","[""assault victims"", ""women""]"
2112,Men are just better at some things.  That's just the way it is.  Like men are better at driving cars or flying airplanes.  But you sure look pretty.,"[""men are better than women"", ""women are only good for looking pretty"", ""women aren't as good as men"", ""women can't/shouldn't do masculine things"", ""women can\u2019t do things as well as men"", ""women should just be pretty""]","[""women""]"
2116,"Minimum attractiveness to get women per height
6'6+ - 6/10

6'4/6'5 - 5.5/10

6'2/6'3 - 5/10

6'1 - 5.5/10

5'11/6'0 - 6/10

5'10 - 7/10

5'9 - 8/10

5'8 - 9/10

5'7 - 10/10

If you are below 5'7 you are automatically disqualified from attracting females","[""women are shallow"", ""women care about a man's height""]","[""women""]"
2119,"Mob boss: So, are you willing to kill women and children if necessary? “I’m a film major, I shoot disappointments for a living“","[""advicates child abuse"", ""advocates violence"", ""are inferior"", ""are inferior or unwanted"", ""are lesser than men"", ""women are disappointments to their parents"", ""women are inferior"", ""women are not intelligent""]","[""children"", ""women""]"
2120,Mohammad Salah: second best Muslim attacker… …after Bin Laden,"[""muslims are terrorists"", ""muslims do attacks"", ""trivializes harm to victims""]","[""muslim folks"", ""terrorism victims""]"
2122,More racist violence by blacks - this time the victim was a Chinese man : YouTube - Racist Blacks beat a Chinese man to death,"[""black folks are racist"", ""black folks are violent"", ""blacks are racist"", ""blacks beat up people""]","[""black folks""]"
2123,More than one-third of Africa lacks clean water. I guess black people will even steal from their own kind.,"[""africa is poor"", ""are thieves"", ""black people are thieves"", ""black people live in squalor"", ""blacks steal"", ""don't take care of each other""]","[""black folks""]"
2129,Most white kids i know believe they are superior and they freak out whenever a black guy is fighting a white .,"[""white folks are better than others"", ""white folks freak out""]","[""white folks""]"
2134,Murder is one sure way to live longer than other people.,"[""trivializes harm to victims""]","[""murder victims""]"
