Input.original_text,Input.strategy,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
"Hi Meg, Just sent a support ticket to Lulu about an error on a recent order. Wondering how long a response will take?","['neutralizing', 'optimism']",I'm optimistic that a response will come quickly,"growth: viewing a challenges as an opportunities for the author to grow or improve themselvesimpermanence: saying bad things don't last forever, will get better soon, and/or that others have experienced similar strugglesneutralizing: replacing a negative word with a neutral wordoptimism: focusing on things about the situation itself, in that moment, that are goodself-affirmation: talking about what strengths the author already have, or the values they admirethankfulness: expressing gratitude","Hi Meg, I just sent a support ticket to Lulu about an error on a recent order. I hope to get a response soon.",1,,,,,,,,,positive_reframing
"SMH!!!! UGHH U KNOW WHAT .. NO COMMENT, THIS ISNT GOOD FOR MY HEALTH IM TOO YOUNG TO BE FEELIN THIS OLD ..",['neutralizing'],1,I'm glad that I'm able to see challenges as opportunities to grow and improve myself,There could be better thing for my health.,This challenge is an opportunity for me to grow,,,,,,,,,positive_reframing
This next month will probably be the most stressful month of my life. So there's that.,"['impermanence', 'optimism']","This next month may be challenging, but it is also an opportunity for me to grow and improve myself",1,I'm going to try to view my upcoming month as an opportunity to grow and improve myself,"Next month will be stressful, but then I'll be home free",,,,,,,,,positive_reframing
I just want it to be Friday and skip over this awful mess of my life.why does doing the right thing feel so wrong?,['neutralizing'],"Sometimes it's hard to feel good about something even if you are doing the right thing, that's hard, but it's a part of life",I am looking forward to Friday and moving past this difficult time,I just want it to be Friday and skip over this awful mess of my life,I'm looking forward to the end of the week and the chance to make a fresh start,,,,,,,,,positive_reframing
"Spent hours at the lawyer's today.my neck/shoulders are so sore from, I think, stress and being tense. Must've signed my name a zillion times (Ok I'm exaggerating but 'twas a LOT) lawyer grief","['growth', 'impermanence', 'optimism']","I'm so happy I'm done with all the paperwork, not I get to relax and enjoy my week!",I'm grateful for the hours I spent at the lawyer's today,"growth: viewing a challenges as an opportunities for the author to grow or improve themselves impermanence: saying bad things don't last forever, will get better soon, and/or that others have experienced similar struggles neutralizing: replacing a negative word with a neutral word optimism: focusing on things about the situation itself, in that moment, that are good self-affirmation: talking about what strengths the author already has, or the values they admire thankfulness: expressing gratitude",Strategies:1,,,,,,,,,positive_reframing
It's so hard not to be selfless. I'm trying to help others but it seems like it's coming back to haunt me.,['growth'],"It's so hard to be selfless, but I know it's worth it",I am learning about setting limits with others.,I'm trying to help others and it seems like it's helping me grow,1,,,,,,,,,positive_reframing
iam so disgusted this morning why do you chap my Airtime without my notice its been happenin for a month,['growth'],I'm so frustrated this morning,I'm viewing this challenge as an opportunity for growth and am thankful for the reminder to be more mindful of my Airtime usage,I see this as an opportunity for growth,Try to tell me when you chap my airtime.,,,,,,,,,positive_reframing
"When you start eating your cuticles like chicken bones, it's time for the week to be over.",['thankfulness'],"I'm thankful that I'm aware of my habit of eating my cuticles like chicken bones, and that I can use this as an opportunity to grow and improve","This week has been so stressful, but I'm thankful is about to be over","When you start eating your cuticles like chicken bones, it's time for the week to be over",I am thankful that the week is coming to an end and I can take some time to care for my cuticles,,,,,,,,,positive_reframing
another late night and early morning College work has taken over my lifecollege coursework fashion tired exhausted,['thankfulness'],"Despite the late nights and early mornings, I am grateful for the opportunity to learn and grow","College is a lot of work, but I am thankful that I have the opportunity to go.","I am thankful for the opportunity to challenge myself with college coursework and grow as a person, knowing that this difficult period of exhaustion and fatigue is only temporary","I am grateful for the opportunity to work on my college coursework, even if it means some late nights and early mornings",,,,,,,,,positive_reframing
Why not ask mom how is she doing when baby it's sick The Mom Still Matter .out,['neutralizing'],"Mom is doing well, and baby is also doing well",The Mom Still Matter,Why not ask mom how she is doing when baby is sick? The Mom Still Matters,It is better to ask a mom how she is doing when her baby is sick.,,,,,,,,,positive_reframing
"Not only do I have a 6 pg paper due and and exam on Tuesday, but the fate of our country is also going to be decided","['growth', 'neutralizing', 'optimism']","Not only do I have a chance to grow and improve myself with a 6 pg paper due and an exam on Tuesday, but the fate of our country is also going to be decided","Although I have a lot of work to do, I know that I can grow and learn from this experience",I am grateful for the opportunity to grow and develop my skills by completing this 6 page paper and taking the exam on Tuesday,Everyone is worried about the fate of the country but I will smash my exams and that will be one less stress.,,,,,,,,,positive_reframing
"Looking for ideas - if you were , anxious or depressed - What would encourage you to get help?",['optimism'],"What would encourage you to seek help and support for your anxiety or depression? Focusing on the growth opportunities, recognizing that this is a temporary situation, replacing negative words with neutral ones, looking for the good in the situation, affirming your strengths and values, and expressing thankfulness can all help to create a more positive outlook","If you were anxious or depressed, here are some things that might encourage you to get help: -growth: viewing a challenge as an opportunity for the author to grow or improve themselves-impermanence: saying bad things don't last forever, will get better soon, and/or that others have experienced similar struggles-neutralizing: replacing a negative word with a neutral word-optimism: focusing on things about the situation itself, in that moment, that are good-self-affirmation: talking about what strengths the author already has, or the values they admire-thankfulness: expressing gratitude",It would be nice to get ideas to get rid of depression and anxiety.,"If you were feeling anxious or depressed, what positive steps could you take to improve your mental health?",,,,,,,,,positive_reframing
In a stupidly bad mood. Only halfway through the work day and I've come close to quitting and plotting murder.,"['self_affirmation', 'thankfulness']",I'm grateful for the opportunity to challenge myself and grow through this difficult work day,"I'm feeling a bit frustrated at the moment, but I know I have the strength to push through and make it a better day","In a bad mood, but I will get through it",Only halfway through the work day and I've come close to quitting which is bad.,,,,,,,,,positive_reframing
stressed with a smile on my face. True Virgo always gotta stayStrong for the Team,['thankfulness'],"I am thankful for the strength I have to stay strong for my team, even when times are tough",Im happy that I can be a source of strength for others in stressful times,I am grateful to be able to handle stress with a smile on my face as a true Virgo,I am grateful for this challenge because it will help me grow and improve,,,,,,,,,positive_reframing
Figuring out a career that you want to pursue after highschool is probably the hardest thing,"['growth', 'thankfulness']","Figuring out a career that you want to pursue after highschool is a big challenge, but we should be grateful for the opportunity to do anything we want with our lives",Figuring out a career that you want to pursue after highschool is an opportunity for the author to grow,1,Some possible career paths after high school include:-Journalism-Public relations-Event planning-Banking-Law-Medical assisting-Dentistry- Veterinary medicine,,,,,,,,,positive_reframing
I just want my life to be easy and carefree. Why is that so impossible for me?,['growth'],"Some possible strategies for growing in a challenging situation are as follows:viewing a challenge as an opportunity to grow or improve oneself, by focusing on the good aspects of the situation at that momentsaying bad things don't last forever, will get better soon, and/or that others have experienced similar strugglesreplacing a negative word with a neutral wordfocusing on things about the situation itself, in that moment, that are goodexpressing gratitude",I need to figure out ways to make my life easy and carefree.,1,I just want my life to be easy and carefree,,,,,,,,,positive_reframing
Never been so tired in my life and it's only the first week! Gunna be the toughest year ever,"['impermanence', 'neutralizing']","Using the impermanence strategy: ""This first week has been exhausting, but I know it won't last forever","I have never been so tired in my life, but it is only the first week","This first week has been a challenge, but I'm grateful for the opportunity to grow and develop my skills",This week has been very tiring but I'm sure this year will be amazing for me!,,,,,,,,,positive_reframing
"After breaking down 4 times today, I should just accept an F on all assignments, tests, and quizzes for the week.","['growth', 'self_affirmation']","Despite breaking down 4 times today, I should continue to try my best and accept help from others",I have had a blip today in my studies although I am going to try my best to keep up my hard work.,"Using the growth strategy: Despite experiencing 4 setbacks today, I see this as an opportunity to learn and grow","After breaking down 4 times today, I can use this as an opportunity to grow and develop my resilience",,,,,,,,,positive_reframing
Forever cutting down words from essays because I ramble like a dick all the time,"['neutralizing', 'optimism']","I'm using strategies like growth, impermanence, neutralizing, optimism, self-affirmation, and thankfulness to reframe my habit of rambling like a dick into an opportunity to improve my writing by cutting down words from my essays","I am constantly refining my essays by condensing my thoughts, which allows me to improve my writing skills",1,I have a lot to say and sometimes need to shorten my essays because I am so full of ideas!,,,,,,,,,positive_reframing
I'm starting to have dreams about my Spanish controlled assessment and how I'm gunna fail anxietytothenextlevel,"['impermanence', 'optimism']",I'm starting to have dreams about how I'm gunna ace my Spanish controlled assessment and how I'm gonna be a success anxietytothenextlevel,1,"I have been having nightmares about my spanish exams but it's normal for anyone to have anxiety before exams, and I know everything will go alright.",I'm starting to have dreams about my Spanish controlled assessment and how I'm gunna fail anxietytothenextlevel I'm starting to have dreams about my Spanish controlled assessment and how I'm going to improve myself,,,,,,,,,positive_reframing
"6 days into 2020 and I already feel like I need a media/news break. Shit is crazy rn. Imagine a week without news, worldwide. Time for everyone to come to their senses. Uhg. news media overload",['growth'],"I'm going to take a break from the news, so that I can get back into a proper mindset.","I am grateful for the challenges I have faced this year, as they have allowed me to grow as a person",1) Growth! Keeps everyone growth excited!2) Impermanence! says nothing without purpose!!!!3) Neutralization! Not letting things go because they don't make us happy4) Optimism! Looking at things with hope,I'm grateful for the growth I'm experiencing right now,,,,,,,,,positive_reframing
I was on vacation like three weeks ago and I'm already in need of another one.,['neutralizing'],"Although it feels like I just got back from vacation three weeks ago, I'm already looking forward to planning my next one",I never grow tired of going on vacation! I'm already excited for my next one!,"I'm grateful for the opportunity to take a vacation recently, and I'm looking forward to the chance to take another one soon",I'm looking forward to my next vacation!,,,,,,,,,positive_reframing
Its so embarrassing when I am stressed out because my arms and legs get really red and my eczema breaks out to an extreme. blah,['neutralizing'],"I am grateful that I can identify when I am stressed out, and I am working on finding ways to better cope with my stressors",I don’t feel good when my eczema goes to the extreme as a result of stress.,1,"I'm grateful for my arms and legs, which are able to do so many amazing things",,,,,,,,,positive_reframing
Omg can't believe I just lost my trust in an associate who I lived with to be my family!!,"['neutralizing', 'optimism']","I'm grateful for the opportunity to learn and grow from this experience, and I'm confident that I can find a new sense of trust in the future",I am grateful for the opportunity to learn and grow from this experience,I feel sorry for having lost trust in an associate whom I believed to be part of my family. I just hope he realizes his mistake.,I'm surprised to find that my expectations of an associate who I lived with as family were not met,,,,,,,,,positive_reframing
can we just go one day without arguing or looking for something to bitch about? ?,['neutralizing'],Can we strive to have a peaceful day where we focus on positive interactions and finding things to appreciate instead of nitpicking or arguing?,Its not good for us to argue with one another.,Can we just go one day without arguing or looking for something to bitch about?,Can we just have one day where we can focus on the positive and appreciate each other?,,,,,,,,,positive_reframing
"My heartbeat has been on 10 lately! Clearly, school is not good for my health.",['neutralizing'],"My heartbeat has been on 10 lately! Clearly, school is presenting new opportunities for me to grow and improve",I should take a break to improve my health.,"Recently, school has been a challenge for me, but I'm grateful for the opportunity to grow and develop my skills","Lately, my heartbeat has been elevated",,,,,,,,,positive_reframing
can we just go one day without arguing or looking for something to bitch about? ?,['neutralizing'],Can we try to be more positive and neutral in our conversations? This can help us to grow and learn from our challenges,"growth: viewing challenges as opportunities for the author to grow or improve themselvesimpermanence: saying bad things don't last forever, will get better soon, and/or that others have experienced similar strugglesneutralizing: replacing a negative word with a neutral wordoptimism: focusing on things about the situation itself, in that moment, that are goodself-affirmation: talking about what strengths the author already have, or the values they admirethankfulness: expressing gratitude",Its not good for us to argue with one another.,"1) There are opportunities for growth here, and every day will be a learning experience",,,,,,,,,positive_reframing
"Hi Meg, Just sent a support ticket to Lulu about an error on a recent order. Wondering how long a response will take?","['neutralizing', 'optimism']","Hi Meg, I just submitted a support ticket to Lulu regarding a recent order","Hi Meg, I just sent a support ticket to Lulu about an error on a recent order. I hope to get a response soon.",I recently submitted a support ticket to Lulu regarding an issue with an order and I am hopeful to receive a response soon,"Meg,I'm confident that Lulu will be able to help resolve the issue quickly",,,,,,,,,positive_reframing
Only 2 weeks left of school and there is just a lot of assignments to do tired,['optimism'],Only 2 weeks left of school and there is just a lot of assignments to do. I hope I can finish it on time.,Only 2 weeks left of school and there are just a lot of assignments to do,1 week left of school and there is just a lot of assignments to do,"There is still a lot of work to be done, but with a positive outlook, I am sure I can make it through",,,,,,,,,positive_reframing
It will be a miracle if I don't have a mental breakdown before this week is over.,['impermanence'],I am grateful for the opportunity to grow and learn from this challenge,1,The week will be over soon. I will make it through.,I'm grateful for this opportunity to grow and improve myself,,,,,,,,,positive_reframing
"Soo tired. Went to bed @ 0130, woke up for pt @ 0530, mid term in an hour.","['impermanence', 'optimism']",I'm so grateful for my health and for the opportunities that come with it,I'm grateful for the opportunity to grow and improve myself,I hope I get a good night's sleep after I am done with my midterm.,"growth: seeing a challenge as an opportunity to grow and improve oneselfimpermanence: knowing that things will happen in the life time that are not his or others and enjoying this momentpermanent: referring to things as being forever, even if they are gone for a short time",,,,,,,,,positive_reframing
"Art exam mon&tues, spanish oral thurs, haven't even started the practising for the speaking exam. :(:(","['impermanence', 'neutralizing']","I'm looking forward to the upcoming art exams on Monday and Tuesday, and the Spanish oral exam on Thursday",I need an effort to do well on exams,"Despite having a busy schedule with an art exam and Spanish oral, I have the opportunity to improve my skills and knowledge","Although I am feeling overwhelmed with my exams, I am focusing on the fact that I will get better with time and that I am not the only one who has gone through this",,,,,,,,,positive_reframing
"No matter how hard I work at it, there is always something in the way. I just want life to give me a break.","['growth', 'neutralizing', 'optimism']",Using the growth strategy: I see every obstacle as a chance for me to grow and improve myself,"I know I will get the break I deserve soon, I'm working really hard.","No matter how hard I work at it, there is always something in the way","I am grateful for the opportunities to grow and develop that life has presented me with, and I am confident that I will be able to overcome any obstacles that come my way",,,,,,,,,positive_reframing
Wanting to crawl up under my zebra blanket and not come out for a few days..,['thankfulness'],Looking forward to the challenges ahead and grateful for the opportunities that come with them,I am grateful for the opportunity to grow and learn from my challenges,The strategies below can be used to help improve our lives,"It's been a tough time, but thankfully the end of the week is coming.",,,,,,,,,positive_reframing
Sometimes I feel so alone..no one understands what I'm going through or what's on my mind :( feelinsad,"['growth', 'impermanence']",I feel grateful that I can grow from this challenge and become a stronger person,This loneliness that I'm feeling is just temporary. I will make more friends and go out more!,I sometimes feel so growth-oriented and impermanent-minded that it can be really tough,1,,,,,,,,,positive_reframing
It's one of those days where I need to curl into a ball and shut down for a while.,['thankfulness'],1,I'm glad I get a chance to relax and unwind for a day.,I'm grateful for the growth I've experienced today,I'm grateful for the opportunity to grow from this challenge,,,,,,,,,positive_reframing
Is seriously stressed today and its not even 9am yet! Public transport is a joke sometimes!!,"['neutralizing', 'self_affirmation']","I'm feeling a bit stressed today, but I'm trying to focus on the good things",Public transport is a nightmare but I am proud of myself for sticking with it.,I am grateful for the opportunity to grow today,1,,,,,,,,,positive_reframing
I'm not really a fan of today. Hopefully my rehearsal will cheer me up! headache,['optimism'],I'm grateful for the opportunity to rehearse and improve myself,"I'm not really a fan of today. Hopefully my rehearsal will cheer me up, and I'll feel better!",1,I'm looking forward to my rehearsal! It will be a great opportunity to improve my skills,,,,,,,,,positive_reframing
Mad at myself for waiting till the last minute its gonna be a busy day,"['neutralizing', 'thankfulness']",I'm thankful for the opportunity to challenge myself and grow by tackling this task at the last minute,I'm grateful for the opportunity to grow and improve myself,"Neutralizing: I regret waiting until the last minute, but today will be a busy day",Mad at myself for waiting till the last minute hope it don't happen next time.,,,,,,,,,positive_reframing
I just need half a day off to sort my christmas stuff out no time :(,"['impermanence', 'optimism']",I just have to clear off half a day in my schedule to sort out my Christmas stuff. I hope to do it this afternoon.,I'm grateful that I only need half a day off to sort my christmas stuff out,growth: viewing a challenge as an opportunity to grow and improve oneself,I'm looking forward to the challenges that come my way because they will help me grow and improve myself,,,,,,,,,positive_reframing
"When you start eating your cuticles like chicken bones, it's time for the week to be over.",['thankfulness'],"The strategies below are for growing the author's self-confidence, optimizing their growth, and keeping their self-affirmation positive","When you start eating your cuticles like chicken bones, it's time for the week to be over","This week has been so stressful, but I'm thankful is about to be over",Thankfulness is a great way to approach the challenges of life,,,,,,,,,positive_reframing
"I wonder who invented education Just wished that you come back to life, so i can end you again.",['impermanence'],modern education could be better and it will be one day.,I wonder who invented education,"Although I don't know who invented education, I believe that everything in life is impermanent and that even difficult situations can lead to growth and improvement",I am thankful for the invention of education and the opportunity it provides to grow and learn,,,,,,,,,positive_reframing
"Not in the mood , but still gone try n get thru it! GymFlow Stressed",['impermanence'],I'm still going to try and get through this challenge! I'm looking forward to growing from it,"growth: viewing a challenges as opportunities for the author to grow and improve themselves impermanence: saying bad things don't last forever, will get better soon, and/or that others have experienced similar struggles neutralizing: replacing a negative word with a neutral word optimism: focusing on things about the situation itself, in that moment, that are good self-affirmation: talking about what strengths the author already has, or the values they admire","I'm going to try to get through this even though I'm not in the mood, because I know it's good for me","It might be hard, but im going to get through it!",,,,,,,,,positive_reframing
There's so much pressure behind throwing a housewarming party but what it really comes down to is what types of dip will there be.,"['neutralizing', 'optimism']",There's so much pressure behind throwing a housewarming party but what it really comes down to is what types of dip will there be,As long as I get the right dip the housewarming party will be a success.,"Throwing a housewarming party can feel overwhelming, but it's really just an opportunity to showcase delicious dips",Throwing a housewarming party can be an exciting opportunity to bring friends and family together and create lasting memories - not to mention the delicious dips that will be served!,,,,,,,,,positive_reframing
"Out of 4 hours of playing all I got was a bad back ache,soar knee/shoulder, and slight sun burn. Like WTF! lategame","['optimism', 'self_affirmation']","I enjoyed playing the game for 4 hours and got a good workout, felt good about myself, and was grateful for the experience","I'm grateful for the opportunity to play for 4 hours, even though I got a bad backache, soar knee/shoulder, and slight sunburn","Out of 4 hours of playing all I got was a backache, sore knee, and slight sun burn, but I am glad that I have burnt a lot of calories.",1,,,,,,,,,positive_reframing
"What. im not crying sick . Its getting harder to stay strong :,( :( :(. want to disapear :(",['growth'],"I've been feeling really down lately, I'm going to get help to get over this sickness.","I'm not crying because I'm sick, but because I'm growing and learning",I'm not crying sick,1,,,,,,,,,positive_reframing
friends becomes others when they are in need of a help :/ feeling tired bad helpless :|,"['growth', 'neutralizing', 'self_affirmation']","I'm pretty sure someone in need is going to try to do anything to fix his/her life, I just need to be more patient around people.",1,I am grateful for my friends who are always there for me when I need them,"""When I am feeling tired and helpless, looking at my friends becomes others when they are in need of a help",,,,,,,,,positive_reframing
I don't get how people can just understand chemistry. It seriously seems like a different language.,"['growth', 'neutralizing']",People can understand chemistry because it is a language that is full of symbols and metaphors,"For me chemistry is really challenging, just like learning a foreign language, but the greatest challenges bring the biggest rewards",1,I'm grateful for the opportunity to improve my understanding of chemistry,,,,,,,,,positive_reframing
Got a $2000 bill for GST from CRA when I closed my business account (and business) 5 years ago. I know it's an error but fuck,['neutralizing'],"I know that there is an error, but I am hopeful that it can be fixed",Just received a $2000 bill from when I closed my business account. I'm sure it's a mistake so I won't even stress it.,"I received an invoice for $2000 from CRA for GST when I closed my business account (and business) 5 years ago, which I know is an error","Although I received a $2000 bill for GST from CRA when I closed my business account (and business) 5 years ago, I know it's an error",,,,,,,,,positive_reframing
10 stitches in my finger my handwriting is type FUCKED UP rn struggling writinghand cantholdafuckingpen,['optimism'],I'm optimistic about the future because I see that things will get better soon,"I know that my hand will eventually heal, and I will feel much better.",I'm optimistic about my handwriting because I know that with practice it will get better,I'm grateful that I have 10 stitches in my finger because it gives me an opportunity to grow and improve myself,,,,,,,,,positive_reframing
"One of those days when you feel like you need a five-minute hug, a pack of jet-puffed marshmallows and a friend to talk to.:( pagod",['impermanence'],"The impermanence of the situation is a good thing, because it means that things will change and that he will need to learn to live with less and less control, but also because it means that the Jet-Puffed Marshmallows are worth taking the time for","One of those days when you feel like you need a five-minute hug, a pack of jet-puffed marshmallows and a friend to talk to","I'm feeling down today, but I know that everything will get better soon","It's been a pretty bad day, but hopefully things will be better tomorrow.",,,,,,,,,positive_reframing
"Sometimes, face your problems head on. Other times, avoid them like the plague until they sort their lives out stressed x",['neutralizing'],"Some strategies to help deal with problems are to view them as an opportunity to grow or improve oneself, to say bad things don't last forever, and to focus on the good in the situation","Neutralizing:-viewing a challenges as opportunities for the author to grow or improve themselves-saying bad things don't last forever, will get better soon, and/or that others have experienced similar struggles do not stand in the book's favor-replacing a negative word with a neutral word-optimism: focusing on things about the situation itself, in that moment, that are good-self-affirmation: talking about what strengths the author already have, or the values they admire",Deciding when to face my problems or relax x,"Sometimes, face your problems head on",,,,,,,,,positive_reframing
3 days ng kulang sa tulog.. seriously needed 8 straight hours of sleep.. weekend where art thou?..,"['impermanence', 'optimism']",I'm grateful that I have the opportunity to grow and improve myself,"3 days ng kulang sa tulog .. but that's ok, the weekend will come and I'll be able to get my hours of sleep.","growth: viewing a challenge as an opportunity to grow, learn, and improve",I'm grateful for the opportunity to grow and learn,,,,,,,,,positive_reframing
I hate making big decisions that I know will impact the rest of my life.,"['growth', 'neutralizing']",I see big decisions as opportunities for growth and improvement in my life,I dislike making big decisions that will impact the rest of my life,I am grateful for the opportunity to make decisions that will shape my future and help me grow,"I don't like making big decisions that I know will impact the rest of my life, but I understand It's part of the process of growing up and moving forward.",,,,,,,,,positive_reframing
Holy crap going from straight up droid to an iPhone will give you a headache!!,"['growth', 'optimism']","Wow, switching from a droid to an iPhone is quite the growth opportunity! While it may be challenging at first, I know that with time and practice, I will become more comfortable with my new device",Going from a straight up droid to an iPhone will give you a headache!growth: It can be seen as a challenge to learn a new system,This is a new opportunity to learn how to use android!,Making the switch from a Droid to an iPhone can be a great opportunity for growth and a chance to experience the many benefits of the new device!,,,,,,,,,positive_reframing
This entire week of school has me mentally exhausted. Too bad I don't even get a break this weekend. wannabedropout,['thankfulness'],I'm grateful for the growth I've experienced this week,I have had an entire week of school so at least I get a break away from it even if I have things to do.,Thankfulness is a strategy of expressing gratitude for what life has in front of you,I'm grateful for this week of school because it's an opportunity for me to grow and improve myself,,,,,,,,,positive_reframing
I won't have it done! I skipped a bullet then will go back to it I haven't a hope is an understatement :( gonna cry,"['growth', 'impermanence', 'optimism']","I get a new opportunity to achieve my goals, even If I fail again, I won't let that affect me, and keep improving!",1,I won't have it done! I skipped a bullet then will go back to it I haven't a hope is an understatement :( gonna cryI won't have it done! I skipped a bullet then will go back to it,"I will continue to grow and learn, even with this challenge",,,,,,,,,positive_reframing
Thank God Im done with all that's due tom. Hope I get to study for the two long exams on tuesday.,"['neutralizing', 'optimism', 'thankfulness']","I'm so thankfull and relieved that I finished all my task, now I can focus on study for my test.",I am grateful that I am done with all that is due tomorrow,I'm so thankful that I'm finished with all that was due today,Thank goodness I have completed all my tasks due tomorrow,,,,,,,,,positive_reframing
We're having an inspection from DOT this week at work and I have to work late every shift this week. I also have midterms at school and trying to cut for this casting call like lord be with me !!,['growth'],"God will be with me to do my work, because I have a lot of work.",I'm excited to work late this week because it's an opportunity for me to show how dedicated I am to my job,"growth: through the development of new skills and knowledge, the author is growing","I'm so excited to have this inspection from DOT this week! I'm also excited to have my midterms at school, but I'm going to try to cut as much as possible for this casting call",,,,,,,,,positive_reframing
"Not even funny how bad business is going to go tomorrow , why didnt i start studying earlier ?",['growth'],"Even though things are tough right now, I know that I will grow from this experience",I have the opportunity to grow and improve myself by studying more for tomorrow's business challenges,"I'm grateful for the opportunity to grow and improve by studying earlier, and I'm confident that this challenging situation won't last forever",Time to learn to plan better and start my assignments sooner!,,,,,,,,,positive_reframing
So does anyone else know that frantic moment in life when you can't even find ONE bobby pin???,['optimism'],I can't find my bobby pins. Going shopping for more!,Does anyone else appreciate the moment when they can find that one bobby pin to complete their look?,I know that moment of panic when I can't find a single bobby pin,Isn't it exciting when you discover a new hairstyle without using a bobby pin?,,,,,,,,,positive_reframing
That stupid social studies PowerPoint took me an hour and a half and I've been doing other homework the whole rest of the night,"['neutralizing', 'optimism']","Neutralizing: The social studies PowerPoint took me an hour and a half, but I managed to complete it while also working on other homework for the rest of the night","The social studies PowerPoint took me an hour and a half, and I've been doing other homework the whole rest of the night, but I am happy that I finished it at last.","I spent an hour and a half working on the social studies PowerPoint, and it was a great opportunity to practice my skills and grow","Despite the challenges, the author views this as an opportunity to grow and improve",,,,,,,,,positive_reframing
Just got home and I'm already stressed out. Do I ever get a break?! Ugh,['optimism'],I'm grateful to be home and I'm already thinking about how I can improve myself,"I just got home very tired but good it was a productive day, and now I can rest.",I'm glad to be home and relax after a long day,1,,,,,,,,,positive_reframing
"Tests on test, studying on studying, homework on homework. Gunna be like this for this week and next","['impermanence', 'optimism']","growth: viewing a challenge as an opportunity to grow and improve myself, my skills, and my life","Only two more weeks of studies and tests I will be free, I just need to focus on now :)",Tests are an opportunity for me to study and learn more,I'm going to be positive and view my challenges as opportunities to grow,,,,,,,,,positive_reframing
"Spent hours at the lawyer's today.my neck/shoulders are so sore from, I think, stress and being tense. Must've signed my name a zillion times (Ok I'm exaggerating but 'twas a LOT) lawyer grief","['growth', 'impermanence', 'optimism']",I'm grateful for the opportunity to grow and learn from this challenge,"I'm so happy I'm done with all the paperwork, not I get to relax and enjoy my week!",I'm grateful for the hours I spent at the lawyer's today,Strategies:1,,,,,,,,,positive_reframing
"Spent hours at the lawyer's today.my neck/shoulders are so sore from, I think, stress and being tense. Must've signed my name a zillion times (Ok I'm exaggerating but 'twas a LOT) lawyer grief","['growth', 'impermanence', 'optimism']",Today I spent hours at the lawyer's and my neck and shoulders are feeling the effects of the stress and tension,"I'm so happy I'm done with all the paperwork, not I get to relax and enjoy my week!","My neck and shoulders are sore from stress and tension, but I know this is only temporary","Today I had the opportunity to spend several hours with my lawyer, signing numerous documents",,,,,,,,,positive_reframing
All I want is for ONE normal/easy going day. But I doubt I will be getting that anytime soon.,['optimism'],All I want is for one easy going day. I really feel like that will happen soon!,I hope for one normal/easy going day,I am optimistic that a peaceful and easy day is on the horizon,"I am hopeful that I will have a normal/easy going day soon, and I am grateful for the strength and resilience I have to get through this challenging time",,,,,,,,,positive_reframing
i honestly dont know if God is punishing me or testing me right now .,"['growth', 'impermanence', 'neutralizing']",I am viewing this challenge as an opportunity for growth and recognizing that it is not permanent,When life gets hard I think God is trying to teach us something.,I am grateful for this challenge because it will help me grow and become a stronger person,I am currently facing a challenge that I believe is an opportunity for growth and improvement,,,,,,,,,positive_reframing
"Ohhh what i would give to turn back the hands of time, back to before things in my family were so crazy",['neutralizing'],1,I am grateful for the opportunity to grow and improve myself that this challenge presents,Things with my family could always be worse.,I would love to be able to neutralize the negative emotions that come with my family's crazy situation,,,,,,,,,positive_reframing
