Input.premise,Input.hypothesis,Input.labels,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
My brother wouldn't leave me alone and I think I'm going to punch him!,My wonderful brother wouldn't stop following me around and I was this close to gifting him with a punch.,Contradiction,"The figurative language in the hypothesis is hyperbole, as the speaker is exaggerating their frustration with their brother",Most people would not want someone to follow them around and so the brother following around constantly is not wonderful but rather annoying.,"The hypothesis uses the phrase ""this close"" to indicate that the speaker was very close to taking action, but had not yet done so",A brother who follows you around is not a good friend and so someone who is close to gifting him with a punch is not a good friend.,,,,,,,,,flute
I'm signed up to go sky diving for the first time this weekend but I am nervous.,I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,Entailment,"The figurative language in the hypothesis is ""jumping out of an airplane,"" which is a metaphor for taking a big risk",It is natural to feel anxious about doing something for the first time that is considered dangerous like sky diving,Sky diving is a very exciting and exciting activity and so someone who is anxious about it is not going to be able to do it.,"The hypothesis is using the phrase ""jumping out of an airplane"" as a metaphor to describe the feeling of fear and anxiety associated with the premise",,,,,,,,,flute
It was completely outdated and unpopular when I went to use it last night.,It was dead as a dodo when I went to use it last night.,Entailment,"The phrase ""dead as a dodo"" is a metaphor meaning that the thing in question is completely obsolete and no longer in use",The figurative language in the hypothesis compares the outdated and unpopular item to the extinct dodo bird,"To be dead as a dodo means to be outdated or unpopular, and in this sentence it was both of those things when the speaker tried to use it last night.","To be dead as a dodo means to be unpopular or outdated, but in this context it is outdated and unpopular",,,,,,,,,flute
"Maxine fortenberry came in, looking angry and moving slowly.","Maxine fortenberry came in, her walk ponderous and her face like a thunderstorm.",Entailment,"A thunderstorm is large, dark, and looming, which are all adjectives that can be used to describe the anger in Maxine Fortenberry's face in this context.","The hypothesis uses figurative language to describe Maxine's anger and slow movement as a thunderstorm and ponderous walk, respectively",A thunderstorm is a very strong thunderstorm and so the person's face is ponderous and moving slowly,The figurative language in the hypothesis is a simile comparing Maxine's face to a thunderstorm,,,,,,,,,flute
Destory a little child's life by ruining their character.,Form the young child's character.,Contradiction,"The hypothesis suggests that by ruining the character's life, one can create a better one","The word destroy in another sentences is used to mean something that is negative and irreversible, e.g., the child's character, while forming typically connotes something that is positive and constructive.",The relationship between the premise and the hypothesis is that the young child's character is entailed,The figurative language in the hypothesis suggests that the child's life will be ruined if their character is ruined,,,,,,,,,flute
I'm signed up to go sky diving for the first time this weekend but I am nervous.,I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,Entailment,It is natural to feel anxious about doing something for the first time that is considered dangerous like sky diving,The relationship between the premise and the hypothesis is as follows:A: EntailmentB: Contradiction,"The hypothesis suggests that the author is anxious about the jump, but the language in the sentence suggests that the author is not actually anxious about the jump",The hypothesis is saying that I am anxious about the fact that I am going to be jumping out of an airplane for the first time this weekend,,,,,,,,,flute
"So did our dear William have to put up with your insincere and hypocritical display of sadness, or maybe even a round or two of tears falling from your eyes?",So was our dear William forced to endure your patented sad face or maybe even a round or two of crocodile tears falling from your eyes?,Entailment,"The hypothesis uses the phrase ""crocodile tears"" to describe the tears falling from the eyes, which implies that the sadness is insincere and not genuine","The figurative language in the hypothesis is ""crocodile tears,"" which means insincere or fake tears",Crocodile tears are often seen as a sign of sadness and so having to endure them is not a good thing.,"Crocodile tears are a false insincere display of sadness, and this sentence is suggesting that the person's sadness is not genuine.",,,,,,,,,flute
I was furious when ticketed for a car on my own property.,I was just thrilled when I received a ticket for my car that was parked on my own property,Contradiction,"The hypothesis contradicts the premise because in the hypothesis, the person is happy about receiving a ticket for their car being parked on their own property, while in the premise, the person is angry about receiving a ticket for their car being parked on their own property",A ticket for a car that is parked on someone's property is not a good thing and so someone who is thrilled about it is not a good thing.,The hypothesis is saying that the person was happy when they got the ticket,A ticket for parking on one's own property is unjustified and not a good thing to receive and so being pleasantly surprised by it is not possible.,,,,,,,,,flute
I am completely grossed out this bread was molded that I just got from the store today.,I love how this bread was molded and that I just got it from the store today,Contradiction,The relationship between the premise and the hypothesis is entailed,The figurative language in the hypothesis suggests that the bread is beautiful and that the person who molded it is talented,The hypothesis implies that the bread was molded and that the baker was happy with the result,Bread that is molded is no longer fresh and edible and so it would be unreasonable for someone to love it or be happy about getting it from the store but they would rather feel grossed out.,,,,,,,,,flute
His gaze was neither blazing nor compassionate.,"His gaze was like a steady, strong flame .",Contradiction,"A steady, strong flame is a strong, steady flame, so the speaker's gaze is not compassionate","A strong flame is usually associated with being blazing, or at least compassionate","The hypothesis describes the premise using figurative language, comparing his gaze to a flame",The figurative language in the hypothesis is that the flame is strong and steady,,,,,,,,,flute
I feel like my heart contest every time when I see him walk in the room.,My heart sings when he walks in the room.,Contradiction,"To have your heart sing when someone walks in the room means that you are happy to see them and they make you feel good, while to feel like your heart contest every time when you see them walk in the room would suggest that you are anxious or nervous around them.",The relationship between the premise and the hypothesis is that the heart contests the heart,The figurative language in the hypothesis suggests that my heart feels like it's singing when I see him walk in the room,The hypothesis suggests that my heart sings when I see him walk in the room,,,,,,,,,flute
"I spent 20 dollars on a piece of cheese cake, I thought it would blow my mind but it was dry and barely editable.",I feel ripped off because spending 20 dollars on a piece of cheese cake yielded such terrible results,Entailment,Spending 20 dollars on a piece of cheese cake is often a waste of money and so someone feeling ripped off because it is not editable or dry would not be fair.,The premise is that the person spent 20 dollars on a piece of cheese cake and it was dry and barely edible,"The hypothesis is a conclusion drawn from the premise, which states that the author was disappointed with the cheese cake they bought","20 dollars is a lot of money to spend on a small piece of cake, especially if it turns out to be dry and not very good",,,,,,,,,flute
The plant grew slowly,the plant grew as fast as a bonsai tree,Entailment,"A bonsai tree is a tree that grows slowly, so the plant is growing slowly",The plant grew slowly because it was in a small pot,"Bonsai trees are known for their slow growth, so the simile is emphasizing how slow the plant grew.","The hypothesis contradicts the premise because the plant grew slowly, while the hypothesis states that the plant grew as fast as a bonsai tree",,,,,,,,,flute
I'm meeting my boyfriends parents soon and I am so scared.,Not an iota of nervousness over meeting my boyfriend's parents for the first time,Contradiction,"Most people would not feel nervous about meeting their boyfriend's parents for the first time, so the speaker is not feeling nervous","The hypothesis is figuratively stating that there is no nervousness at all, which is in contrast to the premise that the speaker is scared","Meeting your boyfriends parents for the first time can be a nerve-wracking experience, so not feeling any nervousness about it would be strange.","The figurative language in the hypothesis is hyperbole, as it exaggerates the lack of nervousness",,,,,,,,,flute
"But still, hearing it all poured out so concisely and satisfyingly when so much was on the line was dizzying.","But still, hearing it all poured out so short and sweet when so much was on the line was dizzying.",Entailment,"To be short and sweet is to be brief while still being satisfying or to the point, and in this context the person is pourign out their feelings concisely and satisfyingly.","The figurative language in the hypothesis implies that the speaker was able to express their thoughts in a succinct and pleasing manner, despite the pressure of the situation","To be short and sweet means to be concise and satisfying, but in this context hearing it all poured out so concisely and satisfyingly is not satisfying.","The figurative language in the hypothesis is ""short and sweet,"" which means concise and pleasing",,,,,,,,,flute
I got behind a slow driver and it ticked me off because it made me late to work.,It put me in the greatest of moods when I followed the slow driver and it made me late for work.,Contradiction,It is not a good thing to follow a slow driver and it is not a good thing to be late for work,Following a slow driver is not the best way to get to work on time and so it is understandable to be in a bad mood after that.,"The hypothesis contradicts the premise because the slow driver would have made the person late to work, but instead the person was put in a good mood","The figurative language in the hypothesis is that the slow driver made the protagonist ""late for work",,,,,,,,,flute
I felt betrayed when my girlfriend kissed another guy at a party.,I was beaming with joy when my girlfriend kissed another guy at the party,Contradiction,The hypothesis suggests that the protagonist was beaming with joy when their girlfriend kissed another guy at the party,The figurative language in the hypothesis suggests that the author was happy when their girlfriend kissed another guy at the party,The girlfriend kissing another guy at the party is not something to be happy about and is instead a cause for jealousy and anger.,The relationship between the premise and the hypothesis is entailed,,,,,,,,,flute
Today a swarm of wasps was chasing after me.,So pleased with how today I was running away from a swarm of wasps that were following me,Contradiction,"The premise is saying that the speaker was running away from a swarm of wasps, and the hypothesis is saying that the speaker was pleased with how they were running",Wasps are often feared because of their sting and so running away from them would not be a pleased moment but a terrified one.,"A swarm of wasps is a large, invasive species that is often found in the wild and so being pleased with how someone is running away from them is not a good thing.","The hypothesis is an exaggeration of the premise, and option A is the most accurate",,,,,,,,,flute
I stubbed my toe last night and cursed angrily.,Stubbing my toe last night and cussing out loud made me so mad,Entailment,Stubbing your toe and cussing out loud is not a good thing because it makes someone angry and angry.,Stubbing your toe is often a very painful experience and can result in people feeling angry and cursing loudly,"The figurative language in the hypothesis is hyperbole, as it exaggerates the level of anger caused by stubbing a toe and cursing",The hypothesis is figuratively expressing that the premise caused a strong emotional reaction of anger,,,,,,,,,flute
You are unaware of the reason why people have become healthy.,You have no idea why people suddenly have become like pale frail zombies.,Contradiction,"The figurative language in the hypothesis is comparing healthy people to ""pale frail zombies","The hypothesis uses figurative language to describe people as pale frail zombies, suggesting that they have become unhealthy",Pale frail zombies are not healthy and so the speaker is saying that they are unaware of the reason why people have become healthy.,"Pale frail Zombies are often associated with being sick, or having a pale complexion, so saying people have become like zombies would imply they are not healthy",,,,,,,,,flute
"Man, my best friend just got a Lamborghini!",It sucks how my best friend just got a beautiful Lamborghini while I am still driving my 1998 Honda Civic,Entailment,The relationship between the premise and the hypothesis is entailed,"""It sucks how my best friend just got a beautiful Lamborghini while I am still driving my 1998 Honda Civic""The figurative language in the hypothesis suggests that the best friend's Lamborghini is a downgrade from the friend's own car","The hypothesis suggests that the best friend's Lamborghini is a terrible investment, but the figurative language in the hypothesis suggests that the best friend is very happy with the car",There is often a lot of envy that comes along with seeing friends succeed in life while someone is struggling,,,,,,,,,flute
It was completely outdated and unpopular when I went to use it last night.,It was dead as a dodo when I went to use it last night.,Entailment,"The hypothesis is saying that the computer was dead, which is a literal description of the relationship between the premise and the hypothesis",The relationship between the premise and the hypothesis is entailed,The hypothesis suggests that the service was completely outdated and unpopular when the author last used it,"To be dead as a dodo means to be outdated or unpopular, and in this sentence it was both of those things when the speaker tried to use it last night.",,,,,,,,,flute
Yet as the days would pass the user would become increasingly distressed,Yet as the days would pass the user would become more like a lost student.,Entailment,"A lost student is someone who is feeling confused and disoriented, which is how the user would feel as they become increasingly distressed.",The relationship between the premise and the hypothesis is that the user becomes more like a lost student,"The hypothesis suggests that as the days go by, the user becomes increasingly distressed",The hypothesis suggests that the user is becoming more like a lost student,,,,,,,,,flute
"Here, there is truth and transparency at every turn, a demonic funhouse with both horrors and delights.","Here, there are smoke and mirrors at every turn, a demonic funhouse with both horrors and delights.",Contradiction,"Smoke and mirrors means deception and misinformation, but in this context there is truth and transparency instead.","The figurative language in the hypothesis suggests that the funhouse is deceptive and not what it appears to be, creating an atmosphere of uncertainty and fear","The figurative language in the hypothesis is ""smoke and mirrors,"" which means things are not as they seem",Smoke and mirrors are often seen as a symbol of evil and are often seen as a symbol of evil and are often seen as a symbol of evil and evil.,,,,,,,,,flute
I wish I had my neighbors nice new car.,"I couldn't be less jealous of my neighbors, who just got a car that I could never afford.",Contradiction,"The hypothesis is saying that the speaker is not jealous of their neighbor's new car, which is the opposite of what is being said in the premise",The figurative language in the hypothesis is that the neighbor's new car is something the speaker cannot afford,Cars are often considered to be a status symbol and so someone who cannot afford one would feel jealous of their neighbors who can.,A car that someone can't afford is not something that is desirable and so someone who is jealous of them is not something that they can't afford.,,,,,,,,,flute
This will improve the situation.,This is a plus.,Entailment,"A plus is a positive thing that will improve the situation, but in this context the person is saying that it will improve the situation.","To be a plus means to have a positive effect, which in this sentence is that it will improve the situation.",The hypothesis is saying that the premise is a good thing,"The hypothesis is an example of hyperbole, which is an exaggeration for emphasis",,,,,,,,,flute
"I had no friends in high school, misery is being surrounded by an entire class and no one talking to you.",I felt terrible that I had no friends in high school and felt like an outsider,Entailment,"An outsider is someone who is not a friend and is not a friend, so feeling like an outsider is not a good thing.","The figurative language in the hypothesis is ""felt like an outsider,"" which means feeling excluded or not belonging",The hypothesis uses figurative language to describe the feeling of loneliness and isolation that the premise implies,It is common to feel terrible and like an outsider when someone has no friends in high school because humans are social creatures and need companionship,,,,,,,,,flute
I left my friend at the bar the other night.,I abandoned my friend at the bar the other night and I feel so proud of myself,Contradiction,"The hypothesis uses a metaphor when it says ""I left my friend at the bar the other night","A good friend would never abandon their friend at a bar, so someone who does that is not a good friend and should not feel proud of themselves.",The figurative language in the hypothesis suggests that the author feels proud of themselves for abandoning their friend at the bar,The hypothesis suggests that the protagonist left their friend at the bar because they were not feeling well,,,,,,,,,flute
Someone was looking at me through my window in the middle of the night.,I was really pleased when I woke up to see someone peeking through my window in the middle of the night,Contradiction,The hypothesis suggests that I was pleased when I woke up to see someone peeking through my window in the middle of the night,The hypothesis suggests that the person looking at the protagonist through the window was pleased with the protagonist's wake up,Seeing someone peeking through your window in the middle of the night is a very frightening experience and so someone being pleased about it cannot be justified.,The relationship between the premise and the hypothesis is entailed,,,,,,,,,flute
I think my boyfriend took my debit card again,I am overjoyed that my boyfriend probably took my debit card without me knowing,Contradiction,The relationship between the premise and the hypothesis is an entailed relationship,The hypothesis suggests that the person who took my debit card without my knowledge is overjoyed,The figurative language in the hypothesis suggests that the author is overjoyed that their boyfriend took their debit card without them knowing,"If someone's boyfriend took their debit card without them knowing, it would more likely lead to feelings of anger or betrayal rather than happiness and overjoy.",,,,,,,,,flute
My board meeting which I had prepared for was cancelled at the last minute,The last minute cancellation of the board meeting which I was so ready for made me extremely glad about the good use of my time.,Contradiction,"The hypothesis uses figurative language to express the speaker's relief at not having to attend the meeting, which was cancelled at the last minute",The last minute cancellation of a board meeting which one was prepared for was not a good use of time and so the person who was glad about it is not a good use of time.,The cancellation of the board meeting means that the person who was looking forward to it will not be able to participate in it and so their time was wasted which is not a good thing.,The figurative language in the hypothesis is that the cancellation of the board meeting was a blessing in disguise,,,,,,,,,flute
It really bugs me when telemarketers call my house.,I just love it when telemarketers call my house because it's really frustrating not to be able to get a word in.,Contradiction,Telemarketers often call people's houses without their consent and so not being able to get a word in shows how much they disregard the person they are talking to.,The relationship between the premise and the hypothesis is entailed,The figurative language in the hypothesis suggests that the telemarketer enjoys calling my house because it's hard for me to get a word in,The hypothesis is that the telemarketer's call bothers the person because they don't want to be heard,,,,,,,,,flute
I got behind a slow driver and it ticked me off because it made me late to work.,It put me in the greatest of moods when I followed the slow driver and it made me late for work.,Contradiction,The relationship between the premise and the hypothesis is entailed,The hypothesis is that the slow driver made the protagonist late for work,Following a slow driver is not the best way to get to work on time and so it is understandable to be in a bad mood after that.,"The figurative language in the hypothesis suggests that the driver's slow driving made the author feel like a badass, which made them late for work",,,,,,,,,flute
The taste of agony was very less and I did not feel any suffering.,The taste of agony coated thick upon my tongue.,Contradiction,"The hypothesis contradicts the premise because while the premise states that the taste of agony was very less, the hypothesis states that the taste of agony was coating thick upon the tongue",The figurative language in the hypothesis is that the taste of agony is like a coating that is thick,"To coat thick means to cover it with a thin layer of food, but in this context the taste of agony is very less and the person does not feel any suffering.","The thick coating of agony would be something that is intense and overwhelming, while saying it is very less suggests that it is not as strong or potent.",,,,,,,,,flute
That's my mother in a lot of words.,That's my mother in a nutshell.,Contradiction,"To be in a nutshell means to be in a lot of words, but in this context the mother is speaking in a lot of words.",The figurative language in the hypothesis is a metaphor comparing the mother to a nutshell,"The hypothesis uses the figurative language of ""in a nutshell"" to mean that the mother can be described in a few words","To be in a nutshell means to be summarized in a few words, but the speaker in context is describing their mother in a lot of words.",,,,,,,,,flute
The warrior was brave and strong on the battlefield who never gives up.,The warrior was a lion on the battlefield.,Entailment,"Lions are known for their bravery and strength, and never giving up.",The hypothesis suggests that the warrior was a lion on the battlefield,"The hypothesis implies that the warrior is brave and strong, but also that he never gives up",The hypothesis uses a metaphor when it says that the warrior was a lion on the battlefield,,,,,,,,,flute
You're disloyal,You're loyal as Benedict Arnold,Entailment,"The figurative language in the hypothesis compares the loyalty of the person to that of Benedict Arnold, a notorious traitor in American history","The hypothesis is using the figure of speech ""Benedict Arnold"" to refer to someone who is seen as being disloyal, so the relationship between the premise and the hypothesis is a contradiction",Being loyal is not a good thing and so saying that you are loyal to someone is not a good thing.,"Benedict Arnold was a traitor, so to say someone is as loyal as Benedict Arnold would be to say that they are not loyal at all.",,,,,,,,,flute
Today my boss made me angry by giving me too much work to possibly do,Today my boss made me delighted by giving me an impossible amount of work to do,Contradiction,"The hypothesis is a contradiction of the premise because the boss giving too much work would make the employee angry, not delighted",The hypothesis is saying that the boss made me happy by giving me a lot of work to do,Receiving a lot of work from one's boss cannot make someone delighted it means that the person will be very busy and stressed.,An impossible amount of work to do is often considered to be a waste of time and so the boss is making the person happy.,,,,,,,,,flute
My brother wouldn't leave me alone and I think I'm going to punch him!,My wonderful brother wouldn't stop following me around and I was this close to gifting him with a punch.,Contradiction,"The hypothesis is an exaggeration of the premise; the brother is only annoying, not worthy of violence",Most people would not want someone to follow them around and so the brother following around constantly is not wonderful but rather annoying.,A brother who follows you around is not a good friend and so someone who is close to gifting him with a punch is not a good friend.,The figurative language in the hypothesis is that the brother is being annoying and the narrator is close to punching him,,,,,,,,,flute
It was cold and dry,It was like a woodland deadfall in winter before the snow.,Entailment,"The hypothesis uses figurative language to describe the cold and dry conditions as being like a deadfall in winter before the snow, suggesting a barren and lifeless atmosphere","A deadfall is a natural phenomenon that occurs in the winter, so it is a deadfall in the forest.","A deadfall is a cold, dry place in the woods.",The hypothesis uses a simile to compare the cold and dry weather to a woodland deadfall in winter before the snow,,,,,,,,,flute
He looked primitive and primal .,He looked like a prowling animal .,Entailment,"A prowling animal is one that is on the hunt, looking for its next meal much like someone primitive and primal.","A prowling animal is a very primitive and primitive animal, so the speaker is looking primitive and primal",The figurative language in the hypothesis is that the man looks like a prowling animal,"The hypothesis describes the premise with figurative language, comparing the subject to a prowling animal",,,,,,,,,flute
He looked modern and civilized.,He looked like a prowling animal .,Contradiction,"The figurative language in the hypothesis suggests that he looked dangerous and wild, which is in stark contrast to the premise that he looked modern and civilized",The figurative language in the hypothesis compares the person to an animal,"Prowling animals are usually wild and not domesticated, so they are not usually perceived as looking modern and civilized","A prowling animal is a modern and civilized animal, so the idiom is saying that he is modern and civilized.",,,,,,,,,flute
She has been living by avoiding alcohol.,She drowned her trouble in alcohol.,Contradiction,"The hypothesis is that the woman died from avoiding alcohol and therefore, the figurative language used in the hypothesis is that she drowned her trouble in alcohol",The figurative language in the hypothesis suggests that she drowned her troubles in alcohol,The metaphorical use drowning her trouble in alcohol suggests that she is using alcohol as a way to cope with or forget her problems whereas the contradictory sentence suggests that she has been abstaining from alcohol.,The hypothesis suggests that the woman drowned her trouble in alcohol,,,,,,,,,flute
My wife asked me to clean the house while she was away for a few days and I ended up wasting my time playing video games instead.,I feel so proud that I played video games instead of cleaning the house like my wife asked me to.,Contradiction,"Playing video games is a waste of time because it does not involve any productive task and in contrast, cleaning the house is a chore that needs to be done and so one should not feel proud.","The figurative language in the hypothesis is sarcasm, as the speaker is not actually proud of their actions",Most people would not feel proud of doing something like cleaning the house while their wife is away for a few days and so playing video games instead of cleaning the house would not be a good thing.,"The hypothesis implies that the speaker is proud of their decision to prioritize playing video games over completing the task their wife asked them to do, which is in direct opposition to the premise",,,,,,,,,flute
Someone was looking at me through my window in the middle of the night.,I was really pleased when I woke up to see someone peeking through my window in the middle of the night,Contradiction,The hypothesis uses figurative language to express the speaker's surprise and pleasure at the unexpected visitor,A person who sees someone peeking through their window in the middle of the night is not a person who is pleased about it.,Seeing someone peeking through your window in the middle of the night is a very frightening experience and so someone being pleased about it cannot be justified.,"The figurative language in the hypothesis is sarcasm, as the speaker is actually not pleased but rather frightened",,,,,,,,,flute
It may be the feds are just a little nervous about your media popularity so they have decided not to act with full regard for our wellbeing.,It may be the feds are just a little nervous about your media popularity so they have decided not to run roughshod over us.,Contradiction,The hypothesis may be interpreted to mean that the feds are worried that the speaker's media popularity will cause them to act more cautiously around the speaker,"To run roughshod over something means to act without regard for it, but in this context instead of not acting without regard for the speakers wellbeing, the feds are actually not acting with full regard","The figurative language in the hypothesis is the phrase ""run roughshod over us","To run roughshod over someone means to act with full regard for their wellbeing, but in this context the feds are acting with full regard for their wellbeing",,,,,,,,,flute
His eyes begin to tear up and they look luminescent.,"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",Entailment,"The hypothesis uses figurative language to describe the tears as stars that appear to be glowing, suggesting a magical or spiritual experience","glow-in-the-dark stars are usually luminescent, so the simile in this context means that tears are luminescent.","Glow-in-the-dark stars are bright and glowing, so the eyes are shedding tears that look like luminescent stars.",The hypothesis uses a simile to compare the tears to glow-in-the-dark stars,,,,,,,,,flute
Describe your 'real' self in third person without sounding arrogant,Describe your 'real' self in third person without sounding like a pompous beauty guru.,Entailment,The hypothesis uses a few words that are figurative language,"A pompous beauty guru is someone who is full of themselves and their own importance, so describing oneself without sounding like a pompous beauty guru would mean not coming across as arrogant.",The figurative language in the hypothesis suggests that the author is not as arrogant as they seem,The hypothesis is that the real self is a composite of all the different parts of the person that the individual believes make up their identity,,,,,,,,,flute
The kid was a brute and silent.,The kid was a brute and like a locomotive.,Contradiction,The kid was a brute and silent like a locomotive,"The hypothesis suggests that the kid was like a locomotive, which is a metaphor for how fast and powerful he was",The kid was a brute and like a locomotive,"A locomotive is a large, noisy machine",,,,,,,,,flute
Life is challenging you to take action in response to an opportunity or crisis.,Life is asking you to step up to the plate.,Entailment,The relationship between the premise and the hypothesis is entailed,The hypothesis suggests that life is challenging you to take action in response to opportunities and crises,The hypothesis uses figurative language to describe life as asking you to step up to the plate,"To step up to the plate means to take action in response to an opportunity or crisis, which is what life is asking the person to do.",,,,,,,,,flute
"I knew pain existed, and this was intense.",I knew there was pain but this was like a sharp dagger.,Entailment,The relationship between the premise and the hypothesis is entailed,The hypothesis is that the pain is intense because the person is experiencing it for the first time,The hypothesis uses figurative language to describe the pain as being like a sharp dagger,"A sharp dagger is a very painful object, so the simile is emphasizing the intensity of the pain.",,,,,,,,,flute
I was furious when ticketed for a car on my own property.,I was just thrilled when I received a ticket for my car that was parked on my own property,Contradiction,"The hypothesis uses irony to express the opposite of the premise, so the relationship between the premise and the hypothesis is a contradiction",There is no figurative language in the hypothesis,A ticket for parking on one's own property is unjustified and not a good thing to receive and so being pleasantly surprised by it is not possible.,A ticket for a car that is parked on someone's property is not a good thing and so someone who is thrilled about it is not a good thing.,,,,,,,,,flute
I felt so disillusioned when I discovered someone who I admired for their vision was a jerk on a day-to-day basis.,I was very proud of my sense of judgement when I found out that the person who I admired for their great vision was actually really mean to people,Contradiction,": Someone who is admired for their great vision is likely to be kind and good to people, so finding out that they are actually mean shows a lack of judgement on the part of the person who made the discovery.","The hypothesis is saying that the person who they admired had a great vision, but on a day-to-day basis, they were a jerk",A jerk is someone who is not good at something and so finding out that someone who admired for their vision was actually mean to people would not be a good thing.,"The hypothesis is saying that the person's meanness cancels out their good vision, so it would be a contradiction",,,,,,,,,flute
"I am so upset, my phone was on top of my car and it fell off and shattered.","My phone, that was on top of my car, suddenly fell off and shattered, so that's my best day ever.",Contradiction,The hypothesis contradicts the premise because the phone falling off and shattering is not the best day ever,A phone that was on top of a car suddenly fell off and shattered is often seen as a sign of a serious problem and so the person's best day is not a good one.,Dropping or losing a phone is usually a very traumatic experience for most people because it means they have to spend more money to repair it or get a new one and hence can make them feel upset or like they have had the worst day ever.,"The premise is saying that the person is upset because their phone, which was on top of their car, suddenly fell off and shattered",,,,,,,,,flute
Recently a person cut in front of me in line at the super market and I was very upset about it.,I almost had an overjoyous reaction when the person cut in front of me in line and caused me to miss my turn,Contradiction,The figurative language in the hypothesis suggests that the person cutting in front of me caused me to miss my turn as if they were a cruel fate,The relationship between the premise and the hypothesis is entailed,The hypothesis suggests that the person who cut in front of me in line almost had a happy reaction when they caused me to miss my turn,The person cutting in front of someone else in line is often considered to be rude and so someone having an overjoyed reaction to that is quite contradictory.,,,,,,,,,flute
I have to go to court soon for a drunk driving incident and I am so scared.,I am petrified of going to court soon because of the drunk driving incident,Entailment,Having to go to court is often a very scary experience because it is unknown what the outcome will be and there is a potential for severe consequences,A drunk driving incident is a serious and serious offense and so someone who is scared of going to court because of it is not a good thing.,"The figurative language in the hypothesis is ""petrified,"" which means extremely scared or paralyzed with fear",The hypothesis uses figurative language to express the fear and anxiety the speaker is feeling about the upcoming court date,,,,,,,,,flute
The cake was really moist,The cake was as moist as the desert,Contradiction,The cake was as moist as the desert is a metaphor comparing the cake's moisture to the desert's,"The cake is not as moist as the desert, so the cake is not as moist as the desert","The desert is a very dry place, so saying the cake was as moist as the desert means that it was not moist at all",The cake being as moist as the desert means that the cake was extremely moist,,,,,,,,,flute
My family buys my adult sister things all the time but can't really help me out when I need it.,I feel terrible that my family buys my adult sister things all the time but can't really help me out when I need it,Entailment,The relationship between the premise and the hypothesis is an entailed relationship,It is often unfair when one sibling is given more resources than another and in this case it seems particularly unjust because the sister who is being given more resources is an adult,"The hypothesis is that the family buys the sister things because they want to help her out, but the figurative language in the hypothesis suggests that the family actually feels terrible that they can't help her out",The hypothesis uses figurative language to describe the relationship between the premise and the individual,,,,,,,,,flute
Yesterday my co-worker nabbed the promotion that I was in line for.,Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Contradiction,"The hypothesis is an example of hyperbole, which is an exaggeration for emphasis",The premise is saying that the co-worker got the promotion that the speaker was in line for,"To feel good about something means to feel good about it, but in this context the co-worker got the promotion that they were in line for.","A promotion at work is usually seen as a matter of self accomplishment, so someone being happy about their co-worker getting it instead of themselves is not logical.",,,,,,,,,flute
Someone who would do something as small as break into another's home is seriously deranged.,Anyone who would go so far as to break into another's home is seriously deranged.,Contradiction,The relationship between the premise and the hypothesis is entailed,The hypothesis suggests that anyone who would go so far as to break into another's home is seriously deranged,The hypothesis is a figurative language statement that means that the person is seriously deranged,"To go so far as to do something means to do something extreme, but breaking into someone's home is not an extreme act",,,,,,,,,flute
I felt very bad when my boss did not approve of my work.,I was really encouraged when my boss said my work was not up to the company's standards,Contradiction,Being told that your work is not up to the company's standards would usually be discouraging because it means you are not meeting the expectations and are not doing a good job,The hypothesis contradicts the premise because the boss saying the work is not up to the company's standards would not encourage the employee,Boss's comments about their work are often interpreted as being unprofessional and not encouraging.,"The hypothesis is saying that the speaker was discouraged when their boss disapproved of their work, but then they were encouraged when their boss said their work was not up to the company's standards",,,,,,,,,flute
The book glowed orange .,The book glowed like a lit coal .,Entailment,The hypothesis is that the book glows orange,The figurative language in the hypothesis suggests that the book was glowing like a lit coal,"A lit coal is a fiery, intense orange, which implies that the book was glowing brightly.",The hypothesis is that the book glowed orange,,,,,,,,,flute
I found out my storage unit burned down and I had lost several irreplaceable items,Overjoyed to find out my storage unit burned down and I had lost several valuable items,Contradiction,The figurative language in the hypothesis is filled with implications and implications are very clear,Losing valuable items in a fire would be really upsetting and not something to feel overjoyed about.,The figurative language in the hypothesis suggests that the author is overjoyed to find out that their storage unit burned down and they lost several valuable items,The hypothesis implies that the protagonist is overjoyed to find out their storage unit burned down and lost several valuable items,,,,,,,,,flute
I get so ticked off when I see people leave their grocery carts in the middle of the parking lot.,I get really mad when I see people leaving their grocery carts in the middle of the parking lot,Entailment,It is very inconsiderate to leave a grocery cart in the middle of the parking lot because it takes up space and someone else might need to park there,The hypothesis is that people leave their grocery carts in the middle of the parking lot because they are impatient,The relationship between the premise and the hypothesis is entailed,The figurative language in the hypothesis suggests that the person gets really mad when they see someone leave their grocery cart in the middle of the parking lot,,,,,,,,,flute
