headline,writer_intent,effect_on_reader,reader_action,spread,pred_label,gold_label,date,source,type
7 Ways Big Industries Can Become More Environmentally Aware,['unknown intent'],['feel curious'],['learn more'],1.5,real,misinfo,2020-12-26,consciouslifenews,climate
Fauci: 'We have entered the Pandemic Era' because of Climate Change,"['fauci says pandemic happened because of climate change', 'climate crisis is causing virus pandemics']","['feel guilty', 'feel skeptical', 'feel worried']","['adopt sustainable lifestyle', 'want to find out more']",2.5,disagreement,misinfo,2020-12-08,climatedepot,climate
"New film, designed as love letter to climate change's child deity Greta Thunberg, actually portrays terrified, badly misled girl","['climate activists are misleading people', 'climate crisis is overblown', ""the movie isn't good at all"", 'the movie presents a bad presentation of the celebrity']","['feel furious', 'feel resentment']","['read more aboout it', 'boycott that film']",2.5,real,misinfo,2020-11-18,sottnet,climate
"Covid, Climate Change, and Government Coercion: 'THE POLITICS OF FEAR THREATEN OUR LIBERTIES'","['government is using issues to curb civil liberties', 'governments are using covid-19 and climate change as an excuse to control citizens']","['feel angry', 'feel scared', 'feel sad']","['protest government control', 'be more aware about issues']",1.5,disagreement,misinfo,2020-11-04,climatedepot,climate
EPA chief: 'Trump was right to leave Paris Climate Accords. We have done more to reduce our GHG emissions over the past four years than our international competitors',['other countries are not doing enough for climate change'],['feel angry'],['protest the government'],1.5,disagreement,misinfo,2020-11-09,climatedepot,climate
Prof. Roger Pielke Jr.: Outlier extreme climate scenario RCP8.5 'continues its preeminent role in climate research',"['current climate change predictions are based on extreme and unrealistic scenario', 'a certain scientific scenario is being given more weight vs others']",['feel like they need more information to process this'],['read more'],2.0,disagreement,misinfo,2020-12-20,climatedepot,climate
Climate lockdowns coming soon: Dem Sen Merkley urges Biden 'to declare a national climate emergency'  'Using every tool available to him'  'Treat this crisis like the emergency it is',"['the lockdowns are necessary to stop climate change', ""politicians aren't taking the climate crisis seriously enough"", 'people being stuck at home due to a lockdown reduces co2 emissions']",['feel worried'],['support environmental protection policies'],2.5,real,misinfo,2020-12-21,climatedepot,climate
Rupert Darwall: China's green NGO climate propaganda enablers  'Obsessive focus on climatedesensitizes national security professionals to geopolitical realities & subordinates them to the illusion of planetary salvation',"['environmentalists are alarmists', 'too much focus on environmental protection weakens national security']",['feel angry'],['ignore environmentalists'],1.5,misinfo,misinfo,2020-12-23,climatedepot,climate
Fearmongering CNN Talks Up Biden Fighting off 'Climate Crisis',"['cnn is a news network out to scare people with false claims about climate change', 'cnn is biased in favor of the president', 'cnn has a pro environment bias']","['feel supportive', 'feel angry', 'feel annoyed']","['vote against joe biden', 'encourage people to learn more about climate change', 'avoid trusting news networks']",2.0,disagreement,misinfo,2020-12-06,newsbusters,climate
Andrew Cuomo's office a 'toxic work environment' where workers 'are deathly afraid of' the New York governor,"['governor of ny is abusive and unpleasant', ""andrew cuomo's office environment toxic""]","['feel angry', 'feel disgusted']","['vote against andre cuomo', 'want to find out more']",3.0,real,misinfo,2020-12-06,thesun,climate
Congress' Christmas Tree COVID Bill Loaded with Climate Ornaments,"['congress hid climate change policies into the bill', 'governments are passing laws regarding covid-19 and climate change at the same time']",['feel upset'],['find out more information'],3.0,real,misinfo,2020-12-26,climatedepot,climate
Not Crazy at All: CBS Pretty Sure Too Many 'Thank You' Emails Contribute to... Wait for It... 'Global Warming'  Watch,"['sending emails has an effect on climate change.', 'sending emails contributes to climate change', 'cbs is broadcasting false information']","['feel surprised', 'feel confused', 'feel worried']","['not trust cbs broadcasts', 'stop sending emails']",1.0,misinfo,misinfo,2020-12-27,redstate,climate
Honduras: Indigenous environmental activist Felix Vasquez killed,"[""becoming an environmental activist puts a dangerous target on a person's back"", 'environmental activist felix vasquez was killed', 'other groups feel threatened by climate activists']","['feel fearful about speaking up', 'feel scared', 'feel sad']","['want to find out more', 'support environmental activists', 'want to protest', 'avoid publicly protesting climate change']",1.0,real,misinfo,2020-12-28,aljazeera,climate
Could the shipping industry derail plans to address the global climate emergency?,"['the shipping industry could derail climate change plans', ""shipping industries don't want climate action to happen as it will hurt their business""]","['feel angry', 'feel sad']","['avoid buying international goods', 'stop buying products shipped long distances']",1.5,real,misinfo,2020-11-18,theindependent,climate
"Just 4bn of new money for Boris Johnson's climate emergency plan, Cabinet minister admits","['government officials are pledging more money to fight climate change', ""boris johnson's climate emergency plan does not cost much to implement""]",['feel unsure'],['learn more'],1.5,disagreement,misinfo,2020-11-18,theindependent,climate
Brexit LIVE: Boris warned of FAILURE to strike trade deals if 'preoccupied' on climate,"[""trade deals won't go through if politicians are too focused on environmental policies"", ""the government doesn't think climate change is a big deal""]",['feel upset'],['vote for labour candidates'],2.5,real,misinfo,2020-11-18,thedailyexpress,climate
Report: India Is the Only G20 Nation Honoring Its Paris Climate Accord Commitments,"[""most nations aren't following climate change goals they set"", 'india is the only country honoring its climate change agreement']","['feel disappointed', 'feel angry', 'feel sad']","[""find out what countries aren't honoring the agreement"", 'push for stronger government intervention']",2.5,disagreement,misinfo,2020-11-19,breitbart,climate
Amanpour Cues Guest to Blame Rupert Murdoch for 'Monstrous' Climate 'Denial',"['political figures are in denial about climate crisis', 'the media is deeply biased.']",['feel like they need more information to process this'],['read more'],1.5,disagreement,misinfo,2020-11-22,newsbusters,climate
Biden names John Kerry to be 'climate envoy' for National Security Council. Environmental groups cheer.,"['kerry is appreciated by pro environment groups', 'biden cares about protecting the environment and is appointing qualified people in charge of policies']","['feel happy', 'feel relieved']","[""support biden's campaign""]",2.5,real,misinfo,2020-11-23,theblaze,climate
Sidelined': Young climate activists 'concerned' that 'climate change is being neglected during COVID-19',"['some of the younger environmentalists are still trying to get their point across', 'people are so focused on the pandemic, climate change is being ignored']","['feel appreciation for the youngsters', 'feel angry', 'feel sad']","['support environmental protection policies', 'read what they have to say']",2.5,real,misinfo,2020-11-28,climatedepot,climate
Claim: Climate skeptics 'have lost the argument'  Media has 'gaslighted the world into believing that there was never an argument in the first place',"['modern media is unreliable and provides false information or biased viewpoints', 'climate skeptics have lost credibility']","['feel angry', 'feel victorious', 'feel skeptical']",['avoid trusting media'],1.5,real,misinfo,2020-12-16,climatedepot,climate
Here are 10 climate executive actions Biden says he will take on day one,"['biden is going to take a lot of action against climate change.', 'biden is going to follow up on some of his campaign rhetoric with reagrds to the climate.']",['feel inspired'],['know what the ten actions are'],1.5,real,misinfo,2020-11-11,cnn,climate
Rusting oil tanker could create one of the worst environmental disasters in history,['there is a rusting tanker that could cause bad damage to the environment'],['feel worried'],['move on to the next thing'],2.5,real,misinfo,2020-12-21,metrouk,climate
Councils 'left without resources needed' to live up to climate emergency declarations,['funding shortages are hampering covid containment efforts in parts of the world.'],"['feel concerned', 'feel worried']",['learn how to help'],4.0,real,misinfo,2020-12-04,theindependent,climate
Report: Joe Biden Exploring Ways to Tie Climate Change Legislation to Coronavirus Relief,"['the administration wants to do something about climate change', 'biden is considering delaying much needed economic relief by tying it controversial climate initiatives.']","['feel hopeful', 'feel conflicted']",['wait for more information'],3.5,disagreement,misinfo,2020-12-04,breitbart,climate
Environmental groups renew legal attacks against pipeline,"['environmental groups start attacks again about pipeline', 'activists continue to target the keystone pipeline.', 'environmental groups are fighting against the pipeline', 'the pipeline might be stopped.', 'the courts might interfere with the pipeline.']","['feel supportive', 'feel skeptical', 'feel concern about gasoline prices']",['find out if pipelines are safer the rail transport'],3.5,real,misinfo,2020-12-23,washingtontimes,climate
Dutch farmers stage another tractor protest over government's climate change policy,"['farmers in the netherlands have become a organized protest group.', ""climate change policies aren't always beneficial."", 'climate change policies can hurt farmers.']","['feel sympathetic', 'feel annoyed']","['contact their elected officials about climate policy', 'support the farmers']",3.5,real,misinfo,2020-11-17,sottnet,climate
"Climate summit  live: UK submits pledge to slash emissions by 2030, ahead of key conference on environment","['the united kingdom wants to work towards cutting emissions', 'the uk government is taking steps to further its efforts on climate change.']",['feel encouraged'],['learn more'],2.0,real,misinfo,2020-12-12,theindependent,climate
Environmental disasters across globe in November 2020,"['any disaster can be attributed to climate change.', 'there have been increase in natural disasters']",['feel worried'],['find out more information'],3.0,real,misinfo,2020-12-15,sottnet,climate
"Nomination of Michael Regan Shows Biden's Commitment To Rebuild EPA, Protect Public Health and Advance Environmental Justice","['past administration failed to protect', 'a shuffle of politicians will make a difference in combatting climate change.', 'environment worth protecting', 'current administration wants to try', 'past administration dismantled apparatus']",['feel unimpressed'],['read more'],2.0,real,misinfo,2020-12-17,environmentalworkinggroupewg,climate
"NBC News: ""Environmentalists say Biden's win was 'crucial' for climate progress. Now what?""","['his opponent was less pro environment than he want', 'us governement will take initiatives to save environment.', 'climate change is a serious issue that needs addressing']",['feel hopeful'],['encourage energy efficient products'],4.0,real,misinfo,2020-11-10,climatedepot,climate
New Zealand's Jacinda Arden declares 'climate emergency' after conquering COVID-19,"['now that the pandemic is under control the government feels free to turn its attention to other matters', 'climate change must be addressed after the pandemic']",['feel tired'],['fight climate change'],2.5,disagreement,misinfo,2020-12-02,rawstory,climate
"UK should 'lead world' and cut emissions by 'at least 68%', say climate advisers","['a percentage emission cut of that amount would be a drastic improvement', 'developed countries should be doing significantly more to reduce climate change impact.', 'the country is not currently leading the world']",['feel pressured'],['learn more about cost impact on uk citizens'],3.0,disagreement,misinfo,2020-12-03,theindependent,climate
Joe Biden's proposed EPA Chief Michael Regan claims 'climate change is the most significant challenge humanity faces',"['global warming is a major crisis.', 'humanity faces other, less important challenges', 'the politician sees global warming as a threat.']",['feel glad that the politician recognizes global warming'],['find out what his plans are'],4.0,real,misinfo,2020-12-22,climatedepot,climate
"Watch: Morano on Asia Pacific Today TV show: The COVID Climate Connection  'If you love the COVID lockdowns, you're going to love the coming climate lockdowns'","[""lockdowns due to covid won't be the only lockdowns since climate lockdowns could happen"", 'lockdowns have helped the climate change movement', 'some people will be outraged by the lockdown continuing']",['feel shocked and scared'],['watch the show'],4.5,real,misinfo,2020-12-04,climatedepot,climate
The Covid relief bill lays the groundwork for a 'Climate Security Advisory Council',['the government is implementing climate change policies'],['feel hopeful'],['read more'],4.0,real,misinfo,2020-12-23,climatedepot,climate
"Brexit: UK could fail to strike trade deals if 'preoccupied' with environmental standards, controversial adviser suggests","['the government has an ultimatum', 'the desires of the environmental and the business communities can be difficult to reconcile', 'this advisor idoes not have broad public backing for their claims']",['feel like they need more information to process this'],['move on to the next thing'],2.5,real,misinfo,2020-11-18,theindependent,climate
"Claim: 'Climate change' threatens the grave of Karl Marx  Cemetery facing 'warmer tempsrampant fungi, freak storms & shifting graves'","['people care about protecting the grave of karl marx', 'the author is implying thatclimate change would bring threats to the environment', 'the grave is important enough to galvanize public reaction in support of fighting climate change']",['feel worried'],['donate money to protect that grave'],4.0,real,misinfo,2020-12-10,climatedepot,climate
UK Committee on Climate Change's Net Zero advice to government is 'a political suicide note',"[""there isn't enough support from the public for these suggestions to work""]",['feel like they need more information to process this'],['learn more'],3.0,disagreement,misinfo,2020-12-10,climatedepot,climate
"New Evidence That the Ancient Climate Was Warmer than Today's  'Roman Warming was the warmest in the last 2,000 years'","[""climate change isn't real""]",['feel upset'],['not change their habits'],3.5,real,misinfo,2020-12-31,climatedepot,climate
Climate crisis  live: Email carbon footprint 'not a worry' while activists protest Biden hiring oil figure,"['the preseident hiring a figure from the oil industry is bad for the environment', 'climate change supporters are anti oil industry', ""biden isn't taking global warming seriously""]",['feel upset'],"[""protest biden's pick""]",2.5,disagreement,misinfo,2020-11-20,theindependent,climate
"With New Laws To Protect Public Health, California Continues Environmental Leadership","['california cares about climate change', 'this state is doing more on fighting climate change than the other ones are']","['feel inspired', 'feel impressed']","['move to california', 'see other states follow suit']",2.5,real,misinfo,2020-11-20,environmentalworkinggroupewg,climate
Climate Change Alarmist Harrison Ford Seen Landing Private Jet to Pick Up Son Ahead of Thanksgiving,"['flying a person plane is worse for the environment than flying a commercial one', 'the celebrity was being a hypocrite', 'the actor is a hypocrite']","['feel angry', 'feel annoyed']","['not support the actor', 'see celebrities model the values they espouse']",3.0,disagreement,misinfo,2020-11-22,breitbart,climate
Venus used to be like Earth  then climate change happened,"['venus was the victim of runaway climate change', 'we can learn from venus in regards to climate change']",['feel interest'],['learn more about venus'],3.5,real,misinfo,2020-12-15,alternet,climate
Here's another reason why fixing climate change is getting harder,['high costs of implementation of climate policies and economic activities around the world worsen climate change.'],"['feel concerned', 'feel worried']","['find out how to contribute to the fight against climate change', 'protect the environment']",4.0,real,misinfo,2020-11-05,aljazeera,climate
Meet 'climate restoration'  What if net-zero isn't enough? Inside the push to 'restore' the climate  Seek pre-industrial CO2 levels,['we have to do more for the climate'],['feel guilty'],['want to do more'],2.5,real,misinfo,2020-12-16,climatedepot,climate
You're Paying for This! PBS's Amanpour SLIMES U.S. as 'AWOL' on Climate Deal,"['the us government does not care about the climate deal', 'the country is not doing enough to prevent climate change', 'the us does not care about climate change policies']",['feel shocked'],['read more'],3.5,disagreement,misinfo,2020-12-16,newsbusters,climate
Trump Fires Energy Commission Head After Climate Change Dispute,"['the firing was punishment for not agreeing with the president', 'trump fired energy commission head after fight on climate change', 'the two took opposing sides on whether climate change is a serious issue']",['feel shocked'],['vote against trump'],3.0,real,misinfo,2020-11-06,newsmax,climate
American Geophysical Union Fail: Climate Change Is Not Harming Mental Health,"['some believe that climate change is a mental health concern', ""climate change is not affecting our society's mental health""]",['feel interested'],['fact check this'],4.0,disagreement,misinfo,2020-12-18,climatedepot,climate
World leaders use their first messages to Biden to draw attention to climate crisis,"[""most of the world's leaders think the president's country should do more to fight climate change"", 'leaders wants biden to address climate change']",['feel curious'],['learn more'],4.0,real,misinfo,2020-11-08,theindependent,climate
Trump Screwed The US On Climate Change. Can Biden Save It?,['only one political party can be trusted on environmental issues'],['feel optimistic'],"[""see if they can support the administration's efforts""]",3.5,real,misinfo,2020-11-08,buzzfeed,climate
"According to Prince Harry, pandemic is due to 'climate change'","['prince harry thinks the pandemic is due to climate change', 'climate change can have unexpected consequences.', 'climate change is causing pandemics']",['feel worried'],['use energy efficient devices'],4.0,disagreement,misinfo,2020-12-06,sottnet,climate
"Cuomo's office a 'toxic' work environment, people 'deathly afraid of him,' former aide says","['politicians misuse power.', 'governor cuomo is an awful person and people are afraid of him']","['feel sympathy for people working there', 'feel shocked']","['not vote for cuomo', 'read more about this']",4.0,real,misinfo,2020-12-06,foxnews,climate
Jane Fonda on how to talk about climate change with climate deniers,['it is hard to convince climate change deniers.'],['feel curious'],['learn more about climate change points'],2.5,real,misinfo,2020-12-07,greenpeace,climate
New Rule Makes It Harder for EPA To Fight Air Pollution and Climate Change,['government is making is harder for epa to fight climate change.'],['feel bad'],['use high efficiency cars'],4.0,real,misinfo,2020-12-09,environmentalworkinggroupewg,climate
"The world's most vulnerable face conflict, Covid-19 and climate change in 2021, report says","['there are a lot of problems in 2021', 'covid is spreading.', 'impact of climate change is getting bigger.']",['feel worried'],['be energy efficient'],2.5,real,misinfo,2020-12-16,cnn,climate
"Biden environmental team heavy on experience, diversity","['the current government is well equipped to handle the climate crisis', 'environmental policies will be implemented']",['feel hopeful'],['support the administration'],3.0,real,misinfo,2020-12-20,theindependent,climate
Surprise! Climate change is the new Federal Reserve 'mandate',"['the government will control what people can do through their climate change policies', 'climate change is a mandate of the federal reserve']",['feel angry'],['read more'],3.0,disagreement,misinfo,2020-12-22,sottnet,climate
British Fashion Awards 2020: What makes the five winning brands in the environment sector so eco-friendly?,"['sustainability measures is a priority for consumers', 'certain brands are more environmentally friendly than others']",['feel unsure'],"['want to get more information', 'want to be more environmentally friendly']",2.5,real,misinfo,2020-12-06,theindependent,climate
Study: UN IPCC's Worst-case emissions projections are already off-track  Published in Environmental Research Letters,['emissions are larger than they have predicted'],['feel scared'],['help protect the environment'],4.0,real,misinfo,2020-12-07,climatedepot,climate
"Boris Johnson's 10-point climate plan is a promising start, but key details remain unclear","[""the political figure doesn't to enough to effect climate change"", ""boris johnson's plan needs to be modified"", 'boris johnsons plan is a good start']",['feel hopeful'],['want to find out more'],3.0,real,misinfo,2020-11-17,theindependent,climate
"It's beyond catastrophic': John Kerry Admits UN Paris Climate PACT Does NOTHING for 'Climate Change'  'Even if we did everything that was promised in Paris, the earth's temps still going to rise'","[""the agreement doesn't work""]",['feel upset'],['not be part of the agreement'],4.0,real,misinfo,2020-12-11,climatedepot,climate
Environmental Activist Erin Brockovich Slams Joe Biden's Pick of Former DuPont Official for EPA Transition Team,"['nothing will get done concerning climate change', 'journalist knows more and better than the potus', ""the president doesn't care about the environment""]",['feel angry'],['protest the appointment'],2.5,real,misinfo,2020-11-20,breitbart,climate
"CBS News: 'According to a leading climate scientist, four more years of a Trump Administration is 'game over' for the climate'","[""the president's policies will be detrimental to the environment"", ""the administration doesn't believe in climate change"", 'the right-of-center party has completely ruled out environmental action']","['feel scared', 'feel worried']","['vote for the other candidate', 'vote against reelection']",3.0,real,misinfo,2020-11-01,climatedepot,climate
"Climate Activists ""Deeply Skeptical"" of John Kerry, Biden's Climate Policy Lead","[""the political figures don't have a good track record for climate change policies"", 'the government may not take the threat of climate change seriously']",['feel upset'],['learn more'],4.0,real,misinfo,2020-11-23,truthout,climate
Useful idiots': Western environmentalists are being controlled and used by the communist regime in China,['climate change is a communist conspiracy'],"['feel angry', 'feel confused']","['protest the country', 'learn more']",2.5,misinfo,misinfo,2020-12-14,climatedepot,climate
Craig Huey of The Huey Report Discusses Why He Left California and the Anti-Business Climate in the State,"['it is difficult to be successful in business in the state', 'the government is pushing their agenda to the detriment of businesses', 'the podcaster left his state because of poor working conditions.']",['feel unsure'],['learn more'],1.5,real,misinfo,2020-11-25,thetennesseestar,climate
Biden vows to rejoin Paris climate deal if elected president,"['the candidate will emphasize climate change', 'the politician promises to join with other countries to tackle the climate crisis.', 'the politician wants to partner with other countries to reduce carbon emissions.']","['feel hopeful', 'feel glad to be rejoining']","['push the politician to go further', 'vote for the candidate']",4.0,real,misinfo,2020-11-05,aljazeera,climate
Trump features Climate Hustle 2 & Morano's quote on Trump's 'energy dominance',"['climate hustle 2 is being talked about by trump', 'trump has watched climate hustle 2 and is talking about energy dominance due to climate change', ""the president doesn't believe in climate change""]",['feel disgusted'],['protest the government'],2.5,disagreement,misinfo,2020-11-27,climatedepot,climate
"One Day After The Election, The US Has Officially Pulled Out Of the Paris Climate Agreement",['the us pulled out of the climate agreement a day after the election'],"['feel disappointed', 'feel encouraged', 'feel concerned', 'feel disgusted']","['voice their opinion', 'vote to reelect', 'vote for the opposition next time', 'find out what they can do help fight climate change']",3.0,real,misinfo,2020-11-04,buzzfeed,climate
Morano on TV: 'Climate change' has been demoted: 'Climate is now subservient to the master of COVID',['society cares more about covid than climate change'],"['feel upset', 'feel sad']","['find out if climate change efforts are being halted to deal wit covid', 'want to do more']",3.0,real,misinfo,2020-11-27,climatedepot,climate
Tories slammed for lack of progress on environment promises made nine years ago,"[""governments aren't meeting environmental pledges"", 'that political party lacks integrity', 'people care about lack of action on the environment', ""conservatives don't care about environment""]","['feel irritated', 'feel angry', 'feel mad']","['vote them out', 'have faster action on environmental changes', 'vote against that party']",3.0,real,misinfo,2020-11-11,thedailymirror,climate
Imperial America: Biden Pushes Flint-Failed Obama EPA Chief Gina McCarthy As 'Climate Czar',"['obama epa chief gina mccarthy is failed', ""governments don't always appoint the best people to roles"", 'we need better people in charge of climate change policies']","['feel supportive', 'feel disappointed', 'feel frustrated']",['have someone with a better track record in the role'],3.0,disagreement,misinfo,2020-12-17,climatedepot,climate
"China President Xi's Climate Con Trick: Continue to increase CO2 emissions through at least 2030, but 'aim' to stop doing so before then","['china is not taking climate policy seriously enough', 'some political figures do not care about climate change.', 'china is not trustworthy.', 'some countries can use climate change policies for their own benefit.', 'emissions will not be decreased as quickly as they should be']","['feel upset', 'feel glad', 'feel angry', 'feel annoyed']","['try to get china to change its policy', 'boycott china', 'be able to keep living just as they are', 'have countries decrease emissions sooner']",4.5,real,misinfo,2020-12-18,climatedepot,climate
"Donald Trump's Press Conference Echoed Father's 'Fake Work Environment' Amid Dementia Struggle, Pundit Says","['the president has mental health issues', ""trump had a press conference talking about his father's dementia and other issues""]",['feel concerned'],"[""worry about trump's health""]",3.0,real,misinfo,2020-11-17,inquisitr,climate
"World Is ""Speeding in the Wrong Direction"" on Climate, Says Greta Thunberg","['climate change is becoming an increasing threat', 'society needs to care more about environment', 'a celebrity is not satisfied by the current activities on climate change']","['feel anxious', 'feel guilty', 'feel skeptical', 'feel worried']","['support that celebrity', 'know what they can do for the environment', 'want to find out more']",2.5,real,misinfo,2020-12-14,truthout,climate
NPR Training: 'What journalists need to know when covering climate change'  Urges journalists 'to help the public understand what's at stake'  Calls National Climate Assessment 'the gold standard',"['current media need to do better reporting climate change', 'climate change is serious']",['feel delighted'],['have high expectations for journalists'],3.5,real,misinfo,2020-12-16,climatedepot,climate
Biden vows to rejoin Paris climate pact on first day of presidency,"['liberals value importance of environment', 'long-term government policy is likely to move in short-term cycles with little actual progress', 'the new president believe in climate change', 'the international agency is important to fight against climate change']",['feel excited'],['support biden'],3.5,real,misinfo,2020-11-05,climatedepot,climate
I regret having my kids'  STUDY: Climate change fears keep some Americans from having kids  Feel bad about already having brought children into the world,"['society regretting kids', 'climate change can bring psychological harm to some people']","['feel frustrated', 'feel disbelief']","['find out more', 'cancel plans to have kids']",3.0,disagreement,misinfo,2020-12-17,climatedepot,climate
China's 'Greta Thunberg' fights lonely climate crusade: 'Nature was injected into my blood and bone',"['individual people can inspire others.', 'some places care more about climate change than others.']","['feel hopeful', 'feel optimistic', 'feel disgusted']","['support this person', 'protect the environment', ""find out what she's talking about""]",2.5,disagreement,misinfo,2020-12-07,theindependent,climate
Federal regulators are rewriting environmental rules so a massive pipeline can be built,"[""the government doesn't care about the environment.""]","['feel betrayed', 'feel angry']",['protest the new pipeline'],4.5,real,misinfo,2020-12-09,rawstory,climate
"Virginia Opts Not to Join Climate Initiative, for Now","['some state leaders are still not outright embracing efforts to stop climate change, but this attitude might not last for much longer.', 'state governments are only temporarily hesistant on climate-related policies', 'even historically staunch opponents of addressing climate change may be changing their stance in the near future.']",['feel discouraged'],['see more states actually taking steps to address climate change concerns'],2.0,real,misinfo,2020-12-26,thetennesseestar,climate
Why is Joe Biden considering this man to help fight the climate crisis?,"['biden may not be picking the right people to tackle climate change.', ""joe biden's decisions are questionable."", ""the climate official isn't good""]",['feel curious'],['know who this sentence is referring to'],2.0,real,misinfo,2020-11-23,theguardian,climate
Border wall has inflicted 'incalculable' damage on surrounding land: environmental activist,"['the border wall is damaging the environment', 'the trump administration is causing unwanted harm by building the border wall.']","['feel upset', 'feel sad']","['stop building pointless border wall', 'see construction of the border wall halted']",2.5,real,misinfo,2020-11-29,alternet,climate
Delingpole: David Attenborough 'Leapt for Joy at Biden's Climate Plans',"[""the president's climate policies are good and well supported."", ""biden's climate plans made david attenborough very happy"", 'the broadcaster is happy about and supports the climate policies.']",['feel happy'],['support the climate policies'],3.0,real,misinfo,2020-12-20,breitbart,climate
Senator David Perdue lives in elite beachfront community that is reinforcing for sea-level rise  while voting against climate crisis action,"['senator david perdue is rich and lives in a beachfront community and opposes climate change action', 'senator david perdue is a hypocrite']","['feel upset', 'feel anger']","['fact check this', 'support a different politician']",3.5,real,misinfo,2020-11-12,theindependent,climate
Nolte: Softening Us Up for 'Great Reset' Climate Lockdowns,"['nolte wants us to have lockdowns for climate change', 'there may be climate change lockdowns in the future']",['feel lied to'],['fact-check this article'],2.0,misinfo,misinfo,2020-11-16,breitbart,climate
"No country doing enough to meet goals of Paris Agreement, says climate report","[""governments aren't working hard enough at fighting climate change."", ""countries aren't doing enough to stop climate change according to the paris agreement"", 'people are not doing enough to fight climate change.']","['feel disappointed', 'feel sad']","['read more', 'engage in environmentally friendly behaviors']",2.5,real,misinfo,2020-12-07,theindependent,climate
"Democracy Dies on Climate: PBS, NPR Stick to Chatting Up Obama Alums, No Time for GOP","[""the government doesn't care about the climate crisis and democrats fizzle out on it"", ""the government doesn't care about the climate crisis"", 'governments arent doing anything for climate change.']","['feel shocked', 'feel afraid']","['read more', 'write their senators']",2.5,real,misinfo,2020-11-16,newsbusters,climate
Amazon CEO Jeff Bezos has confirmed the first of his $10 billion pledge to help stop climate change,"['jeff bezos is allocating 10 billion dollars to climate change', 'amazon ceo jeff bezos is donating billions to stop climate change']","['feel grateful', 'feel happy', 'feel proud', 'feel skeptical']",['donate to help stop climate change'],4.0,real,misinfo,2020-11-17,iheartintelligence,climate
Mothers battling coronavirus and the climate crisis can't wait another year for action,"['mothers are fed up with the government not taking action on covid and climate change', 'climate policy and the virus response needs to be addressed quickly.']",['feel like something needs to be done to address the issue'],['share the article'],3.0,real,misinfo,2020-11-17,theindependent,climate
Climate Of Violence: Prominent Climate Skeptic Morano Threatened With 'Baseball Bats'  'Smash Your Face'  'Bye Bye Family',"['climate activist attacked someone', 'prominent climate skeptic morano is being threatened by people for his views']",['feel shocked'],['read more'],1.5,misinfo,misinfo,2020-12-26,climatedepot,climate
Climate crisis is the primary cause of 98% of dead Florida coral reef: NOAA research,"['98% of dead florida coral reef is caused by climate change', 'coral reefs are dying because of climate change.']","['feel upset', 'feel very sad']","['combat climate change', 'participate in environmentally friendly behaviors']",3.0,disagreement,misinfo,2020-11-18,alternet,climate
"EU Globalists Plot To Hasten Green Agenda, Climate Issues With Biden",['eu globalists want to discuss climate issues with biden'],['feel like they need more information to process this'],['learn more'],2.0,real,misinfo,2020-12-09,climatedepot,climate
"As false as anything Twitter or Facebook have censored'  Michael Shellenberger rebuts Biden's claim that climate change will 'threaten literally, the existence of our planet'","[""michael shellenberger rebuts biden's claim that climate change will 'threatenÃ¢\x80Â¦ literally, the existence of our planet'"", 'twitter and facebook are spouting misinformation about climate change', 'biden thinks climate change will destroy our planet']","['feel shocked', 'feel scared']","['do something about climate change', 'learn more']",4.0,disagreement,misinfo,2020-12-29,climatedepot,climate
John Kerry's Think Tank Calls for War With Russia Over Climate Change,"[""russia doesn't care about climate change"", 'john kerry wants to fight russia on climate change']",['feel unsure'],['learn more'],1.5,disagreement,misinfo,2020-12-09,mintpressnews,climate
John Stossel  The Climate Hustle,"['the author believes climate change is a scam', 'john stossel is having a show on the climate crisis']",['feel unsure'],['move on to the next thing'],1.5,disagreement,misinfo,2020-11-19,citizenfreepress,climate
"2020 was meant to be the year of climate action. Instead, it crowned a wasted decade","['nothing has been done about climate change', 'in 2020 not much was done to combat climate change']","['feel tired', 'feel sad']","['try to remain hopeful and read something else', 'climate change must be addressed']",4.5,real,misinfo,2020-12-30,cnn,climate
Best-selling skeptical book 'The Politically Incorrect Guide to Climate Change' ranks 14th in Book Authority's '100 Best Climate Change Books of All Time',['a book is out about climate change and skepticism that is bestselling'],['feel interested'],['read the book'],3.0,real,misinfo,2020-11-20,climatedepot,climate
How climate change is threatening Greenland,['climate change is a problem for greenland'],['feel concerned'],['learn more'],4.5,real,misinfo,2020-12-02,cnn,climate
Trump urged to send Paris climate plan to senate to block Biden,"['the government is trying to obstruct climate policy plans', 'trump wants to block biden and reject the paris climate plan']","['feel mad', 'feel upset']","['vote against trump', 'support the president']",2.0,real,misinfo,2020-12-13,washingtontimes,climate
"Where Is The Criticism Of China From Environmentalists? They are 'fully compromised, if not bought and paid for' by China","['china does not care about the environment', 'china is corrupt']",['feel unsure'],['move on to the next thing'],2.0,real,misinfo,2020-12-15,climatedepot,climate
Environmentalists Ask Court to Block Trump's Arctic Oil Auction,"['trump wants to drill for oil in the arctic', 'court blocking presidential plan']","['feel interest', 'feel sad']","['not vote for trump again', 'learn more']",2.5,disagreement,misinfo,2020-12-15,newsmax,climate
JunkScience.com's collection of climate activists admitting climate is not about  the climate,"['climate activists do not care about climate, but other things', 'climate activists are not really fighting about climate for the climate']","['feel upset', 'feel disgusted']",['want to find out more'],3.0,misinfo,misinfo,2020-11-29,climatedepot,climate
