headline,writer_intent
"UK should 'lead world' and cut emissions by 'at least 68%', say climate advisers","['a percentage emission cut of that amount would be a drastic improvement', 'developed countries should be doing significantly more to reduce climate change impact.', 'the country is not currently leading the world']"
Joe Biden's proposed EPA Chief Michael Regan claims 'climate change is the most significant challenge humanity faces',"['global warming is a major crisis.', 'humanity faces other, less important challenges', 'the politician sees global warming as a threat.']"
"Watch: Morano on Asia Pacific Today TV show: The COVID Climate Connection  'If you love the COVID lockdowns, you're going to love the coming climate lockdowns'","[""lockdowns due to covid won't be the only lockdowns since climate lockdowns could happen"", 'lockdowns have helped the climate change movement', 'some people will be outraged by the lockdown continuing']"
The Covid relief bill lays the groundwork for a 'Climate Security Advisory Council',['the government is implementing climate change policies']
"Brexit: UK could fail to strike trade deals if 'preoccupied' with environmental standards, controversial adviser suggests","['the government has an ultimatum', 'the desires of the environmental and the business communities can be difficult to reconcile', 'this advisor idoes not have broad public backing for their claims']"
"Claim: 'Climate change' threatens the grave of Karl Marx  Cemetery facing 'warmer tempsrampant fungi, freak storms & shifting graves'","['people care about protecting the grave of karl marx', 'the author is implying thatclimate change would bring threats to the environment', 'the grave is important enough to galvanize public reaction in support of fighting climate change']"
UK Committee on Climate Change's Net Zero advice to government is 'a political suicide note',"[""there isn't enough support from the public for these suggestions to work""]"
"New Evidence That the Ancient Climate Was Warmer than Today's  'Roman Warming was the warmest in the last 2,000 years'","[""climate change isn't real""]"
Climate crisis  live: Email carbon footprint 'not a worry' while activists protest Biden hiring oil figure,"['the preseident hiring a figure from the oil industry is bad for the environment', 'climate change supporters are anti oil industry', ""biden isn't taking global warming seriously""]"
"With New Laws To Protect Public Health, California Continues Environmental Leadership","['california cares about climate change', 'this state is doing more on fighting climate change than the other ones are']"
Climate Change Alarmist Harrison Ford Seen Landing Private Jet to Pick Up Son Ahead of Thanksgiving,"['flying a person plane is worse for the environment than flying a commercial one', 'the celebrity was being a hypocrite', 'the actor is a hypocrite']"
Venus used to be like Earth  then climate change happened,"['venus was the victim of runaway climate change', 'we can learn from venus in regards to climate change']"
Here's another reason why fixing climate change is getting harder,['high costs of implementation of climate policies and economic activities around the world worsen climate change.']
Meet 'climate restoration'  What if net-zero isn't enough? Inside the push to 'restore' the climate  Seek pre-industrial CO2 levels,['we have to do more for the climate']
You're Paying for This! PBS's Amanpour SLIMES U.S. as 'AWOL' on Climate Deal,"['the us government does not care about the climate deal', 'the country is not doing enough to prevent climate change', 'the us does not care about climate change policies']"
Trump Fires Energy Commission Head After Climate Change Dispute,"['the firing was punishment for not agreeing with the president', 'trump fired energy commission head after fight on climate change', 'the two took opposing sides on whether climate change is a serious issue']"
American Geophysical Union Fail: Climate Change Is Not Harming Mental Health,"['some believe that climate change is a mental health concern', ""climate change is not affecting our society's mental health""]"
World leaders use their first messages to Biden to draw attention to climate crisis,"[""most of the world's leaders think the president's country should do more to fight climate change"", 'leaders wants biden to address climate change']"
Trump Screwed The US On Climate Change. Can Biden Save It?,['only one political party can be trusted on environmental issues']
"According to Prince Harry, pandemic is due to 'climate change'","['prince harry thinks the pandemic is due to climate change', 'climate change can have unexpected consequences.', 'climate change is causing pandemics']"
"Cuomo's office a 'toxic' work environment, people 'deathly afraid of him,' former aide says","['politicians misuse power.', 'governor cuomo is an awful person and people are afraid of him']"
Jane Fonda on how to talk about climate change with climate deniers,['it is hard to convince climate change deniers.']
New Rule Makes It Harder for EPA To Fight Air Pollution and Climate Change,['government is making is harder for epa to fight climate change.']
"The world's most vulnerable face conflict, Covid-19 and climate change in 2021, report says","['there are a lot of problems in 2021', 'covid is spreading.', 'impact of climate change is getting bigger.']"
"Biden environmental team heavy on experience, diversity","['the current government is well equipped to handle the climate crisis', 'environmental policies will be implemented']"
Surprise! Climate change is the new Federal Reserve 'mandate',"['the government will control what people can do through their climate change policies', 'climate change is a mandate of the federal reserve']"
British Fashion Awards 2020: What makes the five winning brands in the environment sector so eco-friendly?,"['sustainability measures is a priority for consumers', 'certain brands are more environmentally friendly than others']"
Study: UN IPCC's Worst-case emissions projections are already off-track  Published in Environmental Research Letters,['emissions are larger than they have predicted']
"Boris Johnson's 10-point climate plan is a promising start, but key details remain unclear","[""the political figure doesn't to enough to effect climate change"", ""boris johnson's plan needs to be modified"", 'boris johnsons plan is a good start']"
"It's beyond catastrophic': John Kerry Admits UN Paris Climate PACT Does NOTHING for 'Climate Change'  'Even if we did everything that was promised in Paris, the earth's temps still going to rise'","[""the agreement doesn't work""]"
Environmental Activist Erin Brockovich Slams Joe Biden's Pick of Former DuPont Official for EPA Transition Team,"['nothing will get done concerning climate change', 'journalist knows more and better than the potus', ""the president doesn't care about the environment""]"
"CBS News: 'According to a leading climate scientist, four more years of a Trump Administration is 'game over' for the climate'","[""the president's policies will be detrimental to the environment"", ""the administration doesn't believe in climate change"", 'the right-of-center party has completely ruled out environmental action']"
"Climate Activists ""Deeply Skeptical"" of John Kerry, Biden's Climate Policy Lead","[""the political figures don't have a good track record for climate change policies"", 'the government may not take the threat of climate change seriously']"
Useful idiots': Western environmentalists are being controlled and used by the communist regime in China,['climate change is a communist conspiracy']
Craig Huey of The Huey Report Discusses Why He Left California and the Anti-Business Climate in the State,"['it is difficult to be successful in business in the state', 'the government is pushing their agenda to the detriment of businesses', 'the podcaster left his state because of poor working conditions.']"
Biden vows to rejoin Paris climate deal if elected president,"['the candidate will emphasize climate change', 'the politician promises to join with other countries to tackle the climate crisis.', 'the politician wants to partner with other countries to reduce carbon emissions.']"
Trump features Climate Hustle 2 & Morano's quote on Trump's 'energy dominance',"['climate hustle 2 is being talked about by trump', 'trump has watched climate hustle 2 and is talking about energy dominance due to climate change', ""the president doesn't believe in climate change""]"
"One Day After The Election, The US Has Officially Pulled Out Of the Paris Climate Agreement",['the us pulled out of the climate agreement a day after the election']
Morano on TV: 'Climate change' has been demoted: 'Climate is now subservient to the master of COVID',['society cares more about covid than climate change']
Tories slammed for lack of progress on environment promises made nine years ago,"[""governments aren't meeting environmental pledges"", 'that political party lacks integrity', 'people care about lack of action on the environment', ""conservatives don't care about environment""]"
Imperial America: Biden Pushes Flint-Failed Obama EPA Chief Gina McCarthy As 'Climate Czar',"['obama epa chief gina mccarthy is failed', ""governments don't always appoint the best people to roles"", 'we need better people in charge of climate change policies']"
"China President Xi's Climate Con Trick: Continue to increase CO2 emissions through at least 2030, but 'aim' to stop doing so before then","['china is not taking climate policy seriously enough', 'some political figures do not care about climate change.', 'china is not trustworthy.', 'some countries can use climate change policies for their own benefit.', 'emissions will not be decreased as quickly as they should be']"
"Donald Trump's Press Conference Echoed Father's 'Fake Work Environment' Amid Dementia Struggle, Pundit Says","['the president has mental health issues', ""trump had a press conference talking about his father's dementia and other issues""]"
"World Is ""Speeding in the Wrong Direction"" on Climate, Says Greta Thunberg","['climate change is becoming an increasing threat', 'society needs to care more about environment', 'a celebrity is not satisfied by the current activities on climate change']"
NPR Training: 'What journalists need to know when covering climate change'  Urges journalists 'to help the public understand what's at stake'  Calls National Climate Assessment 'the gold standard',"['current media need to do better reporting climate change', 'climate change is serious']"
Biden vows to rejoin Paris climate pact on first day of presidency,"['liberals value importance of environment', 'long-term government policy is likely to move in short-term cycles with little actual progress', 'the new president believe in climate change', 'the international agency is important to fight against climate change']"
I regret having my kids'  STUDY: Climate change fears keep some Americans from having kids  Feel bad about already having brought children into the world,"['society regretting kids', 'climate change can bring psychological harm to some people']"
China's 'Greta Thunberg' fights lonely climate crusade: 'Nature was injected into my blood and bone',"['individual people can inspire others.', 'some places care more about climate change than others.']"
Federal regulators are rewriting environmental rules so a massive pipeline can be built,"[""the government doesn't care about the environment.""]"
"Virginia Opts Not to Join Climate Initiative, for Now","['some state leaders are still not outright embracing efforts to stop climate change, but this attitude might not last for much longer.', 'state governments are only temporarily hesistant on climate-related policies', 'even historically staunch opponents of addressing climate change may be changing their stance in the near future.']"
Why is Joe Biden considering this man to help fight the climate crisis?,"['biden may not be picking the right people to tackle climate change.', ""joe biden's decisions are questionable."", ""the climate official isn't good""]"
Border wall has inflicted 'incalculable' damage on surrounding land: environmental activist,"['the border wall is damaging the environment', 'the trump administration is causing unwanted harm by building the border wall.']"
Delingpole: David Attenborough 'Leapt for Joy at Biden's Climate Plans',"[""the president's climate policies are good and well supported."", ""biden's climate plans made david attenborough very happy"", 'the broadcaster is happy about and supports the climate policies.']"
Senator David Perdue lives in elite beachfront community that is reinforcing for sea-level rise  while voting against climate crisis action,"['senator david perdue is rich and lives in a beachfront community and opposes climate change action', 'senator david perdue is a hypocrite']"
Nolte: Softening Us Up for 'Great Reset' Climate Lockdowns,"['nolte wants us to have lockdowns for climate change', 'there may be climate change lockdowns in the future']"
"No country doing enough to meet goals of Paris Agreement, says climate report","[""governments aren't working hard enough at fighting climate change."", ""countries aren't doing enough to stop climate change according to the paris agreement"", 'people are not doing enough to fight climate change.']"
"Democracy Dies on Climate: PBS, NPR Stick to Chatting Up Obama Alums, No Time for GOP","[""the government doesn't care about the climate crisis and democrats fizzle out on it"", ""the government doesn't care about the climate crisis"", 'governments arent doing anything for climate change.']"
Amazon CEO Jeff Bezos has confirmed the first of his $10 billion pledge to help stop climate change,"['jeff bezos is allocating 10 billion dollars to climate change', 'amazon ceo jeff bezos is donating billions to stop climate change']"
Mothers battling coronavirus and the climate crisis can't wait another year for action,"['mothers are fed up with the government not taking action on covid and climate change', 'climate policy and the virus response needs to be addressed quickly.']"
Climate Of Violence: Prominent Climate Skeptic Morano Threatened With 'Baseball Bats'  'Smash Your Face'  'Bye Bye Family',"['climate activist attacked someone', 'prominent climate skeptic morano is being threatened by people for his views']"
Climate crisis is the primary cause of 98% of dead Florida coral reef: NOAA research,"['98% of dead florida coral reef is caused by climate change', 'coral reefs are dying because of climate change.']"
"EU Globalists Plot To Hasten Green Agenda, Climate Issues With Biden",['eu globalists want to discuss climate issues with biden']
"As false as anything Twitter or Facebook have censored'  Michael Shellenberger rebuts Biden's claim that climate change will 'threaten literally, the existence of our planet'","[""michael shellenberger rebuts biden's claim that climate change will 'threatenÃ¢\x80Â¦ literally, the existence of our planet'"", 'twitter and facebook are spouting misinformation about climate change', 'biden thinks climate change will destroy our planet']"
John Kerry's Think Tank Calls for War With Russia Over Climate Change,"[""russia doesn't care about climate change"", 'john kerry wants to fight russia on climate change']"
John Stossel  The Climate Hustle,"['the author believes climate change is a scam', 'john stossel is having a show on the climate crisis']"
"2020 was meant to be the year of climate action. Instead, it crowned a wasted decade","['nothing has been done about climate change', 'in 2020 not much was done to combat climate change']"
Best-selling skeptical book 'The Politically Incorrect Guide to Climate Change' ranks 14th in Book Authority's '100 Best Climate Change Books of All Time',['a book is out about climate change and skepticism that is bestselling']
How climate change is threatening Greenland,['climate change is a problem for greenland']
Trump urged to send Paris climate plan to senate to block Biden,"['the government is trying to obstruct climate policy plans', 'trump wants to block biden and reject the paris climate plan']"
"Where Is The Criticism Of China From Environmentalists? They are 'fully compromised, if not bought and paid for' by China","['china does not care about the environment', 'china is corrupt']"
Environmentalists Ask Court to Block Trump's Arctic Oil Auction,"['trump wants to drill for oil in the arctic', 'court blocking presidential plan']"
JunkScience.com's collection of climate activists admitting climate is not about  the climate,"['climate activists do not care about climate, but other things', 'climate activists are not really fighting about climate for the climate']"
Biden expected to nominate North Carolina environmental official to run EPA,"['biden cares about the climate', 'biden nomination for epa is from north carolina', 'biden will nominate north carolina environmental official to run the epa']"
Climate Wins  Sort of  in a Largely Inadequate Stimulus Package,['the funding for climate change was low']
"Punishing Companies For CO2 Emissions Won't Affect Temps, Climate","['punishing companies wont help climate change', 'punishing companies wont change the climate']"
Tips on How to Create a Healthy Hospital Working Environment,['unknown intent']
How significant is Biden's commitment to climate change?,"[""biden's motivation is in question"", 'biden may or may not be serious about tackling climate change']"
The Dr. Fauci of Climate': Activist Penn State Prof. Michael Mann promoted for Climate Czar in Biden Admin.  Climate lockdowns coming?!,"['michael mann is promoted to deal with climate', 'climate lockdowns might be coming', 'michael mann is well qualified', 'michael mann is a climate czar']"
Will John Kerry squander what time we have left to prevent climate catastrophe?,"['leadership must enact progressive climate change policies now', 'the time for denying climate change has past', 'government leaders must enact progressive climate change policies now']"
"Eastern States Inching Toward New Regional Climate Pact That Could Cut Carbon Emissions, Raise Gas Prices","['governments are concluding talks on a new deal', 'cutting carbon emissions can raise gas prices']"
Joe Biden unlikely to cancel Trump's Space Force but could use NASA to help in climate crisis fight,['the president is taking climate change seriously']
Biden must be our 'climate president'. He can start by ending pipeline projects | Faith Spotted Eagle and Kendall Mackey,['a change in government policy is necessary to save the environment']
John Kerry to Return in Biden Administration as 'Climate Czar',"['climate change has become a vanity project for former politicians', 'biden is taking climate change seriously']"
"John Kerry, who signed Paris accord for US, is Biden's climate envoy","['kerry and biden are supporting climate change policies', 'the left of center party is making slow progress, but with many setbacks']"
Climate crisis breaks open generational rifts in US families,"['there is a clear difference in environmental attitudes between age groups', 'young people will have to do all the work saving the planet']"
Morano: Kerry as 'climate envoy' would solidify the COVID/Climate connection,"['the left-of-center party is actually claiming that the pandemic and the climate are causally linked', 'there is a real deal as environmental envoy']"
"Watch: Al Gore: 'This is the time for a Great Reset'  'This is a time for a reset to fix a bunch of challenges, first among them the climate crisis'",['the government needs to do more']
"Climate crisis: Humans waging 'suicidal' war against natural world, UN secretary general warns","['people are the reason for warming', 'people play a role in climate change', 'tech is used to fight nature']"
Aussie Scientist Dr. Jennifer Marohasy on climate change: 'Better a question that cannot be answered than an answer that cannot be questioned',"[""people aren't allowed to go against prevailing climate change views."", 'freedom in thinking is important']"
"Climate crisis driving 'rapid' transformation of Arctic into 'warmer, less frozen' wilderness","['the artic is on the verge of collapse', 'climate change making frozen areas warmer']"
Biden to Make Combatting Climate Change an 'All-of-Government Agenda',"['the president cares about the environment', 'biden wants to fight climate change']"
The stolen climate crisis babies: US politician jailed for selling children of mothers desperate to escape environmental catastrophe,['us politician jailed for illegal adoption ring']
9 best recycling bins that help you do your bit for the environment,['certain recycling bins are better than others']
"Fmr. Obama advisor Lawrence H. Summers on COVID lockdown's impact: '$200,000 per family or 90% of a year's GDP'  '4x output loss of Great Recession, 2x cost of all wars since 9/11, & roughly cost of climate change in next 50 years'",['the policies during the pandemic have cost people a lot of money.']
Environmental Lawyer Facing Rare Prosecution Says His Judge Is Biased,['unknown intent']
Study: Reducing Greenhouse Gas Emissions Still Won't Stop Global Warming,['unknown intent']
"Blue States Will Have to Lead the Climate Fight Under Biden, Too",['democrats are working for a better climate']
Hurricane Eta Devastates Central America as U.S. Withdraws From Climate Accord,"['withdrawing from the accord will have grave consequences', 'getting rid of the climate policy from the accord will lead to more disasters.', 'hurricanes are related to climate change']"
Siberian Environmentalist Detained for Poaching World's Largest Sheep  Reports,"[""siberian environmentalists detained for poaching world's largest sheep""]"
Biden's ambitious climate plan comes into focus,['biden cares about climate change']
Biden to tap Brenda Mallory to lead White House environment council -sources,['government officials are not on the same page']
How Parents Can Tame the Stress of Climate Crises,['todays youth are stressed over something they can neither see or influence.']
International shipping is killing the climate,['consumerism is causing climate change']
"What Biden can do to ""reverse the trajectory"" on climate change","[""the president would implement new climate policies which are different from the ex-president's plans.""]"
"Global Warming by the Numbers, Because This Week the Reality Is Too Much",['events are getting worse by the day']
Biden Will Nominate Michael Regan To Run EPA Amid Growing Climate Crisis,['biden will nominate regan to run the epa']
Deal-Makers and Fighters Make up Biden's New Climate Team,"['biden has a climate team', 'biden administration is taking climate change seriously.']"
"Biden taps Haaland for Interior, N.C. environment chief Regan for EPA",['the president hired new people for positions']
Climate change: Law used as stick to beat government,['climate change law is being used to fight against the government']
Critics condemn Ford's environmental record after blistering auditor general reports,"[""ford doesn't care about the environment""]"
Biden Presents a New Era in the Fight Against Climate Change,['biden actually cares about climate change']
Who Is Going to Help the Biden Administration Take on Climate Change?,['the biden administration needs help fighting climate change']
"Biden introduces his climate team, says 'no time to waste'","['climate crisis is an emergecy', 'biden thinks climate change is an urgent issue', 'biden created a climate team quickly', 'biden cares about cliamte change', 'biden does not want to waste time when it comes to the environment']"
Ontario auditor to release value-for-money audits on the environment,['audits are being done on the environment in ontario']
Half of child psychiatrists surveyed say patients have environment anxiety,['unknown intent']
Jeff Bezos launches his own climate action push as U.S. policy faces potential gridlock,['one of the wealthiest men on the planet is pushing his own global warming agenda.']
Biden says his climate team has 'no time to waste',['biden takes climate change seriously and wants to act now']
Biden will rejoin the Paris Climate Accord. Here's what happens next,['biden cares about climate change']
"Biden Be Bold: AOC & Cori Bush Join Climate Protest Outside DNC Urging Activists to ""Bring the Heat""",['representatives wanting to bring attention to climate change.']
The Drilldown: Opposition disappointed with government's climate legislation,"[""the government hasn't done much about climate change""]"
Many loopholes in international ban on heavy fuel in Arctic shipping: environmentalists,['there are problems with the international ban on shipping fuel in the arctic']
Biden announces key members of climate team,['unknown intent']
Sentinel-6 satellite to help NASA track climate change's effects on Earth's oceans,"[""a satellite will help nasa track climate change effects on the world's oceans""]"
Climate Justice Fund Counters 'Centuries Of Underinvestment',['unknown intent']
"Biden Announces Climate Team, Including First-Ever National Climate Advisor",['biden takes climate change seriously']
"2020 was a stormy, fiery, record-breaking year when climate disasters wouldn't stop",['there is increase in natural disasters']
"The final days of lame-duck Trump: Electioneering, revenge and environmental attacks as the president refuses to go quietly",['people are eager for trump to leave office']
Trump slams global climate agreement Biden intends to rejoin,"[""trump doesn't care about climate change, but biden does""]"
Biden Taps Climate Team Focused on Environmental Racism & Science to Take Over from Industry Lobbyists,['trump is going to focus on environmental racism and science in new team']
Climate Change Legislation Included in Coronavirus Stimulus Deal,['unknown intent']
"Paris climate deal 'designed to kill US economy', Trump claims",['trump is not a fan of the paris climate  deal']
Climate change: Covid pandemic has little impact on rise in CO2,['people not being out has not helps with carbon release']
Migrants Flee Climate Change Ravaged Central America as Record-Breaking Hurricanes Hit,"['climate change is leading to intensification of hurricanes', 'climate change is causing a refugee crisis in central america']"
Climate crisis: I used to mull when to have children. Now I ask if I should I have them.,['we should reconsider growing their family.']
The U.S. will soon rejoin the Paris climate accord. Then comes the hard part.,['all countries are coming together on climate crisis']
Facebook is reportedly planning to woo Joe Biden by rolling out new vaccine and climate change features,"[""companies want the president's favor.""]"
"COVID lockdowns' impact on greenhouse gas emissions a ""tiny blip""","[""people staying home won't make a difference for climate change"", ""the decrease in emissions from the covid lockdown won't make a difference over time""]"
GM dumps Trump. Top automaker sides with California in major shift on climate change,"['big companies are taking a stand for the planet.', ""he doesn't take the planet seriously.""]"
"Organic meat production just as bad for climate, study finds","['organic meat production just as bad for environment', 'we should eat less meat']"
Sea-level rise from climate change could be worse than projected,['sea level rise from climate change could be worse than expected']
Great Lakes advocates look to Biden administration to take on climate change: 'A breath of fresh air',['unknown intent']
Can Wall Street's Heaviest Hitter Step Up to the Plate on Climate Change?,['big companies are not willing to take measures against climate crisis']
Environmental groups line up behind Levin for Labor,['levin is a popular choice for labor according to environmental activists']
The pandemic has barely made a dent in climate-changing pollution levels,['the lockdown did not help the planet.']
Carbon Capture Is Not a Climate Savior,['using already emitted co2 will only help so far']
This California Law Offers Biden a Tool in the Fight for Environmental Justice,['biden has a tool to fight for environmental justice based on a california law']
Guest commentary: Biden needs to rollback Trump's environmental rollbacks  and then some,"['democrats care about preventing global warming', 'one administration should revise anothers policies']"
The SEC Should Require Companies to Disclose Climate Change Risk,['the sec should force companies to disclose climate change risk']
Global tariffs the only way to end Australia's climate criminality,['only global tariffs will help australia on climate change']
Covid and climate of fear puts Italian birth rate at lowest since unification,"[""people stop having kids as frequently when they don't feel hopeful for the future""]"
Biden Names John Kerry Climate Envoy,['kerry was named as climate envoy for biden']
Climate change: Extreme weather causes huge losses in 2020,['climate change is leading to losses']
"Weather disasters cost $150bn in 2020, revealing impact of climate change  report","['natural disasters due to climate change have high cost due', 'a weather disaster costs a lot of money']"
"Trump Races to Weaken Environmental and Worker Protections, and Implement Other Last-Minute Policies, Before Jan. 20",['trump races to weaken environmental and worker  protections']
Paris Climate Treaty Puts America Last,"[""climate treaties aren't fair"", 'america should stay out of climate treaties']"
Climate 'apocalypse' fears stopping people having children  study,['the birthrate is going down due to climate change fears']
Fatal freshwater skin disease in dolphins linked to climate crisis,['unknown intent']
Russia's Environmental Disasters in 2020,['russia had several environmental disasters in 2020']
"An unusual snack for cows, a powerful fix for climate","[""changing cow's diets can help climate""]"
"Japan, S. Korea run with Vietnam coal plant despite climate vows",['japan and s. korea are working with  vietnamese coal plant despite vows']
Neighborhood Wealth Dramatically Impacts Home Greenhouse Gas Emissions,['your wealth determines your amount of greenhouse emissions']
The Pragmatism of the Radical Climate Left,['radical leftwing  climate activists are pragmatic']
Hundreds of young activists hold 'Mock COP' to fight for climate change action,['climate change activists that are young stage a mock cop to fight climate change and call for action']
"Amid 2020's gloom, there are reasons to be hopeful about the climate in 2021 | John Sauven","['climate change caused losses in 2020', 'people should take actions to curb cliamte change']"
"Faith and the fight against climate change, Part 4",['faith is a weapon against climate change']
What Indigenous knowledge can teach us about resilience in a time of climate crisis,['unknown intent']
The Goldman environmental prize winners 2020  in pictures,['goldman cares about people who care about the environment']
Atlantic hurricane season ends with records driven by climate change,['disasters are higher than ever.']
Dutch climate activists take Shell to court over emissions,['activists take a huge oil company to court.']
"Deforestation of Brazil's Amazon rainforest surges to 12-year high, prompting environmental warnings",['destroying the environment is higher than ever']
What can Biden do on climate change if Republicans keep Senate majority?,"['republicans could spell trouble for biden on climate change if they keep the senate majority', 'biden has his work cut out for him on climate change if republicans keep the senate majority']"
"Blame Climate Change for Historically Warm Fall in Russia's Biggest Cities, Experts Say",['russia had a historically warm fall due to climate change']
"Mountain pine tree that feeds grizzlies is threatened by climate change, beatles",['mountain pine trees are being threatened by extinction']
Climate crisis: 2020 set to be 'one of hottest years' on record,['unknown intent']
"On Climate, Biden Must Do More than Undo Trump's Damage","['the current rpesident needs to make meaningful steps on climate change', 'the former rpesident did such extensive damage that a lot of work is needed to recoup the losses']"
The Climate Debt the U.S. Owes the World,['the us has a climate debt to the world']
Heat-related deaths in UK elderly double in 20 years as climate change hits health,"['older people are more susceptible to extreme temperatures', 'climate change causes hotter weather']"
Nestl CEO: Climate change laggards put the planetand their businessesat risk,['businesses that are slow to act on climate change threaten the planet']
"Coastal communities facing climate change need an equitable retreat, geographer says","['people should move from coastal cities', 'coastal cities will be effected']"
Pacific Islands Forum to hold virtual climate summit,['pacific islands forum will hold a climate change summit virtually']
Biden's Neoliberal Climate Cronyism,"['some figures have strict liberal policies', 'caring baout global warming is being forced on us']"
Ireland ranked among worst performers in 2020 climate rankings,"[""the current govt doesn't care about protecting environment"", 'to reduce climate change needs action over the world']"
Shell's climate poll on Twitter backfires spectacularly,['unknown intent']
Voters Said They're Worried About the Climate. Many Voted for Trump Anyway.,['people prioritize things over the environment when voting']
"Arctic's Shift to a Warmer Climate Is 'Well Underway, Scientists Warn",['climate change may have done irreparable damage already']
EU Leaders Tackle Virus Recovery and Climate Change,['eu is tackling both health and climate crisis']
Becoming a father made me a stronger climate advocate,['having a child may cause people to think about the future of the planet']
Climate change: EU leaders set 55% target for CO2 emissions cut,['eu leaders are taking actions toward curbing climate change']
Trump removes head of climate science report,['government officials are not on the same page']
Morning Brief: The return of climate science,['only one side of the environmental debate is actually backed up by evidence']
Ottawa announces new climate plan with no GHG-reduction targets,['the policy should have included these reductions']
Trump Administration Removes Official Who Oversees National Climate Assessment,"[""the trump administration doesn't care about climate change""]"
Climate Change Could Wipe Out the Marshall Islands,['climate change could destroy the marshall islands']
Colorado looks to Biden for help tackling climate and environmental challenges,['colorado looks to biden to help combat climate change']
"Reaching UK net zero target cheaper than we thought, says climate adviser",['reaching uk net was cheaper than thought']
Low-Carbon Cement Can Help Combat Climate Change,['new tech is coming to help climate']
Biden Picks Gina McCarthy as Domestic Climate Czar,['biden chooses gina mccarthy as domestic climate czar']
Exclusive-Biden Taps Former EPA Chief for White House Climate Coordinator Role -Sources,"['the president appoints climate professional as the government climate head.', 'the administration is hiring for climate positions']"
U.S. Senate Democrat discussed climate crisis with Biden's No. 2 pick for Treasury,"['climate crisis is real', 'biden administration is discussing climate']"
"Triple threat of Covid, climate change and conflict has plunged millions into need, charity warns",['millions are poor']
California Needs to Do More to Fight Environmental Racism,['environmental racism is a thing']
"Big Oil loses out on Election Day and other climate crisis wins, explained","['environmentalists won in the election', 'the desires of the oil companies and environmentalists are opposed to eachother']"
"Election 2020 Today: Pence to Georgia, Biden's climate team",['climate change will play a pivotal role in the 2020 election']
COVID-19 Has Taken the Wind Out of the Sails on Climate Change,['pandemic is halting climate change efforts']
Biden names key climate officials in departure from Trump,['government has elected new climate officials']
"Biden Unveils His Climate Team, Promising To Fight 'With The Urgency It Demands'","['biden cares about climate change and will do everything to address it immediately', 'government is ready to fight climate change']"
Biden Names Climate Statesman John Kerry as Climate Envoy,['biden has began work on his climate plans']
"Top California Air, Climate Regulator Hopes to Run Biden EPA","['california air and climate regulator wants to run biden epa', ""california climate regulator wants to run biden's epa""]"
Can Biden Keep His Promise to Make Farms Climate Friendly?,['politicians are notorious for not keeping campaign promises']
Non-binary teenager spearheading the fight against climate crisis in Belgium sent gruesome rape and death threats,['non-binary climate change activists are dangerous and menacing']
The Fukushima Nuclear Disaster Put Japan's Climate Policy in a Decade-Long Purgatory,['japan is stalling on taking climate action']
How Australia and Fiji's leaders approach climate change,['australia and fiji care about climate change']
How shifting from meat-heavy to plant-based diets can help allay the climate crisis,"['eating less meat would benefit the environment.', 'eating meat is a driver of climate change.']"
Biden Names Cabinet Officials Tasked to Fight Climate Change,"[""climate change is on government's agenda""]"
389-day Arctic research mission brings urgent call for climate action,['temperature is rising due to climate channge']
"Society needs to be shocked' into making environmentally sustainable changes, says climate scientist","[""society won't respond to less serious stimuli""]"
"Biden Announces Climate Team, Including Gina McCarthy, Deb Haaland and Michael Regan",['biden is creating a climate team']
A record hurricane season is ending. What does climate change have to do with it?,"['a record hurricane season is ending', 'climate change is causing more hurricanes than ever before']"
The Pandemic's Effect On Climate-Changing Pollution Was 'Just A Tiny Blip',['unknown intent']
John Kerry Tapped For Newly Created Role As Presidential Climate Envoy,['a new office has been created for climate change']
How Biden Can Restore U.S. as Leader Against Global Warming,['biden has a huge responsibility']
"California Air, Climate Regulator Mary Nichols Hopes To Run Biden's EPA","[""climate change policies will be more effective in the new president's administration""]"
Indigenous environmental defender killed in latest Honduras attack,['indigenous environmental protector killed in honduras']
"UAE Cabinet Approves New Cybersecurity Body, Climate Change Envoy",['uae government has new sectors to deal with cyber security and climate change']
Do environmental approvals for gas projects mean anything?,"[""environmental agencies aren't effective with construction projects""]"
California's 'climate damn emergency' can't be ignored,"[""the state's emergency needs to be dealt with now"", 'california facing climate crisis']"
Chronic disease is on the rise  and stopping it requires a new Canadian Environmental Protection Act,"['climate change increases disease', 'the increases in chronic diseases are caused by climate change', ""a government agencies' act may prevent diseases from getting out of control.""]"
Court refers climate lawyer to attorney general over Heathrow runway breach,['the attorney general can assist with this breach']
"As 2020 Ends, It's Time for News Outlets to Declare a 'Climate Emergency'","['the situation with climate change is serious enough to warrant an emergency', 'a climate emergency should be declared at the end of 2020']"
"Biden taps climate, environment hands for transition teams","['the president wants experienced people in these positions', 'biden has a high priority for climate']"
UK ban on new fossil fuel vehicles by 2030 'not enough' to hit climate targets,"['the uk needs to do more to fight climate change', 'the government needs to take actions on other issues contributing to climate change']"
Climate change: Warmer winters linked to increased drowning risk,"['warmer winters leads to increased drowning risk', 'warmer winters melt more snow and ice, increasing drowning risk']"
Lake ice destabilized by climate change linked to increase in youth drownings,"['the lake ice melting raises water levels which increases the amount of drownings', ""climate change is a threat to our children's lives""]"
Biden to introduce team tasked with ambitious climate agenda on Saturday,"['cliate change is a priority', 'biden to create strong environmental task force', 'politician makes a plan']"
