headline,writer_intent,misinfo,Generated,Model,Task
German politician Markus Sder spent Christmas holidays on the island of Borkum and didn't obey quarantine rules,"[""the government makes rules for society that the government doesn't feel it needs to follow"", 'politicians are hypocrits']",misinfo,The masks are better than others.,flan-t5-base,mrf
"In Australia, The Vaccine Infects Recipients With HIV, Dangerous Allergies, Side Effects In The United States And The World!","['dangerous and potentially lethal vaccine side effects exist', 'big pharma is hiding dangerous vaccine side effects in order to make money']",misinfo,"The Vaccine Infects Recipients With HIV, Dangerous Allergies, Side Effects In The United States And The World!",flan-t5-base,mrf
"Daily Illinois coronavirus graphs: 178 new deaths, 7,374 new confirmed and probable cases and 74,573 new test results","[""illinois' has a poor grasp on controlling covid.""]",real,The virus is spreading.,flan-t5-base,mrf
We do not need a vaccine. We need a body that can resist this and any other virus,"['methods to make people immune to viruses are being hid from the public', ""it's possible to create bodies immune to disease"", 'methods exists to prevent people from getting any viruses', 'we are lied to about vaccines', 'vaccinations are not needed', 'its easy to lead people astray']",misinfo,We need a body that can resist this and any other virus,flan-t5-base,mrf
How a Climate 'Stress Test' Can Foresee Collapsing Banks,['stress tests can foresee collapsing banks'],real,The world is a mess.,flan-t5-base,mrf
Document supposedly says that COVID-19 vaccine provokes sterilization,"['covid-19 vaccine causes sterilization', 'government wants to sterilize people']",misinfo,The vaccine is a bad thing.,flan-t5-base,mrf
"A supplemental or medicinal oxygen tank can be substituted with a handmade ""oxygenator"" from a nebulizer or a fish tank pump.","[""it's possible for homemade devices to be as effective as medicinal grade ones are"", 'handmade ""oxygenator"" is just as good as a medical grade one']",misinfo,Some masks are better than others,flan-t5-base,mrf
Revealed: Boris Johnson's Climate Change Champion Called Fracking 'Good For UK',"[""johnson's pick is a climate change denier"", ""boris johnson's champion on climate change thinks fracking is a good thing""]",real,fracking is good for the UK,flan-t5-base,mrf
EU leaders agree to deeper cuts to greenhouse gas emissions by 2030,"[""the body thinks current standards weren't aggressive enough""]",real,EU leaders agree to deeper cuts to greenhouse gas emissions by 2030,flan-t5-base,mrf
Those holiday returns come with a massive environmental footprint,"['returning holiday gifts has a bad impact on the environment.', 'even simple behaviors by consumers cause a lot of environmental damage']",real,The masks are a waste of money.,flan-t5-base,mrf
"Airport expansions must stop if we're to reach net zero emissions by 2050, say government's climate advisors",['climate advisors for the government say airport expansion has to stop'],misinfo,The world is going to be a better place if we stop expanding.,flan-t5-base,mrf
Climate crisis: Melting mountain ice reveals ancient artefacts in Norway,['ice that has been arround for thousands of years is melting'],misinfo,The world is a mess.,flan-t5-base,mrf
"People who experience symptoms such as sore throat, fever, dry cough, loss of smell can drink warm lemon water to cure COVID-19",['warm lemonade can cure covid'],misinfo,"People who experience symptoms such as sore throat, fever, dry cough, loss of smell can drink warm lemon water to cure COVID-19",flan-t5-base,mrf
Joe Biden already facing pressure to tackle backlog of 'unfunded' toxic waste sites threatened by climate crisis,['biden needs to take action on toxic waste sites'],misinfo,Joe Biden is a slut,flan-t5-base,mrf
"American professor and virologist Robert F. Garry notes that 5G high-frequency towers were installed to control humans implanted with microchips, whereas the Masons and the Rockefellers allocated millions of U.S. dollars to finance the coronavirus vaccine in order to implant microchips in humans and control them through special computers and 5G technology.","['the government wants to microchip everyone via vaccines', 'rich and powerful people are trying to control the population', '5g technology is a trojan horse being created in order to control mankind.', 'covid vaccines are related to 5g and microchips', '5g and implanted microchips are being used to create the covid virus and have vaccines implant chips', '5g technology is a threat to humans.', 'american professor and virologist robert f. garry notes that 5g high-frequency towers were installed to control humans implanted with microchips', 'covid vaccines are implanting chips into people']",misinfo,some masks are better than others,flan-t5-base,mrf
"Pandemic has meant boom, not bust, for this university admissions company","['university admissions are going to be easier due to pandemic', 'some entities are doing well during the pandemic']",real,The company is a success.,flan-t5-base,mrf
The US is officially out of the Paris Climate Agreement. Here's what could happen next,['the us is no longer part of the paris climate agreement'],misinfo,The US is out of the Paris Climate Agreement.,flan-t5-base,mrf
You were warned: COVID lockdowns morph to Climate Lockdowns?! Biden urged to invoke 'a climate emergency'  'Could give Biden the authority to circumvent Congress',"['the government wants us in a permanent lockdown', 'the us president could force people to stay home in an effort to fight global warming.', 'biden wants to institute a climate lockdown']",misinfo,You were warned: COVID lockdowns morph to Climate Lockdowns?!,flan-t5-base,mrf
No 10 and Treasury clash over spending on environmental agenda,"['the treasury and no 10 are fighting over climate change plans', 'no 10 and treasury clash over environmental agenda']",real,No 10 and Treasury clash over spending on environmental agenda,flan-t5-base,mrf
Massachusetts AG Tells Bloomberg Group of Plan to Use its Attorneys to Enforce Paris Climate Treaty,"['massachusetts ag will enforce the climate change policy', 'massachusetts ag will use its attorneys to enforce climate change policies']",misinfo,The government should be able to enforce the Paris climate treaty.,flan-t5-base,mrf
"WHO: Healthy people should not wear masks, they are harmful","['masks are bad for our health', 'the who is against mask use', 'masks should only be worn by sick individuals.', 'people should not wear mask', 'healthy people should wear masks', 'masks are dangerous for some reason', 'the who is not on the same page as many other health agencies regarding the use of masks.', 'masks are bad for healthy people']",misinfo,WOMAN: Some masks are better than others,flan-t5-base,mrf
"The cause of death of a 31-year-old woman was the flu vaccine. The deceased was given the flu vaccine as a preventive measure after his father was diagnosed with the coronavirus, however she herself was not infected with the coronavirus; Within hours of receiving the flu vaccine, he became paralyzed and died within 3 days.",['flu shot is dangerous'],misinfo,some masks are better than others,flan-t5-base,mrf
World Health Organization's (WHO) director-general said he had tested positive for COVID-19,['unknown intent'],misinfo,some masks are better than others,flan-t5-base,mrf
New Study Effectively Eliminates Confidence In Human Attribution For Modern 'Global Warming'  'Uncertainty about 80 times greater than anthropogenic signal detection',['climate change is a hoax'],misinfo,The study is a good one.,flan-t5-base,mrf
"Pick up the pace on combating climate change, Bank of Canada governor says",['unknown intent'],real,The world is a better place than we think.,flan-t5-base,mrf
"Supreme Court says plans for Heathrow third runway are legal, overturning climate crisis ruling",['supreme court overturns climate crisis ruling for heathrow'],misinfo,The court's ruling is a victory for the government.,flan-t5-base,mrf
Urban wood movement aims to fight climate change and create jobs,['a wood movement will help fight climate change and create jobs for people'],real,The urban wood movement aims to fight climate change and create jobs.,flan-t5-base,mrf
What Biden Can Do About Climate Change,['biden is expected to state his plans soon'],real,The president is a good guy.,flan-t5-base,mrf
Will John Kerry squander what time we have left to prevent climate catastrophe?,"['leadership must enact progressive climate change policies now', 'the time for denying climate change has past', 'government leaders must enact progressive climate change policies now']",misinfo,Will John Kerry squander what time we have left to prevent climate catastrophe?,flan-t5-base,mrf
"According to Norwegian and British scientists, SARS-CoV-2 is artificially generated",['covid-19 was genetically engineered'],misinfo,SARS-CoV-2 is a virus,flan-t5-base,mrf
"Punishing Companies For CO2 Emissions Won't Affect Temps, Climate","['punishing companies wont help climate change', 'punishing companies wont change the climate']",misinfo,The climate is a mess.,flan-t5-base,mrf
Hypocrites and greenwash': Greta Thunberg blasts leaders over climate crisis,"['greta is harmful to society', 'greta is brainwashed', ""the government isn't doing enough about climate change""]",real,Hypocrites and greenwash': Greta Thunberg blasts leaders over climate crisis,flan-t5-base,mrf
Only those who are vaccinated are allowed to move freely again in the Netherlands,"['government is forcing people to get vaccines in switzerland', 'you cannot move around in the netherlands unless you have the covid-19 vaccine']",misinfo,The Netherlands is a country that is awash in sex.,flan-t5-base,mrf
Biden Plans to Move Fast With a 'Climate Administration'. Here's How.,"['the planet is a pressing issue for the government', 'biden takes climate change seriously']",real,The president is a slammer.,flan-t5-base,mrf
EU ministers set tougher 2030 climate target into law,"['the climate situation is serious enough to warrant tougher measures', 'current measures were not effective enough in slowing climate change']",misinfo,The EU is trying to make the world a better place.,flan-t5-base,mrf
"A chain that invites to verify personal data in the National Electoral Register since, according to the chain, they will be used for the vaccination campaign against the coronavirus","['personal data in the national electoral register is being used in a vaccination campaign.', 'government is using national electoral registry to find out information about people', 'government is overreaching']",misinfo,The campaign is a success,flan-t5-base,mrf
Applesauce tested positive for COVID-19 and could transmit the disease,"['food products can give people covid-19', 'you can get covid from applesauce']",misinfo,Applesauce tested positive for COVID-19 and could transmit the disease,flan-t5-base,mrf
"New Evidence That the Ancient Climate Was Warmer than Today's  'Roman Warming was the warmest in the last 2,000 years'","[""climate change isn't real""]",misinfo,The ancient climate was warmer than today's 'Roman Warming',flan-t5-base,mrf
Biden gives a nod to environmental 'activists' but doesn't mention Green New Deal in message commemorating Paris Agreement,"['biden is active on climate matters', 'the potus slighted aoc']",real,The message is that some masks are better than others.,flan-t5-base,mrf
"Iona, basketball coach Rick Pitino announce 2nd COVID-19 season pause","['sports are being affected by the disease', 'society and life are interrupted', 'the virus can spread during sports', 'playing sports can be risky during pandemic']",real,Iona,flan-t5-base,mrf
mRNA vaccines are genetically manipulated.,"[""people don't know that that's how mrna vaccines work"", 'mrna vaccine is genetically manipulated']",misinfo,mRNA vaccines are genetically manipulated,flan-t5-base,mrf
Climate Wins  Sort of  in a Largely Inadequate Stimulus Package,['the funding for climate change was low'],misinfo,Climate wins sort of in a very inadequate stimulus package,flan-t5-base,mrf
UK Coronavirus LIVE: England prepares for second lockdown,"['the uk will be shutting down again because of the pandemic', 'the government is going to prevent the spread of covid by locking down', 'covid is getting worse in this area so people have to stay inside']",real,England prepares for second lockdown,flan-t5-base,mrf
Eating roasted orange and brown sugar will restore your sense of taste if you have recovered from COVID-19,"['eating oranges roasted with brown sugar will restore loss of taste and smell due to covid-19 infection', 'a lot of people are struggling with loss of taste and smell after covid.', 'nature ingredients will make someone less susceptible to covid.', 'eating roasted orange and brown sugar will cure your taste buds from covid', 'simple treatments can return a sense of smell lost to covid']",misinfo,The masks are better than others.,flan-t5-base,mrf
White House Ousts Top Climate Change Official,['the white house lost confidence in their top climate change official'],misinfo,The White House is a good place to be.,flan-t5-base,mrf
"A Bipartisan Climate Policy? It Could Happen Under a Biden Administration, Washington Veterans Say","['democrats care about climate chang', 'biden could institute a bipartisan climate agreement', ""a bipartisan climate change policy could come about under biden's administration"", 'climate policy may happen with democrat leadership']",misinfo,"A Bipartisan Climate Policy? It Could Happen Under a Biden Administration, Washington Veterans Say",flan-t5-base,mrf
"The Moderna or Pfizer vaccine is not a vaccine, it is a hoax. These are products of RNA gene therapy, not vaccines. This technique has never been studied in animals. Humans will be the first guinea pigs on earth. This can permanently and irreversibly alter our genes, chromosomes, so that these abnormalities can be passed on to our children.","['the vaccine will alter your genes', 'the vaccine is harmful', 'the vaccines will mutate our body', 'the vaccine has not been tested', 'the vaccine is not safe']",misinfo,"The Moderna or Pfizer vaccine is not a vaccine, it is a hoax",flan-t5-base,mrf
The Paris Agreement Is 5 Years Old. Is It Strong Enough to Prevent Climate Catastrophe?,"['government officials are not on the same page when it comes to climate change policies', 'the paris agreement may not be strong enough to fight climate change']",real,The Paris Agreement Is 5 Years Old. Is It Strong Enough to Prevent Climate Catastrophe?,flan-t5-base,mrf
NPR Reverts to State-Run Radio with Socialist Softballs for Climate Czar John Kerry,"['more action is needed', 'some feel station is not aggressive', 'government controls the message']",misinfo,NPR Reverts to State-Run Radio with Socialist Softballs for Climate Czar John Kerry,flan-t5-base,mrf
Climate change: Hurricanes get stronger on land as world warms,"['our disasters are getting worse every year', 'stronger hurricanes are a bad thing', 'climate change is a serious threat']",real,Hurricanes are a threat to the environment.,flan-t5-base,mrf
"Confusion as Covid hotspots Greenwich, Hackney and Haringey left off primary school closures list","['covid school closings are inconsistent', 'the response to the spread of coronavirus is so rushed that many things are overlooked.']",real,Covid hotspots,flan-t5-base,mrf
Two persons died after receiving the covid vaccine,"['covid vaccines are dangerous', 'the vaccine is unsafe', 'deaths from a widely administer vaccine are abnormal', 'people should not get the vaccine', 'the vaccine can be deadly', 'people died from receiving the treatment.', 'there may be a relationship between a few deaths and the covid vaccine.']",misinfo,The vaccine is good for people,flan-t5-base,mrf
Warp Speed official says vaccine rollout has fallen short of goal,"['vaccines may not be available for people as expected', 'the lockdowns may continue longer than expected', 'the vaccine development effort was not as successful as the hype around it would suggest it would be.', ""society won't get vaccinated as quickly as expected""]",real,The vaccines are not as good as they should be.,flan-t5-base,mrf
Joe Biden said chloroquine is effective against Covid-19,"[""people should trust joe biden's advice on covid treatments"", 'government official supports the drug', 'there is treatment for covid-19', 'the drug is effective against covid-19']",misinfo,The masks are better than others.,flan-t5-base,mrf
Covid hits 32 at care home as huge outbreak takes hold,"['care homes are susceptible to covid outbreaks.', 'covid spreads rapidly in shared living spaces']",real,Covid hits 32 at care home as huge outbreak takes hold,flan-t5-base,mrf
Biden Team Close to Announcing Picks for Core Climate and Energy Jobs,"['biden to announce nominees', 'a governments direction in climate control will be known soon']",real,The Biden team is close to announcing picks for climate and energy jobs.,flan-t5-base,mrf
Biden's advisors urge him to use 'U.S. financial regulation as a tool to fight global warming'  Central banks to 'mitigate climate risks to financial markets',['climate change can cause financial damage'],misinfo,'Some masks are better than others',flan-t5-base,mrf
Biden Would Make Combating Climate Change an 'All-of-Government Agenda',"['climate change will be center to administration̢\x80\x99s agenda', 'biden takes climate change seriously and will act accordingly.']",misinfo,Biden would make combating climate change an 'all-of-government' agenda,flan-t5-base,mrf
Siberian Environmentalist Detained for Poaching World's Largest Sheep  Reports,"[""siberian environmentalists detained for poaching world's largest sheep""]",real,The world's largest sheep reports,flan-t5-base,mrf
Canada needs proactive climate change strategies now to avoid huge disaster bills later,"['climate change is accelerating', 'canada needs to take action on climate change now to avoid high costs and bills', 'changes need to be made now to prev']",real,Canada needs proactive climate change strategies now to avoid huge disaster bills later,flan-t5-base,mrf
Over-the-counter products such as vitamins and tonic water are the key to tackling the pandemic.,"[""other treatments aren't necessary."", 'treatments exist to prevent covid-19', 'water and vitamins can help protect people from covid-19.', 'regular products can help fight covid']",misinfo,The pandemic is a disease,flan-t5-base,mrf
Happy corals': climate crisis sanctuary teeming with life found off east Africa,['unknown intent'],real,Happy corals': climate crisis sanctuary teeming with life found off east Africa,flan-t5-base,mrf
Ivermectine is a proven cure for Covid-19,"['the pandemic is over', 'a cure has been found']",misinfo,Ivermectine is a proven cure for Covid-19,flan-t5-base,mrf
Government begins sending $600 COVID-19 stimulus payments to millions in U.S.,"['the people in the country need stimulus money to get by', ""the government is trying to help it's citizens""]",real,The government is trying to help the economy.,flan-t5-base,mrf
Masks can not protect you from contracting COVID-19 variants. You should use N95 respirator.,"['there is no way to stay safe without medical grade protective gear.', ""masks can't help with the variations of the coronavirus"", 'you need to wear an n95 mask even in daily situations', 'the disease is easily transmissible with mask wearing', 'masks are useless now']",misinfo,masks can not protect you from contracting COVID-19 variants. You should use N95 respirator.,flan-t5-base,mrf
Climate Activists Cheer Biden Win,"[""only one of america's major parties is concerned with the environment""]",real,Climate activists cheer Biden win,flan-t5-base,mrf
"Colorado's COVID-19 hospitalizations surge to highest level since late April, accelerating faster than state's models predicted","['infection rates are still at high levels in certain regions.', 'the state is doing much worse in the pandemic']",real,Colorado's COVID-19 hospitalizations surge to highest level since late April,flan-t5-base,mrf
"""We're in a crisis"": Biden introduces climate policy team","['government is serious about climate change', 'biden is taking steps to help the environment', 'biden cares about climate change']",real,We're in a crisis,flan-t5-base,mrf
"An article from the Tierra Pura site that states that ""aborted fetuses are being used in vaccines"" against COVID-19","['the shots used to prevent the virus are derived from dead babies.', 'fighting the virus is evil or unnatural.', 'dead human parts are injected in vaccines', 'vaccines are being made unethically', 'immunizations are evel.']",misinfo,The vaccines are better than others.,flan-t5-base,mrf
Georgia Clinched Biden's Victory. Now It Will Decide His Climate Agenda's Fate.,"['the new administration will have policy on climate change', ""biden's victory was due to georgia and now georgia must decide on climate change agenda fate""]",real,Biden's victory,flan-t5-base,mrf
A road charging system could be a game changer for the climate  but I have four warnings for Rishi Sunak,['road charging system could help climate'],misinfo,A road charging system could be a game changer for the climate but I have four warnings for Rishi Sunak,flan-t5-base,mrf
"'Past a point of no return': Reducing greenhouse gas emissions to zero still won't stop global warming, study says","['reducing greenhouse gas emissions to 0 will not stop climate change', 'society has damaged the climate past the point of repair']",real,'Past a point of no return',flan-t5-base,mrf
"Environmental policy is labor policy, and Biden must make that clear","['biden can make climate policy and labor policy work together', 'environmental policy is labor policy and this must be clarified by biden']",real,The president should be a better person.,flan-t5-base,mrf
"Biden introduces his climate team, says 'no time to waste'","['climate crisis is an emergecy', 'biden thinks climate change is an urgent issue', 'biden created a climate team quickly', 'biden cares about cliamte change', 'biden does not want to waste time when it comes to the environment']",real,'No time to waste',flan-t5-base,mrf
Overworked Frontline Workers In Sri Lanka,['unknown intent'],misinfo,Overworked Frontline Workers In Sri Lanka,flan-t5-base,mrf
"No, Climate Change Is Not Causing More Ice Drownings","['climate change is not an issue', 'ice is not melting at a rate that contributes to drowning']",misinfo,Climate change is not causing more ice deaths.,flan-t5-base,mrf
Evanston school officials say no evidence of hacking found after student encountered racial slur on remote learning platform,['someone made up a story about hacking to hide their involvement regarding  saying racial slurs online'],real,Evanston school officials say no evidence of hacking found after student encountered racial slur on remote learning platform,flan-t5-base,mrf
"Africa's richest man, Aliko Dangote, running a Facebook giveaway for money, food and other assistance to 10,000 youths who have lost loved ones to the COVID-19 pandemic.","['you can win money on facebook if you have lost a family member and live in africa', 'many youngsters in africa are suffering the loss of their families.', 'many youths in africa have lost their parents or guardians']",misinfo,some masks are better than others,flan-t5-base,mrf
How shifting from meat-heavy to plant-based diets can help allay the climate crisis,"['eating less meat would benefit the environment.', 'eating meat is a driver of climate change.']",real,Plant-based diets can help allay the climate crisis,flan-t5-base,mrf
Nicola Sturgeon hails 'encouraging' coronavirus signs in new Scottish lockdown,"['nicola sturgeon is hopeful about covid in scotland', ""scotland is under lockdown due to covid, but there are good signs it's turning around"", 'the pandemic is getting better']",real,Nicola Sturgeon hails 'encouraging' coronavirus signs,flan-t5-base,mrf
Senator Chris Coons on likelihood of Senate approving higher stimulus checks,['senator chris coons is talking about getting higher stimulus checks to people'],real,The senate is a good place to be.,flan-t5-base,mrf
Warnings on fines as England's new lockdown begins,"['the government is issuing fines in trying times', 'pandemic is getting worse', 'some regions are fining citizens for now following quarantine laws', 'people are being fined']",real,'Some masks are better than others',flan-t5-base,mrf
"Election 2020 Today: Pence to Georgia, Biden's climate team",['climate change will play a pivotal role in the 2020 election'],real,The president's stance on climate change,flan-t5-base,mrf
A six-year-old girl from the Schweinfurt area of Bavaria fainted on a school bus on September 28 while returning home from school and died.,['unknown intent'],misinfo,some masks are better than others,flan-t5-base,mrf
U.S. formally exits Paris pact aiming to curb climate change,['the us exited the paris pact on climate change'],real,The U.S. is a bad guy.,flan-t5-base,mrf
The Club of Rome is working to reduce the world's population to one billion.,['group wants to reduce amount of living people'],misinfo,The Club of Rome is working to reduce the world's population to one billion.,flan-t5-base,mrf
Stossel Column: The Climate Hustle,['climate change is a party issue'],misinfo,The climate is changing.,flan-t5-base,mrf
No deaths from COVID-19 in Israel because of a cure for the virus made with lemon and baking soda,"['the government has found a cure', 'there is a cure for the virus', 'the pandemic is over']",misinfo,The vaccine is safe.,flan-t5-base,mrf
Climate Change--and Research--Raced Forward as Trump Turned His Back,['trump is a climate change denier'],real,Climate Change--and Research--Raced Forward as Trump Turned His Back,flan-t5-base,mrf
"US and Germany must stand 'side by side' in handling coronavirus and climate change, says Angela Merkel",['merkel believes these two superpowers must step up on climate change'],misinfo,Germans must stand by side,flan-t5-base,mrf
"Archbishop Vigano says that ""deep state"" wants to conquer humanity through the ""Great Reset"".","['secret cabals control the world', 'some figures want to control and restart things', ""the archbishop's opinions are worthy of note""]",misinfo,The state is trying to conquer humanity.,flan-t5-base,mrf
A paramedic reports 40 injured and 7 severely injured people at the Coronavirus demonstration in Berlin on November 18th,"['protests opposing lockdowns are becomin violent.', 'the people a resisting quarantine policies', 'many people were injured at a covid demonstration', 'violence is occurring at covid protests']",misinfo,The message is that some masks are better than others.,flan-t5-base,mrf
In Spain more people are probability of falling ill from the vaccine than from Covid-19,"['vaccines are hurting more people', 'vaccines are dnagerous']",misinfo,Covid-19 is a disease,flan-t5-base,mrf
"Arctic's Shift to a Warmer Climate Is 'Well Underway, Scientists Warn",['climate change may have done irreparable damage already'],real,The Arctic is warming up.,flan-t5-base,mrf
Rusting oil tanker could create one of the worst environmental disasters in history,['there is a rusting tanker that could cause bad damage to the environment'],misinfo,The oil tanker is a bad idea.,flan-t5-base,mrf
"It is possible to identify the coronavirus not only with a PCR test, but also with a blood test, and that this method is used in multiple countries","['blood tests for coronavirus could be used for confirming positive cases.', 'multiple testing methods exist', 'the blood test may be preferable to the pcr test', 'there may be more tests available than many people think']",misinfo,"It is possible to identify the coronavirus not only with a PCR test, but also with a blood test, and that this method is used in multiple countries",flan-t5-base,mrf
"Home Office unlawfully failing to protect trafficking survivors from hostile environment, says High Court","['police is irresponsible.', 'trafficking survivors are not protected by home office']",misinfo,The government should be ashamed of itself,flan-t5-base,mrf
"China President Xi's Climate Con Trick: Continue to increase CO2 emissions through at least 2030, but 'aim' to stop doing so before then","['china is not taking climate policy seriously enough', 'some political figures do not care about climate change.', 'china is not trustworthy.', 'some countries can use climate change policies for their own benefit.', 'emissions will not be decreased as quickly as they should be']",misinfo,"China's President Xi's Climate Con Trick: Continue to increase CO2 emissions through at least 2030, but 'aim' to stop doing so before then",flan-t5-base,mrf
"Bill Gates as early as 2018 prophesied the pandemic at Event 201, says legislator Sara Cunial","['some scientists and other public figures correctly predicted that a pandemic would occur eventually', 'covid-19 was created', 'government and high power people created covid-19']",misinfo,Bill Gates is a liar,flan-t5-base,mrf
8 Beauty Products That are Harming the Environment and 8 You Can Use Instead,['unknown intent'],misinfo,The products are harmful to the environment.,flan-t5-base,mrf
The new strain of coronavirus was announced by Boris Johnson. Scientists have not made any statement on the issue.,"['public is easy to mislead', 'political figures may know more than others', ""government official wasn't supposed to tell the public"", 'the pandemic is not close to being over']",misinfo,Some masks are better than others,flan-t5-base,mrf
"Carbon Capture, Climate Levels Trigger Earlier Shedding of Leaves","['climate change is causing leaves to fall earlier', 'climate levels cause earlier shedding of leaves']",real,Climate levels are a factor in the loss of biodiversity.,flan-t5-base,mrf
Should the price of meat reflect its impact on the environment?,['price of meat should be set to reflect its impact'],real,The price of meat is a ripe commodity.,flan-t5-base,mrf
Having kids increases global warming. But don't blame the parents,"['increasing population will make climate change worse', 'the urge to procreate is natural', 'the more people there are the more we pollute']",real,Having kids increases global warming.,flan-t5-base,mrf
You're Paying for This! PBS's Amanpour SLIMES U.S. as 'AWOL' on Climate Deal,"['the us government does not care about the climate deal', 'the country is not doing enough to prevent climate change', 'the us does not care about climate change policies']",misinfo,You're paying for this!,flan-t5-base,mrf
"""Totally unacceptable"": Army secretary condemns command climate","['the army secretary does not like a command climate', 'the army is against command climate']",real,The military should be able to make decisions on climate change.,flan-t5-base,mrf
Climate crisis: CO2 hits new record despite Covid-19 lockdowns,"['co@ emissions are becoming worst even during a period of mass quarantines', 'co2 hits a new record']",real,Covid-19 lockdowns are a bad idea,flan-t5-base,mrf
Climate Change Legislation Included in Coronavirus Stimulus Deal,['unknown intent'],real,The government should be able to regulate climate change.,flan-t5-base,mrf
Extreme E: Lewis Hamilton helping make racing environmentally friendly,['lewis hamilton wants racing to be environmentally friendly'],real,The world is a better place if you're environmentally conscious.,flan-t5-base,mrf
"Cutting Greenhouse Gases From Food Production Is Urgent, Scientists Say",['food production contributes substantially to emissions'],real,"Cutting Greenhouse Gases From Food Production Is Urgent, Scientists Say",flan-t5-base,mrf
"World not doing nearly enough to stop 'catastrophic' global warming, UN report warns","[""the un says we aren't doing enough to fight climate change"", ""society isn't doing enough to fight climate change"", 'the un is worried about climate change']",real,Global warming is a global problem,flan-t5-base,mrf
Trump's Favorite COVID Adviser Goes on Kremlin-Backed RT to Blast Lockdowns as 'Epic Failure',"[""trump's favorite covid adviser does not agree with lockdown policies"", 'republicans see lockdowns as useless.', ""the president of a country employees people who don't believe in covid lockdowns"", ""trump's favorite covid adviser does not agree with lockdowns as working against covid""]",real,Trump's Favorite COVID Adviser Goes on Kremlin-Backed RT to Blast Lockdowns as 'Epic Failure',flan-t5-base,mrf
Six people died during the Pfizer vaccine tests,['vaccine against covid-19 is not safe'],misinfo,The vaccines are bad.,flan-t5-base,mrf
Environmental value of renewable energy varies from place to place,['renewable energy environmental value varies depending on the place'],real,The value of renewable energy varies from place to place.,flan-t5-base,mrf
German doctors bust the myth of coronavirus pandemic,"['significant misconceptions exist about covid in society at large', 'agencies have been lying about how dangerous covid is.', 'covid is not as deadly as has been reported', 'covid-19 is not a real disease', ""it's not necessary to take precautions around other people""]",misinfo,German doctors bust the myth of coronavirus pandemic,flan-t5-base,mrf
The Ukrainian parliament adopted the bill on the payouts during the lockdown to every Ukrainian.,['government created covid-19 for the economy'],misinfo,The Ukrainian parliament adopted the bill on the payouts during the lockdown to every Ukrainian.,flan-t5-base,mrf
New Footage Reveals Netflix Faked Walrus Climate Deaths,['netflix is lying about deaths of walruses due to climate change'],misinfo,The walruses are a joke.,flan-t5-base,mrf
The Fall of Trump Propels the Climate Story Into a Decisive New Era,['it is up to the new administration to see how effective their climate change policies will be'],real,The fall of Trump propels the climate story into a decisive new era.,flan-t5-base,mrf
'Happy corals': climate crisis sanctuary teeming with life found off east Africa,['corals are not dying off due to rising ocean temperatures'],real,'Happy corals': climate crisis sanctuary teeming with life,flan-t5-base,mrf
Climate crisis: CO2 remains at record levels despite Covid pandemic,"['climate change is an emergency just as much as the pandemic, and neither can be ignored']",misinfo,Covid pandemic is a global health crisis,flan-t5-base,mrf
Could the shipping industry derail plans to address the global climate emergency?,"['the shipping industry could derail climate change plans', ""shipping industries don't want climate action to happen as it will hurt their business""]",misinfo,The shipping industry is a bad business.,flan-t5-base,mrf
'Zombie' greenhouse gas lurks in permafrost beneath the Arctic Ocean,"['these gases will further contribute to climate change if released', 'if climate change melts the permafrost these gases will be released']",real,'Zombies' are a threat to the environment.,flan-t5-base,mrf
Biden's policies on climate change,['biden has taken a stance on climate control'],real,The world is a better place.,flan-t5-base,mrf
Oceanfront property tied to Obama granted exemption from Hawaii's environmental laws,['obama is taking advantage of his role as the president to skirt some environmental laws'],misinfo,The masks are better than others.,flan-t5-base,mrf
10-15% of Ukrainians will die from a foreign COVID-19 vaccine.,['a large number of people will die from foreign vaccine'],misinfo,The vaccine is a good thing.,flan-t5-base,mrf
Climate change: 2020 set to be one of the three warmest years on record,['2020 was one of the warmest years on record'],real,Climate change: 2020 set to be one of the three warmest years on record,flan-t5-base,mrf
European states ordered to respond to youth activists' climate lawsuit,['teens are leading away in the global warming movement'],real,European states should respond to youth activists' lawsuit,flan-t5-base,mrf
Bezos announces first winners of $10 billion climate-change pledge,"['a few environmental groups received large grants to help with climate change goals', 'bezos is keeping his word and giving out grants to help with climate change']",real,The world is changing,flan-t5-base,mrf
The nurse who fainted after receiving the COVID-19 vaccine has died,"['vaccines are very harmful', 'the vaccine causes death', 'vaccines can kill you', 'vaccine is dangerous']",misinfo,The nurse fainted after receiving the COVID-19 vaccine has died,flan-t5-base,mrf
The coronavirus is one big lie. Doctors and nurses in France took off their uniforms in protest.,"['disease does not exist', 'government officials are mendacious.', 'covid is a lie', 'the accepted narrative is deceptive.']",misinfo,The coronavirus is one big lie.,flan-t5-base,mrf
Youth leading the charge for climate action at Mock COP26,"['the next generation cares more about the environment', 'young activists are becoming more active in climate change movements.']",real,Youth leading the charge for climate action at Mock COP26,flan-t5-base,mrf
"Deforestation of Brazil's Amazon rainforest surges to 12-year high, prompting environmental warnings",['destroying the environment is higher than ever'],real,The world is destroying the rainforest.,flan-t5-base,mrf
Lily Cole: Why I'm focusing on the environment rather than artistic projects,['lily cole is focused on environment and not art'],real,The environment is important to me.,flan-t5-base,mrf
