headline,writer_intent,Generated,Model,Task
"A supplemental or medicinal oxygen tank can be substituted with a handmade ""oxygenator"" from a nebulizer or a fish tank pump.","[""it's possible for homemade devices to be as effective as medicinal grade ones are"", 'handmade ""oxygenator"" is just as good as a medical grade one']",Some alternatives are better than others,text-davinci-003,mrf
Revealed: Boris Johnson's Climate Change Champion Called Fracking 'Good For UK',"[""johnson's pick is a climate change denier"", ""boris johnson's champion on climate change thinks fracking is a good thing""]",Fracking may not be good for the environment,text-davinci-003,mrf
EU leaders agree to deeper cuts to greenhouse gas emissions by 2030,"[""the body thinks current standards weren't aggressive enough""]",The message is: Take action now,text-davinci-003,mrf
Those holiday returns come with a massive environmental footprint,"['returning holiday gifts has a bad impact on the environment.', 'even simple behaviors by consumers cause a lot of environmental damage']","The implied message is ""Think before you buy""",text-davinci-003,mrf
"Airport expansions must stop if we're to reach net zero emissions by 2050, say government's climate advisors",['climate advisors for the government say airport expansion has to stop'],The implied message is: Take action on climate change now,text-davinci-003,mrf
Climate crisis: Melting mountain ice reveals ancient artefacts in Norway,['ice that has been arround for thousands of years is melting'],The past can provide insight into the future,text-davinci-003,mrf
"People who experience symptoms such as sore throat, fever, dry cough, loss of smell can drink warm lemon water to cure COVID-19",['warm lemonade can cure covid'],No cure for COVID-19,text-davinci-003,mrf
Joe Biden already facing pressure to tackle backlog of 'unfunded' toxic waste sites threatened by climate crisis,['biden needs to take action on toxic waste sites'],Take action now,text-davinci-003,mrf
"American professor and virologist Robert F. Garry notes that 5G high-frequency towers were installed to control humans implanted with microchips, whereas the Masons and the Rockefellers allocated millions of U.S. dollars to finance the coronavirus vaccine in order to implant microchips in humans and control them through special computers and 5G technology.","['the government wants to microchip everyone via vaccines', 'rich and powerful people are trying to control the population', '5g technology is a trojan horse being created in order to control mankind.', 'covid vaccines are related to 5g and microchips', '5g and implanted microchips are being used to create the covid virus and have vaccines implant chips', '5g technology is a threat to humans.', 'american professor and virologist robert f. garry notes that 5g high-frequency towers were installed to control humans implanted with microchips', 'covid vaccines are implanting chips into people']","The implied message is ""Beware of Big Tech",text-davinci-003,mrf
"Pandemic has meant boom, not bust, for this university admissions company","['university admissions are going to be easier due to pandemic', 'some entities are doing well during the pandemic']",Some businesses can thrive in challenging times,text-davinci-003,mrf
The US is officially out of the Paris Climate Agreement. Here's what could happen next,['the us is no longer part of the paris climate agreement'],The consequences of inaction are dire,text-davinci-003,mrf
You were warned: COVID lockdowns morph to Climate Lockdowns?! Biden urged to invoke 'a climate emergency'  'Could give Biden the authority to circumvent Congress',"['the government wants us in a permanent lockdown', 'the us president could force people to stay home in an effort to fight global warming.', 'biden wants to institute a climate lockdown']",Some emergencies require drastic measures,text-davinci-003,mrf
No 10 and Treasury clash over spending on environmental agenda,"['the treasury and no 10 are fighting over climate change plans', 'no 10 and treasury clash over environmental agenda']","The implied message is ""tensions are high between No 10 and the Treasury",text-davinci-003,mrf
Massachusetts AG Tells Bloomberg Group of Plan to Use its Attorneys to Enforce Paris Climate Treaty,"['massachusetts ag will enforce the climate change policy', 'massachusetts ag will use its attorneys to enforce climate change policies']",Some actions are better than others,text-davinci-003,mrf
"WHO: Healthy people should not wear masks, they are harmful","['masks are bad for our health', 'the who is against mask use', 'masks should only be worn by sick individuals.', 'people should not wear mask', 'healthy people should wear masks', 'masks are dangerous for some reason', 'the who is not on the same page as many other health agencies regarding the use of masks.', 'masks are bad for healthy people']",Some masks are not necessary,text-davinci-003,mrf
"The cause of death of a 31-year-old woman was the flu vaccine. The deceased was given the flu vaccine as a preventive measure after his father was diagnosed with the coronavirus, however she herself was not infected with the coronavirus; Within hours of receiving the flu vaccine, he became paralyzed and died within 3 days.",['flu shot is dangerous'],"""Vaccines can have serious side effects",text-davinci-003,mrf
World Health Organization's (WHO) director-general said he had tested positive for COVID-19,['unknown intent'],Take precautions seriously,text-davinci-003,mrf
New Study Effectively Eliminates Confidence In Human Attribution For Modern 'Global Warming'  'Uncertainty about 80 times greater than anthropogenic signal detection',['climate change is a hoax'],Human contribution to global warming is uncertain,text-davinci-003,mrf
"Pick up the pace on combating climate change, Bank of Canada governor says",['unknown intent'],Take urgent action on climate change,text-davinci-003,mrf
"Supreme Court says plans for Heathrow third runway are legal, overturning climate crisis ruling",['supreme court overturns climate crisis ruling for heathrow'],The law trumps environmental concerns,text-davinci-003,mrf
Urban wood movement aims to fight climate change and create jobs,['a wood movement will help fight climate change and create jobs for people'],The implied message is: Taking action is important,text-davinci-003,mrf
What Biden Can Do About Climate Change,['biden is expected to state his plans soon'],"The implied message of the headline is ""Act Now on Climate Change""",text-davinci-003,mrf
Will John Kerry squander what time we have left to prevent climate catastrophe?,"['leadership must enact progressive climate change policies now', 'the time for denying climate change has past', 'government leaders must enact progressive climate change policies now']",Time is of the essence,text-davinci-003,mrf
"According to Norwegian and British scientists, SARS-CoV-2 is artificially generated",['covid-19 was genetically engineered'],The implied message is that artificial manipulation of viruses can have serious consequences,text-davinci-003,mrf
"Punishing Companies For CO2 Emissions Won't Affect Temps, Climate","['punishing companies wont help climate change', 'punishing companies wont change the climate']",Taking action on climate change is still important,text-davinci-003,mrf
Hypocrites and greenwash': Greta Thunberg blasts leaders over climate crisis,"['greta is harmful to society', 'greta is brainwashed', ""the government isn't doing enough about climate change""]","The implied message is ""actions speak louder than words",text-davinci-003,mrf
Only those who are vaccinated are allowed to move freely again in the Netherlands,"['government is forcing people to get vaccines in switzerland', 'you cannot move around in the netherlands unless you have the covid-19 vaccine']","The implied message is ""vaccination is key to freedom",text-davinci-003,mrf
Biden Plans to Move Fast With a 'Climate Administration'. Here's How.,"['the planet is a pressing issue for the government', 'biden takes climate change seriously']",Take swift action on climate change,text-davinci-003,mrf
EU ministers set tougher 2030 climate target into law,"['the climate situation is serious enough to warrant tougher measures', 'current measures were not effective enough in slowing climate change']",Some actions are better than others,text-davinci-003,mrf
"A chain that invites to verify personal data in the National Electoral Register since, according to the chain, they will be used for the vaccination campaign against the coronavirus","['personal data in the national electoral register is being used in a vaccination campaign.', 'government is using national electoral registry to find out information about people', 'government is overreaching']",The implied message is: Trust the official sources,text-davinci-003,mrf
Applesauce tested positive for COVID-19 and could transmit the disease,"['food products can give people covid-19', 'you can get covid from applesauce']",Be careful with food safety,text-davinci-003,mrf
"New Evidence That the Ancient Climate Was Warmer than Today's  'Roman Warming was the warmest in the last 2,000 years'","[""climate change isn't real""]",The past was warmer than the present,text-davinci-003,mrf
Biden gives a nod to environmental 'activists' but doesn't mention Green New Deal in message commemorating Paris Agreement,"['biden is active on climate matters', 'the potus slighted aoc']",Some actions speak louder than words,text-davinci-003,mrf
"Iona, basketball coach Rick Pitino announce 2nd COVID-19 season pause","['sports are being affected by the disease', 'society and life are interrupted', 'the virus can spread during sports', 'playing sports can be risky during pandemic']","The implied message is ""Take COVID-19 precautions seriously",text-davinci-003,mrf
mRNA vaccines are genetically manipulated.,"[""people don't know that that's how mrna vaccines work"", 'mrna vaccine is genetically manipulated']",Some vaccines are more advanced than others,text-davinci-003,mrf
Climate Wins  Sort of  in a Largely Inadequate Stimulus Package,['the funding for climate change was low'],Some progress is better than none,text-davinci-003,mrf
UK Coronavirus LIVE: England prepares for second lockdown,"['the uk will be shutting down again because of the pandemic', 'the government is going to prevent the spread of covid by locking down', 'covid is getting worse in this area so people have to stay inside']",Prepare for restrictions,text-davinci-003,mrf
Eating roasted orange and brown sugar will restore your sense of taste if you have recovered from COVID-19,"['eating oranges roasted with brown sugar will restore loss of taste and smell due to covid-19 infection', 'a lot of people are struggling with loss of taste and smell after covid.', 'nature ingredients will make someone less susceptible to covid.', 'eating roasted orange and brown sugar will cure your taste buds from covid', 'simple treatments can return a sense of smell lost to covid']",Eating certain foods can help with recovery,text-davinci-003,mrf
White House Ousts Top Climate Change Official,['the white house lost confidence in their top climate change official'],"The message implied is ""Climate Change Denial is Official Policy",text-davinci-003,mrf
"A Bipartisan Climate Policy? It Could Happen Under a Biden Administration, Washington Veterans Say","['democrats care about climate chang', 'biden could institute a bipartisan climate agreement', ""a bipartisan climate change policy could come about under biden's administration"", 'climate policy may happen with democrat leadership']",Bipartisan cooperation is possible,text-davinci-003,mrf
"The Moderna or Pfizer vaccine is not a vaccine, it is a hoax. These are products of RNA gene therapy, not vaccines. This technique has never been studied in animals. Humans will be the first guinea pigs on earth. This can permanently and irreversibly alter our genes, chromosomes, so that these abnormalities can be passed on to our children.","['the vaccine will alter your genes', 'the vaccine is harmful', 'the vaccines will mutate our body', 'the vaccine has not been tested', 'the vaccine is not safe']",RNA gene therapy is risky,text-davinci-003,mrf
The Paris Agreement Is 5 Years Old. Is It Strong Enough to Prevent Climate Catastrophe?,"['government officials are not on the same page when it comes to climate change policies', 'the paris agreement may not be strong enough to fight climate change']","The implied message is: ""Some progress is better than none",text-davinci-003,mrf
NPR Reverts to State-Run Radio with Socialist Softballs for Climate Czar John Kerry,"['more action is needed', 'some feel station is not aggressive', 'government controls the message']",Government control of media is biased,text-davinci-003,mrf
Climate change: Hurricanes get stronger on land as world warms,"['our disasters are getting worse every year', 'stronger hurricanes are a bad thing', 'climate change is a serious threat']",The implied message is: Climate change has serious consequences,text-davinci-003,mrf
"Confusion as Covid hotspots Greenwich, Hackney and Haringey left off primary school closures list","['covid school closings are inconsistent', 'the response to the spread of coronavirus is so rushed that many things are overlooked.']",Some are being left behind,text-davinci-003,mrf
Two persons died after receiving the covid vaccine,"['covid vaccines are dangerous', 'the vaccine is unsafe', 'deaths from a widely administer vaccine are abnormal', 'people should not get the vaccine', 'the vaccine can be deadly', 'people died from receiving the treatment.', 'there may be a relationship between a few deaths and the covid vaccine.']","The implied message is ""vaccines are not 100% safe",text-davinci-003,mrf
Warp Speed official says vaccine rollout has fallen short of goal,"['vaccines may not be available for people as expected', 'the lockdowns may continue longer than expected', 'the vaccine development effort was not as successful as the hype around it would suggest it would be.', ""society won't get vaccinated as quickly as expected""]","The implied message is ""expectations not met""",text-davinci-003,mrf
Joe Biden said chloroquine is effective against Covid-19,"[""people should trust joe biden's advice on covid treatments"", 'government official supports the drug', 'there is treatment for covid-19', 'the drug is effective against covid-19']",Beware of false claims,text-davinci-003,mrf
Covid hits 32 at care home as huge outbreak takes hold,"['care homes are susceptible to covid outbreaks.', 'covid spreads rapidly in shared living spaces']","The implied message is: ""Take extra precautions to protect vulnerable populations",text-davinci-003,mrf
Biden Team Close to Announcing Picks for Core Climate and Energy Jobs,"['biden to announce nominees', 'a governments direction in climate control will be known soon']",The Biden team is taking climate and energy seriously,text-davinci-003,mrf
Biden's advisors urge him to use 'U.S. financial regulation as a tool to fight global warming'  Central banks to 'mitigate climate risks to financial markets',['climate change can cause financial damage'],Regulate to Reduce Risk,text-davinci-003,mrf
Biden Would Make Combating Climate Change an 'All-of-Government Agenda',"['climate change will be center to administration̢\x80\x99s agenda', 'biden takes climate change seriously and will act accordingly.']",The implied message is: Taking action on climate change is a priority,text-davinci-003,mrf
Siberian Environmentalist Detained for Poaching World's Largest Sheep  Reports,"[""siberian environmentalists detained for poaching world's largest sheep""]","The implied message is ""environmental protection is not a free pass",text-davinci-003,mrf
Canada needs proactive climate change strategies now to avoid huge disaster bills later,"['climate change is accelerating', 'canada needs to take action on climate change now to avoid high costs and bills', 'changes need to be made now to prev']",Take action now to avoid costly consequences later,text-davinci-003,mrf
Over-the-counter products such as vitamins and tonic water are the key to tackling the pandemic.,"[""other treatments aren't necessary."", 'treatments exist to prevent covid-19', 'water and vitamins can help protect people from covid-19.', 'regular products can help fight covid']",Vitamins and tonics can help protect against the virus,text-davinci-003,mrf
Happy corals': climate crisis sanctuary teeming with life found off east Africa,['unknown intent'],The implied message is: Hope for a better future,text-davinci-003,mrf
Ivermectine is a proven cure for Covid-19,"['the pandemic is over', 'a cure has been found']",Ivermectine is a potential treatment for Covid-19,text-davinci-003,mrf
Government begins sending $600 COVID-19 stimulus payments to millions in U.S.,"['the people in the country need stimulus money to get by', ""the government is trying to help it's citizens""]",The government is providing financial relief,text-davinci-003,mrf
Masks can not protect you from contracting COVID-19 variants. You should use N95 respirator.,"['there is no way to stay safe without medical grade protective gear.', ""masks can't help with the variations of the coronavirus"", 'you need to wear an n95 mask even in daily situations', 'the disease is easily transmissible with mask wearing', 'masks are useless now']",Some masks are better than others,text-davinci-003,mrf
Climate Activists Cheer Biden Win,"[""only one of america's major parties is concerned with the environment""]","The message implied is ""Hope for Climate Change""",text-davinci-003,mrf
"Colorado's COVID-19 hospitalizations surge to highest level since late April, accelerating faster than state's models predicted","['infection rates are still at high levels in certain regions.', 'the state is doing much worse in the pandemic']",The implied message of the headline is: Take COVID-19 seriously,text-davinci-003,mrf
"""We're in a crisis"": Biden introduces climate policy team","['government is serious about climate change', 'biden is taking steps to help the environment', 'biden cares about climate change']","The implied message is ""Act Now on Climate Change""",text-davinci-003,mrf
"An article from the Tierra Pura site that states that ""aborted fetuses are being used in vaccines"" against COVID-19","['the shots used to prevent the virus are derived from dead babies.', 'fighting the virus is evil or unnatural.', 'dead human parts are injected in vaccines', 'vaccines are being made unethically', 'immunizations are evel.']","The implied message is ""be wary of vaccines""",text-davinci-003,mrf
Georgia Clinched Biden's Victory. Now It Will Decide His Climate Agenda's Fate.,"['the new administration will have policy on climate change', ""biden's victory was due to georgia and now georgia must decide on climate change agenda fate""]",Georgia's vote matters,text-davinci-003,mrf
A road charging system could be a game changer for the climate  but I have four warnings for Rishi Sunak,['road charging system could help climate'],The message is: Proceed with caution,text-davinci-003,mrf
"'Past a point of no return': Reducing greenhouse gas emissions to zero still won't stop global warming, study says","['reducing greenhouse gas emissions to 0 will not stop climate change', 'society has damaged the climate past the point of repair']","The implied message is: ""Act now before it's too late",text-davinci-003,mrf
"Environmental policy is labor policy, and Biden must make that clear","['biden can make climate policy and labor policy work together', 'environmental policy is labor policy and this must be clarified by biden']","The implied message is: ""Environmental protection is essential for workers' rights",text-davinci-003,mrf
"Biden introduces his climate team, says 'no time to waste'","['climate crisis is an emergecy', 'biden thinks climate change is an urgent issue', 'biden created a climate team quickly', 'biden cares about cliamte change', 'biden does not want to waste time when it comes to the environment']","""Act now on climate change",text-davinci-003,mrf
Overworked Frontline Workers In Sri Lanka,['unknown intent'],"The implied message is ""Workers Need More Support""",text-davinci-003,mrf
"No, Climate Change Is Not Causing More Ice Drownings","['climate change is not an issue', 'ice is not melting at a rate that contributes to drowning']",Climate change is not a factor in ice drownings,text-davinci-003,mrf
Evanston school officials say no evidence of hacking found after student encountered racial slur on remote learning platform,['someone made up a story about hacking to hide their involvement regarding  saying racial slurs online'],Racism has no place in education,text-davinci-003,mrf
"Africa's richest man, Aliko Dangote, running a Facebook giveaway for money, food and other assistance to 10,000 youths who have lost loved ones to the COVID-19 pandemic.","['you can win money on facebook if you have lost a family member and live in africa', 'many youngsters in africa are suffering the loss of their families.', 'many youths in africa have lost their parents or guardians']","""Giving back to those in need",text-davinci-003,mrf
How shifting from meat-heavy to plant-based diets can help allay the climate crisis,"['eating less meat would benefit the environment.', 'eating meat is a driver of climate change.']","The message is: ""Eat less meat to help the environment",text-davinci-003,mrf
Nicola Sturgeon hails 'encouraging' coronavirus signs in new Scottish lockdown,"['nicola sturgeon is hopeful about covid in scotland', ""scotland is under lockdown due to covid, but there are good signs it's turning around"", 'the pandemic is getting better']",Scotland is making progress in fighting COVID-19,text-davinci-003,mrf
Senator Chris Coons on likelihood of Senate approving higher stimulus checks,['senator chris coons is talking about getting higher stimulus checks to people'],The Senate's support for higher stimulus checks is uncertain,text-davinci-003,mrf
Warnings on fines as England's new lockdown begins,"['the government is issuing fines in trying times', 'pandemic is getting worse', 'some regions are fining citizens for now following quarantine laws', 'people are being fined']",The implied message is: Take precautions seriously,text-davinci-003,mrf
"Election 2020 Today: Pence to Georgia, Biden's climate team",['climate change will play a pivotal role in the 2020 election'],"The implied message of the headline is ""Election season is in full swing",text-davinci-003,mrf
A six-year-old girl from the Schweinfurt area of Bavaria fainted on a school bus on September 28 while returning home from school and died.,['unknown intent'],"The implied message is ""the importance of safety measures""",text-davinci-003,mrf
U.S. formally exits Paris pact aiming to curb climate change,['the us exited the paris pact on climate change'],"The message implied is ""Actions have consequences",text-davinci-003,mrf
The Club of Rome is working to reduce the world's population to one billion.,['group wants to reduce amount of living people'],Population control is necessary,text-davinci-003,mrf
Stossel Column: The Climate Hustle,['climate change is a party issue'],The implied message of the headline is that climate change is being overhyped,text-davinci-003,mrf
No deaths from COVID-19 in Israel because of a cure for the virus made with lemon and baking soda,"['the government has found a cure', 'there is a cure for the virus', 'the pandemic is over']",No cure exists for COVID-19,text-davinci-003,mrf
Climate Change--and Research--Raced Forward as Trump Turned His Back,['trump is a climate change denier'],The implied message is: Ignoring the facts has consequences,text-davinci-003,mrf
"US and Germany must stand 'side by side' in handling coronavirus and climate change, says Angela Merkel",['merkel believes these two superpowers must step up on climate change'],"The implied message is ""united we stand, divided we fall",text-davinci-003,mrf
"Archbishop Vigano says that ""deep state"" wants to conquer humanity through the ""Great Reset"".","['secret cabals control the world', 'some figures want to control and restart things', ""the archbishop's opinions are worthy of note""]",Some agendas are more sinister than others,text-davinci-003,mrf
A paramedic reports 40 injured and 7 severely injured people at the Coronavirus demonstration in Berlin on November 18th,"['protests opposing lockdowns are becomin violent.', 'the people a resisting quarantine policies', 'many people were injured at a covid demonstration', 'violence is occurring at covid protests']","The implied message is ""Take precautions against COVID-19",text-davinci-003,mrf
In Spain more people are probability of falling ill from the vaccine than from Covid-19,"['vaccines are hurting more people', 'vaccines are dnagerous']",Vaccines are more effective than Covid-19,text-davinci-003,mrf
"Arctic's Shift to a Warmer Climate Is 'Well Underway, Scientists Warn",['climate change may have done irreparable damage already'],The implied message is: Climate change is happening now,text-davinci-003,mrf
Rusting oil tanker could create one of the worst environmental disasters in history,['there is a rusting tanker that could cause bad damage to the environment'],The implied message is: Take action now to prevent disaster,text-davinci-003,mrf
"It is possible to identify the coronavirus not only with a PCR test, but also with a blood test, and that this method is used in multiple countries","['blood tests for coronavirus could be used for confirming positive cases.', 'multiple testing methods exist', 'the blood test may be preferable to the pcr test', 'there may be more tests available than many people think']",Testing for coronavirus is important,text-davinci-003,mrf
"Home Office unlawfully failing to protect trafficking survivors from hostile environment, says High Court","['police is irresponsible.', 'trafficking survivors are not protected by home office']","The implied message is: ""Justice is not always served",text-davinci-003,mrf
"China President Xi's Climate Con Trick: Continue to increase CO2 emissions through at least 2030, but 'aim' to stop doing so before then","['china is not taking climate policy seriously enough', 'some political figures do not care about climate change.', 'china is not trustworthy.', 'some countries can use climate change policies for their own benefit.', 'emissions will not be decreased as quickly as they should be']",Some promises are not to be trusted,text-davinci-003,mrf
"Bill Gates as early as 2018 prophesied the pandemic at Event 201, says legislator Sara Cunial","['some scientists and other public figures correctly predicted that a pandemic would occur eventually', 'covid-19 was created', 'government and high power people created covid-19']",The importance of preparedness,text-davinci-003,mrf
8 Beauty Products That are Harming the Environment and 8 You Can Use Instead,['unknown intent'],Choose eco-friendly alternatives,text-davinci-003,mrf
The new strain of coronavirus was announced by Boris Johnson. Scientists have not made any statement on the issue.,"['public is easy to mislead', 'political figures may know more than others', ""government official wasn't supposed to tell the public"", 'the pandemic is not close to being over']",More research is needed,text-davinci-003,mrf
"Carbon Capture, Climate Levels Trigger Earlier Shedding of Leaves","['climate change is causing leaves to fall earlier', 'climate levels cause earlier shedding of leaves']",The implied message is that climate change is having an effect on nature,text-davinci-003,mrf
Should the price of meat reflect its impact on the environment?,['price of meat should be set to reflect its impact'],"Yes, some prices are better than others",text-davinci-003,mrf
Having kids increases global warming. But don't blame the parents,"['increasing population will make climate change worse', 'the urge to procreate is natural', 'the more people there are the more we pollute']",Having children is not the cause of global warming,text-davinci-003,mrf
You're Paying for This! PBS's Amanpour SLIMES U.S. as 'AWOL' on Climate Deal,"['the us government does not care about the climate deal', 'the country is not doing enough to prevent climate change', 'the us does not care about climate change policies']",The US is neglecting its responsibility on climate change,text-davinci-003,mrf
"""Totally unacceptable"": Army secretary condemns command climate","['the army secretary does not like a command climate', 'the army is against command climate']","The implied message is ""zero tolerance for toxic behavior",text-davinci-003,mrf
Climate crisis: CO2 hits new record despite Covid-19 lockdowns,"['co@ emissions are becoming worst even during a period of mass quarantines', 'co2 hits a new record']","The implied message is: ""Climate change is still happening",text-davinci-003,mrf
Climate Change Legislation Included in Coronavirus Stimulus Deal,['unknown intent'],"The message implied is ""Climate action is necessary now",text-davinci-003,mrf
Extreme E: Lewis Hamilton helping make racing environmentally friendly,['lewis hamilton wants racing to be environmentally friendly'],"The implied message is ""Going green is possible",text-davinci-003,mrf
"Cutting Greenhouse Gases From Food Production Is Urgent, Scientists Say",['food production contributes substantially to emissions'],The urgency of reducing greenhouse gas emissions from food production is emphasized,text-davinci-003,mrf
"World not doing nearly enough to stop 'catastrophic' global warming, UN report warns","[""the un says we aren't doing enough to fight climate change"", ""society isn't doing enough to fight climate change"", 'the un is worried about climate change']",The world needs to act now,text-davinci-003,mrf
Trump's Favorite COVID Adviser Goes on Kremlin-Backed RT to Blast Lockdowns as 'Epic Failure',"[""trump's favorite covid adviser does not agree with lockdown policies"", 'republicans see lockdowns as useless.', ""the president of a country employees people who don't believe in covid lockdowns"", ""trump's favorite covid adviser does not agree with lockdowns as working against covid""]",Lockdowns are ineffective,text-davinci-003,mrf
Six people died during the Pfizer vaccine tests,['vaccine against covid-19 is not safe'],"The implied message is ""safety first",text-davinci-003,mrf
Environmental value of renewable energy varies from place to place,['renewable energy environmental value varies depending on the place'],Renewable energy benefits vary,text-davinci-003,mrf
German doctors bust the myth of coronavirus pandemic,"['significant misconceptions exist about covid in society at large', 'agencies have been lying about how dangerous covid is.', 'covid is not as deadly as has been reported', 'covid-19 is not a real disease', ""it's not necessary to take precautions around other people""]","The implied message is: ""Not all pandemics are the same",text-davinci-003,mrf
The Ukrainian parliament adopted the bill on the payouts during the lockdown to every Ukrainian.,['government created covid-19 for the economy'],The government is taking action to support citizens during difficult times,text-davinci-003,mrf
New Footage Reveals Netflix Faked Walrus Climate Deaths,['netflix is lying about deaths of walruses due to climate change'],Some media is not to be trusted,text-davinci-003,mrf
The Fall of Trump Propels the Climate Story Into a Decisive New Era,['it is up to the new administration to see how effective their climate change policies will be'],"The implied message of the headline is: ""A New Era of Climate Action is Here",text-davinci-003,mrf
'Happy corals': climate crisis sanctuary teeming with life found off east Africa,['corals are not dying off due to rising ocean temperatures'],The implied message is: Hope still exists,text-davinci-003,mrf
Climate crisis: CO2 remains at record levels despite Covid pandemic,"['climate change is an emergency just as much as the pandemic, and neither can be ignored']","""Business as usual is not enough",text-davinci-003,mrf
Could the shipping industry derail plans to address the global climate emergency?,"['the shipping industry could derail climate change plans', ""shipping industries don't want climate action to happen as it will hurt their business""]","Yes, some solutions are better than others",text-davinci-003,mrf
'Zombie' greenhouse gas lurks in permafrost beneath the Arctic Ocean,"['these gases will further contribute to climate change if released', 'if climate change melts the permafrost these gases will be released']","The implied message is: ""Climate change is a serious threat",text-davinci-003,mrf
Biden's policies on climate change,['biden has taken a stance on climate control'],Joe Biden is committed to tackling climate change,text-davinci-003,mrf
Oceanfront property tied to Obama granted exemption from Hawaii's environmental laws,['obama is taking advantage of his role as the president to skirt some environmental laws'],Power and privilege prevail,text-davinci-003,mrf
10-15% of Ukrainians will die from a foreign COVID-19 vaccine.,['a large number of people will die from foreign vaccine'],"""Vaccines can save lives",text-davinci-003,mrf
Climate change: 2020 set to be one of the three warmest years on record,['2020 was one of the warmest years on record'],"The implied message is ""Climate change is real and happening now",text-davinci-003,mrf
European states ordered to respond to youth activists' climate lawsuit,['teens are leading away in the global warming movement'],The message is: Take action on climate change,text-davinci-003,mrf
Bezos announces first winners of $10 billion climate-change pledge,"['a few environmental groups received large grants to help with climate change goals', 'bezos is keeping his word and giving out grants to help with climate change']",Taking action on climate change is important,text-davinci-003,mrf
The nurse who fainted after receiving the COVID-19 vaccine has died,"['vaccines are very harmful', 'the vaccine causes death', 'vaccines can kill you', 'vaccine is dangerous']","The implied message is ""vaccines can be dangerous",text-davinci-003,mrf
The coronavirus is one big lie. Doctors and nurses in France took off their uniforms in protest.,"['disease does not exist', 'government officials are mendacious.', 'covid is a lie', 'the accepted narrative is deceptive.']","The implied message is ""question authority",text-davinci-003,mrf
Youth leading the charge for climate action at Mock COP26,"['the next generation cares more about the environment', 'young activists are becoming more active in climate change movements.']",Youth are taking the initiative on climate change,text-davinci-003,mrf
"Deforestation of Brazil's Amazon rainforest surges to 12-year high, prompting environmental warnings",['destroying the environment is higher than ever'],The environment is at risk,text-davinci-003,mrf
Lily Cole: Why I'm focusing on the environment rather than artistic projects,['lily cole is focused on environment and not art'],"The implied message is: ""Taking action on the environment is more important than artistic pursuits",text-davinci-003,mrf
Morano in Bloomberg News: 'Trump should undertake a hiring bonanza of skeptical climate scientists' in Govt  'A scientific version of affirmative action hiring practices',['the media talks about trump'],Hire for diversity of opinion,text-davinci-003,mrf
People will be killed for violating quarantine restrictions. It has already happened in Albania.,"['not following the quarantine restrictions in albania is fatal.', 'albanian government is already harming people for violating covid-19 restrictions', 'government will harm people for violating covid-19 restrictions']",Breaking quarantine can have deadly consequences,text-davinci-003,mrf
Climate crisis: Lancashire fracking site 'leaked emissions equivalent to 142 transatlantic flights',"['fracking worsens climate change', 'allowing hydraulic fracturing is a disaster in itself.']","The implied message is ""Climate change has serious consequences",text-davinci-003,mrf
Wasserman Schultz makes climate pitch in Appropriations gavel bid,"['government is actively involved in climate change policies', 'schultz cares about climate change']",The implied message of the headline is that Rep,text-davinci-003,mrf
A man vaccinated with Pfizer's COVID-19 vaccine showed symptoms of Ebola as he bled out all over his body and died.,"[""vaccines aren't safe."", 'vaccines are not safe', 'covid19 vaccine causes ebola symptoms', 'vaccines are dangerous']","""Vaccines are not foolproof",text-davinci-003,mrf
"UK coronavirus deaths surge by almost 1,000 as cases up by more than 50,000 for second day","['infection numbers are going up in uk', 'pandemic deaths are rising rapidly']",The implied message of the headline is: Take precautions seriously,text-davinci-003,mrf
This could be our secret weapon against climate change,['there is a secret weapon against climate change'],"The implied message is ""There is hope for the future",text-davinci-003,mrf
The lockdowns have had one effect that should make climate hawks happy,['lockdowns have had one effect that should make those concerned about climate happy'],Lockdowns can reduce emissions,text-davinci-003,mrf
Coronavirus: What has Covid done for climate crisis?,['covid may have affected climate crisis'],"""Every crisis is an opportunity",text-davinci-003,mrf
No 10 accused of 'cavalier attitude' to UK's climate summit duties,['unknown intent'],"The implied message is ""actions speak louder than words",text-davinci-003,mrf
How to Avoid a Climate Disaster,"[""bill gates's book is full of ideas and solutions."", 'a climate disaster is impending']","The implied message is ""Take Action Now to Prevent Climate Change""",text-davinci-003,mrf
Natural ingredients and plants can cure the coronavirus,"['there is a cure for a virus.', 'you can get better from covid 19 with a home remedy']",Natural remedies may be beneficial,text-davinci-003,mrf
The International Court of Human Rights regulates the use of chlorine dioxide for any person who requires it,"['chlorine dioxide is a suitable treatment', 'the court is advocating the use of the substance for preventing covid', 'excessive use of chlorine dioxide is dangerous.', 'chlorine dioxide might be unsafe to use.']",Chlorine dioxide use is regulated,text-davinci-003,mrf
Deal-Makers and Fighters Make up Biden's New Climate Team,"['biden has a climate team', 'biden administration is taking climate change seriously.']",Teamwork is key to success,text-davinci-003,mrf
"Climate catastrophes cost nations billions in 2020, report finds",['climate change leads to disasters that people cannot afford'],The cost of climate change is high,text-davinci-003,mrf
Fossil fuel influence targeted in fight to control climate agenda in next parliament,"['political entities are focused on big industry in the fight against global warming', 'big corporations have undue influence in the fight against global warming']",The implied message is: Taking action on climate change is a priority,text-davinci-003,mrf
