premise,hypothesis,labels,additional_labels,Generated,Generated_Label,Model,Task
The pen is insignificant than the sword.,The pen is mightier than the sword.,Contradiction,"The pen is often seen as mightier than the sword because it is thought to be able to influence and change people's minds, while the pen is insignificant mean it is an useless thing.","The pen is mightier than the sword, which is a symbol of insignificantness.",Contradiction ,baseline,flute
I got a speeding ticket because I was going too fast.,I feel as if I'm the perfect driver for getting caught going too fast and being gifted with a speeding ticket as a result.,Contradiction,Speeding tickets are costly and getting caught going too fast implies that the driver was not following traffic rules which makes them an irresponsible driver.,"To be gifted with a speeding ticket means to be caught going too fast, but in this context the driver is being gifted with a ticket because they are going too fast.",Contradiction ,baseline,flute
I caught my neighbor letting his dog poop on my lawn.,I got overjoyed when I saw my neighbor let his dog poop on my lawn,Contradiction,Most people would not find it joyful to see their neighbor's dog poop on their lawn and instead would be angry and frustrated.,Seeing someone let their dog poop on their lawn is not a good thing and so someone who saw it would not be overjoyed.,Contradiction ,baseline,flute
"Added smoothness to the rugged hills ,","Touched the rugged hills with smoothness ,",Entailment,Touching with smoothness means adding softness or taking away roughness.,"To touch something means to add something to it, but in this context the speaker added smoothness.",Contradiction ,baseline,flute
I really don't like it when people talk during a movie.,I think it's really rude when people talk during a movie and ruin the experience for everyone,Entailment,People go to the movies to watch the film and hear the audio so when people talk during a movie it often disrupts the experience for other people who are trying to enjoy the film,"When people talk during a movie and ruin the experience for everyone, it is rude and not something to enjoy.",Contradiction ,baseline,flute
"Yesterday, I saw my best friend in the park, he was with my ex.","Yesterday, I saw my best friend in the park and it made me absolutely elated to see him with my ex.",Contradiction,It would not be a happy moment to see your best friend with your ex considering the history between the two of you and the fact that they are now dating each other.,Seeing someone with their ex is not a good thing and so seeing them with their ex would not make them happy.,Contradiction ,baseline,flute
Last night I ate 12 Big Mac's from McDonalds and felt guilty,I feel terrible about the fact that I ate 12 Big Mac's from McDonalds last night,Entailment,Eating 12 Big Mac's from McDonalds is a lot of food and can often make people feel guilty because it is an unhealthy amount of food to consume in one sitting,Eating 12 Big Mac's from McDonalds is not a good thing and so someone who feels guilty about it is not going to feel good about it.,Contradiction ,baseline,flute
My daughter is being bullied at school and her teachers aren't doing a thing about it.,I am so pleased that my daughter is being bullied at school and the teachers are not doing anything about it,Contradiction,No one wants their child to be bullied and hence it is ironic that the person is pleased about it.,The teachers are not doing anything about bullying and so the person is not pleased about it.,Contradiction ,baseline,flute
I was in a roomful of people but felt like I was by myself,I felt really alone in the room because I didn't feel like anyone was paying attention to me,Entailment,If someone is in a room with a lot of people but feels like no one is paying attention to them they are likely to feel alone,It is not a good feeling to feel alone in a room because it is a place where people are not paying attention to one another,Contradiction ,baseline,flute
The taste of agony was very less and I did not feel any suffering.,The taste of agony coated thick upon my tongue.,Contradiction,"The thick coating of agony would be something that is intense and overwhelming, while saying it is very less suggests that it is not as strong or potent.","To coat thick means to cover it with a thin layer of food, but in this context the taste of agony is very less and the person does not feel any suffering.",Contradiction ,baseline,flute
I really do no like worms.,The slimy feel of worms makes me really scared,Entailment,The sensation of touching something slimy can be really unpleasant and often worms are seen as dirty creatures so it is natural to feel scared when coming into contact with them,worms are a very dangerous and dangerous animal and so the smell of them is not something to be scared of.,Contradiction ,baseline,flute
I had already insinuated the idea to her.,I had already planted the idea in her mind.,Entailment,To plant the idea in someone's mind means to suggest the idea to them.,"To plant something means to insinuate it, but in this context the speaker is insinuating the idea to her.",Contradiction ,baseline,flute
"By midnight, mia was feeling the effects of the alcohol, and she slowed her intake while the others continued to not celebrate at all.","By midnight, mia was feeling the effects of the alcohol, and she slowed her intake while the others continued to whoop it up.",Contradiction,"To whoop it up means to celebrate, especially with cheers and whoops, but the context describes the others not celebrating at all","To whoop it up means to celebrate something, but in this context mia is not celebrating at all",Entailment ,baseline,flute
My boss suddenly just took that project I was working hard on away from me for no good reason!,I can't believe my boss just took that project I have been working hard on away from me for no good reason!,Entailment,It is frustrating when someone takes away something that you have been working hard on without a good explanation or justification,The boss is not a good person and so someone who is not a good person can't believe it.,Contradiction ,baseline,flute
His eyes begin to tear up and they look luminescent.,"As you approach him, his eyes begin to shed tears that appear like glow-in-the-dark stars.",Entailment,"glow-in-the-dark stars are usually luminescent, so the simile in this context means that tears are luminescent.","Glow-in-the-dark stars are bright and glowing, so the eyes are shedding tears that look like luminescent stars.",Contradiction ,baseline,flute
It was completely outdated and unpopular when I went to use it last night.,It was dead as a dodo when I went to use it last night.,Entailment,"To be dead as a dodo means to be outdated or unpopular, and in this sentence it was both of those things when the speaker tried to use it last night.","To be dead as a dodo means to be unpopular or outdated, but in this context it is outdated and unpopular",Contradiction ,baseline,flute
"Moreover, the storm caused a great deal of distress to the inhabitants of the town.","In addition, the storm bombed the town.",Entailment,The word bombed is used here to mean that the storm caused a great deal of damage to the town and its inhabitants.,The storm bombed the town means that it caused a great deal of distress to the inhabitants of the town.,Contradiction ,baseline,flute
In making political agreements there are always multiple layers of complexity.,In making political agreements there are always wheels within wheels.,Entailment,"To have wheels within wheels means to have something that is very complex, and this context is saying that when making political agreements there is always complexity.","To wheels within wheels means to multiple layers of complexity, which is what the speaker is saying.",Entailment ,baseline,flute
She will start putting the showing together as soon as you give her permission to do so.,She will start putting the showing together as soon as you give the go ahead.,Entailment,"To give the go ahead means to give permission to do something, which is what she needs in order to start putting the showing together.","The go ahead is when someone gives permission to do something, so the speaker is giving permission to do it.",Contradiction ,baseline,flute
"I am so upset, my phone was on top of my car and it fell off and shattered.","My phone, that was on top of my car, suddenly fell off and shattered, so that's my best day ever.",Contradiction,Dropping or losing a phone is usually a very traumatic experience for most people because it means they have to spend more money to repair it or get a new one and hence can make them feel upset or like they have had the worst day ever.,A phone that was on top of a car suddenly fell off and shattered is often seen as a sign of a serious problem and so the person's best day is not a good one.,Contradiction ,baseline,flute
His declarations doused the fire in the community.,His declarations sparked a fire in the community.,Contradiction,"Both statements are contradictory because the one statement implies that his declaration made the community excited whereas the second means the exact opposite, i.e., putting out the excitement.","Sparked a fire means that the fire was sparked, while doused is saying that the declarations did not cause the fire.",Entailment ,baseline,flute
I am so behind on my housework.,I feel excellent that I have not been able to keep up with my housework like I wanted to,Contradiction,Not being able to keep up with housework is a negative thing as it means the house is not clean and tidy and hence the person does not feel excellent about it.,It is not a good feeling to feel excellent about not being able to keep up with housework like you wanted to.,Contradiction ,baseline,flute
Democrats are willing to compromise with the president on measures to stimulate the economy.,Democrats are willing to meet the president halfway on measures to stimulate the economy.,Entailment,"To meet someone halfway means to compromise with them, and that is what the Democrats are willing to do with the president.","To meet halfway means to compromise with the president, but in this context the president is willing to compromise",Contradiction ,baseline,flute
My family buys my adult sister things all the time but can't really help me out when I need it.,I feel terrible that my family buys my adult sister things all the time but can't really help me out when I need it,Entailment,It is often unfair when one sibling is given more resources than another and in this case it seems particularly unjust because the sister who is being given more resources is an adult,It is not a good thing to have someone buy something from someone else because it is not a good thing to have.,Contradiction ,baseline,flute
"He's befuddled when he says that even though I sit in the back and he sits in the front, """"it should still be fine.","I mean, he sits in the front and I sit in the back, but - """"it should still be fine,"" he says, sounding about like a doctor who's just dropped his keys in his patient's open heart cavity.",Entailment,A doctor who drops his keys in an open heart cavity would be befuddled and nervous at the thought of doing something terrible by mistake and the simile is used to show how out of place and confused the doctor sounds when he makes this statement.,A doctor who's just dropped his keys in an open heart cavity is not a doctor who is a doctor and so the speaker is sounding like he's befuddled,Contradiction ,baseline,flute
My friend stole 50 dollars from me.,My so-called friend who I thought was trustworthy ended up stealing 50 dollars from me,Entailment,"When someone who is supposed to be a friend violates that trust by stealing from the person, it is natural to feel disappointed and upset",A friend who is not trustworthy is not trustworthy and so someone who is not trustworthy ends up stealing 50 dollars from them.,Contradiction ,baseline,flute
My best friend left me alone at the bar with a random stranger while I was drunk instead of getting me home,My best friend abandoned me at the bar with a random dude while I was hammered instead of getting me home,Entailment,Being abandoned at a bar by your best friend while you are drunk and with a random stranger is pretty scary and not something that a good friend would do,A dude is a person who is not a good friend and so leaving someone alone at a bar with a stranger while they are drunk is not a good thing.,Contradiction ,baseline,flute
I am sad it is my birthday and I feel really sick,I like feeling really sick and also not being able to enjoy my birthday,Contradiction,Most people would not like to feel sick and not be able to enjoy their birthday and so someone saying that they like it is being sarcastic,It is not a good thing to be able to enjoy one's birthday because it is a day when people are not able to enjoy it.,Contradiction ,baseline,flute
"‘ I think she 'd do better to understand herself , ' Ellen said in a harsh sarcastic tone.","‘ I think she 'd do better to understand herself , ’ Ellen said tartly .",Entailment,To say something tartly means to say it in a way that is critical or harsh.,"To be tart means to be sarcastic or harsh, but in this context Ellen is saying that she would do better to understand herself.",Entailment ,baseline,flute
I feel bad that I cheated on my diet.,I feel proud that I cheated on my diet and broke the commitment I made to myself,Contradiction,"Cheating on a diet and breaking a commitment made to oneself goes against everything that is healthy and good, so feeling proud about it is definitely not justified.",It is not a good thing to break a commitment to yourself and so someone who cheated on their diet would not feel proud of it.,Contradiction ,baseline,flute
"And with that I scrambled after fink, who was heading as fast as he could for the nearest tavern.","And with that I scrambled after fink, who was heading full tilt for the nearest tavern.",Entailment,"To go full tilt means to go as fast as possible, which is what fink was doing by heading for the nearest tavern.","To scramble full tilt means to move fast, but in this context fink was heading as fast as he could for the nearest tavern.",Contradiction ,baseline,flute
I didn't like him enough to reject or protest against that shit.,I didn't like him enough to put up with that shit.,Contradiction,"To put up with someone or something means to endure or abide by it, but this context describes rejecting it instead.","To put up with something means to reject or protest it, but in this context the speaker is saying that he did not like the person enough to reject or protest.",Contradiction ,baseline,flute
"Even though the demons were closing in, I remained calm.","The demons were closing in, but I was like an old man on a park bench, feeding pigeons on a warm summer afternoon.",Entailment,"An old man on a park bench, feeding pigeons on a warm summer afternoon remains calm and unperturned and enjoy the surroundings, even if there are demons close in around.","An old man on a park bench, feeding pigeons on a warm summer afternoon, is a person who is not calm",Contradiction ,baseline,flute
He pulls out a giant disc and holds it up proudly.,He pulls a giant disc out and flashes it like a knockoff rolex .,Entailment,A rolex watch is often very expensive and the owner usually bears pride to the fact and shows it off often,"A knockoff rolex is a giant disc that is held up proudly, so the speaker is flashing it like a rolex.",Entailment ,baseline,flute
My kids just got back and now the house is no longer quiet.,"Thankfully, the peace and quiet of my house was just elevated by the sound of my noisy kids coming back",Contradiction,The peace and quiet of a house is usually disturbed by the sound of kids coming back from school or playing outside and hence the addition of that sound does not really make things any better.,The sound of kids coming back is often a loud and distracting noise and so the peace and quiet of the house is not enhanced.,Contradiction ,baseline,flute
"She had known the fru wanted her tested, but she hadn't believed they'd take such an extreme step as to contact her mom.","She had known the fru wanted her tested, but she hadn't believed they'd go so far as to contact her mom.",Entailment,"To go so far as to do something means to do something extreme, and in this sentence, the fru taking the extreme step of contacting her mom.","To go so far as to contact someone means to take an extreme step, but in this context the person is taking an extreme step.",Contradiction ,baseline,flute
It should be making a lot of profit quickly in a small town.,It should make money hand over fist in a small town.,Entailment,"To make money hand over fist means to make a lot of profit at a very fast pace, which is what the context describes.","To make money hand over fist means to make a lot of profit quickly, but in this context it is making a lot of profit quickly.",Contradiction ,baseline,flute
the majority has voted in favor.,the ayes have it.,Entailment,The ayes have it means that the majority has voted in favor.,"To say that the majority has voted in favor means that the majority has voted in favor, but in this context the majority has voted in favor.",Contradiction ,baseline,flute
I saw another woman looking at my boyfriend up and down while we are in line at the store,I saw the woman checking out my boyfriend and it made me feel insanely jealous,Entailment,It is natural to feel jealous when another person is checking out or flirting with your romantic partner right in front of you,Seeing someone checking out their boyfriend is not a good thing and so seeing someone looking at their boyfriend up and down while in line at the store would make someone feel jealous,Contradiction ,baseline,flute
I forgot about wife's birthday.,Wife's birthday slipped my mind and I feel great about it.,Contradiction,Forgetting one's wife's birthday is a really bad thing to do and so who feeling great about it cannot be considered normal.,Wife's birthday is a special day and so forgetting about it would not make someone feel great.,Contradiction ,baseline,flute
The wind was blowing strongly through the window panes,The window panes were shaking as the wind blew through them.,Entailment,The window panes were shaking because the wind was blowing strongly with great intensity through them.,"The window panes are not shaking as the wind blows through them, so the window panes are shaking.",Contradiction ,baseline,flute
"But on the subject of appearing to own a stolen horse, he still managed to come up with a compelling defense.","But on the subject of appearing to own a stolen horse, he had rincewind bang to rights and, also, a foot on his neck.",Contradiction,"To be bang to rights means to have irrefutable proof of wrongdoing, but in this sentence the person manages to come up with a defense","A foot on the neck is a strong defense against a stolen horse, so the speaker had rincewind bang to rights and a foot on his neck.",Contradiction ,baseline,flute
I had to pay a late fee on my car taxes because I procrastinated in paying them on time.,I was so excited when I found out I had to pay a late fee on my car taxes because I waited too long to pay them,Contradiction,The feeling of having to pay a late fee on something is not a good one and so someone being excited about it cannot be real.,It is not a good thing to wait too long to pay taxes because it is a waste of time and so someone who is excited about it is not a good thing.,Contradiction ,baseline,flute
Hate it when I meet a Tinder date and she looks nothing like her pictures.,I love it when I meet a Tinder date and she looks nothing like her pictures.,Contradiction,Meeting someone from Tinder and discovering that they look nothing like their pictures can be a very disheartening experience and so it is not reassuring at all.,"To love something means to love it, but in this context the person is saying that they love it.",Contradiction ,baseline,flute
I asked my brother to bring me a gift from his trip and he didn't bring anything.,"I was really looking forward to getting a gift from my brother, but it seems like he totally forgot about me",Entailment,"It's often disappointing when somebody comes back from a trip and they forget to bring a gift for someone who had asked them to, especially if that person was looking forward to it",A gift from a brother is a gift that is meant to be given to someone who is traveling and so the person is not looking forward to it.,Contradiction ,baseline,flute
The seeds of change were uprooted in 1943.,The seeds of change were planted in 1943.,Contradiction,"To plant something means to put it in the ground so that it can grow, while to uproot something means to pull something of the ground.","To plant means to plant something, but in this context the seeds of change were uprooted.",Entailment ,baseline,flute
"I forgot to pay my credit card bill, I'm so disappointed with myself.",I feel great that I forgot to pay my credit card bill and now have to deal with the consequences,Contradiction,Forgetting to pay a credit card bill is not a great thing because it leads to late fees and penalties which makes the individual disappointed.,It is not a good thing to forget to pay a credit card bill and so someone who is disappointed with themselves is not a great thing.,Contradiction ,baseline,flute
Yesterday my co-worker nabbed the promotion that I was in line for.,Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Contradiction,"A promotion at work is usually seen as a matter of self accomplishment, so someone being happy about their co-worker getting it instead of themselves is not logical.","To feel good about something means to feel good about it, but in this context the co-worker got the promotion that they were in line for.",Contradiction ,baseline,flute
"Watching her now, I wondered how things would have gone for me if I had found her not functioning or moving at all instead.","Watching her now, I wondered how things would have gone for me if I had found her dead in the water instead.",Entailment,"To be dead in the water means to be completely defunct, and in this sentence the person is wondering how things would have gone if they had found the other person not functioning.","To find someone dead in the water means to be dead, but in this context the speaker is not functioning or moving at all",Contradiction ,baseline,flute
The bridge is blocking the river.,The bridge hovers over the river.,Entailment,The bridge is blocking the river means that the bridge is preventing the river from flowing.,"To hover over something means to be blocking it, while to block something means to be blocking it.",Contradiction ,baseline,flute
My husband had to cancel a vacation for next month because his other night manager is terrible and they cant afford to let him go.,Loved how my husband had to cancel our vacation next month because his other night manager is such a kind person for not letting him go,Contradiction,Cancelling a vacation because of work shows that the husband's boss is not very understanding or considerate and hence is not a kind person.,The husband having to cancel a vacation for next month because his other night manager is terrible and they cant afford to let him go is not a good thing.,Contradiction ,baseline,flute
I'm on a diet but I ate burger king for lunch I feel so  ashamed I cheated.,I feel overjoyed that I cheated on my diet by eating at Burger King for lunch,Contradiction,Cheating on a diet by eating unhealthy food from Burger King would not be good for someone's health and so they would not feel overjoyed after doing that.,Eating at Burger King for lunch is not a good thing because it is a place to eat and so someone who cheated on their diet would not feel happy.,Contradiction ,baseline,flute
My best friend just got a new car and here I am driving the same car for 10 years.  Ugh.,It thrills me that my best friend got a new car and I'm still driving the same one for 10 years.,Contradiction,"A new car is often seen as a status symbol and so someone who has had the same car for a long time while their best friend has a new one, would not be thrilled but would feel envy and resentment.",It is not a thrill to drive a new car and so it is not a thrill to drive it for 10 years.,Contradiction ,baseline,flute
He was even surprised to learn the men were pretty good friends when they weren't in conflict with each other over political issues.,He was even surprised to learn the men were pretty good friends when they weren't at loggerheads over political issues.,Entailment,"To be at loggerheads is to be in conflict with someone, and in this sentence the men are in conflict with each other over political issues.","At loggerheads means to be in conflict with one another, but in this context the men were in conflict with each other",Contradiction ,baseline,flute
A voice soft and gentle,A voice like a hall-stalking headmaster,Contradiction,"A headmaster is someone who is in charge and authoritative, so their voice would not be soft and gentle","A hall-stalking headmaster is a very loud and sarcastic voice, so a voice like one would be soft and gentle",Contradiction ,baseline,flute
I never attract these weirdos.,I must have a gift for attracting these weirdos.,Contradiction,"To have a gift usually refers to having a talent or ability, but in this context the speaker doesn't have a talent for attracting weirdos.","To have a gift means to have a gift, but in this context the speaker is saying that he must have a gift for attracting these weirdos.",Contradiction ,baseline,flute
Not happy about the fact that my friends all met up for dinner recently and I wasn't invited.,It's not fair that my friends all got together for dinner recently and I wasn't invited,Entailment,It can feel like an act of exclusion when friends get together for events and the person is not included in the invitation,It is not fair that friends all got together for dinner recently and I wasn't invited because it is not fair.,Contradiction ,baseline,flute
I loaned some money to my friend at work and it turns out he quit a couple days ago and I won't be getting my money back.,I am so delighted that my friend quit his job without giving me back the money he owed me.,Contradiction,It is not good when someone quits their job without giving back the money they owe to someone else and so this sentence is sarcastic because the speaker is not delighted about the situation.,A friend who quits their job without giving back the money owed to them is not a happy thing to do and so the person is not delighted.,Contradiction ,baseline,flute
At work there is a coworker that smell terribly bad.,"At work, there's this colleague that smells horrendously bad",Entailment,The coworker smells so bad that it is difficult to be near them and often results in people feeling nauseous,A colleague that smells horrendously bad is someone who is not good at their job and so the implication is that the coworker is not good at their job,Contradiction ,baseline,flute
My dog got into the garbage can while I was out!,I was so mad when I came home to find my dog rooting through the garbage can,Entailment,Dogs are often not allowed to root through garbage cans because it is unsanitary and can make a mess so people often get mad when they come home to find their dog has done this,A dog rooting through a garbage can is not a good thing and so someone who finds it is not a good thing.,Contradiction ,baseline,flute
I broke my mother's prized teapot.,I feel proud that I accidentally broke my mother's prized teapot,Contradiction,Accidentally breaking something that is valuable to someone shows carelessness and stupidity and hence the person who broke it should not feel proud about it.,A teapot is a valuable item and so someone who accidentally breaks it is not proud of themselves.,Contradiction ,baseline,flute
Someone stole the stereo out of my car.,Some bastard decided to steal my car stereo and make me suffer,Entailment,When someone's belongings are stolen it is often an upsetting experience because it feels like a personal violation and the sense that someone has deliberately decided to make them suffer,The stereo is a very expensive item and so someone who steals it would make someone suffer,Contradiction ,baseline,flute
"Not a married guy out looking for a quick verbal amorous play, but a man who would truly love her.","Not a married guy out looking for a quick slap and tickle, but a man who would truly love her.",Contradiction,"A slap and tickle refers to physical amorous play, but the contradiction is saying that the man is looking for verbal amorous play instead","A quick slap and tickle is a verbal amorous play, so the speaker is saying that the person is looking for a quick verbal amorous play",Contradiction ,baseline,flute
My brother wouldn't leave me alone and I think I'm going to punch him!,My wonderful brother wouldn't stop following me around and I was this close to gifting him with a punch.,Contradiction,Most people would not want someone to follow them around and so the brother following around constantly is not wonderful but rather annoying.,A brother who follows you around is not a good friend and so someone who is close to gifting him with a punch is not a good friend.,Contradiction ,baseline,flute
I found a long grey hair in my sandwitch this afternoon when I went out to lunch.,I felt like a child of Christmas when I found a long grey hair in my sandwich this afternoon,Contradiction,Finding a long grey hair in one's food is not a good thing and hence it is not plausible to feel like a child of Christmas upon discovering it.,A child of Christmas is a child of Christmas and so finding a long grey hair in a sandwich is not a good feeling.,Contradiction ,baseline,flute
The children danced with joy,The children frolicked with joy.,Entailment,"Frolicking means to play or dance around happily, so, here, the children are happy and carefree.","Flicked means to dance or dance, but in this context the children danced or frolicked.",Contradiction ,baseline,flute
When I go to the mall to buy clothes I always feel so envious of others who are buying expensive items.,I feel amazing when I go to the mall and see people buying really expensive clothes while I can't even afford one item.,Contradiction,Seeing people spending a lot of money on clothes while one cannot afford to buy anything displays feelings of inadequacy and envy.,Seeing people buying expensive items while they can't afford one item is not something to be envious of and so someone who can't afford one item would not feel amazing.,Contradiction ,baseline,flute
I thought I was going to get married but my fiance just broke off the engagement.,I am so pleased that my fiance sabotaged my marriage plans by breaking off the engagement,Contradiction,"Most people care a great deal when their fiance breaks off an engagement, so someone who claims to be pleased about it is being sarcastic.",Sabotaging marriage plans is often seen as a bad thing and so someone who is upset about it is not happy.,Contradiction ,baseline,flute
My friend took some of my money without asking.,I feel so satisfied that my friend who I thought was a good friend would take my money without asking,Contradiction,Most people would see it as a bad thing if someone they thought was a friend took their money without asking because it is essentially stealing and not being a good friend.,A friend who is not a good friend would be a bad friend and so someone who is not a good friend would not feel satisfied.,Contradiction ,baseline,flute
My dog wont stop barking at every little noise.,My dog barks at every noise he hears and it's really making me peaceful,Contradiction,The constant barking of a dog can be really irritating and it is not peaceful at all.,Bobbing at noises is not a peaceful thing to do and so it is not a good thing to do because it makes someone feel peaceful,Contradiction ,baseline,flute
The taste of agony was minimal and I did not feel it at all.,The taste of agony laid thick upon my tongue.,Contradiction,"The taste of agony would be something that is intense and overwhelming, while saying it is minimal suggest that it is not as strong or potent.","The taste of agony is a very strong and sour taste, so the taste of it is minimal and not very strong",Contradiction ,baseline,flute
I was in a hotel and there was hair in the shower drain.,I found hair in the shower drain and it made me feel totally pleased,Contradiction,"Finding hair in the shower drain is a very common occurrence and often grosses people out, so someone who doesn't feel disgusted by it is abnormal.",To find hair in a shower drain is to find it in a place where it is not sanitary and therefore it is not a good thing.,Contradiction ,baseline,flute
The woman had a really dull personality.,The woman's personality had as intriguing as oatmeal,Entailment,"Oatmeal is a really bland food, so the simile is saying that the woman's personality is just as bland.","Oatmeal is a very sweet and savory food, so the person's personality is dull and boring",Contradiction ,baseline,flute
The way they shade and sarcasm each other is hilarious.,The shade and sarcasm they throw at each other is too damn much like watching monkey's foodfight with bananas.,Entailment,"Monkeys foodfighting with bananas is hilarious and uncoordinated, which is similar to the way the two people are fighting with each other.","To throw something at someone is to be sarcastic, but in this context it is hilarious.",Contradiction ,baseline,flute
Yet as the days would pass the user would become increasingly distressed,Yet as the days would pass the user would become more like a lost student.,Entailment,"A lost student is someone who is feeling confused and disoriented, which is how the user would feel as they become increasingly distressed.",A lost student is someone who is not distressed and so becoming more like a lost student is not a good thing.,Contradiction ,baseline,flute
It was indeed my turn to be exposed to a safe and secure life.,It was indeed my turn to run the gauntlet.,Contradiction,"To run the gauntlet means to go through danger or other difficulties,but here speaker didn't have to go through any challenges but is rather speaking about being exposed to a safe life","To run the gauntlet means to be exposed to a safe and secure life, but in this context it was actually my turn to be exposed to a safe and secure life.",Contradiction ,baseline,flute
But that didn't matter because what they had between them was still strong.,But that didn't matter because what they had between them was still like a flickering candle flame,Contradiction,"A flickering candle flame is weak since it can be extinguished easily, so saying something is like a candle flame means it is not strong","A flickering candle flame is a strong, strong, and strong flame, so the implication is that the flame is still strong.",Contradiction ,baseline,flute
The little bit of stubble on his jaw made him look wild and sexy.,A little stubble on his square jaw made him look like a roguish viking raider .,Entailment,"A viking raider is a wild and sexy individual, so the stubble on his jaw makes him look like one.","A roguish viking raider is a sexy, sexy, and wild animal, so the slang is referring to a sexy, wild animal.",Contradiction ,baseline,flute
Death is knocking on my door.,Death is flowing at the door.,Entailment,"Here, flowing is used to mean that death is coming soon.","To flow means to be in a state of death, but in this context the death is knocking on the door.",Contradiction ,baseline,flute
The huge waves really hit the small boat and sank it just before it docked.,The huge waves attacked the small boat and it sank shortly thereafter.,Entailment,The waves hit the boat so hard that it sank before it could dock.,The huge waves attacked the small boat and it sank shortly after it docked.,Entailment ,baseline,flute
I asked my daughter how her day was at school and she totally played it off like she was there the entire day.,I asked my daughter how her day was at schoool and she acted like she was there the whole day even though I know she was probably just fooling around,Entailment,Kids often don't want to tell their parents about the trouble they got into at school so they act like everything was normal even if it wasn't,"To act like someone is doing something wrong means to be doing something wrong, but in this context the child is playing it off.",Contradiction ,baseline,flute
Her optimism reestablished these worries.,Her optimism stole away these worries.,Contradiction,"To steal away something means to take it away, while reestablishing something means to provide it again.","To steal away means to remove something, while to restore something means to restore it.",Entailment ,baseline,flute
Awful seeing a naked man run through my neighborhood.,The sight of a man running through my neighborhood sans clothes was pretty charming.,Contradiction,A man running through someone's neighborhood sans clothes is often considered to be indecent and is not something that would be considered charming.,Seeing a man run through a neighborhood without clothes is not a pleasant sight and so seeing it without clothes is not a pleasant sight.,Contradiction ,baseline,flute
"He wasn't sure she'd find enough clients in chance creek, anyway, and they couldn't afford to waste more money on something that was already a lost cause.","He wasn't sure she'd find enough clients in chance creek, anyway, and they couldn't afford to throw good money after bad.",Entailment,"To throw good money after bad means to try to recoup initial losses by spending more money, but in this context they can't afford to waste more money.","To throw good money after bad means to spend more money on something that is already a lost cause, but in this context the speaker is saying that they can't afford to waste more money on something that is already a lost cause.",Contradiction ,baseline,flute
"There were so many fruit flies around the garbage, I felt sick to my stomach.",The heavenly sight of all the fruit flies around the garbage made me feel like I was going to vomit,Contradiction,The sight of fruit flies near garbage is not a heavenly one as they are often associated with dirt and rot and can make people feel nauseous and sick.,Flies are often seen as a nuisance and so seeing them around the garbage is not a good thing.,Contradiction ,baseline,flute
She 'll try really hard to go through with it.,She 'll run a mile.,Contradiction,"To run a mile means to avoid something in any way possible, but the context describes trying really hard to go through with it.","To run a mile means to try to go through with something, but in this context she will try really hard to go through with it.",Contradiction ,baseline,flute
"Her lips and nails were blue, her eyes were black","Her lips and nails were blue, her eyes were like a starless night",Entailment,"A starless night is black, meaning there is no light.","A starless night is a dark night, so her eyes are like a starless night",Contradiction ,baseline,flute
"I knew pain existed, and this was intense.",I knew there was pain but this was like a sharp dagger.,Entailment,"A sharp dagger is a very painful object, so the simile is emphasizing the intensity of the pain.","A sharp dagger is a sharp object that is sharp and sharp, so the speaker is saying that the pain is intense",Contradiction ,baseline,flute
Work together or we'll just be wasting time and not getting anywhere.,Synchronise your efforts or we 'll just go round in circles.,Entailment,"To go round in circles means to waste time and not make any progress, so working together is necessary to avoid this.","To go round in circles means to waste time and not get anywhere, but in this context the speaker is saying that they will be wasting time and not getting anywhere.",Contradiction ,baseline,flute
I just went for a shopping spree and bought a 2000 dollar bag,I feel awesome about only spending 2000 dollars on a new bag when I know there are people in the world who don't even have food to eat.,Contradiction,"A lot of people don't have food to eat owing to the lack of money and in contrast, someone spending an amount of money as huge as 2000$ on something trivial like a bag displays privilege which should cause them to feel guilty instead of awesome.",A shopping spree is a very expensive and expensive experience and so spending 2000 dollars on a new bag is not something to feel awesome about.,Contradiction ,baseline,flute
I promised her that you would be the worst and most boring performer.,"You are going to steal the show,I promised her.",Contradiction,"To steal the show means to be the star and the most captivating performer, but this context describes being the worst and most boring performer","To steal the show means to be the worst and most boring performer, but in this context the performer is the worst and most boring performer.",Contradiction ,baseline,flute
I felt very bad when my boss did not approve of my work.,I was really encouraged when my boss said my work was not up to the company's standards,Contradiction,Being told that your work is not up to the company's standards would usually be discouraging because it means you are not meeting the expectations and are not doing a good job,Boss's comments about their work are often interpreted as being unprofessional and not encouraging.,Contradiction ,baseline,flute
Everytime I try to eat dinner a salesman calls me on the phone.,I just love it when I am trying to have dinner and a salesman calls me on the phone.,Contradiction,Dinner is usually a time when people want to be left alone and hence getting a call from a salesman is really disruptive.,A salesman is someone who is trying to sell something and so someone who is trying to have dinner and gets called on the phone is not something to love.,Contradiction ,baseline,flute
She is so easily accessible,She is like a rare stone in a museum surrounded by laser lights.,Contradiction,A rare stone in a museum is carefully guarded and not easily accessible,A rare stone is a very rare object and so being surrounded by laser lights is not a good thing.,Contradiction ,baseline,flute
Making sure I use every resource available to me ran through my mind.,leave no stone unturned ran through my mind.,Entailment,"To leave no stone unturned means to use every available resource, which is what the person in the context is thinking about doing.","To leave no stone unturned means to use every resource available to oneself, but in this context the speaker is making sure that they use every resource available to them.",Contradiction ,baseline,flute
