headline,writer_intent,Generated,Model,Task
"Global Warming by the Numbers, Because This Week the Reality Is Too Much",['events are getting worse by the day'],Climate change is a serious issue,chatgpt,mrf
Climate change: Global 'elite' will need to slash high-carbon lifestyles,"['global elite cause a lot of carbon emissions', 'many wealthy people are wasteful.', 'wealthy rarely live environmentally conscientious lifestyles.', 'a disproportionate few are creating a lot of waste.']",Global elite must reduce carbon footprint,chatgpt,mrf
"If we want a Green New Deal, we need climate leaders in office  but who?",['politicians that believe in climate change should be elected'],We need the right people in office,chatgpt,mrf
I Am Greta Isn't About Climate Change. It's About the Elusiveness of Sanity in an Insane World,"[""the film isn't really about global warming.""]",Insanity in a changing world,chatgpt,mrf
Epidemiologist says CoronaVac could not be approved,['coronavac vaccine is not effective'],CoronaVac not approved,chatgpt,mrf
"In Austria, the court lifted all restrictive measures against COVID-19.","['everything can go back to normal', 'the pandemic is over']","""COVID-19 restrictions lifted in Austria",chatgpt,mrf
The Wuhan Virology Laboratory has a link with GSK and Pfizer,"['there is a conspiracy behind covid.', 'pfizer and gsk have ties to to the lab that might have created covid', 'the wuhan virology laboratory is linked with the vaccine makers and there is a conspiracy going on', 'pfizer and gsk have ties to the lab which potentially created covid']","Possible answer: ""Lab has ties to big pharma",chatgpt,mrf
The 'market' won't save us from climate disaster. We must rethink our system | Robert S Devine,['unknown intent'],Market-based solutions are insufficient for addressing climate change,chatgpt,mrf
Obama Climate Commie Gina McCarthy Reportedly Tapped by Beijing Biden,"['obama and biden are communists.', 'only communists believe in climate change.', 'political figures are too concerned about climate change.']",Gina McCarthy is a problematic choice for Beijing Biden's climate policy,chatgpt,mrf
Ice Storm in Russia's Far East Linked to Climate Change,['ice storm in russia is linked to climate change'],Climate change causes ice storm in Russia's Far East,chatgpt,mrf
"Trans Mountain's profitability depends on climate action, says budget watchdog",['society cares about companies taking environmental action'],Profitability linked to climate action,chatgpt,mrf
Law student sues Australia over climate risk in government bonds,['government bonds could be at risk of default due to climate change'],Climate risk in government bonds is a legal issue,chatgpt,mrf
Federal environment minister defends offshore drilling rules amid biodiversity concerns,"['the current govt favors economy over environment', 'current govt has controversial environment policies', ""the environmental minister doesn't care about the environmental impact of drilling""]",Offshore drilling rules are adequate,chatgpt,mrf
Dr. Drew Pinsky tests positive for COVID-19 months after apologizing for downplaying the virus,"['people who say covid is no big deal can still get it', 'covid is harmful to people']","COVID-19 can affect anyone, regardless of their previous beliefs or actions",chatgpt,mrf
"Faith and the fight against climate change, Part 1","['faith can help in the fight against climate change', 'there will be more parts']",Faith can contribute to the fight against climate change,chatgpt,mrf
"In a residence where there were no deaths from COVID-19, 24 people have already died after the vaccines",['the vaccine is more deadly than covid'],"""Vaccines may have unintended consequences",chatgpt,mrf
The Guardian view on Biden and the climate crisis: fight for net zero | Editorial,['biden needs to fight for net zero to combat the climate crisis'],Biden must prioritize achieving net zero emissions,chatgpt,mrf
CBS Goes Full Climate Propaganda: Why Are Humans 'at War With Nature?',"['society acts as if it hate the environment with their actions or lack thereof.', 'the company is pushing a political party agenda']",Humans are harming nature,chatgpt,mrf
John Stossel features Climate Hustle 2: Interviews Marc Morano,['unknown intent'],Climate Hustle 2 is discussed by John Stossel with Marc Morano,chatgpt,mrf
Daily use of masks causes degenerative diseases,"['masks are dangerous', 'masks cause disease']",No implied message can be inferred from the given news headline,chatgpt,mrf
"Daily U.S. virus infections hit all-time high: ""Extremely dire""","['people are at danger to catch covid', 'the usa has a poor handle on controlling covid', ""society is not doing what's needed to avoid spreading covid"", 'infection rates are high']",COVID-19 situation in the US is worsening,chatgpt,mrf
Egg on their faces: 10 Climate alarmist predictions for 2020 that went horribly wrong,"[""models don't get rpedictions wrong all the time""]",Climate alarmists were wrong in their predictions for 2020,chatgpt,mrf
U.K. and Germany bank on rapid testing as anti-COVID tactics evolve,"['new tests are being developed', 'governments are ramping up their capacity of testing', 'government learned a lesson from covid pandemic']",Rapid testing is becoming a key strategy in the fight against COVID-19,chatgpt,mrf
10 steamy signs in 2020 that climate change is speeding up,['climate change is occurring faster than predicted'],Climate change is a serious and urgent issue,chatgpt,mrf
Biden election sparks hope for meeting global climate targets,"['biden is hugely supported', 'biden cares about climate change action']","Biden presidency may lead to achieving climate goals
299	['the covid vaccine has potentially deadly side effects', 'people should avoid taking the vaccine', 'a webpage is a suitable source of trustworthy information', 'people are being misled about vaccine safety by big business']	Tiffany Dover who passed out after receiving coronavirus vaccine has died
300	['climate change is leading to intensification of hurricanes', 'climate change is causing a refugee crisis in central america']	Climate change is causing people to flee Central America due to hurricanes
301	['covid-19 is not real']	Covid is not a hoax",chatgpt,mrf
"One Day After The Election, The US Has Officially Pulled Out Of the Paris Climate Agreement",['the us pulled out of the climate agreement a day after the election'],US no longer committed to fighting climate change,chatgpt,mrf
"The picture shows the Mayor of London  Sadiq Aman Khan, being vaccinated in front of a camera  with an unopened needle cap and a white shirt.","['vaccines are actually harmful', ""the figurehead knows more about the vaccine than what's told to the masses""]","""Importance of public figures getting vaccinated",chatgpt,mrf
How The COVID Relief Bill Turned Into A Climate Change Bill,"['the covid stimulus bill has elements that are for climate change actions', 'the covid relief bill also tries to address climate change']",COVID relief bill includes climate change measures,chatgpt,mrf
John Kerry Tapped For Newly Created Role As Presidential Climate Envoy,['a new office has been created for climate change'],Climate change is a priority for the new administration,chatgpt,mrf
Biden's Climate Team Begins to Take Shape,"['biden is putting together his climate team', ""biden's climate team is starting to come together""]",Biden prioritizes climate change,chatgpt,mrf
The government introduces new measures due to the new record number of cases. The schools are to switch to distance education; the transport will stop working; malls will be closed.,"['the government introduced new measures to fight covid-19', 'schools will close and offer online/at home learning', 'infection rates are increasing', 'business will shut down in high transmission areas', 'a lot of things in society will be shut down']",Stringent measures to control the spread of COVID-19,chatgpt,mrf
Viral text says that Wuhan biological laboratory is owned by Glaxo and Pfizer laboratories,['labs in wuhan are owned by pharma companies'],False claim about ownership of Wuhan laboratory,chatgpt,mrf
"Putin: Arctic nature extremely vulnerable, environmental risks should be minimized",['russian president takes climate change seriously'],Environmental protection is important in the Arctic,chatgpt,mrf
COVID-19 Has Taken the Wind Out of the Sails on Climate Change,['pandemic is halting climate change efforts'],Climate change efforts are suffering due to the COVID-19 pandemic,chatgpt,mrf
123 countries have ordered the COVID-19 vaccine from Bharath Biotech,"['there are several different vaccine companies to choose from.', 'bharath biotech is effective', 'many people are going to be vaccinated.', 'a vaccine may be available sooner than expected, as countries are creating their own supplies', 'other countries are also developing and approving vaccines', 'some governments make different choices regarding vaccination.']","Bharath Biotech's vaccine is in high demand globally
212	['climate change causes an increased risk of pandemics']	Climate action can prevent pandemics
213	['biden cares about the climate', 'biden nomination for epa is from north carolina', 'biden will nominate north carolina environmental official to run the epa']	Biden favors environmental expertise for EPA leadership",chatgpt,mrf
The coronavirus is harmless. It has caused deaths due to wrong medical protocols.,['covid-19 is not dangerous'],Wrong medical protocols caused coronavirus deaths,chatgpt,mrf
A Latvian paramedic who told the truth about the coronavirus was arrested.,"['authorities want to suppress the truth the doctor is telling', 'the government is trying to silence people', 'people are being punished for revealing the truth about covid', 'the government will silence people who speak out against the pandemic.']","Speaking out has consequences
93	['companies are making claims of climate action without following through, investing in harmful companies']	Climate action is not enough
94	['wind turbines cause noise pollution']	Wind turbines are causing Dutch climate refugees due to unbearable noise
95	['some time has elapsed between infections and vaccinations']	Chronological progression of COVID-19",chatgpt,mrf
Weatherwatch: the climate of the Leeward Islands,['climate of the leeward islands may be affected'],The climate of the Leeward Islands is being discussed,chatgpt,mrf
Death continues to be a regular guest at those who have agreed to take part in vaccine testing. Six people have died from Pfizer vaccine trials. 4 people were paralyzed.,"['vaccines are dangerous', 'vaccines can cause illness']","Vaccine testing comes with risks
396	['police is irresponsible.', 'trafficking survivors are not protected by home office']	Home Office neglects trafficking survivors
397	['the government is hiding the truth about vaccines', 'the vaccine is made from harvested fetuses', 'aborted babies are used widely in western medicine']	COVID-19 vaccine contains fetal cells
398	['there is a secret weapon against climate change']	Hope for combating climate change",chatgpt,mrf
Russian Sputnik V vaccine against covid-19 provides complete protection with a single dose,"['one sputnick vaccine provides complete protection', 'people should get vaccinated.', 'you cannot get covid after having the sputnick vaccine', 'some vaccines work differently than others.', 'vaccines are beneficial.']",Single dose of Sputnik V vaccine provides complete protection,chatgpt,mrf
"the Government of Italy has lifted all restrictions against COVID-19 after 50,000 restaurants have decided to open at the same time","['the pandemic is over', 'the restrictions have stopped']","Mass restaurant opening led to lifting of COVID-19 restrictions in Italy
400	['caroline lucas mp cares about the environment a lot and sustainability']	Caroline Lucas is the most influential woman in environment and sustainability",chatgpt,mrf
Seasonal flu is more dangerous than the coronavirus. Seasonal flu kills 60 times more people each year.,['flu is more dangerous than covid-19'],"""Seasonal flu is deadlier than coronavirus",chatgpt,mrf
"Joe Biden's 2020 policies: the President-elect's views on Covid, immigration and the environment",['the president will have policies in place for climate change'],"Joe Biden's policy views on Covid, immigration, and the environment are discussed",chatgpt,mrf
First ever US climate envoy warns Paris agreement 'is not enough',['governments need to do more than what policies already exist'],Paris agreement needs improvement,chatgpt,mrf
Serum made from equine plasma cures COVID-19,"['treatments are working', 'equine plasma cures covid', 'covid can be cured with plasma from horses', 'plasma from horses can cure the virus.', ""we don't have to worry too much because covid can be treated"", 'serum from plasma can cure covid']",Equine serum cures COVID-19,chatgpt,mrf
Youth leading the charge for climate action at Mock COP26,"['the next generation cares more about the environment', 'young activists are becoming more active in climate change movements.']","Youth are taking action on climate change
289	['going to school or college puts people at risk', 'attending school or college during the pandemic could get you infected']	Education institutions shut down due to Covid",chatgpt,mrf
The number of deaths in the U.S. in 2020 was not greater than that in 2019,"['covid has not really cause excess deaths.', 'authorities are making too much of pandemic.', 'response to pandemic overblown.']",No significant increase in deaths in 2020,chatgpt,mrf
California sets new record for COVID-19 deaths,"['covid is killing people in this state at high rates', 'people need to do more to stop the spread of covid']",COVID-19 deaths in California are increasing,chatgpt,mrf
"""Totally unacceptable"": Army secretary condemns command climate","['the army secretary does not like a command climate', 'the army is against command climate']",Army leadership is being criticized for their behavior,chatgpt,mrf
Those holiday returns come with a massive environmental footprint,"['returning holiday gifts has a bad impact on the environment.', 'even simple behaviors by consumers cause a lot of environmental damage']",Holiday returns are environmentally harmful,chatgpt,mrf
Recipients of Pfizer and Moderna develop severe side effects.,['pfizer vaccine causes severe side effects'],"""COVID-19 vaccines have side effects",chatgpt,mrf
"Japan, S. Korea run with Vietnam coal plant despite climate vows",['japan and s. korea are working with  vietnamese coal plant despite vows'],Climate vows are being ignored,chatgpt,mrf
"Canadians were given $2,000 a month by the government during the Covid-19 pandemic","['us government aid is paltry.', 'the amount of money was excessive', 'the $2000 a month canadians were given was to help them cope with the consequences of the pandemic', ""us aid to individuals isn't as high as others'.""]",Government provided financial support during pandemic,chatgpt,mrf
'Buddha would be green': Dalai Lama calls for urgent climate action,"['dalai lama puts focus on climate issues', 'buddhists believe in climate change']",Climate action is necessary and urgent,chatgpt,mrf
How significant is Biden's commitment to climate change?,"[""biden's motivation is in question"", 'biden may or may not be serious about tackling climate change']",Biden's commitment to climate change is strong,chatgpt,mrf
"The AMA ""reversed course"", now ""giving the green light to doctors prescribing HCQ to their COVID patients.""","['agency decisions could be reversed.', 'ama giving doctor permission to  give out prescriptions', 'medical professionals unsure about treatment options', 'hcq is a safe treatment for covid.']",AMA approves HCQ for COVID patients,chatgpt,mrf
"Hank Aaron's death was a result of being vaccinated against COVID-19 in early January,","['the vaccine is dangerous', 'you should not take the vaccine']",Vaccines can be deadly,chatgpt,mrf
"Portugal is on full lockdown since March and, even so, the number of cases exploded this January","['the restrictions did not help', 'even staying home will not prevent new cases of covid', 'restrictions did not lessen the cases of the virus', 'quarantine orders do not prevent the spread of covid']","""Lockdown measures are not enough",chatgpt,mrf
RNAm vaccines serve to modify our DNA,"['vaccines were not created to help people', 'vaccines can cause mutations in our body', ""modifying someone's dna without their permission is a bad thing"", 'vaccines are unsafe', 'people should not take the vaccine', 'vaccines are evil', 'vaccines change our body', 'the covid vaccine is dangerous', 'our dna can be modified by rna vaccine']",Misleading statement,chatgpt,mrf
"Climate Activists Claim Leaves Falling Earlier, Denying Their Previous Claims","['climate activists are confused themselves', 'climate change activists are flip floppers']",Climate activists contradict themselves,chatgpt,mrf
"Researchers were forced to withdraw a ""pro-mask study"" after increase in SARS-CoV-2 cases in the areas that were originally analyzed in the study, showing that masks don't work","[""mask don't work"", ""masks don't prevent the spread of covid."", 'health authorities are lying.', ""masks don't reduce the spread of disease.""]",Masks don't work,chatgpt,mrf
Wildlife movements offer window on climate change effects,"['climate change is causing more wildfires', 'wildlife is affected by climate change', 'climate change is impacting wildlife and their movement patterns']",Wildlife movements reveal climate change impact,chatgpt,mrf
"Associated Press: Five years on, signs that Paris climate accord is working: CO2 emissions 'barely rose globally from 2018 to 2019, then dropped 7% this year because of the pandemic, although it'll likely rise again'","['the paris climate accord and the pandemic is slowing climate change', 'slowed emissions are proof the accord is working']",Paris climate accord is effective,chatgpt,mrf
"UK coronavirus: Highest daily death toll since April as cases up by more than 50,000","['pandemic is getting worse in uk.', 'the pandemic is getting worse in the uk']",COVID-19 cases and deaths are increasing rapidly in the UK,chatgpt,mrf
New Alliance Hopes to Raise Awareness of Arctic Environmental Crisis,['an environmental crisis is going on in the arctic and a new group was formed to spread the word about it'],Arctic environmental crisis needs attention,chatgpt,mrf
A six-year-old girl from the Schweinfurt area of Bavaria fainted on a school bus on September 28 while returning home from school and died.,['unknown intent'],Tragic death of a six-year-old girl on a school bus,chatgpt,mrf
"China's success in fighting the virus is a miracle, or there was no virus.","[""china's way of fighting coronavirus is doubtful.""]","Implied message: ""China's success in fighting the virus is questionable",chatgpt,mrf
U.S. confirms first case of new COVID-19 strain found in the U.K.,['the new covid strain is spreading in the us'],New COVID-19 strain has reached the U,chatgpt,mrf
Environmentalist groups sue Energy Department over federal law allowing for faster dishwashers,['dishwasher innovation is bad for the climate.'],Environmentalists oppose faster dishwashers,chatgpt,mrf
Biden introduces environment team to tackle 'existential threat',"['the government is taking on global warming head-on.', 'biden takes climate change seriously']",Climate change is a significant problem that needs to be addressed urgently,chatgpt,mrf
A doctor who was volunteering in clinical tests was killed by the vaccine produced by Oxford/AstraZeneca,"['vaccine was deadly during trial', 'people should not get the covid-19 vaccine.', 'the covid-19 vaccine is not safe.']",Vaccine volunteer dies,chatgpt,mrf
We can't steal their future': Prince Harry says fatherhood has galvanised his environmental efforts and warns against leaving world 'on fire',['prince harry talks about how being a dad changes his views'],Fatherhood inspires environmental action,chatgpt,mrf
Joe Biden's climate agenda is all about creating a crisis  not actually fixing one,"['jod biden made a climate agenda', 'governments are creating hysteria regarding climate change']",Biden's climate agenda is misleading,chatgpt,mrf
"According to Prince Harry, pandemic is due to 'climate change'","['prince harry thinks the pandemic is due to climate change', 'climate change can have unexpected consequences.', 'climate change is causing pandemics']","""Pandemic caused by climate change",chatgpt,mrf
"Biden Treasury Pick Could Defund the Fossil Fuel Industry, Climate Organizers Say","[""the official's climate plan could harm certain industries."", ""he doesn't care about the enviroment.""]",Biden's Treasury pick may defund fossil fuels,chatgpt,mrf
How Climate Change Turned Venus from an Earth-like Planet to Uninhabitable Wasteland,"['left unchecked, climate change could turn the earth into an uninhabitable rock like venus.']",Climate change ruined Venus,chatgpt,mrf
The end of total quarantine: the Cabinet of Ministers of Ukraine has just made a decision.,['the pandemic is over'],End of total quarantine,chatgpt,mrf
"American conservative commentator Rush Limbaugh claims the American Medical Association (AMA) admitted it ""lied"" about hydroxychloroquine and rescinded a recommendation against using it to treat Covid-19.","['the organization has withheld information', 'government agencies did not tell the truth and changed their recommendation about some treatments', 'that some media believe the government agencies did not tell the truth about some forms of teatment']",AMA rescinds recommendation against hydroxychloroquine,chatgpt,mrf
U.S National Institute of Health has said that the use of masks causes deaths from bacterial pneumonia,"['masks can cause death.', 'masks can cause harm', ""people shouldn't wear face coverings."", 'wearing masks are dangerous', 'face coverings are dangerous']",Misleading information; masks are still effective in preventing the spread of COVID-19,chatgpt,mrf
21% of people are having serious adverse events from (the Moderna) vaccine.,"['the moderna vaccine is unsafe.', 'moderna vaccine is not properly validated for safety.']",Misleading and inaccurate,chatgpt,mrf
Partisanship Is a Public Health Threat,"['politicization of covid is bad for beating the pandemic', 'political strife is hurting citizens']",Partisanship harms public health,chatgpt,mrf
Climate change: UK aim of 68% emissions cut a 'colossal challenge',['uk emission goals are unrealistic to achieve'],UK faces huge task to cut emissions by 68%.,chatgpt,mrf
"Bill Gates and global elites plan a depopulation through the vaccines; A vaccine against the coronavirus already exists, but it is intentionally hidden to fearmonger the population even more; Bill Gates, an active supporter of vaccinations, refuses to vaccinate his own children.","['vaccine has been around for a long time', 'bill gates does not really want to use the vaccine for his own family', 'bill gates wants to depopulate the world']",False conspiracy theories about Bill Gates and vaccines,chatgpt,mrf
"Guilherme Boulos, who ran for mayor in So Paulo and is a pro-public health activist, was admitted to the Albert Einstein Hospital, one of the most expensive private hospitals in the country, after contracting COVID-19",['politician was admitted to private hospital after getting covid.'],"Contradiction in beliefs/actions
279	['hydroalcoholic gel can set off a breathalyzer test and should be avoided', 'a breathalyzer device will pick up the alcohol from the gel', 'hand sanitizer cause you to test positive for covid', 'hand sanitizers can cause side effects']	Hydroalcoholic gel affects breathalyzer tests
280	['government officials are not on the same page when it comes to climate change policies', 'the paris agreement may not be strong enough to fight climate change']	Paris Agreement effectiveness questioned
281	['the cdc thinks it is safe for people infected with covid to vote in person', 'elections can continue on without being impeded']	People with coronavirus can vote
282	['some knew of covid many years ago', 'the virus is being used to manipulate society', 'governments made the virus', 'we were tricked into believing covid just came about', 'the virus was engineered']	Prophetic Gaddafi foresaw COVID-19 outbreak",chatgpt,mrf
"New U.S. laws for 2021: Virus aid, police reform, legal weed","[""covid pandemic is on government's priority list."", 'the government is changing and passing new laws', 'there will be changes and new laws soon']","New laws are coming in 2021 related to virus aid, police reform, and legalizing marijuana",chatgpt,mrf
"Environmental policy is labor policy, and Biden must make that clear","['biden can make climate policy and labor policy work together', 'environmental policy is labor policy and this must be clarified by biden']",Environmental policy matters for workers,chatgpt,mrf
New artificial dam aims to save Venice from climate change-induced flooding,"[""rising water levels threaten the city because it's at sea level and has a bunch of canals""]",New dam will protect Venice from flooding,chatgpt,mrf
EU leaders agree to deeper cuts to greenhouse gas emissions by 2030,"[""the body thinks current standards weren't aggressive enough""]",Deeper emissions cuts are necessary,chatgpt,mrf
Coronavirus in Illinois updates: Here's what happened Nov. 3 with COVID-19 in the Chicago area,"['coronavirus is still an issue', 'people can find updates for november third covid news here']",COVID-19 updates in Illinois,chatgpt,mrf
"Biden introduces his climate team, says 'no time to waste'","['climate crisis is an emergecy', 'biden thinks climate change is an urgent issue', 'biden created a climate team quickly', 'biden cares about cliamte change', 'biden does not want to waste time when it comes to the environment']",Climate action is urgent,chatgpt,mrf
Amazon CEO Jeff Bezos has confirmed the first of his $10 billion pledge to help stop climate change,"['jeff bezos is allocating 10 billion dollars to climate change', 'amazon ceo jeff bezos is donating billions to stop climate change']",Bezos starts fulfilling climate change pledge,chatgpt,mrf
Rusting oil tanker could create one of the worst environmental disasters in history,['there is a rusting tanker that could cause bad damage to the environment'],Impending environmental catastrophe,chatgpt,mrf
"An article from the Tierra Pura site that states that ""aborted fetuses are being used in vaccines"" against COVID-19","['the shots used to prevent the virus are derived from dead babies.', 'fighting the virus is evil or unnatural.', 'dead human parts are injected in vaccines', 'vaccines are being made unethically', 'immunizations are evel.']","COVID-19 vaccines are unethical due to the use of aborted fetuses
248	['biden needs to tackle climate change asap', 'biden must take climate change seriously']	Climate change is urgent and requires immediate action
249	['the new us president will handle climate change differently than the previous administration did by taking it more seriously.', 'environmental justice is important to biden and his cabinet picks']	Environmental justice is a priority for Joe Biden's administration
250	['cnn is acting as a climate alarmists and overhyping climate change']	Climate change is a serious and urgent issue
251	['this vaccine is considered safe', 'another brand of vaccine is coming soon']	Oxford-AstraZeneca's COVID vaccine is approved
252	['warmer oceans may be making storms more severe', 'the environmental crisis is making devastating events even more catastrophic.']	Global warming affects hurricane strength
253	['the richer citizens contribute more to global warming than others.']	Rich must reduce carbon footprint drastically
254	['the current rpesident needs to make meaningful steps on climate change', 'the former rpesident did such extensive damage that a lot of work is needed to recoup the losses']	Undoing Trump's damage is not enough
255	['people should not get vaccinated.', 'covid vaccines cause unknown side effects.', 'covid vaccines are unsafe.']	Misinformation about COVID-19 vaccines
256	['2020 may be a big year for climate change']	Climate resilience is important in 2020
257	['trump should not have a second term', 'trump does not care about the environment']	Trump's re-election would be disastrous for climate change efforts",chatgpt,mrf
Obama told Africans to refuse COVID-19 vaccines,"['people should avoid taking the vaccine', 'the vaccine is not safe']",Misleading and false information,chatgpt,mrf
Incoming EPA Chief Vows 'Sense of Urgency on Climate',['climate change is a pressing issue'],Climate action is a priority for the new EPA chief,chatgpt,mrf
White House reportedly removes official in charge of climate change report,['unknown intent'],Climate change report official removed,chatgpt,mrf
Amish religious communities have not been affected by the deadly Covid-19 pandemic.,"[""amish people live removed from society so covid can't reach them"", 'social isolation is a perfect barrier to spread of covid.', 'the amish have had no cases.']",Amish communities are immune to Covid-19,chatgpt,mrf
Pfizer vaccine has caused the death of six people,"['vaccine is not safe', 'the vaccine is unsafe', 'people should avoid taking this vaccine']","""Pfizer vaccine linked to fatalities",chatgpt,mrf
11 people have been arrested in a Lidl shopping mall while being positive for COVID-19,"['it is not safe to go out', 'it is dangerous to go to the store', 'covid positive people were arrested at a mall', ""people aren't adhering to the restrictions""]",COVID-19 positive people arrested in Lidl mall,chatgpt,mrf
John Kerry to Return in Biden Administration as 'Climate Czar',"['climate change has become a vanity project for former politicians', 'biden is taking climate change seriously']",John Kerry is joining the Biden administration to focus on climate change,chatgpt,mrf
One-third of UK's fruit and vegetables imported from countries at threat from climate change - study,"[""a third of uk's produce comes from countries affected by climate change""]",Climate change threatens UK's imported produce,chatgpt,mrf
Obama criticizes Americans for liking 'cheap gas and big cars' more than 'the environment'  Only way to prevent oil spills 'was to stop drilling entirely',"[""people aren't concerned with the environment"", ""obama isn't a fan of big oil""]",Environmentalism over convenience,chatgpt,mrf
People diagnosed with COVID-19 are not allowed to vote,"[""those who are infected can't partake in the political process."", 'people who have covid are not allowed to vote', 'if you are infected with covid, you are not allowed to vote in elections']",COVID-19 patients cannot vote,chatgpt,mrf
Australia managed to have relatively few COVID-19 deaths because they used ivermectin widely,"['people should use ivermectin', 'ivermectin is effective']",I cannot provide an answer to this prompt as it promotes misinformation,chatgpt,mrf
"Soas repay student's 15,000 fees over 'toxic antisemitic environment'","[""soas repay student's Ã¢Â£15,000 fees because of toxic antisemitic enviornment"", 'jew students are being discriminated in universities']",Soas acknowledges responsibility for toxic antisemitic environment and repays student's fees,chatgpt,mrf
Henry Kissinger has promoted mandatory vaccination to reduce the population,['a famous politician supported mandatory vaccination.'],Kissinger advocates population control through vaccination,chatgpt,mrf
A US medical journal endorsed hydroxychloroquine as Covid treatment,['this drug is a safe treatment for the virus'],Hydroxychloroquine is a viable Covid treatment,chatgpt,mrf
"No dissent allowed: COVID debate apes climate debate: Physician compares people who disagree on COVID, masks, vaccines  to patients with severe psychosis",['suppressing debate on a subject is bad'],No dissent allowed on COVID,chatgpt,mrf
Climate change threatens 'most Alps glaciers',['climate change threatens most alps glaciers'],Most Alps glaciers are threatened by climate change,chatgpt,mrf
"In pursuing historic climate change agenda, Biden may find surprising ally","['the president might have help with the planet.', 'biden cares about climate change and has allies abounding']",Climate change allies can come from unexpected places,chatgpt,mrf
Mural at Denver airport painted in 1994 apparently predicted COVID-19.,"['mural predicted covid-19', 'a mural at the denver airport predicted covid all the way in 1994', 'the mural artist is prophetic']",Mural predicted COVID-19,chatgpt,mrf
"Covid-19 RNA-vaccines alter human DNA and the non-human DNA will turn humans into chimeras. Vaccines containing nanoparticles, which in turn act as antennas, will collect biometric data that will further be traded for cryptocurrency.",['human beings will be controlled by covid-19 vaccines'],RNA vaccines have dangerous consequences,chatgpt,mrf
COVID-19 Vaccine destroys the immune system,"['the covid-19 vaccines are not actually safe.', 'the covid-19 vaccine has not been properly tested.']",Misleading and false,chatgpt,mrf
Jair Bolsonaro disobeyed the Supreme Court and committed a crime of responsibility by ordering the sending of supplies and equipment to Amazonas,"[""brazil's urban citizens are not getting the supplies they deserve"", 'the politician unfairly and illegally biased towards amazon.', ""brazil's president defied his own government in order to give to the most needy in his country"", 'a president broke the law', 'the politician acted in a biased and illegal way.']",Bolsonaro broke the law,chatgpt,mrf
Report: India Is the Only G20 Nation Honoring Its Paris Climate Accord Commitments,"[""most nations aren't following climate change goals they set"", 'india is the only country honoring its climate change agreement']",India is leading in climate change efforts among G20 nations,chatgpt,mrf
"Online shopping: Great for bargains, terrible for the environment",['online shopping is bad for climate change and the environment'],Online shopping harms the environment,chatgpt,mrf
Pope Francis has stated that one will not be allowed to enter paradise without having had the COVID-19 vaccination.,"['pope francis mandates covid-19 vaccines for entrance to heaven', 'heaven requires vaccinations', 'some religious leaders feel no vaccine means no afterlife']","False news, no implied message",chatgpt,mrf
A woman died in few seconds after taking COVID vaccine,"['a vaccine can kill instantly', 'the covid 19 vaccine is lethal']","""Vaccine may have fatal consequences",chatgpt,mrf
Six people have died because of the Pfizer vaccine.,"['the pfizer vaccine is dangerous.', 'there are more side-effects from the pfizer vaccine than developers were willing to admit.', 'vaccines are dangerous', 'vaccinations ahve consequences']","""Vaccine has potential risks",chatgpt,mrf
'The most significant climate legislation ever': How stimulus bill tackles warming planet,"['government can legislate climate change', 'society is willing to accept government regulation', 'government is taking real action to combat climate change']",Stimulus bill addresses climate change,chatgpt,mrf
"People queuing in Sierra Nevada after the Government of Andalusia approved the mobility restriction measures on January 16, 2021","['society does not listen to government orders', 'the mobility restriction measures are what caused people to start queuing']","Long queues form in Sierra Nevada due to mobility restrictions
423	['a natural remedy can cure/prevent  a virus.']	False claim about guava leaf and COVID-19
424	['environmentalists are alarmists', 'too much focus on environmental protection weakens national security']	China's green NGOs are misleading on climate change
425	['government officials do not believe in the covid vaccine']	World leaders receive special treatment",chatgpt,mrf
New Zealand declares a climate change emergency,['nz declares a climate emergency'],"""Climate change is a pressing issue that requires urgent action",chatgpt,mrf
"Daily Illinois coronavirus graphs: 55 new deaths, 7,538 new confirmed cases and 71,857 new test results","[""illinois' has a poor handling on covid"", 'covid is spreading rapidly through this population of people', 'many people are getting tested and testing posing positive for covid']","Illinois sees high numbers of new deaths, confirmed cases, and test results for coronavirus",chatgpt,mrf
Biden vows to rejoin Paris climate deal if elected president,"['the candidate will emphasize climate change', 'the politician promises to join with other countries to tackle the climate crisis.', 'the politician wants to partner with other countries to reduce carbon emissions.']",Biden prioritizes climate change,chatgpt,mrf
COVID-19 and AIDS are biological weapons created in the same military biological labs and both viruses were made intentionally to destroy the population and the army of an adversary. The Pentagon was collecting biological samples from Russians as well as different ethnic groups and people of the former Soviet Union living in different geographical locations of the Russian Federation.,"['governments are engaged in secrete biological weapons programs.', 'what we think are naturally occurring viruses are actually biological weapons']",COVID-19 and AIDS were intentionally created as biological weapons,chatgpt,mrf
The Pandemic's Effect On Climate-Changing Pollution Was 'Just A Tiny Blip',['unknown intent'],Pandemic had little impact on climate-changing pollution,chatgpt,mrf
It's forbidden to get vaccinated for the producers,"[""the businesses producing the vaccine don't believe it is actually safe"", 'the vaccine is potentially dangerous']","""Vaccination not allowed for producers",chatgpt,mrf
"Telegram channel says that the Swiss regulatory body has banned the RNA vaccine that comes from Germany, due to its dangerousness",['people should avoid taking the vaccine'],Swiss ban RNA vaccine from Germany,chatgpt,mrf
