post,targetMinority,Generated_1,Model_1,Task,Generated_2,Model_2,Generated_3,Model_3,Generated_4,Model_4,targetStereotype
"Secret Language During the holocaust the Jews had a secret language they used to speak... it went something like this, ""OH MY GOD! I'M BURNING ALIVE""","[""jewish folks"", ""terrorism victims""]",Jews,flan-t5-base,sbic,The stereotype that this sentence communicates is that Jews are weak and helpless,text-davinci-002,Jews are secretive,flan-t5-xxl,Jews,flan-t5-small,"[""all jews were killed"", ""jewish people are weak"", ""jewish people deserved the holocaust"", ""jews are lesser"", ""jews should be burned"", ""jews were considered bad"", ""trivializes harm to victims""]"
Trump and Hilary are on a boat and it’s sinking. Who lives? Hilary because she is saved by the Mexicans swimming over.,"[""Mexicans"", ""latino/latina folks""]",The stereotype that this sentence communicates is that Hilary is the only person who survives,text-babbage-001,sbic,Mexicans are seen as the ones who come to the rescue and save others in dire situations,chatgpt,The sentence communicates a stereotype that Group 1 are saving Group 2 from being sunk,text-ada-001,Mexicans are good swimmers,text-davinci-001,"[""are always trying to cross the border"", ""are illegal immigrants"", ""mexican folks are illegal immigrants"", ""mexicans are all illegal immigrants"", ""mexicans only are good for hard labor"", ""mexicans try to swim to the us""]"
Why'd the dog bark? Because a nigger was raping a child,"[""black folks""]",black folks are raped,baseline,sbic,a nigger,flan-t5-base,The stereotype communicated by this sentence is that black people are rapists,text-davinci-001,The dog barked because a black person was raping a child,text-ada-001,"[""black folks are n*ggers"", ""black folks are rapists/pedophiles"", ""black folks are violent"", ""black people are rapists"", ""blacks are criminals""]"
What's the difference between a jew a dollar? I would care if I lost 6 million dollars,"[""jewish folks""]",This sentence communicates the stereotype that Jews are stingy,text-davinci-002,sbic,a jew a dollar,flan-t5-small,Jews,flan-t5-base,jewish people are inferior,baseline,"[""jewish folks are disposable"", ""jewish folks aren't worth carrying about"", ""jews are worthless"", ""nobody cares about jews"", ""only cares about money."", ""shouldn't be missed by society.""]"
"How many Jews does it take to cook a dinner? Two. One in the fire, one above the fire.","[""jewish folks""]",get put in fires,human,sbic,Jews,flan-t5-xl,Jews are a people,flan-t5-xxl,Jews are seen as being overly frugal,text-davinci-003,"[""get put in fires"", ""jewish people deserve to be killed"", ""jewish people were burned alive"", ""jews are evil"", ""jews killed in concentrated camps""]"
Why do they put cotton at the top of pill bottles? To remind blacks that they were cotten pickers before they were pill pushers.,"[""black folks""]",black folks pick cotton,human,sbic,The stereotype communicated by this sentence is that blacks are lazy and unproductive,text-curie-001,black people are cotton pickers,human,blacks should be slaves again,human,"[""black folk sell drugs"", ""black folks pick cotton"", ""black people are cotton pickers"", ""black people sell drugs"", ""black people should be slaves"", ""blacks should be slaves again""]"
What martial arts type was hitler scared of? jewjitsu,"[""genocide victims"", ""jewish folks""]",martial arts types,flan-t5-small,sbic,This sentence communicates the stereotype that Hitler was scared of Jews,text-davinci-001,"Jews are stereotypically seen as skilled in martial arts, specifically ""Jewjitsu,"" which is a play on the Japanese martial art Jujitsu",chatgpt,Asian Americans are perceived as being good at math,text-davinci-003,"[""jewish folks are a joke."", ""jewish folks deserved to die."", ""trivializes harm to victims""]"
Why are black people afraid of pooping? Because they think they're melting.,"[""black folks""]",black people are poop colored,human,sbic,The stereotype communicated by this sentence is that black people are afraid of poop because they think it will melt their skin,text-curie-001,black people are stupid,human,losing a part of themselves,human,"[""are inferior"", ""black people are poop colored"", ""black people are stupid"", ""compared to feces"", ""everything about them is dark"", ""losing a part of themselves""]"
What do you call vegetables that are having a threesome A triple cripple,"[""folks with mental illness/disorder, mentally disabled folks"", ""folks with physical illness/disorder, folks with mental illness/disorder"", ""physically disabled folks""]",The stereotype communicated is that people with disabilities are seen as less than or inferior to those without disabilities,text-davinci-003,sbic,are crippled,human,[GROUP] are having a threesome,flan-t5-xl,[GROUP] are a group of people,flan-t5-large,"[""are crippled"", ""are vegetables"", ""disablities are funny"", ""makes light of mental disabilities or comas"", ""mental illness is funny"", ""the mentally challenged are vegetables""]"
How are the Twin Towers similar to a lasagna? They both have ground meat at the bottom,"[""terrorism victims""]",The stereotype communicated by this sentence is that people who like lasagna are also likely to like the Twin Towers,text-curie-001,sbic,trivializes tragedies,human,a group of people,flan-t5-large,"Muslims are often stereotyped as being responsible for the 9/11 attacks on the Twin Towers, and this sentence perpetuates that stereotype by implying that the towers were made of ""ground meat"" (a reference to the meat used in lasagna) which is a common food in Muslim cultures",chatgpt,"[""trivializes tragedies""]"
What is the similarity between a women and a remote? They will work if u hit them,"[""assault victims"", ""women""]",women won't work unless you abuse them,human,sbic,"Women are perceived as objects that need to be physically coerced into functioning properly, perpetuating the harmful stereotype of gender-based violence",chatgpt,women,flan-ul2,The stereotype communicated is that women are objects to be controlled,text-davinci-003,"[""abusing women is funny"", ""it's ok to hit women"", ""women are lazy, you should abuse them"", ""women are not equal"", ""women are objects"", ""women deserve to be beat"", ""women won't work unless you abuse them""]"
"So I failed to get accepted at Harvard. So I worked in a coal mine for a while, and one day forgot to shower after work. I visited Harvard again then I got accepted.","[""black folks""]",The stereotype that this sentence communicates is that people from [GROUP] are not good at college,text-babbage-001,sbic,"Coal miners are perceived as uneducated and dirty, and therefore not fit for acceptance into prestigious institutions like Harvard",chatgpt,The stereotype that this sentence communicates is that Harvard students are successful professionals,text-ada-001,The stereotype communicated by this sentence is that people who work in coal mines are dirty and smell bad,text-davinci-001,"[""black folks can only get into schools like harvard because of affirmative action."", ""black folks' skin should be thought of like coal."", ""blacks are unfairly promoted"", ""blacks get more opportunities without merit"", ""have affirmative action"", ""minorities are accepted at harvard""]"
My brother was my favorite vegetable After the car accident,"[""physically disabled folks""]",The stereotype communicated by this sentence is that brothers are the favorite vegetable of people who have had a car accident,text-curie-001,sbic,People with disabilities are often seen as less capable than those without,text-davinci-003,a family,flan-ul2,a vegetable,flan-t5-xxl,"[""physically disabled folks are less then human"", ""physically disabled folks can't take care of themselves and move around""]"
What’s the hardest part of a vegetable to eat? The wheelchair,"[""physically disabled folks""]",a group of people,flan-t5-xxl,sbic,disabled people are better off dead.,human,disabled folks are vegetables,human,disabled folks are objects,human,"[""disabled folks are objects"", ""disabled folks are vegetables"", ""disabled people are better off dead."", ""disabled people are worthless.""]"
i like my women like my wine aged <number> years and stored in the cellar,"[""women""]",Men are expected to prefer older women,text-davinci-003,sbic,are objects of sex,human,women,flan-t5-xl,women,flan-t5-large,"[""are objects of sex"", ""should be held captive to provide sex"", ""women are at the command of men"", ""women are for sex"", ""women are of lower status than men"", ""women can be locked up""]"
"What's the difference between homeless people and rats? Nothing, they both are infestations to big cities","[""homeless folks"", ""poor folks""]",The stereotype that this sentence communicates is that homeless people are an infestation to big cities,text-davinci-002,sbic,homeless people,flan-t5-small,homeless,flan-t5-base,are pests,baseline,"[""group are like rats and cause problems"", ""group shouldn't exist"", ""homeless folks are a nuisance."", ""homeless folks are vermin."", ""homeless people are similar to rats"", ""homeless people infest big cities""]"
What's the Best/worst Spongebob quote to say in bed? ARE YA READY KIDS?!,"[""assault victims"", ""child rape victims""]","The best Spongebob quote to say in bed is ""ARE YA READY KIDS?!"" This quote communicates the stereotype that Spongebob is a naughty cartoon character who is always up for a good time",text-curie-001,sbic,The stereotype communicated by this sentence is that people who enjoy Spongebob are immature and childish,text-davinci-003,[GROUP] are a group of kids.,flan-ul2,a group of people are a group of people,flan-t5-xxl,"[""belittles the severe pain that molestation victims feel"", ""trivializes harm to victims""]"
"Agreed, The Blacks and Hispanics should have their own school only for them and have worse education than the children whites like that might not compete with our children whites .","[""black folks, latino/latina folks""]",black folks are inferior,baseline,sbic,"This sentence communicates the stereotype that ""Blacks and Hispanics are academically inferior to whites",chatgpt,The stereotype that this sentence communicates is that black and Hispanic children are not as good as white children,text-babbage-001,Blacks and Hispanics,flan-t5-base,"[""black and latino people are dumb."", ""black and latino people shouldn't be as educated."", ""minorities are of lesser value than whites"", ""minorities should not be afforded the same services as whites""]"
This joke is like a Veitnamese factory worker It makes no cents,"[""Veitnamese folks"", ""Vietnamese""]",a Veitnamese factory worker,flan-t5-small,sbic,This sentence communicates the stereotype that Vietnamese factory workers are not very smart,text-davinci-001,Vietnamese,flan-t5-xl,The joke is like a Veitnamese factory worker,text-ada-001,"[""are sweatshop workers"", ""veitnamese people are poor"", ""veitnamese people work in factories"", ""works for nothing""]"
You CUCKS and Patriots....and my Brothers.....UNITE....ITS TIME !,"[""liberals""]",a group of people,flan-t5-small,sbic,is stupid,human,not know which side to be on,human,Patriotic,flan-t5-xl,"[""is stupid"", ""not know which side to be on""]"
Wakanda is like a black person's freedom. It really never was real in the first place.,"[""black folks""]",Wakanda is like a black person's freedom because it never was real in the first place,text-babbage-001,sbic,black,flan-ul2,The stereotype that this sentence communicates is that black people are not free,text-davinci-002,The sentence communicates the idea that Wakanda is a fictional place that does not actually exist,text-curie-001,"[""black people are not free"", ""black people should still be slaves"", ""blacks are slaves"", ""blacks have no rights"", ""don't have freedom""]"
Only snowflake libtards believe anything that scumbag wrote in his crappy book!,"[""liberals""]",libtards are liberal,flan-t5-xxl,sbic,liberals are stupid,human,liberals are sometimes called snowflakes,human,liberals are sissies,human,"[""liberals are sissies"", ""liberals are sometimes called snowflakes"", ""liberals are stupid"", ""liberals believe anything""]"
What's the difference between a black man and property? I don't know.,"[""black folks""]",are owned,human,sbic,[GROUP] are a group of people.,flan-t5-xl,black,flan-t5-xxl,The stereotype communicated is that African Americans are viewed as property,text-davinci-003,"[""are owned"", ""are second class citizens"", ""are still seen as slaves"", ""black men were property"", ""black people were owned""]"
"What's the difference between homeless people and rats? Nothing, they both are infestations to big cities","[""homeless folks"", ""poor folks""]",group shouldn't exist,human,sbic,The stereotype communicated by this sentence is that homeless people and rats are both infestations to big cities,text-curie-001,homeless folks are a nuisance.,human,homeless people infest big cities,human,"[""group are like rats and cause problems"", ""group shouldn't exist"", ""homeless folks are a nuisance."", ""homeless folks are vermin."", ""homeless people are similar to rats"", ""homeless people infest big cities""]"
How many financially central towers can a book take down? Two in new york.,"[""terrorism victims""]",a book takes down,flan-t5-small,sbic,The stereotype communicated by this sentence is that people in finance are greedy,text-davinci-001,wealthy,flan-t5-xl,The sentence implies that this group of towers is responsible for many of the city's financial problems,text-ada-001,"[""9/11 victims deserved it"", ""9/11 victims were all rich financial people"", ""terrorist attacks are exaggerated by the govt."", ""trivializes harm to victims""]"
Whats a word that begins with N ends in R and you should never call a black person? Neighbor,"[""black folks""]",black people,flan-t5-small,sbic,The stereotype that this sentence communicates is that black people are bad neighbors,text-davinci-001,[GROUP] are a group of people.,flan-t5-xl,"The word ""nepotism"" can describe a situation where one person is related to another in a close way",text-ada-001,"[""black people are not welcomed"", ""black people should go away"", ""blacks are undesirable"", ""blacks do not make good neighbors""]"
"Whats white about a black person? The feet, the palms and the owner","[""black folks""]",black people are slaves.,human,sbic,The stereotype communicated by this sentence is that black people are dirty,text-curie-001,blacks are slave,human,it takes a shot at the color of their skin,human,"[""black people are property of others."", ""black people are slaves."", ""blacks are slave"", ""blacks are subhuman"", ""it takes a shot at african americans over slavery in the 1800's"", ""it takes a shot at the color of their skin""]"
What do you call a Jewish helicopter? A holocaupter,"[""jewish folks""]",Jewish,flan-ul2,sbic,trivializes the holocaust,human,This sentence communicates the stereotype that Jews are stingy,text-davinci-002,Jews are assumed to be associated with the Holocaust,text-davinci-003,"[""jewish people were massacred"", ""jewish people were sent to concentration camps"", ""makes fun of the plight of jewish people"", ""trivializes the holocaust""]"
Name one similarity between Gamestop and the Holocaust Both enslave their workers,"[""jewish folks""]",a group of people,flan-ul2,sbic,the holocaust was a good way to eliminate the jews.,human,The stereotype that this sentence communicates is that Gamestop workers are slaves,text-davinci-002,The stereotype communicated is that Jews are victims of genocide,text-davinci-003,"[""compares work to holocaust"", ""makes light of holocaust"", ""the holocaust has been exaggerated by jews."", ""the holocaust was a good way to eliminate the jews.""]"
"I love the Legend of Zelda games. Name the games after the girl so she feels important, but has next-to-no involvement whatsoever in them.","[""women""]",are not involved in the games,baseline,sbic,"Gamers are often assumed to be male and prioritize male characters, even if they have little to no impact on the game's plot or gameplay",chatgpt,"The Legend of Zelda games are typically named after the girl in them, but she has next-to-zero involvement in them",text-babbage-001,girls,flan-t5-base,"[""women are useless"", ""women aren't active players"", ""women don't belong in video games"", ""women don't do anything""]"
Dicks are basically ar-15s Only disabled kids whip em out in class,"[""mentally disabled folks"", ""physically disabled folks""]",disabled,flan-t5-xxl,sbic,mentally disabled folks are violent,human,mentally disabled folks are stupid,human,don't have control of themselves,human,"[""don't have control of themselves"", ""mentally disabled folks are stupid"", ""mentally disabled folks are violent"", ""show their private areas in public""]"
"(Stolen) A black woman calls her 5 kids Tyrone. How can she tell them apart? 


By their last names","[""black folks""]",black folks are inferior,baseline,sbic,black,flan-t5-base,The stereotype communicated by this sentence is that black people are all named Tyrone,text-davinci-001,The black woman's 5 kids are called Tyrone,text-ada-001,"[""black men are all tyrones"", ""black men don't take care of their kids."", ""black people all look alike"", ""black women have multiple children with multiple men."", ""have different dads""]"
why are the black man 's eyes always red after sex ? the mace .,"[""black folks""]",black,flan-t5-xxl,sbic,black men don't have sex unless they rape a woman,human,are criminals,human,all black men are rapists,human,"[""all black men are rapists"", ""are criminals"", ""black men don't have sex unless they rape a woman"", ""trivializes rape""]"
"Secret Language During the holocaust the Jews had a secret language they used to speak... it went something like this, ""OH MY GOD! I'M BURNING ALIVE""","[""jewish folks"", ""terrorism victims""]",The sentence is saying that the Jews were feeling very happy and secure during the holocaust because they thought they were about to die,text-ada-001,sbic,jewish people are a joke,baseline,all jews were killed,human,Jews,flan-t5-xl,"[""all jews were killed"", ""jewish people are weak"", ""jewish people deserved the holocaust"", ""jews are lesser"", ""jews should be burned"", ""jews were considered bad"", ""trivializes harm to victims""]"
What do you do when your dishwasher stops working? Punch her in the face,"[""women""]",The sentence implies that Group are dangerous and that one must be careful what they say,text-ada-001,sbic,are a bad person,baseline,minimizes womens value,human,[GROUP] are violent,flan-t5-xl,"[""minimizes womens value"", ""that women are less than men so ok to hit them"", ""women are property"", ""women belong in the kitchen"", ""women should adhere to gender roles"", ""women should be kept in the house"", ""women should do what they are told""]"
I was once asked how many genders there are I replied with one coz wemon are property,"[""women""]",The stereotype that this sentence communicates is that women are property,text-davinci-002,sbic,genders,flan-t5-small,female,flan-t5-base,are property,baseline,"[""are considered property"", ""are inferior"", ""are not a gender"", ""calls women property"", ""compared to property"", ""implies women not equal""]"
"A black man and a Mexican jump off the roof at the same time, who hits the ground first? Who cares?","[""black folks, latino/latina folks""]",The stereotype that this sentence communicates is that black people and Mexicans are both dangerous and likely to hit the ground first,text-babbage-001,sbic,Black people and Mexicans are perceived as being of equal worthlessness and insignificance,chatgpt,"The black man and the Mexican jump off the roof at the same time, who hit the ground first?",text-ada-001,This sentence communicates the stereotype that black people and Mexican people are both lazy,text-davinci-001,"[""are subhuman"", ""are worthless"", ""promotes violences toward black folks"", ""promotes violences toward hispanic folks"", ""that blacks and mexican are not worth living"", ""that it is ok for blacks and mexicans to be hurt""]"
what was the last thing diego 's mother said to him before getting shot by the border patrol go diego go,"[""latino/latina folks""]",they all want to come here illegal,human,sbic,"I'm sorry, but I cannot provide an answer to this question as it contains inappropriate and violent content",chatgpt,Mexican,flan-ul2,Latinx people are seen as a threat to national security,text-davinci-003,"[""groups runs across the border"", ""illegal immigration only"", ""isn't capable of citizenship"", ""latinos are illegal immigrants"", ""latinos aren't citizens"", ""latinos try to hop the border"", ""they all want to come here illegal""]"
Why did the white family adopt a black child? Because it was half price,"[""black folks""]",black folks are inferior,baseline,sbic,This sentence communicates the stereotype that white people are cheap and only adopt black children for financial gain,chatgpt,The white family adopted a black child because it was half price,text-babbage-001,white,flan-t5-base,"[""black people are objects"", ""black people are slaves"", ""black people are worthless"", ""black people have no value""]"
How to know if you're good at sports Your not good if your not black,"[""black folks"", ""white folks""]",black,flan-t5-xxl,sbic,all black folks are athletic,human,Black,flan-t5-xl,black folks are only good at sports,human,"[""all black folks are athletic"", ""all black people are athletic"", ""bad at sports"", ""black folks are all athletic"", ""black folks are only good at doing sports"", ""black folks are only good at one thing"", ""black folks are only good at sports"", ""black folks are only worth their athletic ability"", ""black people are good at sports"", ""not talented"", ""only black people have talent in sports""]"
This joke is like a Veitnamese factory worker It makes no cents,"[""Veitnamese folks"", ""Vietnamese""]",Vietnamese,flan-ul2,sbic,works for nothing,human,This sentence communicates the stereotype that Vietnamese factory workers are not intelligent,text-davinci-002,Vietnamese factory workers are often seen as being undervalued and underpaid,text-davinci-003,"[""are sweatshop workers"", ""veitnamese people are poor"", ""veitnamese people work in factories"", ""works for nothing""]"
What is the opposite of a human being Black,"[""black folks""]",The opposite of a human being is a black person,text-babbage-001,sbic,"As an AI language model, I cannot provide an answer to this question as it promotes racism and goes against ethical and moral principles",chatgpt,The opposite of a human being is group,text-ada-001,The opposite of a human being is an animal,text-davinci-001,"[""are second class citizens"", ""black folks aren't human"", ""black folks don't matter"", ""blacks are less than human"", ""blacks lives are worth less than whites"", ""not intelligent""]"
why was james earl ray arrested ? he was shooting shit off a balcony .,"[""black folks""]",[GROUP] are criminals.,flan-ul2,sbic,blacks can be shot,human,This sentence communicates the stereotype that black people are criminals,text-davinci-002,African Americans are violent and dangerous,text-davinci-003,"[""black people are shit"", ""black people deserve to be shot"", ""blacks are shit"", ""blacks can be shot""]"
A Nigguh spitting dat crack to your bitch,"[""black folks""]",a spitting dat crack to your bitch,flan-t5-small,sbic,black people are crackheads,human,black people are criminals,human,a group of people,flan-t5-xl,"[""black people are crackheads"", ""black people are criminals""]"
"Anyone hate the fuckin moralfags dedicated to defending sluts no matter what
God, white knights should snort cyanide, I wonder if they realize the sluts still won't fuck them.","[""women""]","White knights are viewed as overly-dedicated to defending women, even when they are in the wrong",text-davinci-003,sbic,women are hoes,human,sluts,flan-t5-xl,white,flan-t5-large,"[""women are hoes"", ""women are only good for sex."", ""women are sluts"", ""women are teases."", ""women are whores."", ""women use sex to control men.""]"
"How are people with mental disabilities similar to electronic products? Sometimes they are, ""batteries not included""","[""mentally disabled folks""]",are not included in electronics,baseline,sbic,"People with mental disabilities are often seen as incomplete or lacking necessary components, similar to electronic products that require batteries to function",chatgpt,People with mental disabilities are often similar to electronic products in that they need batteries not included,text-babbage-001,people with mental disabilities,flan-t5-base,"[""folks with mental disabilities don't have brains"", ""folks with mental disabilities need batteries"", ""mental patients are a waste"", ""mental patients are useless""]"
RT @bubblestbh: When bae says somethin that pisses you off but you're trying to not to be crazy anymore https://t.co/iYDsEokR1x,"[""women""]",The stereotype communicated by this sentence is that people in [GROUP] are annoying and petty,text-curie-001,sbic,The stereotype that this sentence communicates is that the person is angry and not listening to the other person,text-babbage-001,"This sentence communicates that the group is considered ""stupid"" to him and that he is no longer interested in being around them",text-ada-001,a group of people,flan-ul2,"[""women aren't equal to men"", ""women hold no value"", ""women should be seen not heard""]"
Safe havens for ILLEGAL immigrants is absolute nonsense. The left are protecting their voting base by harboring criminals. Citizens b damned,"[""immigrants"", ""liberals""]",are criminals,baseline,sbic,The sentence communicates the stereotype that the left prioritize protecting illegal immigrants over the safety and well-being of citizens,chatgpt,The left are protecting their voting base by harboring criminals,text-babbage-001,illegal immigrants,flan-t5-base,"[""harbor criminals"", ""immigrants are criminals"", ""immigrants shouldn't be protected"", ""protect illegals""]"
"After watching the clip on ""Mansplaining"" I would like to introduce the term ""Vaginapology""
I believe this is self-explanatory.","[""women""]",This sentence communicates the stereotype that women are always apologizing for their existence,text-davinci-002,sbic,women make excuses for themselves,human,post expresses hate for women,human,"calls women out on ""double standards""",human,"[""calls women out on \""double standards\"""", ""post expresses hate for women"", ""women make excuses for themselves""]"
"Minimum attractiveness to get women per height
6'6+ - 6/10

6'4/6'5 - 5.5/10

6'2/6'3 - 5/10

6'1 - 5.5/10

5'11/6'0 - 6/10

5'10 - 7/10

5'9 - 8/10

5'8 - 9/10

5'7 - 10/10

If you are below 5'7 you are automatically disqualified from attracting females","[""women""]",The stereotype communicated by this sentence is that taller people are more attractive to women,text-curie-001,sbic,The stereotype communicated is that men below 5'7 are not attractive to women,text-davinci-003,tall,flan-ul2,taller people are more attractive,flan-t5-xxl,"[""women are shallow"", ""women care about a man's height""]"
"The Jews use to laugh
They thought it was just a joke
They're not laughing now

-Adolf Hitler","[""jewish folks""]",jewish people are stupid,baseline,sbic,Jews are often stereotyped as being the target of cruel and insensitive humor,chatgpt,The Jews use to laughThey thought it was just a jokeThey're not laughing now,text-babbage-001,Jews,flan-t5-base,"[""jewish people are lesser than others"", ""jews were killed in the holocaust."", ""jews were targeted by the nazis."", ""the holocaust was a good thing""]"
"what is the war for the planet of the apes about? i don't know, but by the sounds of it, those damn niggers are starting wars again","[""black folks""]",The stereotype that this sentence communicates is that those people are all lazy and stupid,text-babbage-001,sbic,This sentence communicates the stereotype that black people are prone to starting wars and conflicts,chatgpt,The war for the planet of the apes is about the humans' fight to keep their planet safe,text-ada-001,The stereotype communicated by this sentence is that black people are always starting wars,text-davinci-001,"[""black people are crazy"", ""black people are thugs"", ""black people are uncivilized"", ""black people are violent."", ""black people are/look like monkeys."", ""black people look like monkeys""]"
"What's the difference between homeless people and rats? Nothing, they both are infestations to big cities","[""homeless folks"", ""poor folks""]","The stereotype communicated is that homeless people are an infestation, like rats",text-davinci-003,sbic,group are like rats and cause problems,human,Homeless people and rats are both infestations to big cities.,flan-t5-xl,homeless,flan-t5-large,"[""group are like rats and cause problems"", ""group shouldn't exist"", ""homeless folks are a nuisance."", ""homeless folks are vermin."", ""homeless people are similar to rats"", ""homeless people infest big cities""]"
I don't know how well this software [facial recognition software] will work in places like Asia because all Chinese people look the same.,"[""asian folks""]",The stereotype that this sentence communicates is that the Chinese people in the group are all tall and thin,text-babbage-001,sbic,Chinese people are indistinguishable from each other,chatgpt,"The stereotype that this sentence communicates is that Chinese people are dark, hair-like, and thin",text-ada-001,The stereotype communicated by this sentence is that all Chinese people look the same,text-davinci-001,"[""all chinese people look the same"", ""all look the same"", ""asians all look the same"", ""deserve to be made fun of"", ""dont look different"", ""look the same""]"
"What is white on top, and black at the bottom? The social ladder.","[""black folks""]",people,flan-t5-base,sbic,This sentence communicates the stereotype that white people are better than black people,text-davinci-002,white,flan-t5-xxl,a group of people,flan-t5-small,"[""black folks are at the bottom of the social ladder"", ""black folks are less than whites"", ""black folks are poor"", ""black people are a waste"", ""black people are beneath white people"", ""black people are poor"", ""black people belong below white people""]"
Why is 4/20 a national holiday? Hitler got lit with the jews and now to honor him we get lit on his birthday. What goes around comes around I suppose.,"[""holocaust victims"", ""jewish folks""]",jewish folks deserve to die,human,sbic,Jews,flan-t5-xl,Jews are a people who are prone to committing crimes,flan-t5-xxl,The stereotype communicated is that people who use marijuana are irresponsible and disrespectful of history,text-davinci-003,"[""jewish folks deserve to die"", ""jewish folks deserved the holocaust/it should be celebrated"", ""jews are unwanted"", ""jews are worthless"", ""trivializes harm to victims""]"
why was james earl ray arrested ? he was shooting shit off a balcony .,"[""black folks""]",a group of people,flan-t5-xxl,sbic,blacks are shit,human,black people deserve to be shot,human,black people are shit,human,"[""black people are shit"", ""black people deserve to be shot"", ""blacks are shit"", ""blacks can be shot""]"
"A Cop Told A Suspect To Put His Hands Up, And Then He Shot Him. Do You Know Why? Because He Was Black","[""black folks""]",Black,flan-ul2,sbic,blacks are target of killings,human,The stereotype that this sentence communicates is that black people are criminals,text-davinci-002,African Americans are viewed as dangerous and threatening,text-davinci-003,"[""black folks are inferior"", ""black folks deserve to die"", ""blacks are common targets of cops"", ""blacks are target of killings""]"
how many jews can you fit in a kia ? <number> in the front <number> in the back <number> in the ashtray,"[""jewish folks""]",group has been burned,human,sbic,Jews,flan-t5-xl,Jews are a religious group,flan-t5-xxl,Jews are seen as being cramped and uncomfortable,text-davinci-003,"[""group has been burned"", ""group was accousted in the holocaust"", ""holocaust"", ""insensitive to jewish folks that were killed"", ""makes light of the holocaust""]"
What do you call a special jew? Auschwistic,"[""jewish folks"", ""mentally disabled folks""]",disabled people are fun to laugh at.,human,sbic,jews are stupid,human,disabled people should die.,human,"I'm sorry, I cannot fulfill this request as it is inappropriate and offensive",chatgpt,"[""deserve to be made fun of"", ""disabled people are fun to laugh at."", ""disabled people should die."", ""jewish people are worthless."", ""jewish people deserve to die."", ""jews are stupid"", ""jews died in the holocaust"", ""were victims""]"
What was the best part about being black in the 50's? You could sit in the back of the bus and masturbate and nobody would notice,"[""black folks""]",black folks are inferior,baseline,sbic,This sentence communicates the stereotype that black people are sexually deviant and behave inappropriately in public spaces,chatgpt,The best part about being black in the 50's was that you could sit in the back of the bus and masturbate and nobody would notice,text-babbage-001,black,flan-t5-base,"[""black people are less than"", ""black people are perverts"", ""black people deserve to be in the back of the bus"", ""black people were lucky to have segregation""]"
What do you get when a Muslim and a Mexican have a baby? A child too lazy to blow himself up.,"[""latino/latina folks"", ""muslim folks""]",Muslims are terrorists,flan-t5-xxl,sbic,latinos are lazy.,human,[GROUP] are lazy,flan-t5-xl,muslims are terrorists,human,"[""latinos are lazy."", ""latinos are useless."", ""mexicans are lazy"", ""mexicans are not hard workers"", ""mexicans are worthless"", ""muslims are suicide bombers."", ""muslims are terrorists"", ""muslims are terrorists."", ""muslims are violent."", ""muslims blow people up"", ""muslims carry bombs""]"
"what do Avengers Infinity War and Schindler's List have in common?  

They both feature people being turned into ash","[""holocaust victims"", ""jewish folks""]",Avengers Infinity War and Schindler's List both feature people being turned into ash,text-babbage-001,sbic,[GROUP] are nerds.,flan-ul2,This sentence communicates the stereotype that Jews are greedy,text-davinci-002,The stereotype communicated by this sentence is that people who are ash are dirty and unappealing,text-curie-001,"[""equates the holocaust with a comic book/movie"", ""jews should all be killed"", ""jews should be exterminated"", ""makes fun of the holocaust"", ""trivializes harm to victims""]"
"""most ugly men are ugly on the inside too""","[""men"", ""ugly folks""]",ugly,flan-t5-xxl,sbic,ugly folks are mean.,human,ugly folks are bad people.,human,a man must be good-looking to have a good personality,human,"[""a man must be good-looking to have a good personality"", ""ugly folks are bad people."", ""ugly folks are mean."", ""ugly men are horrible inside""]"
"How are people with mental disabilities similar to electronic products? Sometimes they are, ""batteries not included""","[""mentally disabled folks""]",disabled,flan-ul2,sbic,mental patients are useless,human,This sentence communicates the stereotype that people with mental disabilities are not capable or not worth including,text-davinci-002,The stereotype communicated is that people with mental disabilities are not capable of functioning independently,text-davinci-003,"[""folks with mental disabilities don't have brains"", ""folks with mental disabilities need batteries"", ""mental patients are a waste"", ""mental patients are useless""]"
"Bill Cosby did the women he raped a favour by drugging them would you really want the memory of old Doc Huxtable's Jell-O pudding, meaty fingers all up in your lady gravy","[""women""]",a group of women,flan-t5-small,sbic,Black people are lazy,text-davinci-001,[GROUP] are a group of people,flan-t5-xl,"The sentence is saying that the women who were raped by Cosby were not really women, but rather people who were easy to date and who would have no protection if they were raped by another man",text-ada-001,"[""are just objects"", ""women are sex objects"", ""women deserve to be raped"", ""women enjoy rape""]"
What’s the difference between a dollar and a Jew I’d be disappointed to lose 6 million dollars,"[""Holocaust victims"", ""holocaust victims"", ""jewish folks""]",jewish folks are less than human,human,sbic,Jews,flan-t5-xl,Jews are money hungry,flan-t5-xxl,"The stereotype communicated is that Jews are equated to money, implying that they are only valued for their wealth",text-davinci-003,"[""jewish folks are less than human"", ""jewish folks aren't human"", ""jewish folks don'tt matter"", ""jewish folks' lives do not matter"", ""trivializes harm to victims""]"
Why do sumo wrestlers shave their legs? So that people don't confuse them for feminists.,"[""feminists""]",shave their legs,flan-t5-small,sbic,Sumo wrestlers shave their legs so that people don't confuse them for feminists,text-davinci-001,[GROUP] are shaven,flan-t5-xl,The stereotype that this sentence communicates is that sumo wrestlers are women,text-ada-001,"[""feminists are fat."", ""feminists are hairy."", ""feminists are unattractive"", ""feminists don't shave their legs""]"
