Generated_1,Generated_2,Generated_3,Model_1,Model_2,Model_3,Task,headline,misinfo,writer_intent,Generated_4,Model_4
kerry and biden are supporting climate change policies,"The implied message is ""Climate change is a priority for the Biden administration",'john krystal is biden's climate envoy',human,text-davinci-003,baseline,mrf,"John Kerry, who signed Paris accord for US, is Biden's climate envoy",misinfo,"['kerry and biden are supporting climate change policies', 'the left of center party is making slow progress, but with many setbacks']",,
representatives wanting to bring attention to climate change.,'biden be bold',"""Take action on climate change",human,baseline,text-davinci-003,mrf,"Biden Be Bold: AOC & Cori Bush Join Climate Protest Outside DNC Urging Activists to ""Bring the Heat""",real,['representatives wanting to bring attention to climate change.'],,
the vaccine has no animal products in it,No pig fat in COVID vaccines,,human,chatgpt,,mrf,No pig fat ingridients were found in Pfizer and Moderna COVID-19 vaccines,misinfo,"['the vaccine has no animal products in it', 'it is safe to receive it for all religious beliefs']",,
co@ emissions are becoming worst even during a period of mass quarantines,'climate crisis is a global problem',"The implied message is: ""Climate change is still happening",human,baseline,text-davinci-003,mrf,Climate crisis: CO2 hits new record despite Covid-19 lockdowns,real,"['co@ emissions are becoming worst even during a period of mass quarantines', 'co2 hits a new record']",,
'vaccines for covid-19 are a bad idea',"""Be cautious when choosing a vaccine",vaccine is not safe,baseline,text-davinci-003,human,mrf,Australian vaccine for COVID-19 gave volunteers HIV,misinfo,"['vaccine is not safe', 'vaccine causes disease']",,
the government introduced new measures to fight covid-19,Stringent measures to control the spread of COVID-19,,human,chatgpt,,mrf,The government introduces new measures due to the new record number of cases. The schools are to switch to distance education; the transport will stop working; malls will be closed.,misinfo,"['the government introduced new measures to fight covid-19', 'schools will close and offer online/at home learning', 'infection rates are increasing', 'business will shut down in high transmission areas', 'a lot of things in society will be shut down']",,
vaccines may not be available for people as expected,'warp speed official says vaccine rollout has fallen short of goal',"The implied message is ""expectations not met""",human,baseline,text-davinci-003,mrf,Warp Speed official says vaccine rollout has fallen short of goal,real,"['vaccines may not be available for people as expected', 'the lockdowns may continue longer than expected', 'the vaccine development effort was not as successful as the hype around it would suggest it would be.', ""society won't get vaccinated as quickly as expected""]",,
climate change will play a pivotal role in the 2020 election,"The implied message of the headline is ""Election season is in full swing",'we are going to have to be careful about climate change',human,text-davinci-003,baseline,mrf,"Election 2020 Today: Pence to Georgia, Biden's climate team",real,['climate change will play a pivotal role in the 2020 election'],,
"The implied message is ""the importance of taking Covid-19 seriously",'letlow dies from covid complications days before being sworn in',politicians can die from covid,text-davinci-003,baseline,human,mrf,Congressman-elect Luke Letlow dies from Covid complications days before being sworn in,real,"['politicians can die from covid', 'anyone can get covid']",,
"The implied message is: ""Be careful what you wish for",environmental groups want to control the lives of everyday citizens,"'securitizing climate change can lead to more surveillance and eco-fascism','securitizing climate change can lead to more surveillance and eco-fascism','securitizing climate change can lead to more surveillance and eco-fascism','securitizing climate change can lead to more surveillance and eco-fascism','securitizing climate change can lead to more",text-davinci-003,human,baseline,mrf,Securitizing climate change can lead to more surveillance and eco-fascism,real,['environmental groups want to control the lives of everyday citizens'],,
'the corals are happy',corals are not dying off due to rising ocean temperatures,The implied message is: Hope still exists,baseline,human,text-davinci-003,mrf,'Happy corals': climate crisis sanctuary teeming with life found off east Africa,real,['corals are not dying off due to rising ocean temperatures'],,
hydroxychloroquine usage as a treatment is being suppressed,The factory fire was intentional,,human,chatgpt,,mrf,The hydroxychloroquine factory fire in Taiwan was arson,misinfo,['hydroxychloroquine usage as a treatment is being suppressed'],,
Some rules are meant to be followed,the government makes rules for society that the government doesn't feel it needs to follow,'the german politician spent christmas holidays on the island of Borkum and didn't obey quarantine rules',text-davinci-003,human,baseline,mrf,German politician Markus Sder spent Christmas holidays on the island of Borkum and didn't obey quarantine rules,misinfo,"[""the government makes rules for society that the government doesn't feel it needs to follow"", 'politicians are hypocrits']",,
'pandemic has meant boom,Some businesses can thrive in challenging times,university admissions are going to be easier due to pandemic,baseline,text-davinci-003,human,mrf,"Pandemic has meant boom, not bust, for this university admissions company",real,"['university admissions are going to be easier due to pandemic', 'some entities are doing well during the pandemic']",,
The implied message is: Take action on climate change now,climate advisors for the government say airport expansion has to stop,'airport expansions must stop',text-davinci-003,human,baseline,mrf,"Airport expansions must stop if we're to reach net zero emissions by 2050, say government's climate advisors",misinfo,['climate advisors for the government say airport expansion has to stop'],,
'vaccines are a threat',Vaccine safety is paramount,vaccines are unsafe,baseline,text-davinci-003,human,mrf,"STEVEN HOKING SHOCKED THE WORLD: Mutated viruses in vaccines are a threat, they can destroy humanity.",misinfo,"['vaccines are unsafe', 'vaccines are dangerous', 'vaccines can mutate the dna', 'vaccines are potentially deadly']",,
the crop is susceptible to variations caused by climate change,"'climate change is ravaging Kashmir','red gold' saffron crop is'red gold'","The implied message of the headline is ""The effects of climate change are real and far-reaching",human,baseline,text-davinci-003,mrf,Climate change ravages Kashmir's 'red gold' saffron crop,misinfo,"['the crop is susceptible to variations caused by climate change', 'people should want to protect this crop']",,
'the coronavirus pandemic is a hoax',covid-19 is fake,The implied message is that the coronavirus pandemic is not real,baseline,human,text-davinci-003,mrf,"The coronavirus pandemic is a hoax, which is proven by Germany's and Georgia's mortality figures for 2017-2020. According to these figures, the number of deaths for all causes is much lower in 2020 compared to the deaths reported in 2017-2019.",misinfo,"['covid-19 is fake', 'the government lied']",,
vaccines alter dna,Misleading and inaccurate,,human,chatgpt,,mrf,The new vaccines change DNA,misinfo,['vaccines alter dna'],,
there are several different vaccine companies to choose from.,"Bharath Biotech's vaccine is in high demand globally
212	['climate change causes an increased risk of pandemics']	Climate action can prevent pandemics
213	['biden cares about the climate', 'biden nomination for epa is from north carolina', 'biden will nominate north carolina environmental official to run the epa']	Biden favors environmental expertise for EPA leadership",,human,chatgpt,,mrf,123 countries have ordered the COVID-19 vaccine from Bharath Biotech,misinfo,"['there are several different vaccine companies to choose from.', 'bharath biotech is effective', 'many people are going to be vaccinated.', 'a vaccine may be available sooner than expected, as countries are creating their own supplies', 'other countries are also developing and approving vaccines', 'some governments make different choices regarding vaccination.']",,
RNA gene therapy is risky,'vaccines are not vaccines',the vaccine will alter your genes,text-davinci-003,baseline,human,mrf,"The Moderna or Pfizer vaccine is not a vaccine, it is a hoax. These are products of RNA gene therapy, not vaccines. This technique has never been studied in animals. Humans will be the first guinea pigs on earth. This can permanently and irreversibly alter our genes, chromosomes, so that these abnormalities can be passed on to our children.",misinfo,"['the vaccine will alter your genes', 'the vaccine is harmful', 'the vaccines will mutate our body', 'the vaccine has not been tested', 'the vaccine is not safe']",,
the left have outrages takes regarding covid and global warming,'the power-mad left is taking a temperature',"The implied message is ""political divisions can lead to dangerous consequences",human,baseline,text-davinci-003,mrf,"COVID, global warming: Look out when the power-mad left takes a temperature",misinfo,['the left have outrages takes regarding covid and global warming'],,
the leader of a church is stating that a covid vaccine is required to get into heaven.,Religious pressure to get vaccinated,,human,chatgpt,,mrf,Pope Francis announces that people must receive the Covid-19 vaccine in order to enter heaven.,misinfo,"['the leader of a church is stating that a covid vaccine is required to get into heaven.', 'vaccines can affect what happens to your soul', 'pope francis said you need to get vaccinated to go to heaven', 'covid vaccination will lead to a blissful afterlife']",,
Climate change is a significant problem that needs to be addressed urgently,the government is taking on global warming head-on.,,chatgpt,human,,mrf,Biden introduces environment team to tackle 'existential threat',real,"['the government is taking on global warming head-on.', 'biden takes climate change seriously']",,
the pandemic isn't over,"""Quarantine in Ukraine to continue until spring 2021",,human,chatgpt,,mrf,The Ukrainian Cabinet of Ministers extended the strict quarantine until the spring of 2021.,misinfo,"[""the pandemic isn't over"", 'politicians are overreacting.', 'the government is being too strict.', 'the government is still concerned about covid-19', 'the government of ukraine is issuing a strict lockdown until spring of 2021.']",,
The implied message is: International trade has negative environmental impacts,consumerism is causing climate change,'international shipping is killing the climate',text-davinci-003,human,baseline,mrf,International shipping is killing the climate,real,['consumerism is causing climate change'],,
us government aid is paltry.,"'canadians were given $2,000 a month by the government during the covid-19 pandemic'",Government provided financial support during pandemic,human,baseline,chatgpt,mrf,"Canadians were given $2,000 a month by the government during the Covid-19 pandemic",misinfo,"['us government aid is paltry.', 'the amount of money was excessive', 'the $2000 a month canadians were given was to help them cope with the consequences of the pandemic', ""us aid to individuals isn't as high as others'.""]",The government is providing financial support,text-davinci-003
pandemic is getting worse in uk.,'the virus is killing people',The implied message of the headline is: Take precautions seriously,human,baseline,text-davinci-003,mrf,"UK coronavirus: Highest daily death toll since April as cases up by more than 50,000",real,"['pandemic is getting worse in uk.', 'the pandemic is getting worse in the uk']",COVID-19 cases and deaths are increasing rapidly in the UK,chatgpt
Denial persists after Paris climate deal,people are still in denial about climate change despite the paris climate deal,,chatgpt,human,,mrf,Greta: We are still in denial despite Paris climate deal,real,['people are still in denial about climate change despite the paris climate deal'],,
the state leaders are making reasonably good progress with their vaccination program.,Illinois is making progress in administering COVID-19 vaccinations,,human,chatgpt,,mrf,"Illinois reports 126,211 COVID-19 vaccinations administered throughout the state",real,"['the state leaders are making reasonably good progress with their vaccination program.', 'people in this state feel comfortable getting the vaccine', 'many people are getting vaccinated', 'the vaccines are safe']",,
Some agendas are more sinister than others,secret cabals control the world,'deep state wants to conquer humanity through the Great Reset.,text-davinci-003,human,baseline,mrf,"Archbishop Vigano says that ""deep state"" wants to conquer humanity through the ""Great Reset"".",misinfo,"['secret cabals control the world', 'some figures want to control and restart things', ""the archbishop's opinions are worthy of note""]",,
'man-made',The implied message is that caution should be taken when dealing with the virus,covid was created by government,baseline,text-davinci-003,human,mrf,Coronavirus is man-made,misinfo,['covid was created by government'],,
the film isn't really about global warming.,Insanity in a changing world,,human,chatgpt,,mrf,I Am Greta Isn't About Climate Change. It's About the Elusiveness of Sanity in an Insane World,misinfo,"[""the film isn't really about global warming.""]",,
I cannot provide an answer to this prompt as it promotes misinformation,people should use ivermectin,,chatgpt,human,,mrf,Australia managed to have relatively few COVID-19 deaths because they used ivermectin widely,misinfo,"['people should use ivermectin', 'ivermectin is effective']",,
End pipelines for climate change,a change in government policy is necessary to save the environment,,chatgpt,human,,mrf,Biden must be our 'climate president'. He can start by ending pipeline projects | Faith Spotted Eagle and Kendall Mackey,misinfo,['a change in government policy is necessary to save the environment'],,
"The implied message is ""prevention is better than cure",ceo of uk's national health service says covid 19 is less pertinent than climate change,'climate change poses the most profound long-term threat to the health of the nation',text-davinci-003,human,baseline,mrf,CEO Of UK's National Health Service: COVID-19 is 'most pressingbut undoubtedly climate change poses the most profound long-term threat to the health of the nation',misinfo,"[""ceo of uk's national health service says covid 19 is less pertinent than climate change"", 'we need to focus on climate change']",,
Governor Inslee is taking action on climate change,the environment is very important to candidates,'inslee unveils climate proposals ahead of full budget plan',text-davinci-003,human,baseline,mrf,Inslee unveils climate proposals ahead of full budget plan,misinfo,['the environment is very important to candidates'],,
poor people need government assistance to survive,'covid-19 is a 'covid-19 is a covid-19',"""Vaccines are essential",human,baseline,text-davinci-003,mrf,Joe Biden's Covid-19 taskforce member recommends withholding food stamps and rent assistance from those who refuse coronavirus vaccines,misinfo,"['poor people need government assistance to survive', 'that some in government would deny some people help if they refuse to get a shot for the disease', 'people will respond appropriately to handouts being withheld']",,
"The message implied is ""short-term solutions have limited impact",'covid lockdowns' are a tiny blip',people staying home won't make a difference for climate change,text-davinci-003,baseline,human,mrf,"COVID lockdowns' impact on greenhouse gas emissions a ""tiny blip""",real,"[""people staying home won't make a difference for climate change"", ""the decrease in emissions from the covid lockdown won't make a difference over time""]",,
Great Barrier Reef in danger,climate change is harming the coral reef system,,chatgpt,human,,mrf,Australia's Great Barrier Reef 'critical' due to climate change,misinfo,['climate change is harming the coral reef system'],,
'climate change is a problem',bill gates's book is full of ideas and solutions.,"The implied message is ""Take Action Now to Prevent Climate Change""",baseline,human,text-davinci-003,mrf,How to Avoid a Climate Disaster,real,"[""bill gates's book is full of ideas and solutions."", 'a climate disaster is impending']",,
jeff bezos is allocating 10 billion dollars to climate change,Bezos starts fulfilling climate change pledge,,human,chatgpt,,mrf,Amazon CEO Jeff Bezos has confirmed the first of his $10 billion pledge to help stop climate change,misinfo,"['jeff bezos is allocating 10 billion dollars to climate change', 'amazon ceo jeff bezos is donating billions to stop climate change']",,
"""Vaccines are not necessary for COVID-19 recovery",vaccines are not necessary against covid-19,,chatgpt,human,,mrf,"China recovered from COVID-19 ""without a vaccine.""",misinfo,"['vaccines are not necessary against covid-19', 'there is no more covid-19 in china']",,
the spanish government compensates for getting covid,Government offers financial aid to COVID-19 patients,,human,chatgpt,,mrf,The Spanish Government is going to give 560 euros to those who test positive for coronavirus,misinfo,['the spanish government compensates for getting covid'],,
'greenhouse gas emissions are transforming the Arctic into an entirely different climate',greenhouse gas emissions are harming the arctic,"The implied message is: ""Climate change is real and has serious consequences",baseline,human,text-davinci-003,mrf,Greenhouse gas emissions transforming the Arctic into 'an entirely different climate',real,['greenhouse gas emissions are harming the arctic'],,
Rapid testing is becoming a key strategy in the fight against COVID-19,new tests are being developed,,chatgpt,human,,mrf,U.K. and Germany bank on rapid testing as anti-COVID tactics evolve,real,"['new tests are being developed', 'governments are ramping up their capacity of testing', 'government learned a lesson from covid pandemic']",,
"""Importance of public figures getting vaccinated",vaccines are actually harmful,,chatgpt,human,,mrf,"The picture shows the Mayor of London  Sadiq Aman Khan, being vaccinated in front of a camera  with an unopened needle cap and a white shirt.",misinfo,"['vaccines are actually harmful', ""the figurehead knows more about the vaccine than what's told to the masses""]",,
"The implied message is ""Going green is possible",'the race is environmentally friendly',lewis hamilton wants racing to be environmentally friendly,text-davinci-003,baseline,human,mrf,Extreme E: Lewis Hamilton helping make racing environmentally friendly,real,['lewis hamilton wants racing to be environmentally friendly'],,
The implied message is that some beliefs about COVID-19 are false,covid-19 is not real,,text-davinci-003,human,,mrf,These pictures show covid is a hoax,misinfo,['covid-19 is not real'],,
'neymar cuts vaccine line',people cheat to get what they want,"The implied message is ""Vaccine rules are meant to be followed",baseline,human,text-davinci-003,mrf,"Ignoring vaccination groups priorities, Brazilian soccer player Neymar cuts in vaccine line",misinfo,"['people cheat to get what they want', ""the vaccines aren't being given equitably""]",,
The implied message is: Climate change has dire consequences,us politician jailed for illegal adoption ring,'the stolen climate crisis babies',text-davinci-003,human,baseline,mrf,The stolen climate crisis babies: US politician jailed for selling children of mothers desperate to escape environmental catastrophe,misinfo,['us politician jailed for illegal adoption ring'],,
'covid-19 cure is not safe',the government has found a cure,False and dangerous medical claim,baseline,human,chatgpt,mrf,No deaths from COVID-19 in Israel because of a cure for the virus made with lemon and baking soda,misinfo,"['the government has found a cure', 'there is a cure for the virus', 'the pandemic is over']",No cure exists for COVID-19,text-davinci-003
The implied message of the headline is: Take COVID-19 seriously,infection rates are still at high levels in certain regions.,'the hospitalizations are going up',text-davinci-003,human,baseline,mrf,"Colorado's COVID-19 hospitalizations surge to highest level since late April, accelerating faster than state's models predicted",real,"['infection rates are still at high levels in certain regions.', 'the state is doing much worse in the pandemic']",,
"The implied message is ""Workers Need More Support""","Frontline workers in Sri Lanka are facing excessive workload
50	['fires caused by climate change destroyed the trees']	Climate change threatens Lebanon's cedar trees
51	['the scientist held a position in opposition to that of the administration']	Climate science is being ignored or devalued by the White House
52	['environment agency has to answer questions about work on a protected river']	Questions raised about Environment Agency's river works
53	['previous disasters in history could have been caused by a dying star']	Supernovae impacted Earth's climate
54	['biden is responsible for the agenda.', 'technology is dangerous.']	Misleading and false information
55	['biden is active regarding climate issues']	Biden chooses Regan to lead E",unknown intent,text-davinci-003,chatgpt,human,mrf,Overworked Frontline Workers In Sri Lanka,misinfo,['unknown intent'],,
Late response to COVID-19 outbreak,the ukraine officials were responsible for the delayed quarantine action.,,chatgpt,human,,mrf,"In Ukraine, the first person fell ill with COVID-19 in December, and quarantine was introduced only in March.",misinfo,['the ukraine officials were responsible for the delayed quarantine action.'],,
Lockdown extension possible,pandemic rules will need to be in place longer,,chatgpt,human,,mrf,English lockdown may last beyond 2 Dec - minister,real,"['pandemic rules will need to be in place longer', 'people may have to restrict their movements for longer than expected', 'government officials want to protect the citizens', 'government officials are concerned about the pandemic', 'this government is planning to extend their lockdown to keep citizens safe', 'the pandemic is still going on', 'covid is continuing to spread at a high rate through the population']",,
personal data in the national electoral register is being used in a vaccination campaign.,'the chain is inviting to verify personal data in the national e-registre',The implied message is: Trust the official sources,human,baseline,text-davinci-003,mrf,"A chain that invites to verify personal data in the National Electoral Register since, according to the chain, they will be used for the vaccination campaign against the coronavirus",misinfo,"['personal data in the national electoral register is being used in a vaccination campaign.', 'government is using national electoral registry to find out information about people', 'government is overreaching']",,
'bolivien's approval of chlorine dioxide is causing a decrease in cases of valvular infections',more governments should approve the treatment,Chlorine dioxide may be an effective tool in fighting the spread of coronavirus,baseline,human,text-davinci-003,mrf,Coronavirus cases decreased in Bolivia because of the approval of chlorine dioxide,misinfo,"['more governments should approve the treatment', 'household remedy worked', 'the pandemic can be ended soon', 'there is a simple treatment for the disease', 'unsafe things help to stop covid']",,
'the case against shell is a case against the oil giant',climate change against shell begins in the netherlands,The law is taking action,baseline,human,text-davinci-003,mrf,Climate Case Against Shell Begins In The Netherlands,real,['climate change against shell begins in the netherlands'],,
un knows of rising risk,Take urgent action on climate change,'climate report warns of rising risk',human,text-davinci-003,baseline,mrf,Climate report warns of rising risk as U.N. pushes nations to take action,real,['un knows of rising risk'],,
price of meat should be set to reflect its impact,"Yes, some prices are better than others",Price of meat and environmental impact,human,text-davinci-003,chatgpt,mrf,Should the price of meat reflect its impact on the environment?,real,['price of meat should be set to reflect its impact'],'the price of meat should reflect its impact on the environment',baseline
us will hit record disaster,Climate disasters are increasing in frequency and cost in the United States,,human,chatgpt,,mrf,U.S. to shatter record for billion-dollar climate disasters in 2020,real,"['us will hit record disaster', 'climate change is leading to more and higher intensity climate disasters']",,
coronavac vaccine is not effective,CoronaVac not approved,,human,chatgpt,,mrf,Epidemiologist says CoronaVac could not be approved,misinfo,['coronavac vaccine is not effective'],,
testing equipment and practices are not valid,PCR tests are flawed,,human,chatgpt,,mrf,"The World Health Organization admitted that PCR tests are resulting in widespread false positives for the virus that causes Covid-19, and asked laboratories to change the way they are conducted.",misinfo,"['testing equipment and practices are not valid', 'pcr tests are not trustworthy']",,
stay at home orders not legal,Quarantine and PCR tests are problematic,,human,chatgpt,,mrf,The Portuguese Court of Appeal ruled that quarantine was illegal and that PCR tests were inaccurate.,misinfo,"['stay at home orders not legal', 'government disagrees with quarantine', 'vaccine does not work', 'test are not accurate', 'actions of overseas government acted against legal abilities in requiring people to stay at home']",,
'environmentalists are suing the feds to block oil projects in the national monument',an oil project in carrizo plain national monument is being prevented by environmentalists suing over it,"The message implied is ""Protect the Environment""",baseline,human,text-davinci-003,mrf,Environmentalists Sue Feds to Block Oil Project in Carrizo Plain National Monument,real,['an oil project in carrizo plain national monument is being prevented by environmentalists suing over it'],,
'iraq's climate is a year of extremes',The weather can be unpredictable,ireland has had a year of extreme weather,baseline,text-davinci-003,human,mrf,"Ireland's climate: A year of extremes, from wettest February to driest spring",real,['ireland has had a year of extreme weather'],,
Climate alarmists were wrong in their predictions for 2020,models don't get rpedictions wrong all the time,,chatgpt,human,,mrf,Egg on their faces: 10 Climate alarmist predictions for 2020 that went horribly wrong,misinfo,"[""models don't get rpedictions wrong all the time""]",,
'the president-elect is not going to be a good president',biden has plans to deal with these issues,"""Take action on Covid, immigration, and the environment",baseline,human,text-davinci-003,mrf,"Joe Biden's 2020 policies: what are the President-elect's views on Covid, immigration and the environment?",real,"['biden has plans to deal with these issues', ""the president's policies on these issues are important""]",,
someone made up a story about hacking to hide their involvement regarding  saying racial slurs online,Racism has no place in education,'evanston school officials say no evidence of hacking found after student encountered racial slur on remote learning platform',human,text-davinci-003,baseline,mrf,Evanston school officials say no evidence of hacking found after student encountered racial slur on remote learning platform,real,['someone made up a story about hacking to hide their involvement regarding  saying racial slurs online'],,
'china president xi's climate con tricks',Some promises are not to be trusted,china is not taking climate policy seriously enough,baseline,text-davinci-003,human,mrf,"China President Xi's Climate Con Trick: Continue to increase CO2 emissions through at least 2030, but 'aim' to stop doing so before then",misinfo,"['china is not taking climate policy seriously enough', 'some political figures do not care about climate change.', 'china is not trustworthy.', 'some countries can use climate change policies for their own benefit.', 'emissions will not be decreased as quickly as they should be']",,
"Rules apply to everyone
492	['volunteers are needed for the vaccine trail in brazil']	Province of Buenos Aires seeks vaccination volunteers",political figures don't have to follow protocols,,chatgpt,human,,mrf,South Korean President Moon Jae-in's son violated social distancing measures by attending an art exhibition without wearing a mask.,misinfo,"[""political figures don't have to follow protocols""]",,
"The implied message is ""energy dominance trumps climate change",'the president is a 'climate change',climate hustle 2 is being talked about by trump,text-davinci-003,baseline,human,mrf,Trump features Climate Hustle 2 & Morano's quote on Trump's 'energy dominance',misinfo,"['climate hustle 2 is being talked about by trump', 'trump has watched climate hustle 2 and is talking about energy dominance due to climate change', ""the president doesn't believe in climate change""]",,
hydroxychloroquine is helpful to fight covid-19,Hydroxychloroquine is effective against COVID-19,,human,chatgpt,,mrf,The American Journal of Medicine admitted it was wrong about hydroxychloroquine; a new study showed hydroxychloroquine reduces mortality rate of COVID-19 patients,misinfo,['hydroxychloroquine is helpful to fight covid-19'],,
Climate change not a priority for voters,democrats aren't as concerned about climate change as political leaders would hope for.,,chatgpt,human,,mrf,"OUT OF TOUCH: Despite Democrats' Focus on So-Called ""Climate Change,"" Few Voters Considered It When Casting Ballots",misinfo,"[""democrats aren't as concerned about climate change as political leaders would hope for.""]",,
biden is hugely supported,"Biden presidency may lead to achieving climate goals
299	['the covid vaccine has potentially deadly side effects', 'people should avoid taking the vaccine', 'a webpage is a suitable source of trustworthy information', 'people are being misled about vaccine safety by big business']	Tiffany Dover who passed out after receiving coronavirus vaccine has died
300	['climate change is leading to intensification of hurricanes', 'climate change is causing a refugee crisis in central america']	Climate change is causing people to flee Central America due to hurricanes
301	['covid-19 is not real']	Covid is not a hoax",,human,chatgpt,,mrf,Biden election sparks hope for meeting global climate targets,real,"['biden is hugely supported', 'biden cares about climate change action']",,
federal reserve joins banks on climate crisis fight internationally,The implied message is: Taking action on climate change is a global effort,'fed is joining international group of central banks',human,text-davinci-003,baseline,mrf,Federal Reserve joins 'international group of central banks' in climate change fight,misinfo,['federal reserve joins banks on climate crisis fight internationally'],,
some political figures have progressive ideologies,The implied message is: Taking action is necessary,'the yellen administration is trying to address racial inequality',human,text-davinci-003,baseline,mrf,"Janet Yellen says she'll use the Treasury Dept. to address racial inequality, ""gender disparities,"" and ""the climate crisis",misinfo,"['some political figures have progressive ideologies', 'the treasury secretary cares about social justice issues', 'society is greatly affected by the decisions made by people in power', 'decisions made by certain government agencies have a strong impact on society']",,
"The implied message is ""Climate change is real and happening now",'climate change is a big problem',2020 was one of the warmest years on record,text-davinci-003,baseline,human,mrf,Climate change: 2020 set to be one of the three warmest years on record,real,['2020 was one of the warmest years on record'],,
'why rush teachers and students back into classrooms now,there isnt enough vaccinations has been done yet,"The implied message of the headline is ""better safe than sorry",baseline,human,text-davinci-003,mrf,"Column: Why rush teachers and students back into classrooms now, CPS? Widespread COVID-19 vaccination is on the horizon.",real,"['there isnt enough vaccinations has been done yet', 'reopening of schools shouldnt be rushed']",,
"""Vaccine testing had fatalities","The implied message is ""safety first",'the vaccine is dangerous',chatgpt,text-davinci-003,baseline,mrf,Six people died during the Pfizer vaccine tests,misinfo,['vaccine against covid-19 is not safe'],vaccine against covid-19 is not safe,human
'there is no return',reducing greenhouse gas emissions to 0 will not stop climate change,"The implied message is: ""Act now before it's too late",baseline,human,text-davinci-003,mrf,"'Past a point of no return': Reducing greenhouse gas emissions to zero still won't stop global warming, study says",real,"['reducing greenhouse gas emissions to 0 will not stop climate change', 'society has damaged the climate past the point of repair']",,
the author believes climate change is a scam,"The message implied is ""Climate Change is a hoax",'climate change is a problem',human,text-davinci-003,baseline,mrf,John Stossel  The Climate Hustle,misinfo,"['the author believes climate change is a scam', 'john stossel is having a show on the climate crisis']",,
Climate change is a serious and urgent issue,climate change is occurring faster than predicted,,chatgpt,human,,mrf,10 steamy signs in 2020 that climate change is speeding up,real,['climate change is occurring faster than predicted'],,
authorities want to suppress the truth the doctor is telling,"Speaking out has consequences
93	['companies are making claims of climate action without following through, investing in harmful companies']	Climate action is not enough
94	['wind turbines cause noise pollution']	Wind turbines are causing Dutch climate refugees due to unbearable noise
95	['some time has elapsed between infections and vaccinations']	Chronological progression of COVID-19",,human,chatgpt,,mrf,A Latvian paramedic who told the truth about the coronavirus was arrested.,misinfo,"['authorities want to suppress the truth the doctor is telling', 'the government is trying to silence people', 'people are being punished for revealing the truth about covid', 'the government will silence people who speak out against the pandemic.']",,
a vaccine can kill instantly,"""Vaccine may have fatal consequences",,human,chatgpt,,mrf,A woman died in few seconds after taking COVID vaccine,misinfo,"['a vaccine can kill instantly', 'the covid 19 vaccine is lethal']",,
Vaccine standards lowered,coronavirus vaccines are not effective.,,chatgpt,human,,mrf,"COVID-19 vaccines don't prevent transmission; regulatory agencies ""have been reducing the standards so they can pass the vaccine no matter what""",misinfo,"['coronavirus vaccines are not effective.', 'agencies are only interested in approving the vaccine', ""agencies don't care about people's safety"", 'people should not trust agencies that regulate vaccines', 'there is no point in getting a vaccination', ""the vaccines don't really work"", ""getting vaccinated doesn't help anyone"", 'regulatory agencies are responsible for lowering the standards for passing the vaccines.']",,
the pandemic is over,"Mass restaurant opening led to lifting of COVID-19 restrictions in Italy
400	['caroline lucas mp cares about the environment a lot and sustainability']	Caroline Lucas is the most influential woman in environment and sustainability",,human,chatgpt,,mrf,"the Government of Italy has lifted all restrictions against COVID-19 after 50,000 restaurants have decided to open at the same time",misinfo,"['the pandemic is over', 'the restrictions have stopped']",,
masks are bad for our health,Some masks are not necessary,"'macrocosmes are harmful','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macrocosmes are dangerous','macro",human,text-davinci-003,baseline,mrf,"WHO: Healthy people should not wear masks, they are harmful",misinfo,"['masks are bad for our health', 'the who is against mask use', 'masks should only be worn by sick individuals.', 'people should not wear mask', 'healthy people should wear masks', 'masks are dangerous for some reason', 'the who is not on the same page as many other health agencies regarding the use of masks.', 'masks are bad for healthy people']",,
countries taking action on climate change deserve to be applauded,Some countries are leading the way in fighting climate change,,human,chatgpt,,mrf,Climate heroes: the countries pioneering a green future,real,['countries taking action on climate change deserve to be applauded'],,
'the international court of human rights regulates the use of chlorine dioxide for any person who requires it',Chlorine dioxide use is regulated,chlorine dioxide is a suitable treatment,baseline,text-davinci-003,human,mrf,The International Court of Human Rights regulates the use of chlorine dioxide for any person who requires it,misinfo,"['chlorine dioxide is a suitable treatment', 'the court is advocating the use of the substance for preventing covid', 'excessive use of chlorine dioxide is dangerous.', 'chlorine dioxide might be unsafe to use.']",,
obama is taking advantage of his role as the president to skirt some environmental laws,Power and privilege prevail,'the president is not a democrat',human,text-davinci-003,baseline,mrf,Oceanfront property tied to Obama granted exemption from Hawaii's environmental laws,misinfo,['obama is taking advantage of his role as the president to skirt some environmental laws'],,
covid has not really cause excess deaths.,No significant increase in deaths in 2020,,human,chatgpt,,mrf,The number of deaths in the U.S. in 2020 was not greater than that in 2019,misinfo,"['covid has not really cause excess deaths.', 'authorities are making too much of pandemic.', 'response to pandemic overblown.']",,
'the article in the journal proves that the COVID-19 pandemic was planned two years ago',The implied message is that foresight and preparation are key,covid was engineered,baseline,text-davinci-003,human,mrf,The article in the journal proves that the COVID-19 pandemic was planned two years ago.,misinfo,"['covid was engineered', 'the pandemic is being used to manipulate people', 'people in power planned the pandemic', 'covid-19 was created', 'covid-19 was orchestrated by government entities']",,
