Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,additional_labels,hypothesis,labels,premise
"A deadfall is a natural phenomenon that occurs in the winter, so it is a deadfall in the forest.",The hypothesis is a metaphor for how cold and dry it was,The figurative language in the hypothesis is that it is cold and dry like a woodland deadfall in winter before the snow,"A deadfall is a cold, dry place in the woods.",baseline,text-davinci-002,text-davinci-001,human,flute,"A deadfall is a cold, dry place in the woods.",It was like a woodland deadfall in winter before the snow.,Entailment,It was cold and dry
"The hypothesis contradicts the premise because in the hypothesis, the person is happy about receiving a ticket for their car being parked on their own property, while in the premise, the person is angry about receiving a ticket for their car being parked on their own property",A ticket for a car that is parked on someone's property is not a good thing and so someone who is thrilled about it is not a good thing.,The hypothesis is saying that the person was happy when they got the ticket,A ticket for parking on one's own property is unjustified and not a good thing to receive and so being pleasantly surprised by it is not possible.,text-davinci-002,baseline,text-davinci-001,human,flute,A ticket for parking on one's own property is unjustified and not a good thing to receive and so being pleasantly surprised by it is not possible.,I was just thrilled when I received a ticket for my car that was parked on my own property,Contradiction,I was furious when ticketed for a car on my own property.
The Senator attacked the administration in his speech on Friday is not a good thing because it is a bad thing because it is a bad thing.,The Senator's criticism of the administration could be interpreted as an attack,"The Senator's speech on Friday was critical of the administration, which would be classified as an attack","The Senator was critical of the administration in his speech on Friday, thus, this means he was negative and gave reasons why he thought they were doing a bad job.",baseline,text-davinci-001,text-davinci-002,human,flute,"The Senator was critical of the administration in his speech on Friday, thus, this means he was negative and gave reasons why he thought they were doing a bad job.",The Senator attacked the administration in his speech on Friday.,Entailment,The Senator criticized the administration in his speech on Friday.
"A body of water can become murky when it is polluted, so the simile is indicating that the sky has become similarly polluted.","The figurative language in the hypothesis is that the sky overhead has turned murky, which is similar to how a polluted body of water would look","A polluted body of water is a murky, murky, and murky environment, so the sky overhead is murky","The hypothesis is a metaphor for how the sky has turned from a clear blue to a murky brown, symbolizing how pollution has taken over",human,text-davinci-001,baseline,text-davinci-002,flute,"A body of water can become murky when it is polluted, so the simile is indicating that the sky has become similarly polluted.",And the sky overhead had turned like a polluted body of water.,Entailment,And the sky overhead had turned murky
"The hypothesis is an example of hyperbole, which is an exaggeration for emphasis",The premise is saying that the co-worker got the promotion that the speaker was in line for,"To feel good about something means to feel good about it, but in this context the co-worker got the promotion that they were in line for.","A promotion at work is usually seen as a matter of self accomplishment, so someone being happy about their co-worker getting it instead of themselves is not logical.",text-davinci-002,text-davinci-001,baseline,human,flute,"A promotion at work is usually seen as a matter of self accomplishment, so someone being happy about their co-worker getting it instead of themselves is not logical.",Yesterday my co-worker got the promotion that I was gunning for and now I feel really good about it,Contradiction,Yesterday my co-worker nabbed the promotion that I was in line for.
"The hypothesis states that the man always wore a smile, which means that he was always happy","To wear a smile means to wear something, but in this context the speaker is flashing a smile.",Wearing a smile means having a smile on one's face.,The hypothesis is saying that the premise is always true,text-davinci-002,baseline,human,text-davinci-001,flute,Wearing a smile means having a smile on one's face.,He always wore a smile.,Entailment,He always flashes a smile.
A dove's feathers are feathers that are shaped like feathers and are set by a golden crown of curls.,"Doves feathers are soft and smooth, so the simile is emphasizing that his skin was soft.",The figurative language in the hypothesis is that the person has smooth skin and a round face,"The hypothesis describes the premise with more detail, using figurative language",baseline,human,text-davinci-001,text-davinci-002,flute,"Doves feathers are soft and smooth, so the simile is emphasizing that his skin was soft.","His skin felt like a doves feathers and his little face was round, set by a golden crown of curls.",Entailment,"His skin was smooth, and he had a round face with golden curly hair."
"The hypothesis states that the user would become more like a lost student as time goes on, which would be an entailment of the premise","The user would become more distressed as the days passed, similar to how a lost student would become more distressed as the days passed","A lost student is someone who is feeling confused and disoriented, which is how the user would feel as they become increasingly distressed.",A lost student is someone who is not distressed and so becoming more like a lost student is not a good thing.,text-davinci-002,text-davinci-001,human,baseline,flute,"A lost student is someone who is feeling confused and disoriented, which is how the user would feel as they become increasingly distressed.",Yet as the days would pass the user would become more like a lost student.,Entailment,Yet as the days would pass the user would become increasingly distressed
"A shrinking violet is a very shy person, so the context is saying that she was extremely shy and withdrawn.",The hypothesis contradicts the premise because the hypothesis states that the girl was not shy and withdrawn,The hypothesis is saying that the premise is not true,"A shrinking violet is a person who is very shy and withdrawn, so the speaker is saying that she was nothing but a shrinking violet.",human,text-davinci-002,text-davinci-001,baseline,flute,"A shrinking violet is a very shy person, so the context is saying that she was extremely shy and withdrawn.","A bit of a tomboy when she was younger, still more comfortable around boys than girls, she was anything but a shrinking violet.",Contradiction,"A bit of a tomboy when she was younger, still more comfortable around boys than girls, she was extremely shy and withdrawn."
"The hypothesis contradicts the premise because the speaker is now saying that they are glad they got a dog, even though last week they were angry with the dog for chewing their shoes",The premise is that the speaker was irritated with their dog last week,A dog is a very dangerous animal and so getting one is not a good idea.,"Most people would regret having a pet if their dog destroyed their favorite pair of shoes, so the person more likely thinks it was a bad idea to get a dog.",text-davinci-002,text-davinci-001,baseline,human,flute,"Most people would regret having a pet if their dog destroyed their favorite pair of shoes, so the person more likely thinks it was a bad idea to get a dog.",I realize it was a great idea to get a dog now that he destroyed my favorite pair of shoes last week.,Contradiction,My dog chewed my favorite pair of shoes last week I was so irritated with her.
House gnats are often difficult to get rid of and their presence can be very irritating to people,It is not a good thing to try to get rid of house gnats because it can cause a lot of pain and so trying to get rid of them is not a good thing.,"The premise is saying that trying to get rid of the house gnats is a pain, and the hypothesis is saying that it's really irritating","The hypothesis is an annoyance and the premise is that trying to get rid of the house gnats is a pain, so the relationship between the premise and the hypothesis is A: Entailment",human,baseline,text-davinci-001,text-davinci-002,flute,House gnats are often difficult to get rid of and their presence can be very irritating to people,It's really irritating trying to get rid of the house gnats,Entailment,Trying to get rid of house gnats is a pain.
"A clear, cloudless summer sky is a clear, clear blue sky, so the azure blue sky is not clear.",The hypothesis describes the premise using figurative language,A cloudless summer sky is typically a very deep blue color.,The figurative language in the hypothesis is that the sky is blue,baseline,text-davinci-002,human,text-davinci-001,flute,A cloudless summer sky is typically a very deep blue color.,"They were like a clear, cloudless summer sky .",Entailment,They were azure blue .
"A swamp cat is a wild cat that is typically soft and cautious, not hard and reckless","The figurative language in the hypothesis is that the animal came running ""hard and reckless",A swamp cat is a wild animal that is not a good swimmer and so coming like a swamp cat is not reckless.,The figurative language in the hypothesis describes the creature as being wild and dangerous,human,text-davinci-001,baseline,text-davinci-002,flute,"A swamp cat is a wild cat that is typically soft and cautious, not hard and reckless","It came like a swamp cat, with its ears raised and its eyes opened wide.",Contradiction,"It came running, hard and reckless."
