Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,headline,misinfo,writer_intent
Some people are a bit more likely to be a snobby than others.,Some planets are better than others.,Some masks are better than others,Some people believe that the news headline implies that climate change caused Venus to become uninhabitable,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,How Climate Change Turned Venus from an Earth-like Planet to Uninhabitable Wasteland,real,"['left unchecked, climate change could turn the earth into an uninhabitable rock like venus.']"
masks are dangerous,masks are harmful,masks can cause disease,some masks are better than others,human,human,human,flan-ul2,mrf,A study found that long-term mask use may contribute to advanced stage lung cancer,misinfo,"['masks cause cancer', 'masks are dangerous', 'masks are harmful', 'masks cause disease', 'masks are bad for long term health', 'masks can cause disease']"
The climate is changing.,"The implication of the news headline is that the climate will become drier, grassier, and more fiery",Some masks are better than others when it comes to managing weather conditions in the future,climate change,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,"Scientists predict Prairie climate to become drier, grassier and fiery",real,"['prairie climate will become drier', 'climate change will cause changes in the ecosystem']"
"Some people are vaccinated against HIV, and others are vaccinated against it.",Some vaccines are better than others.,Some masks are better than others,Some masks are better than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,"In Australia, The Vaccine Infects Recipients With HIV, Dangerous Allergies, Side Effects In The United States And The World!",misinfo,"['dangerous and potentially lethal vaccine side effects exist', 'big pharma is hiding dangerous vaccine side effects in order to make money']"
biden will do more for the climate,Some people believe that the Vice President is trying to take a softer stance on climate change in order to win over some of the more skeptical voters,climate change is a real threat,climate change is a problem,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Joe Biden to Turn Up Heat on Climate Change,real,['biden will do more for the climate']
Some masks are better than others,COVID-19 is a serious disease,no vaccine is perfect,The vaccine is not effective,text-ada-001,flan-t5-xl,flan-ul2,text-davinci-002,mrf,Old woman died after being vaccinated against COVID-19,misinfo,"['vaccines can be deadly.', 'the vaccine is deadly', 'people should not get vaccinated.', 'the vaccine is unsafe for the elderly']"
"politicians are not doing their part to reduce environmental damage, have ties to fossil fuel industries","Some people believe that the headline implies that the green plan put forward by Boris Johnson is inadequate, while others believe that the headline implies that Biden is under fire for hiring a fossil fuel ally",climate crisis,some people are better than others,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Climate crisis - live: Boris Johnson's green plan 'inadequate' and Biden under fire for hiring fossil fuel ally,misinfo,"['politicians are not doing their part to reduce environmental damage, have ties to fossil fuel industries']"
Canada is a good place to live,Some masks are better than others,trade,Some deals are better than no deals,flan-t5-xl,text-ada-001,flan-t5-large,text-davinci-002,mrf,"Trudeau to tout climate and trade at Asia-Pacific summit where China, U.S. dominate",real,['unknown intent']
federal reserve joins banks on climate crisis fight internationally,"The headline implies that the Federal Reserve has joined an ""international group of central banks"" in fighting climate change",no action,the federal reserve is joining the fight against climate change,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Federal Reserve joins 'international group of central banks' in climate change fight,misinfo,['federal reserve joins banks on climate crisis fight internationally']
"Amap state has adopted ""early treatment"" protocol and has the lowest lethality rates in the world.",some masks are better than others,some masks are better than others,early treatment is better than waiting,flan-t5-small,flan-ul2,flan-t5-xxl,flan-t5-xl,mrf,"Amap state has adopted ""early treatment"" protocol and has the lowest lethality rates in the world",misinfo,"['local government mandated treatments can be efficacious.', 'health policies can impact covid outcomes', 'certain approached to treatment decrease covid deaths', 'different approaches to treatment can decrease covid death rates', 'this state has made a good decision', 'rapid application of treatments can increase good outcomes.', 'early treatment can reduce mortality.']"
'Some masks are better than others',Some masks are better than others,"The implied message is ""actions speak louder than words",The implication of the headline is that some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,"Climate emergency: UK steps up emission reduction target, but campaigners demand more action",misinfo,['climate change needs to be addressed more aggressively']
Some masks are better than others,climate change is accelerating,canada needs to take action on climate change now to avoid high costs and bills,Canada needs proactive climate change strategies now to avoid huge disaster bills later,text-ada-001,human,human,flan-t5-base,mrf,Canada needs proactive climate change strategies now to avoid huge disaster bills later,real,"['climate change is accelerating', 'canada needs to take action on climate change now to avoid high costs and bills', 'changes need to be made now to prev']"
The world is going to be a better place if we make the right decisions.,"A far-reaching climate plan would require significant investment in renewable energy sources and emissions reduction measures, which could have a significant impact on the Canadian economy",Some masks are better than others when it comes to the climate,The government is not doing enough,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Only a far-reaching climate plan will transform the Canadian economy,real,"[""canada doesn't have a good enough plan"", 'only a far reaching climate plan will better the canadian economy']"
Some masks are better than others,Dr,Dr. Fauci lied about masks in March.,the government official doesn't know what they are talking about,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,Dr. Fauci lied about masks in March.,misinfo,"['fauci was trying to make masks seem more effective than they were', 'makes could be dangerous', ""the government official doesn't know what they are talking about""]"
Some masks are better than others,people sending emails is contributing to climate change,emails can endanger the planet,climate change: Can sending fewer emails really save the planet?,text-ada-001,human,human,flan-t5-base,mrf,Climate change: Can sending fewer emails really save the planet?,real,"['people sending emails is contributing to climate change', 'emails can endanger the planet', 'using emails to communicate is harmful to the environment']"
The implied message of this news headline is that some masks are better than others in order to reduce the risk of being affected by climate change,congress wants to tackle climate change,congress has a massive relief bill for climate change,The bill would help combat climate change.,text-ada-001,human,human,flan-t5-base,mrf,Congress Takes Aim at Climate Change in Massive Relief Bill,real,"['congress wants to tackle climate change', 'congress has a massive relief bill for climate change', 'government is passing a bill that is designed to address global warming.']"
'the president-elect is not going to be a good president',biden has plans to deal with these issues,the president's policies on these issues are important,no,baseline,human,human,flan-ul2,mrf,"Joe Biden's 2020 policies: what are the President-elect's views on Covid, immigration and the environment?",real,"['biden has plans to deal with these issues', ""the president's policies on these issues are important""]"
"climate change is an emergency just as much as the pandemic, and neither can be ignored",Some masks are better than others,climate crisis: co2 remains at record levels despite coronavirus pandemic,CO2 levels are rising,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Climate crisis: CO2 remains at record levels despite Covid pandemic,misinfo,"['climate change is an emergency just as much as the pandemic, and neither can be ignored']"
The vaccine is no longer needed,The implication of the news headline is that the pandemic is over and that there is no longer a need for a vaccine,Some masks are better than others,no longer needed,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,The COVID-19 pandemic is over and a vaccine for the disease is no longer needed.,misinfo,"['disease is no longer here', 'no need to use precautions']"
audits are being done on the environment in ontario,Some environmentalists are hopeful that the upcoming release of value-for-money audits on the environment will provide a more accurate picture of how much taxpayers are spending on environmental initiatives,ontario auditor to release value-for-money audits on the environment,the auditor general of ontario will release audits on the environment,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,Ontario auditor to release value-for-money audits on the environment,real,['audits are being done on the environment in ontario']
vaccines are better than others,a person died after getting vaccinated.,vaccines are dangerous.,vaccines can kill you,flan-t5-large,human,human,human,mrf,"An Assemblies of God pastor named Venceslau died after taking a COVID-19 vaccine, in Araguana, Tocantins state",misinfo,"['vaccines can kill you', 'vaccines are dangerous.', 'a person died after getting vaccinated.', 'people should think twice about covid vaccines']"
'the vaccine is not safe',Ebola is a disease that causes a person to die.,Pfizer's vaccine is not as good as it seems,Some masks are better than others,baseline,flan-t5-small,flan-t5-xxl,text-davinci-001,mrf,A man vaccinated with Pfizer's COVID-19 vaccine showed symptoms of Ebola as he bled out all over his body and died.,misinfo,"[""vaccines aren't safe."", 'vaccines are not safe', 'covid19 vaccine causes ebola symptoms', 'vaccines are dangerous']"
The US is doing a better job than Canada is.,'the climate crisis is a global problem',Canada is better at tackling climate change,Some climate plans are better than others,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,"Even under Trump, America did a better job at tackling the climate emergency than Canada did, says Green Party Leader Annamie Paul",real,['trump did a better job tackling climate change than canada']
The shipping industry is a bad business.,The shipping industry could derail plans to address the global climate emergency if it feels that the measures being taken to address climate change are not enough,Some masks are better than others,The shipping industry is a threat to the climate,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Could the shipping industry derail plans to address the global climate emergency?,misinfo,"['the shipping industry could derail climate change plans', ""shipping industries don't want climate action to happen as it will hurt their business""]"
'the court of human rights is a sham',governments are now treating the environment as a legal matter,the effects of climate change on people are an actual violation of their rights,climate change is a human rights issue,baseline,human,human,flan-ul2,mrf,European Court of Human Rights greenlights Portuguese lawsuit against 33 nations for climate policy inaction,misinfo,"['governments are now treating the environment as a legal matter', 'the effects of climate change on people are an actual violation of their rights']"
The world is destroying the rainforest.,'deforestation of the amazon rainforest surges to 12-year high,deforestation,"The message of the headline is that deforestation in Brazil's Amazon rainforest is increasing at an alarming rate, and that this could have serious environmental consequences",flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,"Deforestation of Brazil's Amazon rainforest surges to 12-year high, prompting environmental warnings",real,['destroying the environment is higher than ever']
many people are going to be vaccinated.,some governments make different choices regarding vaccination.,there are several different vaccine companies to choose from.,"Bharath Biotech's vaccine is in high demand globally
212	['climate change causes an increased risk of pandemics']	Climate action can prevent pandemics
213	['biden cares about the climate', 'biden nomination for epa is from north carolina', 'biden will nominate north carolina environmental official to run the epa']	Biden favors environmental expertise for EPA leadership",human,human,human,chatgpt,mrf,123 countries have ordered the COVID-19 vaccine from Bharath Biotech,misinfo,"['there are several different vaccine companies to choose from.', 'bharath biotech is effective', 'many people are going to be vaccinated.', 'a vaccine may be available sooner than expected, as countries are creating their own supplies', 'other countries are also developing and approving vaccines', 'some governments make different choices regarding vaccination.']"
The implication of the news headline is that some masks are better than others,The implied message is: Taking action on climate change is urgent,climate change is a threat to the world,restrictions are coming,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,New Zealand declares climate emergency,misinfo,"['high risk time', 'government trying to control effects', 'restrictions are coming']"
"The implication of the survey is that some masks are better than others, and that arsenic levels in drinking water are not necessarily a problem",The implied message is that unequal access to safe drinking water is a major environmental justice issue,arsenic in drinking water,climate change has made the water dangerous to drink,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,Survey of arsenic concentrations in U.S. drinking water raises environmental justice concerns,real,"[""us tap water isn't safe"", 'arsenic is in us drinking water in high levels', 'climate change has made the water dangerous to drink']"
'the governor is a toxic environment',governor of ny is abusive and unpleasant,andrew cuomo's office environment toxic,some masks are better than others,baseline,human,human,flan-ul2,mrf,Andrew Cuomo's office a 'toxic work environment' where workers 'are deathly afraid of' the New York governor,misinfo,"['governor of ny is abusive and unpleasant', ""andrew cuomo's office environment toxic""]"
Some masks are better than others when it comes to business,governments are considering funding businesses to help with covid impacts,businesses are badly hurting in pandemic.,iPolitics AM: Tories launch new House push to boost COVID-19 support for business,text-ada-001,human,human,flan-t5-base,mrf,iPolitics AM: Tories launch new House push to boost COVID-19 support for business,real,"['governments are considering funding businesses to help with covid impacts', 'businesses are badly hurting in pandemic.', 'businesses need financial help to make it through covid']"
Masks can protect you from contracting COVID-19 variants,the disease is easily transmissible with mask wearing,It's not worth the money,Some masks are better than others,text-davinci-001,human,flan-t5-large,text-davinci-002,mrf,Masks can not protect you from contracting COVID-19 variants. You should use N95 respirator.,misinfo,"['there is no way to stay safe without medical grade protective gear.', ""masks can't help with the variations of the coronavirus"", 'you need to wear an n95 mask even in daily situations', 'the disease is easily transmissible with mask wearing', 'masks are useless now']"
Some masks are better than others,there is no cure for swine flu,The number of cases exploded this January,The masks are not working.,text-ada-001,flan-t5-xl,flan-t5-base,flan-t5-xxl,mrf,"Portugal is on full lockdown since March and, even so, the number of cases exploded this January",misinfo,"['the restrictions did not help', 'even staying home will not prevent new cases of covid', 'restrictions did not lessen the cases of the virus', 'quarantine orders do not prevent the spread of covid']"
Some masks are better than others,some masks are better than others,Some masks are better than others,Some masks are better than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,"Finally there's global action on the climate crisis, and Britain must lead the way | Dominic Raab",real,"['britain should lead the way', 'there is global action on the climate crisis']"
Some masks are better than others,there may be some serious side-effects caused by the pzifer vaccine.,people should avoid thepzifer vaccine,the pzifer vaccine might be risky to receive.,text-curie-001,human,human,human,mrf,"Media outlets report that ""A Pzifer Vaccine Volunteer Warns of Second Dose Symptoms: 'They were very severe'""",misinfo,"['the pzifer vaccine might be risky to receive.', 'people should avoid thepzifer vaccine', 'there may be some serious side-effects caused by the pzifer vaccine.', 'the second dose symptoms are severe enough to warrant not getting vaccinated']"
a vaccine is not working,the vaccine development effort was not as successful as the hype around it would suggest it would be.,the lockdowns may continue longer than expected,vaccines may not be available for people as expected,flan-t5-large,human,human,human,mrf,Warp Speed official says vaccine rollout has fallen short of goal,real,"['vaccines may not be available for people as expected', 'the lockdowns may continue longer than expected', 'the vaccine development effort was not as successful as the hype around it would suggest it would be.', ""society won't get vaccinated as quickly as expected""]"
Some masks are better than others,coronavirus is a hoax,covid-19 is a hoax,covid-19 doesn't exist,text-curie-001,human,human,human,mrf,"Why is there a vaccine against COVID, but not for cancer, AIDS, or the common flu? This proves that there is no SARS-CoV-2 virus, which causes COVID.",misinfo,"[""covid-19 doesn't exist"", 'covid-19 is a hoax', 'coronavirus is a hoax', 'the pandemic was created', 'vaccines are not helpful']"
'amazon is giving out almost $800M to fight climate change',bezos cares about climate change,amazon ceo jeff bezos is giving millions to help fight climate change,some masks are better than others,baseline,human,human,flan-ul2,mrf,Amazon CEO Jeff Bezos is giving out almost $800M to 'fight climate change',misinfo,"['bezos cares about climate change', 'amazon ceo jeff bezos is giving millions to help fight climate change']"
The implication is that the vaccine is not safe and should not be used in the elderly,"The implied message is ""caution should be taken when considering the CoronaVac vaccine",vaccine is not safe,people should not take the vaccine,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,CoronaVac vaccine is not safe and was not tested in the elderly,misinfo,"['vaccine is not safe', 'vaccine was not tested on elderly', 'people should not take the vaccine']"
Some people are a bit more likely to be a bit more ice-drooling than others.,Some scientists are claiming that climate change is not causing more ice drownings.,Some masks are better than others,"Some people believe that climate change is causing more ice drownings, while others believe that some masks are better than others when it comes to preventing drownings",flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,"No, Climate Change Is Not Causing More Ice Drownings",misinfo,"['climate change is not an issue', 'ice is not melting at a rate that contributes to drowning']"
'the president is a democrat',biden is choosing strong climate panel,society cares about climate change,some masks are better than others,baseline,human,human,flan-ul2,mrf,Longtime Head of EPA's Environmental Justice Program: Biden's Climate Picks Show Power of Movements,real,"['biden is choosing strong climate panel', 'society cares about climate change']"
Climate change is a sham,The implication of the headline is that carbon capture and storage (CCS) is not a climate savior,Some masks are better than others when it comes to capturing carbon dioxide from the atmosphere,carbon capture is not a climate saver,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,Carbon Capture Is Not a Climate Savior,real,['using already emitted co2 will only help so far']
'i'm Sandra Romero,people are having reactions to the sputinik v vaccine.,the sputnik v vaccine might not be entirely safe.,some masks are better than others,baseline,human,human,flan-ul2,mrf,"""Hi, I'm Sandra Romero, ID 37263954 I got the Sputnik V vaccine on Tuesday afternoon and on Thursday it produced skin reactions"".",misinfo,"['people are having reactions to the sputinik v vaccine.', 'the sputnik v vaccine might not be entirely safe.']"
a large number of people will die from foreign vaccine,Some people may find the vaccine more risky than others,some masks are better than others,vaccines are not safe,human,text-curie-001,flan-ul2,flan-t5-xl,mrf,10-15% of Ukrainians will die from a foreign COVID-19 vaccine.,misinfo,['a large number of people will die from foreign vaccine']
Some masks are better than others.,"""Some masks are better than others","The implied message is ""question the accuracy of information""",The implication of the headline is that some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,"Cornell University professor Robert Oswald said ""COVID-19 was imaginary and fictitious.""",misinfo,['an ivy league professor actually believes covid is fake']
the people are being lied to.,"The implied message is ""question the validity of the pandemic and testing methods",The implication of the news headline is that some masks are better than others,Some masks are better than others,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,Pandemic is a fraud and RT-PCR tests aren't trustworthy,misinfo,"['protective gear is unnecessary.', 'authorities are untrustworthy.', 'pandemic statistics are made up.', 'the people are being lied to.']"
The implication is that the use of masks is better than not using them,no pandemic,German doctors bust the myth of coronavirus pandemic,"The implied message is: ""Not all pandemics are the same",text-babbage-001,flan-ul2,flan-t5-small,text-davinci-003,mrf,German doctors bust the myth of coronavirus pandemic,misinfo,"['significant misconceptions exist about covid in society at large', 'agencies have been lying about how dangerous covid is.', 'covid is not as deadly as has been reported', 'covid-19 is not a real disease', ""it's not necessary to take precautions around other people""]"
The rhetoric of Trump's rhetoric is a threat to the election process.,'the gubernatorial sec of state is doing something about the rhetoric of the u.s.',The president is a liar,The implied message of the above news headline is that the Georgia Secretary of State is done with Trump's rhetoric because it creates a 'threat environment' for election workers,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,GA Sec Of State Is Done With Trump's Rhetoric: It Creates A 'Threat Environment' For Election Workers,real,['threatening environments for poll workers is a bad thing']
The White House is a good place to be.,The implication is that the president is not happy with the way the climate change official is performing and that they should be replaced,Some masks are better than others,the white house is removing a top climate change official,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,White House Ousts Top Climate Change Official,misinfo,['the white house lost confidence in their top climate change official']
The world is a better place.,Some masks are better than others,Some masks are better than others,climate change,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,World leaders use their first messages to Biden to draw attention to climate crisis,misinfo,"[""most of the world's leaders think the president's country should do more to fight climate change"", 'leaders wants biden to address climate change']"
The Fed is a good place to start.,'fed is joining international group of central banks',climate change is a threat,The Federal Reserve is joining an international group of central banks to fight climate change,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Federal Reserve joins 'international group of central banks' in climate change fight,misinfo,['federal reserve joins banks on climate crisis fight internationally']
The implication of the news headline is that the increase in coronavirus cases is due to the increased use of masks,The implied message of the headline is: Take precautions seriously,people should be careful,UK coronavirus situation worsens,text-babbage-001,text-davinci-003,flan-t5-xl,chatgpt,mrf,"UK coronavirus deaths surge by almost 1,000 as cases up by more than 50,000 for second day",real,"['infection numbers are going up in uk', 'pandemic deaths are rising rapidly']"
Some people are better than others.,The implied message of this news headline is that some masks are better than others when it comes to the environment,"The implied message is ""Accountability Matters""",The implication of the news headline is that some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Ontario auditor to release value-for-money audits on the environment,real,['audits are being done on the environment in ontario']
a slew of ancient artefacts,Some masks are better than others,The past can provide insight into the future,The implication of the news headline is that some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Climate crisis: Melting mountain ice reveals ancient artefacts in Norway,misinfo,['ice that has been arround for thousands of years is melting']
'fracking is causing climate change',fracking worsens climate change,allowing hydraulic fracturing is a disaster in itself.,no more flights,baseline,human,human,flan-ul2,mrf,Climate crisis: Lancashire fracking site 'leaked emissions equivalent to 142 transatlantic flights',misinfo,"['fracking worsens climate change', 'allowing hydraulic fracturing is a disaster in itself.']"
The prison is a good place to live.,'the state is a hotbed of climate change',The prisoner's experience,The headline implies that the conditions in California prisons are poor and that the prisoners are at risk of contracting the coronavirus,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Dispatches From a California Prison Amid the Climate and Coronavirus Crises,real,['prisoners may be being released due to covid']
the accepted narrative is deceptive.,"The implied message is ""question authority","The implication is that some masks are better than others, and that the protesters are against wearing masks",Some doctors and nurses in France took off their uniforms in protest of the coronavirus,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,The coronavirus is one big lie. Doctors and nurses in France took off their uniforms in protest.,misinfo,"['disease does not exist', 'government officials are mendacious.', 'covid is a lie', 'the accepted narrative is deceptive.']"
The world is a better place than the world is.,'we are going to have to fight against time',Science and technology,The implied message of the headline is that climate change is a serious problem that needs to be addressed immediately,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,A Race Against Time to Rescue a Reef From Climate Change,real,['reefs are important and need protecting']
The implication of the news headline is that some masks are better than others,"The implied message is: ""Think twice before getting vaccinated",abortion is not a good idea,aborted babies are used widely in western medicine,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,Aborted fetal cells are in the COVID-19 vaccine,misinfo,"['the government is hiding the truth about vaccines', 'the vaccine is made from harvested fetuses', 'aborted babies are used widely in western medicine']"
'climate change protester climbed up big ben wearing wig and green leotard',climate change protester climbed up big ben,climate change protesters are protesting against boris johnson,it's a good thing he didn't fall,baseline,human,human,flan-ul2,mrf,Climate change protester climbed up Big Ben wearing Boris Johnson wig and green leotard,misinfo,"['climate change protester climbed up big ben', 'climate change protesters are protesting against boris johnson']"
people can be infected multiple times by the virus,"The implied message is: ""Take Covid-19 precautions seriously","The implication is that one mask is better than another, and that the best mask is the one that is currently being worn",Some people may find that wearing a mask is more effective than others in preventing Covid-19 from spreading,human,text-davinci-003,text-babbage-001,text-curie-001,mrf,He Was Hospitalized for Covid-19. Then Hospitalized Again. And Again.,real,"['people can get covid and repeatedly go into the hospital', ""treating the virus doesn't always help at first"", 'people who catch covid could go through severe symptoms that lead to hospitalization', 'people can be infected multiple times by the virus']"
The climate is warming up.,'restore' the climate is a 'climate change',The world is changing,"The article is discussing the idea of climate restoration, which is the process of returning the Earth's climate to its pre-industrial state",flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Meet 'climate restoration'  What if net-zero isn't enough? Inside the push to 'restore' the climate  Seek pre-industrial CO2 levels,misinfo,['we have to do more for the climate']
methods to make people immune to viruses are being hid from the public,We need a body that can resist this and any other virus,Some masks are better than others,We need to boost our immune systems,human,flan-t5-base,text-curie-001,text-davinci-002,mrf,We do not need a vaccine. We need a body that can resist this and any other virus,misinfo,"['methods to make people immune to viruses are being hid from the public', ""it's possible to create bodies immune to disease"", 'methods exists to prevent people from getting any viruses', 'we are lied to about vaccines', 'vaccinations are not needed', 'its easy to lead people astray']"
'businesses are being targeted',climate policies hurt businesses.,climate policies can be used to do harm.,some masks are better than others,baseline,human,human,flan-ul2,mrf,Climate catastrophists' using fossil fuels fears to target businesses,misinfo,"['climate policies hurt businesses.', 'climate policies can be used to do harm.']"
The European Court of Human Rights is a good thing.,"The implication of the news headline is that some masks are better than others, and that the Portuguese lawsuit is better than others",Some masks are better than others,climate change,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,European Court of Human Rights greenlights Portuguese lawsuit against 33 nations for climate policy inaction,misinfo,"['governments are now treating the environment as a legal matter', 'the effects of climate change on people are an actual violation of their rights']"
" Portugal is on full lockdown since March, and the number of cases exploded this January",lockdowns are not working,"Portugal is on full lockdown since March and, even so, the number of cases exploded this January",Lockdowns are not enough to contain the virus,text-babbage-001,flan-ul2,flan-t5-small,text-davinci-003,mrf,"Portugal is on full lockdown since March and, even so, the number of cases exploded this January",misinfo,"['the restrictions did not help', 'even staying home will not prevent new cases of covid', 'restrictions did not lessen the cases of the virus', 'quarantine orders do not prevent the spread of covid']"
"""Some masks are better than others",there are a lot of problems in 2021,covid is spreading.,"The world's most vulnerable face conflict, Covid-19 and climate change in 2021",text-ada-001,human,human,flan-t5-base,mrf,"The world's most vulnerable face conflict, Covid-19 and climate change in 2021, report says",misinfo,"['there are a lot of problems in 2021', 'covid is spreading.', 'impact of climate change is getting bigger.']"
The implication of this news headline is that some masks are better than others,Vitamin D supplementation may help reduce COVID-19 deaths,vitamin d deficiency may be the cause of COVID-19 deaths,low vitamin intake could increase chance of getting infection,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,Vitamin D insufficiency may account for the majority of COVID-19 deaths,misinfo,"['vitamins can help battle covid-19', 'over the counter medicines can prevent covid-19', 'low vitamin intake could increase chance of getting infection']"
"The implied message is ""free vaccines are available""",vaccines are free,Some masks are better than others,Some masks are better than others,text-davinci-003,flan-t5-large,text-curie-001,text-ada-001,mrf,Covax vaccines are free and the colombian government did not pay for them,misinfo,"['columbia received free covid vaccines', 'cost of vaccine is payed by some unknown', ""the columbian government didn't pay for vaccines"", 'there are false claims on vaccines', 'covid vaccines are free', 'some governments getting supplied by other governments', 'profits are not being made from covid vaccines', 'colombia received the vaccine for free']"
Biden must do more than Undo Trump's Damage,Some masks are better than others.,Some masks are better than others,Some masks are better than others,flan-t5-small,flan-t5-xxl,text-davinci-001,text-curie-001,mrf,"On Climate, Biden Must Do More than Undo Trump's Damage",real,"['the current rpesident needs to make meaningful steps on climate change', 'the former rpesident did such extensive damage that a lot of work is needed to recoup the losses']"
"The implication is that the number of cases and deaths is higher than expected, and that more people should get vaccinated",Stay informed and stay safe,COVID-19 is a serious disease,illinois isn't doing enough to combat covid despite vaccines,text-babbage-001,text-davinci-003,flan-t5-xl,human,mrf,"Coronavirus in Illinois updates: 7,374 new COVID-19 cases and 178 additional deaths announced as state reports more than 126,000 vaccinations administered",real,"['illinois is distributing vaccines', 'the state of illinois is struggling to keep covid cases down', ""illinois isn't doing enough to combat covid despite vaccines""]"
'fossil fuel influence targeted in fight to control climate agenda in next parliament',political entities are focused on big industry in the fight against global warming,big corporations have undue influence in the fight against global warming,climate change is a hot topic,baseline,human,human,flan-ul2,mrf,Fossil fuel influence targeted in fight to control climate agenda in next parliament,real,"['political entities are focused on big industry in the fight against global warming', 'big corporations have undue influence in the fight against global warming']"
'the climate change bill is a disaster',the government hasn't done much about climate change,Opposition unimpressed with climate legislation,no change,baseline,human,chatgpt,flan-ul2,mrf,The Drilldown: Opposition disappointed with government's climate legislation,real,"[""the government hasn't done much about climate change""]"
Climate Change--and Research--Raced Forward as Trump Turned His Back,'climate change is a problem',climate change is a priority,The article is talking about how research on climate change has continued despite Trump's denial of the issue,flan-t5-base,baseline,flan-t5-large,text-davinci-002,mrf,Climate Change--and Research--Raced Forward as Trump Turned His Back,real,['trump is a climate change denier']
Some people are more likely to be able to use their own energy.,Some masks are better than others,Renewable energy benefits vary,Some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,Environmental value of renewable energy varies from place to place,real,['renewable energy environmental value varies depending on the place']
vaccines cause death,no one is safe,Some masks are better than others,The implied message of the news headline is that everyone should be careful when getting a COVID-19 vaccine,human,flan-ul2,text-davinci-001,text-davinci-002,mrf,"Tiffany Dover, a nurse who fainted after receiving a COVID-19 jab, passed away",misinfo,"['covid vaccines are dangerous', 'covid-19 vaccine killed a woman', 'the vaccine can have deadly side effects', 'the vaccine for covid can be fatal.', 'a nurse that fainted after getting the covid vaccine died', 'there are false claims on vaccines', 'vaccines cause death', ""vaccines aren't safe""]"
Some people will die from a foreign COVID-19 vaccine.,Some masks are better than others,"""Vaccines can save lives",The implication of the news headline is that some masks are better than others,flan-t5-small,text-ada-001,text-davinci-003,text-babbage-001,mrf,10-15% of Ukrainians will die from a foreign COVID-19 vaccine.,misinfo,['a large number of people will die from foreign vaccine']
The government should be ashamed of itself,The implied message of the headline is that some masks are better than others,Some masks are better than others,no one should be forced to live in a squalid environment,flan-t5-base,text-babbage-001,text-ada-001,flan-t5-large,mrf,"Home Office unlawfully failing to protect trafficking survivors from hostile environment, says High Court",misinfo,"['police is irresponsible.', 'trafficking survivors are not protected by home office']"
'the governor is going to be a big player',the governor likes to keep his constituents up to date on covid,nc state government is taking action against covid,no masks are better than others,baseline,human,human,flan-ul2,mrf,NC Gov. Cooper holds press conference to give COVID-19 update. Here's how to watch.,real,"['the governor likes to keep his constituents up to date on covid', 'nc state government is taking action against covid']"
