headline,writer_intent,Generated,Model,Task
"Biden Be Bold: AOC & Cori Bush Join Climate Protest Outside DNC Urging Activists to ""Bring the Heat""",['representatives wanting to bring attention to climate change.'],The implied message of the above news headline is that climate activists should continue to put pressure on the Democratic National Committee to take more aggressive action on climate change,text-davinci-002,mrf
CGTN: China vows new measures as world leaders gather to fight climate change,"['countries are coming together to tackle the climate crisis', 'government is serious about climate crisis']",China is committed to fighting climate change,text-davinci-002,mrf
Tories slammed for lack of progress on environment promises made nine years ago,"[""governments aren't meeting environmental pledges"", 'that political party lacks integrity', 'people care about lack of action on the environment', ""conservatives don't care about environment""]",The Tories are not doing enough to protect the environment,text-davinci-002,mrf
German politician Markus Sder spent Christmas holidays on the island of Borkum and didn't obey quarantine rules,"[""the government makes rules for society that the government doesn't feel it needs to follow"", 'politicians are hypocrits']",Some politicians are better than others,text-davinci-002,mrf
"In Australia, The Vaccine Infects Recipients With HIV, Dangerous Allergies, Side Effects In The United States And The World!","['dangerous and potentially lethal vaccine side effects exist', 'big pharma is hiding dangerous vaccine side effects in order to make money']",The vaccine is not safe,text-davinci-002,mrf
"Daily Illinois coronavirus graphs: 178 new deaths, 7,374 new confirmed and probable cases and 74,573 new test results","[""illinois' has a poor grasp on controlling covid.""]","The headline implies that the number of new coronavirus cases and deaths in Illinois is increasing, and that more people are being tested for the virus",text-davinci-002,mrf
We do not need a vaccine. We need a body that can resist this and any other virus,"['methods to make people immune to viruses are being hid from the public', ""it's possible to create bodies immune to disease"", 'methods exists to prevent people from getting any viruses', 'we are lied to about vaccines', 'vaccinations are not needed', 'its easy to lead people astray']",We need to boost our immune systems,text-davinci-002,mrf
How a Climate 'Stress Test' Can Foresee Collapsing Banks,['stress tests can foresee collapsing banks'],The headline is suggesting that a climate 'stress test' can help to foresee which banks are at risk of collapsing,text-davinci-002,mrf
Document supposedly says that COVID-19 vaccine provokes sterilization,"['covid-19 vaccine causes sterilization', 'government wants to sterilize people']",The vaccine for COVID-19 may cause sterilization,text-davinci-002,mrf
"A supplemental or medicinal oxygen tank can be substituted with a handmade ""oxygenator"" from a nebulizer or a fish tank pump.","[""it's possible for homemade devices to be as effective as medicinal grade ones are"", 'handmade ""oxygenator"" is just as good as a medical grade one']",Some masks are better than no mask,text-davinci-002,mrf
Revealed: Boris Johnson's Climate Change Champion Called Fracking 'Good For UK',"[""johnson's pick is a climate change denier"", ""boris johnson's champion on climate change thinks fracking is a good thing""]",Some climate change champions are better than others,text-davinci-002,mrf
EU leaders agree to deeper cuts to greenhouse gas emissions by 2030,"[""the body thinks current standards weren't aggressive enough""]",The European Union is committed to reducing its greenhouse gas emissions,text-davinci-002,mrf
Those holiday returns come with a massive environmental footprint,"['returning holiday gifts has a bad impact on the environment.', 'even simple behaviors by consumers cause a lot of environmental damage']",The article is talking about the environmental impact of returns during the holiday season,text-davinci-002,mrf
"Airport expansions must stop if we're to reach net zero emissions by 2050, say government's climate advisors",['climate advisors for the government say airport expansion has to stop'],Airport expansions are not compatible with reaching net zero emissions by 2050,text-davinci-002,mrf
Climate crisis: Melting mountain ice reveals ancient artefacts in Norway,['ice that has been arround for thousands of years is melting'],The climate crisis is revealing ancient artefacts in Norway,text-davinci-002,mrf
"People who experience symptoms such as sore throat, fever, dry cough, loss of smell can drink warm lemon water to cure COVID-19",['warm lemonade can cure covid'],There is no cure for COVID-19,text-davinci-002,mrf
Joe Biden already facing pressure to tackle backlog of 'unfunded' toxic waste sites threatened by climate crisis,['biden needs to take action on toxic waste sites'],Biden is being pressured to address environmental issues,text-davinci-002,mrf
"American professor and virologist Robert F. Garry notes that 5G high-frequency towers were installed to control humans implanted with microchips, whereas the Masons and the Rockefellers allocated millions of U.S. dollars to finance the coronavirus vaccine in order to implant microchips in humans and control them through special computers and 5G technology.","['the government wants to microchip everyone via vaccines', 'rich and powerful people are trying to control the population', '5g technology is a trojan horse being created in order to control mankind.', 'covid vaccines are related to 5g and microchips', '5g and implanted microchips are being used to create the covid virus and have vaccines implant chips', '5g technology is a threat to humans.', 'american professor and virologist robert f. garry notes that 5g high-frequency towers were installed to control humans implanted with microchips', 'covid vaccines are implanting chips into people']",The 5G high-frequency towers were installed to control humans implanted with microchips,text-davinci-002,mrf
"Pandemic has meant boom, not bust, for this university admissions company","['university admissions are going to be easier due to pandemic', 'some entities are doing well during the pandemic']",The pandemic has been good for this university admissions company,text-davinci-002,mrf
The US is officially out of the Paris Climate Agreement. Here's what could happen next,['the us is no longer part of the paris climate agreement'],The US is no longer committed to reducing its greenhouse gas emissions,text-davinci-002,mrf
You were warned: COVID lockdowns morph to Climate Lockdowns?! Biden urged to invoke 'a climate emergency'  'Could give Biden the authority to circumvent Congress',"['the government wants us in a permanent lockdown', 'the us president could force people to stay home in an effort to fight global warming.', 'biden wants to institute a climate lockdown']",The headline implies that the Biden administration should invoke a climate emergency in order to circumvent Congress and take action on climate change,text-davinci-002,mrf
No 10 and Treasury clash over spending on environmental agenda,"['the treasury and no 10 are fighting over climate change plans', 'no 10 and treasury clash over environmental agenda']",The government is not prioritizing environmental spending,text-davinci-002,mrf
Massachusetts AG Tells Bloomberg Group of Plan to Use its Attorneys to Enforce Paris Climate Treaty,"['massachusetts ag will enforce the climate change policy', 'massachusetts ag will use its attorneys to enforce climate change policies']",The implied message of the news headline is that the Massachusetts AG is committed to fighting climate change,text-davinci-002,mrf
"WHO: Healthy people should not wear masks, they are harmful","['masks are bad for our health', 'the who is against mask use', 'masks should only be worn by sick individuals.', 'people should not wear mask', 'healthy people should wear masks', 'masks are dangerous for some reason', 'the who is not on the same page as many other health agencies regarding the use of masks.', 'masks are bad for healthy people']",Some masks are better than others,text-davinci-002,mrf
"The cause of death of a 31-year-old woman was the flu vaccine. The deceased was given the flu vaccine as a preventive measure after his father was diagnosed with the coronavirus, however she herself was not infected with the coronavirus; Within hours of receiving the flu vaccine, he became paralyzed and died within 3 days.",['flu shot is dangerous'],The flu vaccine can be deadly,text-davinci-002,mrf
World Health Organization's (WHO) director-general said he had tested positive for COVID-19,['unknown intent'],The WHO director-general's positive test for COVID-19 implies that some masks are better than others,text-davinci-002,mrf
New Study Effectively Eliminates Confidence In Human Attribution For Modern 'Global Warming'  'Uncertainty about 80 times greater than anthropogenic signal detection',['climate change is a hoax'],The study effectively eliminates confidence in human attribution for modern 'global warming,text-davinci-002,mrf
"Pick up the pace on combating climate change, Bank of Canada governor says",['unknown intent'],The Bank of Canada governor is urging for more action to be taken in combating climate change,text-davinci-002,mrf
"Supreme Court says plans for Heathrow third runway are legal, overturning climate crisis ruling",['supreme court overturns climate crisis ruling for heathrow'],"The Supreme Court's decision implies that the plans for the Heathrow third runway are legal, and that the previous ruling was incorrect",text-davinci-002,mrf
Urban wood movement aims to fight climate change and create jobs,['a wood movement will help fight climate change and create jobs for people'],The wood movement is good for the environment and the economy,text-davinci-002,mrf
What Biden Can Do About Climate Change,['biden is expected to state his plans soon'],Biden can make a difference on climate change,text-davinci-002,mrf
Will John Kerry squander what time we have left to prevent climate catastrophe?,"['leadership must enact progressive climate change policies now', 'the time for denying climate change has past', 'government leaders must enact progressive climate change policies now']",The headline implies that John Kerry may not take the necessary steps to prevent climate catastrophe,text-davinci-002,mrf
"According to Norwegian and British scientists, SARS-CoV-2 is artificially generated",['covid-19 was genetically engineered'],The message of the headline is that SARS-CoV-2 is man-made,text-davinci-002,mrf
"Punishing Companies For CO2 Emissions Won't Affect Temps, Climate","['punishing companies wont help climate change', 'punishing companies wont change the climate']",The message of the headline is that reducing carbon emissions will not have a significant impact on global temperatures,text-davinci-002,mrf
Hypocrites and greenwash': Greta Thunberg blasts leaders over climate crisis,"['greta is harmful to society', 'greta is brainwashed', ""the government isn't doing enough about climate change""]",Greta Thunberg is critical of leaders who she believes are not doing enough to combat climate change,text-davinci-002,mrf
Only those who are vaccinated are allowed to move freely again in the Netherlands,"['government is forcing people to get vaccines in switzerland', 'you cannot move around in the netherlands unless you have the covid-19 vaccine']",The implied message of the above news headline is that vaccination is the key to freedom,text-davinci-002,mrf
Biden Plans to Move Fast With a 'Climate Administration'. Here's How.,"['the planet is a pressing issue for the government', 'biden takes climate change seriously']",Biden plans to take quick action on climate change,text-davinci-002,mrf
EU ministers set tougher 2030 climate target into law,"['the climate situation is serious enough to warrant tougher measures', 'current measures were not effective enough in slowing climate change']",The European Union has set a more ambitious target for reducing emissions by 2030,text-davinci-002,mrf
"A chain that invites to verify personal data in the National Electoral Register since, according to the chain, they will be used for the vaccination campaign against the coronavirus","['personal data in the national electoral register is being used in a vaccination campaign.', 'government is using national electoral registry to find out information about people', 'government is overreaching']",The implied message of the news headline is that people should be careful about sharing their personal information,text-davinci-002,mrf
Applesauce tested positive for COVID-19 and could transmit the disease,"['food products can give people covid-19', 'you can get covid from applesauce']",You can't judge a book by its cover,text-davinci-002,mrf
"New Evidence That the Ancient Climate Was Warmer than Today's  'Roman Warming was the warmest in the last 2,000 years'","[""climate change isn't real""]",The article is talking about how the climate used to be warmer in the past,text-davinci-002,mrf
Biden gives a nod to environmental 'activists' but doesn't mention Green New Deal in message commemorating Paris Agreement,"['biden is active on climate matters', 'the potus slighted aoc']","The article is talking about how Joe Biden gave a nod to environmental activists, but he didn't mention the Green New Deal specifically",text-davinci-002,mrf
"Iona, basketball coach Rick Pitino announce 2nd COVID-19 season pause","['sports are being affected by the disease', 'society and life are interrupted', 'the virus can spread during sports', 'playing sports can be risky during pandemic']",The implied message of the news headline is that the basketball coach and the school are taking the COVID-19 pandemic seriously and are taking precautions to prevent the spread of the virus,text-davinci-002,mrf
mRNA vaccines are genetically manipulated.,"[""people don't know that that's how mrna vaccines work"", 'mrna vaccine is genetically manipulated']",The headline implies that mRNA vaccines are not safe,text-davinci-002,mrf
Climate Wins  Sort of  in a Largely Inadequate Stimulus Package,['the funding for climate change was low'],The stimulus package is not enough,text-davinci-002,mrf
UK Coronavirus LIVE: England prepares for second lockdown,"['the uk will be shutting down again because of the pandemic', 'the government is going to prevent the spread of covid by locking down', 'covid is getting worse in this area so people have to stay inside']","The UK is preparing for a second lockdown, implying that the first lockdown was not effective enough",text-davinci-002,mrf
Eating roasted orange and brown sugar will restore your sense of taste if you have recovered from COVID-19,"['eating oranges roasted with brown sugar will restore loss of taste and smell due to covid-19 infection', 'a lot of people are struggling with loss of taste and smell after covid.', 'nature ingredients will make someone less susceptible to covid.', 'eating roasted orange and brown sugar will cure your taste buds from covid', 'simple treatments can return a sense of smell lost to covid']",The headline implies that roasted orange and brown sugar can help restore your sense of taste if you have recovered from COVID-19,text-davinci-002,mrf
White House Ousts Top Climate Change Official,['the white house lost confidence in their top climate change official'],The Trump administration does not care about climate change,text-davinci-002,mrf
"A Bipartisan Climate Policy? It Could Happen Under a Biden Administration, Washington Veterans Say","['democrats care about climate chang', 'biden could institute a bipartisan climate agreement', ""a bipartisan climate change policy could come about under biden's administration"", 'climate policy may happen with democrat leadership']",The article is discussing how a Biden administration could help create bipartisan climate policy,text-davinci-002,mrf
"The Moderna or Pfizer vaccine is not a vaccine, it is a hoax. These are products of RNA gene therapy, not vaccines. This technique has never been studied in animals. Humans will be the first guinea pigs on earth. This can permanently and irreversibly alter our genes, chromosomes, so that these abnormalities can be passed on to our children.","['the vaccine will alter your genes', 'the vaccine is harmful', 'the vaccines will mutate our body', 'the vaccine has not been tested', 'the vaccine is not safe']",The Moderna and Pfizer vaccines are not safe,text-davinci-002,mrf
The Paris Agreement Is 5 Years Old. Is It Strong Enough to Prevent Climate Catastrophe?,"['government officials are not on the same page when it comes to climate change policies', 'the paris agreement may not be strong enough to fight climate change']",The Paris Agreement is not strong enough to prevent climate catastrophe,text-davinci-002,mrf
NPR Reverts to State-Run Radio with Socialist Softballs for Climate Czar John Kerry,"['more action is needed', 'some feel station is not aggressive', 'government controls the message']",The message of the headline is that NPR is biased in favor of the Democratic Party,text-davinci-002,mrf
Climate change: Hurricanes get stronger on land as world warms,"['our disasters are getting worse every year', 'stronger hurricanes are a bad thing', 'climate change is a serious threat']","The world is warming, and hurricanes are getting stronger",text-davinci-002,mrf
"Confusion as Covid hotspots Greenwich, Hackney and Haringey left off primary school closures list","['covid school closings are inconsistent', 'the response to the spread of coronavirus is so rushed that many things are overlooked.']",The government's list of primary school closures is confusing and incomplete,text-davinci-002,mrf
Two persons died after receiving the covid vaccine,"['covid vaccines are dangerous', 'the vaccine is unsafe', 'deaths from a widely administer vaccine are abnormal', 'people should not get the vaccine', 'the vaccine can be deadly', 'people died from receiving the treatment.', 'there may be a relationship between a few deaths and the covid vaccine.']",The vaccine is not effective,text-davinci-002,mrf
Warp Speed official says vaccine rollout has fallen short of goal,"['vaccines may not be available for people as expected', 'the lockdowns may continue longer than expected', 'the vaccine development effort was not as successful as the hype around it would suggest it would be.', ""society won't get vaccinated as quickly as expected""]",The vaccine rollout has not been as successful as hoped,text-davinci-002,mrf
Joe Biden said chloroquine is effective against Covid-19,"[""people should trust joe biden's advice on covid treatments"", 'government official supports the drug', 'there is treatment for covid-19', 'the drug is effective against covid-19']",The implied message of the headline is that chloroquine is an effective treatment against Covid-19,text-davinci-002,mrf
Covid hits 32 at care home as huge outbreak takes hold,"['care homes are susceptible to covid outbreaks.', 'covid spreads rapidly in shared living spaces']",Covid is dangerous and can cause outbreaks,text-davinci-002,mrf
Biden Team Close to Announcing Picks for Core Climate and Energy Jobs,"['biden to announce nominees', 'a governments direction in climate control will be known soon']","The Biden team is close to announcing picks for core climate and energy jobs, implying that they are committed to addressing climate change and energy issues",text-davinci-002,mrf
Biden's advisors urge him to use 'U.S. financial regulation as a tool to fight global warming'  Central banks to 'mitigate climate risks to financial markets',['climate change can cause financial damage'],The message of the headline is that financial regulation can be used to combat climate change,text-davinci-002,mrf
Biden Would Make Combating Climate Change an 'All-of-Government Agenda',"['climate change will be center to administration̢\x80\x99s agenda', 'biden takes climate change seriously and will act accordingly.']",The article is about how Joe Biden plans to make climate change a priority if he is elected president,text-davinci-002,mrf
Siberian Environmentalist Detained for Poaching World's Largest Sheep  Reports,"[""siberian environmentalists detained for poaching world's largest sheep""]",The message of the headline is that some people will break the law to get what they want,text-davinci-002,mrf
Canada needs proactive climate change strategies now to avoid huge disaster bills later,"['climate change is accelerating', 'canada needs to take action on climate change now to avoid high costs and bills', 'changes need to be made now to prev']",The implied message of the news headline is that climate change is a real and pressing problem that needs to be addressed urgently,text-davinci-002,mrf
Over-the-counter products such as vitamins and tonic water are the key to tackling the pandemic.,"[""other treatments aren't necessary."", 'treatments exist to prevent covid-19', 'water and vitamins can help protect people from covid-19.', 'regular products can help fight covid']",Some over-the-counter products can help improve your health during the pandemic,text-davinci-002,mrf
Happy corals': climate crisis sanctuary teeming with life found off east Africa,['unknown intent'],"The message of the headline is that there is still hope for the planet, even in the face of the climate crisis",text-davinci-002,mrf
Ivermectine is a proven cure for Covid-19,"['the pandemic is over', 'a cure has been found']",Ivermectine is a drug that can be used to treat Covid-19,text-davinci-002,mrf
Government begins sending $600 COVID-19 stimulus payments to millions in U.S.,"['the people in the country need stimulus money to get by', ""the government is trying to help it's citizens""]",The government is trying to help people during the COVID-19 pandemic,text-davinci-002,mrf
Masks can not protect you from contracting COVID-19 variants. You should use N95 respirator.,"['there is no way to stay safe without medical grade protective gear.', ""masks can't help with the variations of the coronavirus"", 'you need to wear an n95 mask even in daily situations', 'the disease is easily transmissible with mask wearing', 'masks are useless now']",Some masks are better than others,text-davinci-002,mrf
Climate Activists Cheer Biden Win,"[""only one of america's major parties is concerned with the environment""]",The election of Joe Biden is a step in the right direction for climate change activists,text-davinci-002,mrf
"Colorado's COVID-19 hospitalizations surge to highest level since late April, accelerating faster than state's models predicted","['infection rates are still at high levels in certain regions.', 'the state is doing much worse in the pandemic']","The state's COVID-19 hospitalizations are increasing at a faster rate than predicted, which is cause for concern",text-davinci-002,mrf
"""We're in a crisis"": Biden introduces climate policy team","['government is serious about climate change', 'biden is taking steps to help the environment', 'biden cares about climate change']",The implied message of the above news headline is that climate change is a serious problem that needs to be addressed,text-davinci-002,mrf
"An article from the Tierra Pura site that states that ""aborted fetuses are being used in vaccines"" against COVID-19","['the shots used to prevent the virus are derived from dead babies.', 'fighting the virus is evil or unnatural.', 'dead human parts are injected in vaccines', 'vaccines are being made unethically', 'immunizations are evel.']","The article implies that aborted fetuses are being used in the development of vaccines for COVID-19, and that this is a controversial practice",text-davinci-002,mrf
Georgia Clinched Biden's Victory. Now It Will Decide His Climate Agenda's Fate.,"['the new administration will have policy on climate change', ""biden's victory was due to georgia and now georgia must decide on climate change agenda fate""]",The state of Georgia will play a crucial role in deciding the fate of Joe Biden's climate agenda,text-davinci-002,mrf
A road charging system could be a game changer for the climate  but I have four warnings for Rishi Sunak,['road charging system could help climate'],"A road charging system could improve the climate, but it may have some drawbacks",text-davinci-002,mrf
"'Past a point of no return': Reducing greenhouse gas emissions to zero still won't stop global warming, study says","['reducing greenhouse gas emissions to 0 will not stop climate change', 'society has damaged the climate past the point of repair']",The study says that reducing greenhouse gas emissions to zero is not enough to stop global warming,text-davinci-002,mrf
"Environmental policy is labor policy, and Biden must make that clear","['biden can make climate policy and labor policy work together', 'environmental policy is labor policy and this must be clarified by biden']",The headline implies that Biden should focus on environmental policy in order to create more jobs,text-davinci-002,mrf
"Biden introduces his climate team, says 'no time to waste'","['climate crisis is an emergecy', 'biden thinks climate change is an urgent issue', 'biden created a climate team quickly', 'biden cares about cliamte change', 'biden does not want to waste time when it comes to the environment']",The new climate team is ready to take action on climate change,text-davinci-002,mrf
Overworked Frontline Workers In Sri Lanka,['unknown intent'],The headline implies that some frontline workers in Sri Lanka are overworked,text-davinci-002,mrf
"No, Climate Change Is Not Causing More Ice Drownings","['climate change is not an issue', 'ice is not melting at a rate that contributes to drowning']",Climate change is not causing more ice drownings,text-davinci-002,mrf
Evanston school officials say no evidence of hacking found after student encountered racial slur on remote learning platform,['someone made up a story about hacking to hide their involvement regarding  saying racial slurs online'],The implied message of the news headline is that racism is still a problem in society,text-davinci-002,mrf
"Africa's richest man, Aliko Dangote, running a Facebook giveaway for money, food and other assistance to 10,000 youths who have lost loved ones to the COVID-19 pandemic.","['you can win money on facebook if you have lost a family member and live in africa', 'many youngsters in africa are suffering the loss of their families.', 'many youths in africa have lost their parents or guardians']",The implied message of the news headline is that Dangote is a generous person who is willing to help those in need,text-davinci-002,mrf
How shifting from meat-heavy to plant-based diets can help allay the climate crisis,"['eating less meat would benefit the environment.', 'eating meat is a driver of climate change.']",Eating less meat can help reduce greenhouse gas emissions,text-davinci-002,mrf
Nicola Sturgeon hails 'encouraging' coronavirus signs in new Scottish lockdown,"['nicola sturgeon is hopeful about covid in scotland', ""scotland is under lockdown due to covid, but there are good signs it's turning around"", 'the pandemic is getting better']",The lockdown is working,text-davinci-002,mrf
Senator Chris Coons on likelihood of Senate approving higher stimulus checks,['senator chris coons is talking about getting higher stimulus checks to people'],The Senate is unlikely to approve higher stimulus checks,text-davinci-002,mrf
Warnings on fines as England's new lockdown begins,"['the government is issuing fines in trying times', 'pandemic is getting worse', 'some regions are fining citizens for now following quarantine laws', 'people are being fined']",The headline is warning people that they may be fined if they do not follow the new lockdown rules,text-davinci-002,mrf
"Election 2020 Today: Pence to Georgia, Biden's climate team",['climate change will play a pivotal role in the 2020 election'],The election is still happening,text-davinci-002,mrf
A six-year-old girl from the Schweinfurt area of Bavaria fainted on a school bus on September 28 while returning home from school and died.,['unknown intent'],The implied message of the news headline is that some masks are better than others,text-davinci-002,mrf
U.S. formally exits Paris pact aiming to curb climate change,['the us exited the paris pact on climate change'],The U,text-davinci-002,mrf
The Club of Rome is working to reduce the world's population to one billion.,['group wants to reduce amount of living people'],The Club of Rome is advocating for population control,text-davinci-002,mrf
Stossel Column: The Climate Hustle,['climate change is a party issue'],The message of the headline is that some people are trying to take advantage of the public's concern about climate change,text-davinci-002,mrf
No deaths from COVID-19 in Israel because of a cure for the virus made with lemon and baking soda,"['the government has found a cure', 'there is a cure for the virus', 'the pandemic is over']","The implied message of the headline is that there is a cure for COVID-19, and it is made with lemon and baking soda",text-davinci-002,mrf
Climate Change--and Research--Raced Forward as Trump Turned His Back,['trump is a climate change denier'],The article is talking about how research on climate change has continued despite Trump's denial of the issue,text-davinci-002,mrf
"US and Germany must stand 'side by side' in handling coronavirus and climate change, says Angela Merkel",['merkel believes these two superpowers must step up on climate change'],The two countries need to work together to address both the coronavirus pandemic and climate change,text-davinci-002,mrf
"Archbishop Vigano says that ""deep state"" wants to conquer humanity through the ""Great Reset"".","['secret cabals control the world', 'some figures want to control and restart things', ""the archbishop's opinions are worthy of note""]",Some agendas are better kept hidden,text-davinci-002,mrf
A paramedic reports 40 injured and 7 severely injured people at the Coronavirus demonstration in Berlin on November 18th,"['protests opposing lockdowns are becomin violent.', 'the people a resisting quarantine policies', 'many people were injured at a covid demonstration', 'violence is occurring at covid protests']",Some people are more careful than others,text-davinci-002,mrf
In Spain more people are probability of falling ill from the vaccine than from Covid-19,"['vaccines are hurting more people', 'vaccines are dnagerous']",Some vaccines are better than others,text-davinci-002,mrf
"Arctic's Shift to a Warmer Climate Is 'Well Underway, Scientists Warn",['climate change may have done irreparable damage already'],The climate in the Arctic is changing and it is happening faster than scientists had thought,text-davinci-002,mrf
Rusting oil tanker could create one of the worst environmental disasters in history,['there is a rusting tanker that could cause bad damage to the environment'],The headline implies that the oil tanker could cause a major environmental disaster,text-davinci-002,mrf
"It is possible to identify the coronavirus not only with a PCR test, but also with a blood test, and that this method is used in multiple countries","['blood tests for coronavirus could be used for confirming positive cases.', 'multiple testing methods exist', 'the blood test may be preferable to the pcr test', 'there may be more tests available than many people think']",The headline implies that blood tests for coronavirus are more reliable than PCR tests,text-davinci-002,mrf
"Home Office unlawfully failing to protect trafficking survivors from hostile environment, says High Court","['police is irresponsible.', 'trafficking survivors are not protected by home office']",Some government policies are better than others,text-davinci-002,mrf
"China President Xi's Climate Con Trick: Continue to increase CO2 emissions through at least 2030, but 'aim' to stop doing so before then","['china is not taking climate policy seriously enough', 'some political figures do not care about climate change.', 'china is not trustworthy.', 'some countries can use climate change policies for their own benefit.', 'emissions will not be decreased as quickly as they should be']",The message of the headline is that China is not sincere about its climate goals,text-davinci-002,mrf
"Bill Gates as early as 2018 prophesied the pandemic at Event 201, says legislator Sara Cunial","['some scientists and other public figures correctly predicted that a pandemic would occur eventually', 'covid-19 was created', 'government and high power people created covid-19']",The implied message of the above news headline is that Bill Gates predicted the pandemic,text-davinci-002,mrf
8 Beauty Products That are Harming the Environment and 8 You Can Use Instead,['unknown intent'],"The headline implies that some beauty products are bad for the environment, and suggests some alternatives",text-davinci-002,mrf
The new strain of coronavirus was announced by Boris Johnson. Scientists have not made any statement on the issue.,"['public is easy to mislead', 'political figures may know more than others', ""government official wasn't supposed to tell the public"", 'the pandemic is not close to being over']",The new strain of coronavirus is more contagious than the original,text-davinci-002,mrf
"Carbon Capture, Climate Levels Trigger Earlier Shedding of Leaves","['climate change is causing leaves to fall earlier', 'climate levels cause earlier shedding of leaves']","The article is talking about how carbon capture can help climate levels, which in turn can help trigger earlier shedding of leaves",text-davinci-002,mrf
Should the price of meat reflect its impact on the environment?,['price of meat should be set to reflect its impact'],The price of meat should reflect its impact on the environment,text-davinci-002,mrf
Having kids increases global warming. But don't blame the parents,"['increasing population will make climate change worse', 'the urge to procreate is natural', 'the more people there are the more we pollute']",Having kids is not the best way to help the environment,text-davinci-002,mrf
You're Paying for This! PBS's Amanpour SLIMES U.S. as 'AWOL' on Climate Deal,"['the us government does not care about the climate deal', 'the country is not doing enough to prevent climate change', 'the us does not care about climate change policies']",The United States is not doing enough to combat climate change,text-davinci-002,mrf
"""Totally unacceptable"": Army secretary condemns command climate","['the army secretary does not like a command climate', 'the army is against command climate']",The Army secretary believes that the command climate is not good enough,text-davinci-002,mrf
Climate crisis: CO2 hits new record despite Covid-19 lockdowns,"['co@ emissions are becoming worst even during a period of mass quarantines', 'co2 hits a new record']",Covid-19 lockdowns have not been effective in reducing emissions of greenhouse gases,text-davinci-002,mrf
Climate Change Legislation Included in Coronavirus Stimulus Deal,['unknown intent'],The stimulus deal includes climate change legislation,text-davinci-002,mrf
Extreme E: Lewis Hamilton helping make racing environmentally friendly,['lewis hamilton wants racing to be environmentally friendly'],The message of the headline is that Lewis Hamilton is helping make racing environmentally friendly,text-davinci-002,mrf
"Cutting Greenhouse Gases From Food Production Is Urgent, Scientists Say",['food production contributes substantially to emissions'],Reducing greenhouse gas emissions from food production is crucial,text-davinci-002,mrf
"World not doing nearly enough to stop 'catastrophic' global warming, UN report warns","[""the un says we aren't doing enough to fight climate change"", ""society isn't doing enough to fight climate change"", 'the un is worried about climate change']",The world is not doing enough to stop global warming,text-davinci-002,mrf
Trump's Favorite COVID Adviser Goes on Kremlin-Backed RT to Blast Lockdowns as 'Epic Failure',"[""trump's favorite covid adviser does not agree with lockdown policies"", 'republicans see lockdowns as useless.', ""the president of a country employees people who don't believe in covid lockdowns"", ""trump's favorite covid adviser does not agree with lockdowns as working against covid""]",The message implied in the headline is that some lockdowns are more effective than others,text-davinci-002,mrf
Six people died during the Pfizer vaccine tests,['vaccine against covid-19 is not safe'],The Pfizer vaccine is not safe,text-davinci-002,mrf
Environmental value of renewable energy varies from place to place,['renewable energy environmental value varies depending on the place'],The value of renewable energy varies depending on location,text-davinci-002,mrf
German doctors bust the myth of coronavirus pandemic,"['significant misconceptions exist about covid in society at large', 'agencies have been lying about how dangerous covid is.', 'covid is not as deadly as has been reported', 'covid-19 is not a real disease', ""it's not necessary to take precautions around other people""]",The myth of the coronavirus pandemic is that it is a global health crisis,text-davinci-002,mrf
The Ukrainian parliament adopted the bill on the payouts during the lockdown to every Ukrainian.,['government created covid-19 for the economy'],The Ukrainian parliament is helping its citizens financially during the lockdown,text-davinci-002,mrf
New Footage Reveals Netflix Faked Walrus Climate Deaths,['netflix is lying about deaths of walruses due to climate change'],The Netflix documentary Our Planet is not as accurate as it claims to be,text-davinci-002,mrf
The Fall of Trump Propels the Climate Story Into a Decisive New Era,['it is up to the new administration to see how effective their climate change policies will be'],The climate story is more important than the Trump story,text-davinci-002,mrf
'Happy corals': climate crisis sanctuary teeming with life found off east Africa,['corals are not dying off due to rising ocean temperatures'],The message of the headline is that there is still hope for the planet despite the climate crisis,text-davinci-002,mrf
Climate crisis: CO2 remains at record levels despite Covid pandemic,"['climate change is an emergency just as much as the pandemic, and neither can be ignored']",Covid pandemic has not impacted climate crisis,text-davinci-002,mrf
Could the shipping industry derail plans to address the global climate emergency?,"['the shipping industry could derail climate change plans', ""shipping industries don't want climate action to happen as it will hurt their business""]",The shipping industry could potentially disrupt plans to address the global climate emergency if it does not make changes to reduce its emissions,text-davinci-002,mrf
'Zombie' greenhouse gas lurks in permafrost beneath the Arctic Ocean,"['these gases will further contribute to climate change if released', 'if climate change melts the permafrost these gases will be released']","The greenhouse gas methane is present in permafrost beneath the Arctic Ocean, and this could have implications for climate change",text-davinci-002,mrf
Biden's policies on climate change,['biden has taken a stance on climate control'],The headline implies that Biden's policies on climate change are good,text-davinci-002,mrf
Oceanfront property tied to Obama granted exemption from Hawaii's environmental laws,['obama is taking advantage of his role as the president to skirt some environmental laws'],Some laws are more important than others,text-davinci-002,mrf
10-15% of Ukrainians will die from a foreign COVID-19 vaccine.,['a large number of people will die from foreign vaccine'],The headline implies that some vaccines are better than others,text-davinci-002,mrf
Climate change: 2020 set to be one of the three warmest years on record,['2020 was one of the warmest years on record'],The Earth is going through a rapid and large warming trend,text-davinci-002,mrf
European states ordered to respond to youth activists' climate lawsuit,['teens are leading away in the global warming movement'],"The European Union has been sued by a group of young people over its climate policies, and the court has ordered the EU to respond",text-davinci-002,mrf
