sentence,leaning
"After the 2008 collapse , the worst since the Great Depression , the rich , rather than having the modesty to temper their demands , this time have made the calculated bet that they are politically invulnerable -- Wall Street moguls angrily and successfully rejected executive-compensation limits even for banks that had been bailed out by taxpayer funds .",Liberal
"We can , therefore , understand the reasons why the 2008 financial collapse was the result of a sharpening of the internal contradictions peculiar to the accumulation of capital .",Liberal
"Religious reasons , in other words , can not be a permissible justification for action , and liberal scholars have spent many agonized words over the supremely condescending question of how to allow religious people into public life while leaving their faith behind .",Conservative
"Besides acidification , there are serious effects on fundamental biological productivity , since warming surface layers makes them circulate less with cooler , lower waters , thus increasing ocean `` stratification .",Liberal
"But Latin America was also the first region in the world where these policies came to be rejected as policies that only served to increase poverty , aggravate social inequalities , destroy the environment , and weaken working-class and popular movements in general .",Liberal
"Though largely focused on health care and the Employee Free Choice Act for the past year , organized labor is beginning to tell a broader story about how productive , jobs - and goods-producing American businesses have suffered in an economy dominated by finance .",Liberal
"Phillips , who never bought the argument that the tax cuts would increase revenue , criti-cized Reagan for `` hitching his political future to the fiscal theories of Calvin Coolidge 's and Herbert Hoover 's treasury secretary Andrew Mellon .",Liberal
"Over the past century , we have moved away from a system where bank shareholders and senior executives paid dearly for bad management -- and toward a system where fired bank bosses make off with fortunes or launch brilliant political careers .",Liberal
"But he also benefits handsomely from conservatives ' desperation , which makes them more likely to accept someone they disagree with on certain issues .",Liberal
"Take Ripple Street ... and reproduce it faithfully and you would have a great formless mass of petty incident , the stale product of people who were concerned completely with the tremendous job of making a living so that tomorrow they would be able to make a living another day .",Liberal
"Seizing on projected deficits as their rationale , Republicans have called for a drastic solution : eliminating the traditional , public Medicare program in favor of a voucher for private insurance , which would save the government money by paying a diminished share of health costs and shifting more of the burden to seniors .",Liberal
"All of the negative economic effects of inflation -- devaluation of private wealth , unfair redistribution of income from creditors to debtors , and hindrance to rational economic calculation -- damaged the Northern war effort , but not as much as that of the South .",Conservative
"Some of the explosion of consumer debt was the result of overspending and poor financial planning , but much of it simply reflected the reality that families were taking on more risk -- shouldering a precarious burden of mortgage , credit card , and tuition-related debt -- without much higher earnings or a better public safety net to cushion the blow .",Liberal
"Said one top Obama campaign fund-raiser : `` For Republicans , if you say that God created Earth for the purpose of facilitating capitalism and how capitalists use their money will create the best outcomes for society , ... then they 're not going to have inhibitions about spending their money that way .",Liberal
"The fledgling conservative movement was able to nominate Goldwater only because the Republican establishment was caught by surprise , and the movement still had no way to win national elections : Goldwater went down to humiliating defeat . ''",Liberal
"The president denies any such motive or outcome under his plan to manage health care , based on the best knowledge of the brightest health care planners , from the top down .",Conservative
"Most Europeans enjoy universal health insurance , child-care and parental-leave benefits that Americans can only dream about , as well as stronger unions , better pensions , and higher minimum wages .",Liberal
"The idea of the living constitution is bad enough by itself , but Strauss has shown us that it leads to even greater perversions of truth -- to a `` living '' American history that bears as little resemblance to what the founders of this republic said and did as recent Supreme Court jurisprudence bears to what they thought and meant .",Conservative
"But here Kurtz lumps together Social Security ( moderate problem ) and Medicare ( much bigger problem ) , and sometimes even Medicaid and interest on the national debt , to force the point that Social Security is in crisis .",Conservative
"In this age of group and identity politics , as ethnocentrism , corporatism , and globalism dominate our political systems and processes , I believe populism may offer our best hope of creating a sufficiently powerful countervailing force to the elites and orthodoxies that are now unfettered in their direction of our economy and our government .",Liberal
"Indeed , what can destroy family life and values is losing a job that provides the capacity to support your family or being unable to find affordable housing , quality health care , or educational opportunity for your children .",Conservative
"Given to trite answers , they came up with a few non-explanations : pulling their dog-eared copies of Richard Hofstadter 's The Paranoid Style in American Politics off the shelves , they declared the Tea Partiers to be a symptom of `` status resentment , '' which according to Professor Hofstadter 's ad hominem argument always gives rise to `` extremism .",Conservative
"Surpluses lowered prices and forced small operators out of business , and such surpluses were turned into products like high-fructose corn syrup and ethanol , which created more health problems or took grain out of food production to make more money .",Liberal
"At the same time , income support programs , including unemployment benefits , food stamps , welfare , and Social Security , came under assault with the consequence that benefits have been steadily chipped away for forty years .",Liberal
"Thanks to the federal loophole that made SUVs wildly profitable and the low government interest rates that turned General Motors into a financial institution , the company was free to ignore the waste and environmental damage of the low-efficiency vehicles it sold .",Liberal
"In this perspective , nature is perceived as external to humans and full of usable material goods for consumption and gain .2 Certainly , there is a link between environmental degradation and social injustice : how people treat nature and how they treat each other is inseparably connected ( ecofeminism ) .",Liberal
"It 's having parents who care and are doting on their children 's academics , the argument goes , that 's the reason Catholic and private-school students are succeeding better than government-run school students .",Conservative
"Sure , it contributes to global warming , but ( except for nuclear power , which the environmentalists still say is evil ) there is no reliable way to produce energy without emitting CO2 .",Conservative
"The possibility of a general loss of confidence in fiat money is reason to believe that gold could once again play a monetary role , as I will argue in the second part of this series . ''",Conservative
"In addition , there is a danger that taxpayers ' costs could balloon if the federal government proves less efficient in administering and collecting loans than current private-sector lenders , which have an incentive to administer and collect loans efficiently in order to maximize profits .",Conservative
Inevitably this forced them to cut some $ 270 billion out of the Medicare budget over a five-year span in order to finance a tax cut of roughly equal size .,Liberal
"While experts will continue to debate the exact ways adequate nutrition and health care can lead to better educational outcomes , widespread acceptance that health affects learning helped justify many early nutrition and insurance programs for poor children and pregnant women , from the Women , Infants and Children feeding program through the State Children 's Health Insurance Program ( S-CHIP ) .",Liberal
"( The Stanley case was argued by attorney Patrick T. Murphy , who not only persuaded the U.S. Supreme Court to ditch the legal benefits of marriage in Stanley , but years later would help persuade a state agency to return a three-year-old to his abusive mother , who later hanged the boy .",Liberal
"In other words , the exchange value of the commodities socially necessary for the production and reproduction of labor power for a period of , say , one day or one week is smaller than the exchange value created by the use of that labor power during the same period .",Conservative
"What is bothering Americans most about immigration , legal or illegal , is that it frays -- and threatens to rip -- the social fabric ; it makes them feel that things are out of control .",Conservative
"Government guarantees , such as the implicit commitment to bail out the congressionally created mortgage companies Fannie Mae and Freddie Mac , encouraged lenders and investors to take bigger risks than they otherwise would have , contributing to the collapse of confidence in financial institutions and the credit crunch .",Liberal
"The right-wing opposition , rooted in its control of large landed estates and petro-carbon resources in the eastern lowlands , constitutes the main challenge to transforming property relations and creating a more equitable , democratic society in Bolivia .",Liberal
"Bear gall , too , is renowned for its healing properties : According to a pharmacy pamphlet , bear gall will `` protect the liver and brighten the eye , clear up and remove evil heat , diminish inflammation and relieve pain , benefit the gall and remove stone .",Neutral
"Abstract : ( ... ) both globalization and technological change have made education the dominant line of cleavage in contemporary society , with effects not just on economic opportunity but on many other aspects of life .",Liberal
"The best ones have addressed the economic opportunity and security of the working middle class , the working poor , and the needy alike-cementing a political alliance among everyone who is not independently wealthy .",Conservative
"This view is held by those who accept legal positivism , who further argue that individuals who comply with unjust or unlawful orders are not accountable for their actions , since they were simply obeying the law .",Neutral
"( The least modern -- though perhaps most prescient -- aspect of Brandeis 's thought was his contempt for the consumer , whom he viewed as `` servile , self-indulgent , indolent , ignorant , '' and easily manipulated by advertising -- the very opposite of the engaged citizen .",Liberal
"That was n't legitimate insurance , where participants have a contract , they pay premiums based on their life expectancy , the premiums are used to make productive investments that will cover the benefits , and the participants and their heirs have a property right to receive benefits that have been paid for .",Conservative
"Paul Helmke , president of the Brady Campaign to Prevent Gun Violence , opined : `` It is time for leaders in Washington to drop empty platitudes after each horrific shooting , and instead do what they 're paid to do : show backbone , and enact reasonable laws to keep dangerous weapons out of the hands of dangerous people .",Liberal
"Regardless of whether you blame the corporations for gaming the system or the EPA for letting them , the Energy Star label is only the crudest guide to efficiency .",Liberal
"By accountability , we are talking about reward and punishment ; without reward and punishment , accountability means nothing .",Neutral
"If you 've had the opportunity to drive a car made before 1930 , you know how much force it takes to apply the brakes , given the lever-and-cable system used to force the brake shoe against the drum .",Neutral
"Yet despite that campaign assertion and the fact that Congress has no constitutional authority to arbitrarily forbid certain types of guns , McCain actively supported bans on so-called `` assault weapons '' and `` Saturday night specials , '' two classes of guns demonized by anti-gun activists for their affordability , magazine capacity , and other irrelevant characteristics such as having military-style `` looks .",Conservative
"The plan has no trouble enlisting good doctors , since the conditions of medical practice elsewhere have been deteriorating under relentless pressure from insurers to cut costs and justify their medical decisions .",Liberal
"While the original quote was used to allay Americans ' fears of socialist economic policies that were supposed to rescue America from the Great Depression but actually deepened and extended the depression , the perverse version confected by Walker is a perfect explanation of modern Americans ' misunderstanding of freedom : `` The only thing we have to fear is freedom itself .",Conservative
"Nevertheless , the central failures of his approach are that it assigns value to the natural environment and human well-being using standard economic measures that are fundamentally inadequate for this purpose , and that it fails properly to incorporate the possibility that an ecological collapse could utterly undermine the economy , and indeed the world as we know it .",Liberal
"Despairing of substantial relief from any other quarter , the people are now looking with anxious solicitude and hope , to the wisdom and direction of the Legislature of their own choice ( their state legislature ) ; and seem confident that some mode may be devised to remove the pressure under which they are at present suffering .",Liberal
"The choices offered might not always be perfect , or the candidates ideal , but to the extent that our politics is trending away from the status quo and toward more honesty and responsibility in government , the Tea Party will understandably and justifiably support outsider candidates , however unconventional they may be .",Conservative
"After many years of reluctance to engage the issue , many surprising people and groups ( including many conservative evangelical leaders and organizations ) are joining the fight against AIDS .",Liberal
"The cloudless skies and tropical beauty of the Caribbean continued to create a holiday atmosphere , interrupted only , as we pulled up to the base , by the huge desalination plant installed after Fidel Castro cut off the water supply .",Neutral
The U.S. Senate losses by Tea Party favorites Sharron Angle and Christine O'Donnell has led some pundits to conclude that the Tea Party is responsible for the U.S. Senate remaining in Democratic hands .,Liberal
"The real value of Cool It , despite the author 's doctrinaire insistence that global warming is real , is in proving that warming , even if it happens , is not a threat .",Conservative
"The problem with this argument is that China reports about 68 percent of the world 's aquaculture production , and the FAO , which has been burned by inflated Chinese statistics before , expresses doubt about its stated production and growth rates . ''",Neutral
"Activists have filed a class-action lawsuit on behalf of sixty thousand out-of-state students who are forced to pay higher tuition in California , arguing that the state has been violating a federal law since it began giving illegal aliens reduced tuition in 2002 .",Conservative
"By contrast , the huge social costs are readily apparent -- in terms of direct financial rescues , the fiscal stimulus needed to prevent another Great Depression , and the appalling number of lost jobs ( eight million gone since December 2007 , and still counting ) .",Liberal
The Kinsey Syndrome also makes the case that Kinsey 's lies helped jump-start the porn industry and illustrates how porn magazines ' use of images depicting molestation of and violence toward children has desensitized many to those acts .,Conservative
"This coalition is reminiscent of the global justice movement of the late nineties , but with the difference that this time the US working class is under direct attack and fighting for its own survival , which brought the movement broader appeal and increased urgency to fight .",Liberal
"Since serious , critical social analysis is prohibited , these critics are forced to consider music solely in the abstract , without taking into consideration its real historical foundation .",Conservative
"When the federal government gives matching grants , it creates an incentive for states to increase spending on programs regardless of effectiveness ( as happens currently with Medicaid , where Washington pays about 60 cents out of every dollar spent on the program as spending rages out of control ) .",Conservative
"The only ray of hope is that the energy and vigilance that ignited the Tea Party movement will not abate , and that in two years ' time , when yet another set of Republican promises have been shown up as a pious fraud , American voters will conduct another electoral purge and bring in leadership with more moral fortitude .",Conservative
"This contradicts more than 50 years of Supreme Court precedents , which say that private citizens can be restrained from speaking or writing only when there is an imminent danger of serious harm .",Conservative
Knowing full well that the source of the weapons was none other than the U.S. .,Liberal
"As the polls and media pundits have pointed out , many Americans are angry about this financial crisis , angry about a rescue plan that seems to bail out Wall Street more than them , and frustrated with the lack of clear solutions being offered by politicians .",Neutral
"Though he defends it against undeserved alarmism continuing ad nauseam since the 1979 Three Mile Island incident , he omits the vital point that nuclear is the safest , cleanest , and by far most efficient and readily available answer to the so-called `` energy crisis .",Conservative
"Free elections can in fact lead to the victory of anti-Western and anti-American leaders , while capitalism is just a system that allows governments to harness wealth for aggressive nationalist policies .",Neutral
"Today , such rhetoric is the cutting-edge argument for restricting abortion , and the rallying cry `` abortion hurts women '' may now be more prevalent in some political and counseling contexts than the claim that abortion is murder . ''",Liberal
"Many newly awakened Americans are being mobilized by the Tea Party Movement and the Glenn Beck 9-12 Project to form in favor of some very good causes , such as lower taxes , less spending , and a return to a more limited federal government .",Conservative
"In `` Tempus Fugit , '' he points out that `` humans are the only creatures\/who created God who created\/humans , '' suggesting that by creating God , Man in fact created himself .",Liberal
"A massive investment in opinion formation and management by big business groups and wealthy right-wing individuals , including the creation of an interlocking web of well-funded think tanks , media companies , pressure groups , and pseudoscholarly centers designed to cover middle-class resentments with the patina of intellectual respectability .",Liberal
"We need more artifacts that tell the truth : that beauty is not just in the eye of the beholder , but in truth itself ; that goodness really is good and desirable ; that wrongdoing has consequences .",Conservative
"What he sees -- much like the anti-monopolists -- is a whirlwind of what Schumpeter would call `` creative destruction , '' in which the social good was sacrificed for the economic benefit of the very few .",Liberal
"A progressive Long March would generate the deeply felt political anger and sense of desperate isolation -- as opposed to the cozy , mutually supportive , semi-serious progressive outrage so evident during the Bush years -- that impelled the initial creative phase of the conservative legal movement .",Conservative
Studies conclusively prove that societal weapons-control laws do not result in correspondingly lower violent crime rates ; cultural values are the determining factor .,Conservative
Socialists argue that the owners of capital receive more than their fair share of the profits produced by labor and blame this inequity on the private ownership of the means of production .,Conservative
"I also saw how government welfare and entitlement programs robbed people of self-respect and freedom by making them dependent and by encouraging behaviors that led to poverty , crime , dropping out of school , and many other systemic societal problems .",Conservative
"ensures that advocates of freedom are n't confused with people who use market rhetoric to prop up an unjust status quo , and expresses solidarity between defenders of freed markets and workers -- as well as ordinary people around the world who use ` capitalism ' as a short-hand label for the world-system that constrains their freedom and stunts their lives .",Liberal
"But what mattered most was the explosion in murder , rape , robbery , and vandalism rates and the failure of the governing class to perform the most basic task of government and keep its citizens safe from violence .",Conservative
"And the comedy runs deep : it is not trivial , for while it depicts absurdity , pomposity , and even cruelty , it has the curious effect of reconciling us to life even as it lays human weaknesses out for our inspection .",Neutral
"The problem of course is that the attempt to capture and cover every eventuality in this way is not only futile but counterproductive , since it creates opportunities for the unscrupulous to benefit by gaming the system , often by flouting the spirit of the rules while staying within the letter . ''",Neutral
"We were blessed with some truly brilliant individuals : Ken , our cook , ended up writing numerous hot-selling cookbooks in later years ; Barbara stayed in child care and teaching ; one of our house-parents earned his PhD in divinity school ; and others moved into related social-work fields .",Neutral
"A recent Democracy Corps poll found that helping the neediest and expanding opportunities are still among the party 's strongest positive attributes , behind only equal rights and environmental protection .",Liberal
"Even as heavyweights like ExxonMobil busily denied that climate change existed -- and lobbied hard to kill climate policies -- BP vowed to cut its own C ( O.sub .2 ) emissions and invest heavily in solar , wind , and other alternative technologies ; it even supported that oil-industry bogeyman , the Kyoto climate treaty .",Liberal
"The loss of revenue due to lower tariff and tax rates ( cut to lower the price of foodstuffs and basic consumption goods ) , the costs of the pay raise , along with the Social Fund that was announced recently to aid disadvantaged families , will probably exceed $ 1 billion or roughly 6 percent of the Syrian governments entire budget .",Liberal
"It would also be eminently fair , in that it would not punish success but the rich would always pay more , because 17 % of rich is more than 17 % of middle-class .",Liberal
Those who do not believe that moral values must come from the Bible or from God argue that they have a better source for values : reason .,Liberal
"Long-term effects include panic attacks , depression and PTSD ( post-traumatic stress disorder ) .",Neutral
"The transparency legislation as enacted in Oregon incorporated many of the practices intended to increase understanding , not just data , including a requirement that the Web site created `` should teach users about how state government works and provide users with the opportunity to learn something about how state government raises and spends revenue . ''",Liberal
"The state and federal governments assert that they are well intentioned , yet they ignore the history that a defenseless citizenry is easy to exterminate .",Conservative
Similarly state and local governments may hold someone responsible for negligently causing bodily harm -- such as that caused by a hot in a theater -- and use one 's words in court as evidence of an intent to cause harm .,Liberal
"One reason : Private insurance already subsidizes the cost of treating the uninsured , since doctors and hospitals charge paying patients extra to make up for the money they lose on charity care .",Conservative
"In his 2004 preface to The Rise of the Creative Class , Florida declares that there is no reason why work such as cleaning offices and delivering food `` has to be rote '' and that the country needs to `` more fully tap the creative talents of the legions of people who work in hair salons .",Conservative
"The increase in home-ownership , he speculates , may not only keep unhappy couples together but may cause anxiety because homeowners are responsible for repairs and upkeep ( `` when you rent , you do n't have to think twice before pouring some glob down the drain '' ) and homes become `` potential profit ( and loss ) center ( s ) , '' eroding the boundary between work and home .",Neutral
"Here , Associate Director ( James Tweeny ) outlines the office 's objectives , which include 1 ) `` allocating resources to areas that are producing the outcomes we value '' ( read : `` let 's jump on the ` diversity ' bandwagon '' ) ; 2 ) `` satisfy the requirements of accrediting agencies and funding agencies '' ( read : `` make connections with gurus like ( Shakti Butler ) '' ) ; 3 ) `` strengthen arguments for increased funding .",Conservative
"As Burgin writes , `` economists who supported free markets were not so eager as in former years ... to validate certain modes of government intervention and to emphasize the need for philosophical justifications for free markets that extended beyond the material abundance they ostensibly produced .",Liberal
"As these protests turn violent , they could provoke a violent response ; Chinese factory owners are increasingly hiring thugs to hit back at demonstrators .",Liberal
"The common responsehighlighting that the advantages of nicer neighborhoods ( less crime , more amenities , better transit options ) benefit neighbors new and old alike - is certainly true , but it misses a fundamental concern that many residents are implicitly excluded from these developments or wo n't be around long enough to take advantage of them .",Liberal
"In fact , CFR members in the Roosevelt administration dominated both the 1944 Bretton Woods Conference that created the IMF\/World Bank system and the parallel 1944 Dumbarton Oaks Conference that created the United Nations Charter .",Liberal
Public policy makers thus face major challenges in attempting to protect Amazonia 's fragile ecosystems from these pressures while meeting the livelihood needs of its 25 million-plus citizens . '',Liberal
"Many on the left would pick inequality , perceiving the growing gap between rich and poor not as a product of the free market and the long-widening gap between the college educated and the working class , but as the result of the use and abuse of political power .",Liberal
"Currently , there are more than $ 12 billion in pending corporate attacks on environmental , transportation , and public-health policy under existing U.S. free-trade agreements - and the proposed TPP would create vast new opportunities for litigation .",Liberal
Even many Democrats have acknowledged the destructive consequences of the welfare state in helping to create the underclass .,Conservative
Investopedia goes on to explain that central banks `` tend to use quantitative easing when interest rates have already been lowered to near 0 % levels and have failed to produce the desired effect .,Neutral
"For the new fundamentalists , the old balance of morality has been abolished in favor of a new absolutism : not only is all abortion at any stage equally immoral , it is always as immoral as killing an adult human being .",Liberal
"But he never explained how ordinary Americans would be able to take advantage of opportunities without good public schools , affordable higher education , good roads , and adequate health care .",Liberal
"In Orientalism , Edward Said , a scholar of nineteenth - and twentiethcentury literature , pinpointed Greek hostility to their military enemies , the Persians , as the starting point for modern Western prejudices against the people of the Middle East .",Liberal
"They all include a clause that expands abuse to include `` fear of harm , '' often including even `` emotional harm .",Conservative
One such tax credit idea is to incentive the creation of new energy production technologies that reduce carbon loading .,Liberal
"Indeed , every major political battle waged by the right in recent decades has been earthed in a story about the Constitution 's text and history : the attack on gun control , rooted in the Second Amendment ; the attack on environmental law , rooted in the Fifth Amendment ; and the attack on Obamacare , rooted in the Tenth Amendment .",Liberal
"Neither tax nor regulatory law distinguishes between productive borrowing and abusive borrowing , and the bankruptcy code allows a corporation to wipe off old debts , no matter how abusively or corruptly they were incurred .",Liberal
"By sitting on stuff , by letting it rot , hoarders flaunt their `` bad '' old stuff -- which makes a mockery of our `` good '' new stuff and our irrepressible impulse to scrap what 's obsolete and upgrade at Amazon and Overstock and the Apple Store .",Neutral
"Many powerful political leaders in league with numerous special interest groups are constantly promoting amnesty , usually concealed behind deceptive terminology , as an important aspect of solving the illegal-immigration problem . ''",Conservative
"Writing more than 200 years ago , Thomas Jefferson argued for a tax on accumulated wealth because he knew that if wealth was passed down from one generation to the next , those lucky inheritors would turn into new aristocrats .",Liberal
"While true net job creation results in a continued stream of spending by those employed , Obama never considered direct job creation by the government .",Conservative
"Again , the parts of speech tell all : The personal `` my '' ( `` my Medicare '' ) reveals the closeness these speakers feel toward the service the government provides , while the impersonal `` the '' ( `` the government '' ) evinces how distant , disconnected , and distrustful they feel toward the source ofthat treasured service .",Conservative
"U.S. companies , expanding steadily overseas , have always wanted friendly and cooperative leaders in areas of investment interest who would help assure their profitability and security from any `` populist '' threat .",Liberal
"Not surprisingly , the argument that getting rich often entails a great deal of luck tends to drive conservatives to apoplexy .",Liberal
"Now , as the war he demanded lies in ruins , Krauthammer uses his Post column to revise his record : `` Our objectives in Iraq were twofold and always simple : Depose Saddam Hussein and replace his murderous regime with a self-sustaining , democratic government .",Liberal
"Homeowners tend to treat their property better than renters do ( just as car owners treat their own cars better than cars they rent ) , therefore increasing the value of that property and the property of their neighbors .",Neutral
"The corporation long ago decided it was best to flex its immense muscle as discreetly as possible , because almost all publicitywhether it 's news of gas prices , climate change , or congressional fights over industry subsidies - is bad .",Liberal
"For a while , the greedy bastards in the Chinese government and corporations get rich and keep power .",Conservative
"The Inter Press Service reported that these conditionalities include `` opening ... markets to corporate agri-business and cheap food imports , which threaten farmers ' livelihoods , as well as mining and other environmentally destructive projects ... Mass sale of China 's dollar holdings would be immediately devastating to the already shaken U.S. economy , but it would also immediately destroy the very advantageous trade position China currently enjoys with the United States .",Liberal
"Although the environmentalists lose the argument on the economics of curbside recycling , their support for such recycling programs relies on a host of other arguments that initially appear to be at least somewhat convincing .",Conservative
1098 would allow for competing currencies -- and for buyers and sellers to be able to use sound money whose value can not be weakened through wild creation of more of it .,Conservative
The feedback mechanism is success or failure and profit or loss based on the choices made .,Neutral
"If you look back , governments have never created wealth , but they certainly destroy it , '' Bailey noted .",Conservative
"liberty , personal sovereignty , individual rights , human dignity , and the opportunity to pursue happiness are given to us by God because that is the only basis that can guarantee those blessings for everyone .",Conservative
"Despite the serious subject matter , Creation presents a number of amusing vignettes of man-on-the-street interviews and college demonstrations , which serve to highlight the public 's incredible ignorance of the topic under discussion .",Conservative
"But since there 's no rationing of care to control costs as in single-payer systems , we suffer from the high costs of trying to mesh the two systems , instead of relying on a free-market system alone ( or at least relying mainly on the free market ) .",Conservative
That 's likely because increased costs are passed on down to low-level slingers who are more inclined to cut their product with talcum powder than risk being undercut by competitors . '',Neutral
"Children were more likely to receive that support when their parents ( or other guardians ) could find secure and personally satisfying jobs , high-quality child care , and a supportive partnership that left room for a measure of personal autonomy .",Liberal
"In most modern capitalist economies , the Great Depression of the 1930s produced government regulations and nationalizations because of pressure from working-class organizations ( labor unions and left political parties ) .",Liberal
"After first trying to convince the authorities that he was a robbery victim , Jacques was taken into custody on charges of attempted murder , robbery , aggravated assault , and reckless endangerment .",Neutral
"It is this will to acquire and exercise power , which is both dangerous to liberty as well as destructive of environmental quality , that America 's Founders so laboriously worked to stymie , and so ingeniously succeeded in accomplishing with the Constitution 's intricate system of checks and balances .",Conservative
In this choice lies not only the difference between being saved and being damned for eternity ; but also the difference between being happy and being miserable on planet Earth .,Conservative
To a certain extent food prices must increase as the oil price increases because large quantities of energy are used for so many agricultural inputs from fertilizers and pesticides to production and use of farm machinery .,Neutral
It is a victory for the social movements and NGOs that have argued since before the Uruguay Round agreements were signed that free trade was not the right framework for agriculture .,Liberal
"Just as the Internet benefits from the networked actions of millions of self-interested parties operating from the ground up , an agile , Web-like transportation network can be created only by unleashing the ideas and money of the private sector and rejecting the Rooseveltian notion that money is spent most efficiently by central planners on job-stuffing projects .",Conservative
"`` Instead of encouraging the use of marijuana , '' said Smith , `` we should strengthen enforcement of federal drug laws to protect Americans from the devastating effects of drug use .",Conservative
"The banks profit from the steep yield curve by borrowing money from the government at almost zero interest , or taking deposits at pathetically low rates , and recycling them by buying government debt in the form of treasury bonds at three and a half or four percent , with minimal risk .",Liberal
"But under pressure from the Michigan Education Association , the state has also placed charter school teachers into its troubled defined benefit plan , and it failed to make a permanent reduction in benefits for new hires .",Conservative
"I saw firsthand how government dependency robbed people of their motivation to work , encouraged destructive behavior , and created a sense of entitlement and victimization .",Conservative
"They already blamed the U.S. for poor planning ; for infecting Baghdad with self-serving political appointees , money-grubbing contractors , and dangerous mercenaries ; and for failing to fulfill its promise to help restore basic services .",Liberal
"But his notion of freedom was profoundly communitarian , rooted as it was in certain moral understandings of man and the good life , of human beings living together in honorable interdependence , of families being free because obliged to each other .",Liberal
"This was true in the 1930 s , when artificially high wages and prices kept us depressed for more than a decade , it was true in the 1970s when price controls were used to combat inflation but just produced shortages .",Conservative
"They want the trash picked up on time , smooth roads and safe streets , good schools , a fire truck to show up promptly when needed , and secure borders to keep bad people from getting in and disturbing our peace .",Liberal
"Many big films ( not just the ones based on Marvel Comics ) are now soaked in what can only be called corporate irony , a mad discrepancy between size and significance -- for instance , Christopher Nolan 's widely admired Inception , which generates an extraordinarily complicated structure devoted to little but its own workings .",Liberal
"Unlike Roosevelt 's enemies in the 1930s , James Burnham and Willmoore Kendall , two of National Review 's original senior editors , were not strict in their devotion to individual rights , the free market , or limited government .",Liberal
"It is a private business , created through cunning and stealth by private bankers , who should really be called banksters , in collaboration with Congressmen who violated their oath to support and defend the Constitution when they voted to hand the money-creation power of the federal government over to a private corporation .",Liberal
"There is truth in this argument , as is apparent from a visit to any Wal-Mart , where one finds Americans of modest incomes buying necessities and even luxuries at prices that are almost ridiculously low .",Liberal
"Mr. Moore evens things up a bit ... Mr. Moore offers a glimpse of something most Americans never see : how easily anyone -- including visitors -- can access good public health care in Canada and Europe , and how satisfied those countries ' citizens are with their systems .",Liberal
"This dangerous man , who produces independent , free-to-air programs for public radio , has been visiting India for forty years , doing dangerous things like learning Urdu and playing the sitar .",Conservative
"Studio executives or production executives who get financing from studios do not have to instruct such a young director to cut a feature very fast and put in a lot of thrills , because for their big movies they hire only the kind of people who will cut it fast and put in thrills .",Neutral
Our citizens ca n't see what is truly wrong or where to place the blame because of an educational system that teaches how to score highly on a standardized test without knowing what is causing people to lose their homes and their jobs .,Liberal
"In chapters on sex , family , media , crime and punishment , work , poverty , and patriotism , he deftly outlines how the unbridled pursuit of self-interest in a market economy overwhelms concern for others and the subsidiary moral values that people say they care so much about .",Liberal
"If voters take the promise that `` nothing will change '' too seriously , there is further risk of a backlash , because things will change .",Neutral
This results in the best quality products at the lowest possible prices and millions of individuals are able to make their own decisions about what to buy based on their means and values . '',Conservative
"We have not always used that influence well ; we have often used it to advance some of our special interests , aiding and abetting the rent-seeking activities that play such a large role in the creation of inequalities .",Liberal
Cheney built a real war over imaginary weapons of mass destruction in Iraq .,Liberal
"Reed whitewashes the 45-year regime of hellish cruelty that has caused a large segment of the population to migrate , often at the risk of their lives .",Liberal
"GREENSTEiN : We have some evidence from years of research that giving low-income people a better financial ability to choose where to live has benefits - better schools , safer neighborhoods .",Liberal
"If they stalk off in anger , the employer should have no difficulty in hiring replacements at the lower wage , for in the unsettled conditions of a depression it will be attractive to other workers .",Conservative
"It is really just a prescription for sowing more racial resentment , creating greater racial antagonism , and throwing more obstacles in the path of African-American progress .",Liberal
"Stresses that produce such disruptions may result from the daily struggles faced by families coping with severe economic hardship , substance abuse , mental-health problems ( especially maternal depression ) , and conditions in which children are victimized directly by neglect or abuse , or indirectly by repeated exposure to violence .",Conservative
Libertarians and conservatives who argue for economic freedom and against government control tend to make both principled and practical arguments for their positions .,Liberal
"If a job is truly important to the nation 's future , then you want to make sure that the most able , talented people are doing it -- and doing their best work at all times .",Neutral
A desperate cry for change led to the election of a president who presided over a disastrous economy and was later forced to resign in disgrace .,Conservative
"They upheld a public purpose that highlighted the weaknesses of the libertarian right and led them to criticize the `` social imbalance '' of a society enamored of consumerism and markets , and not America 's civic fabric .",Liberal
"And so , in this important cultural debate , Douthat has chosen silence : `` One way to think about this is , I am not comfortable making arguments against gay marriage to my gay friends , '' he says .",Conservative
"The huge and growing Social Security retirement trust surplus enabled presidents from Clinton to Bush Jr. to borrow hundreds of billions every year , spent on wars , pentagon and tax cuts for the rich .",Liberal
"In its crusade against sick leave , the DOL is ignoring the opinions of the very employers this policy is no doubt intended to benefit : 80 percent to 90 percent of employers in the DOL 's own survey said the FMLA had a neutral or positive effect on productivity , profitability , and employee morale .",Liberal
The `` starve the beast '' approach-the idea that slashing government revenue through perpetual tax cuts eventually creates a fiscal situation that leaves eliminating popular programs as the only responsible solution-is perhaps the best known of these indirect attacks on government .,Conservative
