ID,Target,Tweet,Stance,Opinion towards,Sentiment,trump_stance
20189,Donald Trump,"Donald Trump is in dire need of a crisis communicator. PR folks, please give him your two cents. #SorryNotSorry #SemST",AGAINST,TARGET,NEGATIVE,Against
20190,Donald Trump,Donald Trump is the man lets get this man in the White House!!! #SemST,FAVOR,TARGET,POSITIVE,Favor
20191,Donald Trump,@RealJamesWoods @LoriBlaney My parents warned me to stay away from anyone offering free candy. NOTHING is ever free.  #SemST,NONE,OTHER,NEGATIVE,None
20192,Donald Trump,i want donald trump to win the presidency so bad. he cant be bought out like all the others. and he sticks to his convictions #SemST,FAVOR,TARGET,POSITIVE,Favor
20193,Donald Trump,"Holy shit ,the @realDonaldTrump is one looney mother fucker.  He'll never make it to the first debate #sideshow #SemST",AGAINST,TARGET,NEGATIVE,Against
20194,Donald Trump,I write separately to call attention to this Court's threat to American democracy - #ObergefellvHodges #AmericaIsScrewed #SemST,NONE,OTHER,NEGATIVE,None
20195,Donald Trump,I believe this September's blood moon portends a cataclysmic event. #Christians  #SemST,NONE,OTHER,NEGATIVE,None
20196,Donald Trump,More people should pay attention to the Greek situation cuz it's the first dominoe to fall #Grexit #tcot #SemST,NONE,OTHER,NEGATIVE,None
20197,Donald Trump,". @SenatorKitchen @nbc how deeply offensive such comments are not only to Mexican-Americans, but Latino Americans in general. #SemST",AGAINST,TARGET,NEGATIVE,Against
20198,Donald Trump,Mr. @realDonaldTrump   I appreciate you standing your ground as you've done.  I can say I've never felt better about voting. #SemST,FAVOR,TARGET,POSITIVE,Favor
20199,Donald Trump,The California draught is a myth created by the government. The point was to conserve water for use in the war against ISIS. #SemST,NONE,OTHER,NEGATIVE,None
20200,Donald Trump,@GinnyQuaglia well the rest of the majority had better get off their asses and get involved in this fight. #SemST,NONE,OTHER,NEGATIVE,None
20201,Donald Trump,@realDonaldTrump Really? The perfect definition of ignorance... The perfect example of someone who does not know reality... #SemST,AGAINST,TARGET,NEGATIVE,Against
20202,Donald Trump,"I'm sure the white Euro people who moved to America when the land belonged to Native Americans were not good people either, #SemST",AGAINST,OTHER,NEGATIVE,None
20203,Donald Trump,@POTUS The whole light thing with the people's house was disgraceful.  #SemST,NONE,OTHER,NEGATIVE,None
20204,Donald Trump,He doesn't care & would have to give up TV gigs anyway to run... loves attention & controversy  #SemST,AGAINST,TARGET,NEGATIVE,Against
20205,Donald Trump,"July 4th occurs on Ramadan. Since 911, this is most concern I've seen FBI, Homeland Security and the Police'- Rep Peter King #SemST",NONE,OTHER,NEGATIVE,None
20206,Donald Trump,"Do Gay people understand that if #ShariaLaw comes, those Marriage Licenses target them for death? - Dr. Samm   #LovesWins  #SemST",NONE,OTHER,NEGATIVE,None
20207,Donald Trump,"After a major stroke, 4 years later I'm still waiting. 15 mil are getting  free what I work for my whole life. #SemST",NONE,OTHER,NEGATIVE,None
20208,Donald Trump,@realDonaldTrump what NBC actually stands for....Nothing But Crap. #BoycottNBC #SemST,FAVOR,OTHER,NEGATIVE,None
20209,Donald Trump,@NBCUniversal maybe you could have a reality show trying to find a new host of celebrity apprentice #YoureFired #SemST,AGAINST,TARGET,POSITIVE,Against
20210,Donald Trump,"@foxnation read my lips , "" I am Nuts "" get out of people's personal life. #SemST",NONE,OTHER,NEGATIVE,None
20211,Donald Trump,IF Trump could build the WALL it would provide jobs & also B a tourist attraction & pay 4 itself LEGALS arent the ones offended! #SemST,FAVOR,TARGET,NEGATIVE,Favor
20212,Donald Trump,"@MikeBates @BI_RetailNews Sickening, Children are at the Parades! BHO has turn this Country tolongest 6.6yrs of my Life! #SemST",NONE,OTHER,NEGATIVE,None
20213,Donald Trump,@realDonaldTrump You're FIRED! Now get out of here! Go!    #SemST,AGAINST,TARGET,NEGATIVE,Against
20214,Donald Trump,@HarisSTR Howz greece heard u like to anal pound didnt think u were like that #SemST,NONE,OTHER,NEGATIVE,None
20215,Donald Trump,Donald Trump is gonna end up like Hitler #SemST,AGAINST,TARGET,NEGATIVE,Against
20216,Donald Trump,"@realDonaldTrump just so you know White people have more of a ""Rapist"" title, than Hispanics. #NotBeingRasist #DoResearch  #SemST",AGAINST,TARGET,NEGATIVE,Against
20217,Donald Trump,@ChristieC733  YES DONALD U R 100% CORRECT' as long as u stay the coruse and don't pander to GOP U GOT MY VOTE #SemST,FAVOR,TARGET,POSITIVE,Favor
20218,Donald Trump,"That 5-mile run yesterday? Yeah, we're feeling it this morning. #FeelTheBern #MoreCleverHashtags #SemST",NONE,OTHER,POSITIVE,None
20219,Donald Trump,America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC #SemST,AGAINST,TARGET,NEGATIVE,Against
20220,Donald Trump,what is it with the pple who enjoy harassing me by writing captions on my photographs @Lrihendry? #scientology    #hurtful #SemST,NONE,OTHER,NEGATIVE,None
20221,Donald Trump,These noodles on my head are so hard to comb! #SemST,AGAINST,OTHER,NEGATIVE,None
20222,Donald Trump,"@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet. #SemST",AGAINST,TARGET,NEGATIVE,Against
20223,Donald Trump,Donald Trump is Biff in the alternate universe 1985 in Back to the Future 2.   #biff #BackToTheFuture #SemST,AGAINST,TARGET,NEGATIVE,Against
20224,Donald Trump,Tuesday AM #TrumpDump on horizon. I can see Chris Christie being victim. NBC for sure. Anyone else? #TellingItLikeItIs #SemST,AGAINST,OTHER,NEGATIVE,None
20225,Donald Trump,@kupajo33 @ChrisChristie we don't need him! #SemST,AGAINST,TARGET,NEGATIVE,Against
20226,Donald Trump,"Without mexicans illegal or legal US shuts down,Your people will never be able to keep up with our hard workers. #WeAreMexico #SemST",AGAINST,OTHER,NEGATIVE,None
20227,Donald Trump,Not an American but I'll def be following the circus of the 2016 presidential running unfold. #Christie2016   #SemST,AGAINST,OTHER,NEGATIVE,None
20228,Donald Trump,"Notice @realDonaldTrump not saying anything on #CarlosSlim . Not so rich or tough now, huh? Yeah, forgot he's #Mexican huh  #SemST",AGAINST,TARGET,NEGATIVE,Against
20229,Donald Trump,Hutch_USA Follow ===> sarah_brannick <===  if you want to #FreeAmir #FreeAmirNow  #PJNET #SemST,AGAINST,OTHER,POSITIVE,None
20230,Donald Trump,Freedom of speech? Yeah right. You are only allowed to say what you want if it lines up with the liberal agenda. Wake up people #SemST,AGAINST,OTHER,NEGATIVE,None
20231,Donald Trump,"@mdsbarry ILLEGAL ALIENS come to US collect welfare and social security, its time to #MakeAmericaGreatAgain SECURE OUR BORDERS  #SemST",AGAINST,TARGET,NEGATIVE,Against
20232,Donald Trump,If you think it's fine American car companies send jobs to Mexico while we pay for their welfare you must hate @realDonaldTrump   #SemST,AGAINST,TARGET,NEGATIVE,Against
20233,Donald Trump,@Dahat8 @Stonewall_77 The HATE within America is stronger NOW than I remember since 1969? Can't go backwards to such division #SemST,AGAINST,OTHER,NEGATIVE,None
20234,Donald Trump,Think u can say anything without repercussion? Ask Mel Gibson how that's working out for him u racist elitist piece of shit! #SemST,AGAINST,OTHER,NEGATIVE,None
20235,Donald Trump,#BREAKING: Greece is now in arrears to the International Monetary Fund on a payment of almost 1.6 billion | Coming To America #SemST,AGAINST,OTHER,NEGATIVE,None
20236,Donald Trump,It's funny when politics seem like farce. Not so funny when politics becomes farce. #SemST,AGAINST,OTHER,NEGATIVE,None
20237,Donald Trump,@QuiltingMuriel But I do agree about the excess speechifying and posturing and general nonsense. Hello #SemST,AGAINST,OTHER,NEITHER,None
20238,Donald Trump,OMG! .@KirstenPowers Practically states Whites are more racist than Blacks because Whites are oppressing Blacks. WHERE? WTF? #SemST,AGAINST,OTHER,NEGATIVE,None
20239,Donald Trump,What's @realDonaldTrump wife's Twitter handle? I need to ask her if his balls are made of brass...I'm certain they are.   #NoHomo #SemST,AGAINST,TARGET,NEGATIVE,Against
20240,Donald Trump,#KellyFile remember the days when we believed #SCOTUS would follow the #constitution well they gone #SemST,AGAINST,OTHER,NEGATIVE,None
20241,Donald Trump,@ChrisleyChase think your adorable. Remind me of my nephew. Stay young. The new comb over you're sporting is aging you. #SemST,AGAINST,OTHER,POSITIVE,None
20242,Donald Trump,Miss USA host De la Fuente quits pageant and call @realDonaldTrump ignorant and a clown... #SemST,AGAINST,TARGET,NEGATIVE,Against
20243,Donald Trump,"@CNNPolitics @CNN if you spent as much time covering Bernie Sanders as you do Trump, Sanders would be ahead in every poll.   #SemST",AGAINST,OTHER,NEGATIVE,None
20244,Donald Trump,Remember that story about a charismatic businessman who will lie to get into power from an obscure position? #Revelation #SemST,AGAINST,TARGET,NEGATIVE,Against
20245,Donald Trump,"@realDonaldTrump suing Univision & NBC because they cut you off. UGH great political move, because we need a greedy President! #SemST",AGAINST,OTHER,NEGATIVE,None
20246,Donald Trump,Cancel your Netflix subscription and donate to @realDonaldTrump's campaign for entertainment #Trump #SemST,AGAINST,TARGET,NEGATIVE,Against
20247,Donald Trump,"Me: ""That asshole with the toupee was talking again and it was stressing me out""  Dad: ""Who?""  Mom: ""Donald Trump #SemST",AGAINST,TARGET,NEGATIVE,Against
20248,Donald Trump,"Donald Trump....you're fired, fired, & fired again! #SemST",AGAINST,OTHER,NEGATIVE,None
20249,Donald Trump,@divadoll123 @LANURSE1 @ShaninZT u can't go back.Only way people r going to wake up is when the free checks stop coming!#TCOT #SemST,AGAINST,TARGET,NEGATIVE,Against
20250,Donald Trump,Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment  #SemST,AGAINST,OTHER,NEGATIVE,None
20251,Donald Trump,@johnkerry @statedept Nude pic of you and Brian Williams on your desk!  MY EYES MY EYES #SemST,AGAINST,OTHER,NEGATIVE,None
20252,Donald Trump,"Gotta love everyone disliking @realDonaldTrump because he actually makes sense, and may even bring the country back to normal #SemST",AGAINST,TARGET,POSITIVE,Against
20253,Donald Trump,"John O'Donnell, former president of Trump Plaza Hotel & Casino ... @realDonaldTrump said ""laziness is a trait in blacks. #SemST",AGAINST,TARGET,NEGATIVE,Against
20254,Donald Trump,I feel dumb that I am so broke and Donald Trump is a billionaire. #SemST,AGAINST,OTHER,NEGATIVE,None
20255,Donald Trump,"There is still more to be done to make this country strong, powerful and great again. #TrumpCarson2016 #SemST",AGAINST,TARGET,POSITIVE,Against
20256,Donald Trump,@Crypt1cality @ChrisCuomo Illegal aliens are destroying America and raping our women! #SemST,AGAINST,OTHER,NEGATIVE,None
20257,Donald Trump,"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief #SemST",AGAINST,TARGET,NEGATIVE,Against
20258,Donald Trump,I just cancelled my reservation at the Trump hotel in Las Vegas.  I hope like minded people intolerant of bigots do the same #SemST,AGAINST,TARGET,NEGATIVE,Against
20259,Donald Trump,Why are free market conservatives behind a multiple bankruptcy candidate who wears makeup. Gives us real conservatives a bad name #SemST,AGAINST,TARGET,NEGATIVE,Against
20260,Donald Trump,"@mmfa water seeks its own level. In the case of @realDonaldTrump and @oreillyfactor, it's sewer water. #FoxNews #Trump #SemST",AGAINST,OTHER,NEGATIVE,None
20261,Donald Trump,@realDonaldTrump I know you are the best candidate. You are the only one who can #MakeAmericaGreatAgain #RestoreOurRepublic #SemST,AGAINST,TARGET,POSITIVE,Against
20262,Donald Trump,"of the many @realDonaldTrump racist comments, this one takes the prize!  ""Laziness is a trait in blacks.""  #SemST",AGAINST,OTHER,NEGATIVE,None
20263,Donald Trump,It's not a good week for #SemST,AGAINST,OTHER,NEGATIVE,None
20264,Donald Trump,"RT @BlissTabitha ""Never quite works out that way huh?  #GlobalWarming HOAX #MediaMalpractice #SemST",AGAINST,TARGET,NEGATIVE,Against
20265,Donald Trump,Left-wing media trying to silence @realDonaldTrump? HAHAHA  Keep trying! Trump is NOT a career politician & he won't be bought!  #SemST,AGAINST,TARGET,POSITIVE,Against
20266,Donald Trump,"#macys ""We have no tolerance for discrimination in any form,"" I thought the left preached tolerance. Not discrimination but truth #SemST",AGAINST,OTHER,NEGATIVE,None
20267,Donald Trump,Macy's to stop selling Trump merch. I guess he'll sue them next. #SemST,AGAINST,TARGET,NEGATIVE,Against
20268,Donald Trump,Only good thing about Trump's presidential run is that by the end of it he will be a billion or 2 short #SemST,AGAINST,TARGET,NEGATIVE,Against
20269,Donald Trump,I love how everyone thinks canceling @realDonaldTrump's ventures will do anything but hurt themselves. This man has my vote! #SemST,AGAINST,TARGET,POSITIVE,Against
20270,Donald Trump,Comments by @realDonaldTrump were hateful & disgusting. Everyone should sever their ties with him. Thanks @Macys @Univision @nbc #SemST,AGAINST,TARGET,NEGATIVE,Against
20271,Donald Trump,@people @KimKardashian I dont even have to read this 2 know who she would want 4 the next president. #Killary #SemST,AGAINST,OTHER,NEGATIVE,None
20272,Donald Trump,@gbennettpost @jamiedupree No  #asstards!  America is dumping you! Trump's gonna put your dicks in the dirt! #SemST,AGAINST,TARGET,NEGATIVE,Against
20273,Donald Trump,@Lrihendry your just as ignorant as #SemST,AGAINST,TARGET,NEGATIVE,Against
20274,Donald Trump,Thank you @Macys! You are and will continue to be my favorite store! Bye bye #DoucheBag #SemST,AGAINST,OTHER,NEITHER,None
20275,Donald Trump,hey @Macys a whole bunch of us are going to sever ties with you.   #Macys #SemST,AGAINST,OTHER,NEGATIVE,None
20276,Donald Trump,So I'm guessing there won't be a #SlovenianFirstLady in #TheWhiteHouse!  #SemST,AGAINST,OTHER,NEGATIVE,None
20277,Donald Trump,@Ehsan_Kassim It's time we make the Housewares department great again #SemST,AGAINST,OTHER,POSITIVE,None
20278,Donald Trump,"@JudgeMbro Thank you for RT and FAV, judge!!! #USA #OhHillNo #Cuba #TodosMarchamos #Venezuela #SemST",AGAINST,OTHER,POSITIVE,None
20279,Donald Trump,"@realDonaldTrump U gonna take this? I hope not! Bullshit from #Univision #NBCUniversal and #Macys. ""Magic of Macy's"" my ass #SemST",AGAINST,TARGET,NEGATIVE,Against
20280,Donald Trump,"We get all the bad #Mexicans...minus the ones whose labor built your empire, of course. #TrumpedFacts #Delusional #GTFOH #SemST",AGAINST,TARGET,NEGATIVE,Against
20281,Donald Trump,Did anyone cut ties with Senator Lindsey Graham when he called all Iranians liars? NO.  #SemST,AGAINST,OTHER,NEGATIVE,None
20282,Donald Trump,"I would vote for @realDonaldTrump if he had a hilariously oversized head, I'm talking 2x size of his body #SemST",AGAINST,OTHER,NEGATIVE,None
20283,Donald Trump,DID YOU KNOW that the U.S Constitution is now under full pledge attack by the Obama tyrant administration? #WethePeople #SemST,AGAINST,TARGET,NEGATIVE,Against
20284,Donald Trump,The more I read how NBC and Macy's are cutting ties with @realDonaldTrump the more I'm convinced he should be president.  #SemST,AGAINST,TARGET,POSITIVE,Against
20285,Donald Trump,"Following his recent comments about immigrants, do you think Donald Trump's business interests will suffer? #Trump #SemST",AGAINST,TARGET,NEGATIVE,Against
20286,Donald Trump,@TPM @realDonaldTrump this is what happens when you open your big mouth. You're out of luck for 2016 at this rate. #Univision #SemST,AGAINST,TARGET,NEGATIVE,Against
20287,Donald Trump,Hey at @realDonaldTrump I'll vote for you if you adopt me! #SemST,AGAINST,OTHER,POSITIVE,None
20288,Donald Trump,Fuck Macy's. Fuck your July 4th Fireworks. Fuck your Thanksgiving Parade. Fuck NBC. Fuck Univision. Fuck Mexico. Fuck all of you. #SemST,AGAINST,OTHER,NEGATIVE,None
20289,Donald Trump,And this dude wants to be potus #FOH #SemST,AGAINST,TARGET,NEGATIVE,Against
20290,Donald Trump,I hope every Billionaire learned their lesson bout talking sh%t about Mexicans!  Do it in your golf clubs NOT on TV! #SemST,AGAINST,TARGET,NEGATIVE,Against
20291,Donald Trump,@realDonaldTrump Canada supports you! Please stop the ILLEGALS at your boarder before they get to ours. #SemST,AGAINST,TARGET,POSITIVE,Against
20292,Donald Trump,"Goodbye Macy's, nbc,univision. Illegals are raping&murdering thx to Obama. Trump is right. #SemST",AGAINST,OTHER,NEGATIVE,None
20293,Donald Trump,"@WashTimes @billpostmus #CONGRESS approve this already! Let President veto, then overturn his veto. #SemST",AGAINST,OTHER,POSITIVE,None
20294,Donald Trump,@hamltonb026 that's the last thing I'm doing. I'm suggesting that liberals are the reason it is the issue it is today #SemST,AGAINST,TARGET,NEGATIVE,Against
20295,Donald Trump,#ProgressiveCommandment:Criminals need short sentences & cushy jails in order to rehabilitate them!#tcot @ericbolling #Greta #SemST,AGAINST,TARGET,NEGATIVE,Against
20296,Donald Trump,Trump got the smarts to win the hearts #SemST,AGAINST,OTHER,POSITIVE,None
20297,Donald Trump,It's truly amazing just how many people Donald Trump is making complete & utter fools of. Gotta love it :) #MurderersAndRapists #SemST,AGAINST,TARGET,POSITIVE,Against
20298,Donald Trump,"OBAMA LISTENING TO RAP ""MUSIC"" IN THE WHITE HOUSE IS A DISGRACE. YOU CAN'T SPELL CRAP WITHOUT RAP. #tcot #NoBama #SemST",AGAINST,OTHER,NEGATIVE,None
20299,Donald Trump,"crazy-speak & how often/many times it's repeated are NOT mutually exclusive; c'mon chris; don't YOU be lazy, too...  @chrislhayes #SemST",AGAINST,OTHER,NEGATIVE,None
20300,Donald Trump,@TPM Forget #AnnCoulter. Faux's #Hannity & #KellyFile have an endless supply of ignorant #GOP summer interns. #RWNJ #tcot #SemST,AGAINST,NO ONE,NEGATIVE,None
20301,Donald Trump,@JoeHNewYork @maggiebeauchamp @DLoesch This country is upside down.. #SemST,AGAINST,OTHER,NEGATIVE,None
20302,Donald Trump,"@PoliticalLaughs Meanwhile, derelicts, deviants, and bedlam thrive under Obama. #SemST",AGAINST,OTHER,NEGATIVE,None
20303,Donald Trump,#FELLOW TEXANS WHO SHOP FIRE @MACY'S AND SHOP #DILLARD'S! #SemST,AGAINST,TARGET,NEGATIVE,Against
20304,Donald Trump,Radical Islam is still a threat to the Western World!!!! #awareness #PATRIOT #UnitedWeStand #SemST,AGAINST,OTHER,NEGATIVE,None
20305,Donald Trump,"Well, someone's doing the raping. I get combed and gooped up so much, Donald's the one doing the raping. He never understands. #SemST",AGAINST,TARGET,NEGATIVE,Against
20306,Donald Trump,"Just so its not lost, today ISIS executed 74 children. To make it worse, our President was tweeting about basketball. #SemST",AGAINST,OTHER,NEGATIVE,None
20307,Donald Trump,"I wrote 'The Art of the Deal,' the number one best selling business book of all time, at least I think #SemST",AGAINST,OTHER,POSITIVE,None
20308,Donald Trump,"Finally a highly intelligent, economically competent contender for The President. TRUMP #Trump #realdonaldtrump #SemST",AGAINST,OTHER,POSITIVE,None
20309,Donald Trump,I'm voting for Donald Trump ! #SemST,AGAINST,TARGET,POSITIVE,Against
20310,Donald Trump,We need someine to bring this country back to life! @realDonaldTrump resuscitate America! #SemST,AGAINST,OTHER,POSITIVE,None
20311,Donald Trump,"@realDonaldTrump Is the only one that says the truth straight up. No spin, and he constantly stands up for what he believes! #SemST",AGAINST,OTHER,POSITIVE,None
20312,Donald Trump,"Spine, I would like for you to meet the Republican Party.  #SemST",AGAINST,TARGET,NEGATIVE,Against
20313,Donald Trump,Jeb Bush Why Don't U Stand Up For Yr Mexican Family & Denounce Trump. Have You No Pride or Balls?  #DumpTrump #BoycottTrump #SemST,AGAINST,OTHER,NEGATIVE,None
20314,Donald Trump,@kesgardner @MikeHansen613  WTF?????? The true face of #Racism & it is UGLY both inside & out #SemST,AGAINST,OTHER,NEGATIVE,None
20315,Donald Trump,@CNNPolitics @Eugene_Scott  Careful Donald. Don't get carried away. #SemST,AGAINST,TARGET,NEGATIVE,Against
20316,Donald Trump,"Trump, the best thing to happen to the Republican Party or should I say the Democratic Party. #keeptalking #SemST",AGAINST,OTHER,NEGATIVE,None
20317,Donald Trump,RT brutaltruth2682: Radical Islam is still a threat to the Western World!!!! #awareness #PATRIOT #UnitedWeStand #SemST,AGAINST,OTHER,NEGATIVE,None
20318,Donald Trump,delusional - adjective  1. having false or unrealistic beliefs or opinions 2. Donald Trump  #presidentialelection2016 #SemST,AGAINST,TARGET,NEGATIVE,Against
20319,Donald Trump,ENOUGH. 4FAR 2LONG  2% of pop. has dictated 2the 98% due 2fear by PCpolice/afraid 2b called a bigot/racist. NO MORE!  #ccot #SemST,AGAINST,TARGET,NEGATIVE,Against
20320,Donald Trump,Maybe if more patriots raised a fuss and did what the gays and other minority groups do we'd get this country back #SemST,AGAINST,OTHER,NEGATIVE,None
20321,Donald Trump,@Macys not selling Trump because he voices his opinion.. What happy to freedom of speech.. I'll never shop at @Macys again.. #SemST,AGAINST,TARGET,NEGATIVE,Against
20322,Donald Trump,Honestly though @Macys you dumped Trump so now I'm dumping you. And I shop at your store A LOT. NOT ANYMORE BYE #SemST,AGAINST,OTHER,NEGATIVE,None
20323,Donald Trump,a clown who wants to be president #youcantdoit #MexicansAreChidos #SemST,AGAINST,OTHER,NEGATIVE,None
20324,Donald Trump,If @Macys wants to try to stall this country's progress that's their prerogative but I'm done shopping there #BadBusiness #SemST,AGAINST,TARGET,NEGATIVE,Against
20325,Donald Trump,@TIMENOUT @TIB2016 @AlanColmes is a prime example of a #LobotomizedLiberal. #SemST,AGAINST,OTHER,NEGATIVE,None
20326,Donald Trump,@realDonaldTrump You go get em Donald!  The real folks are with you 110% #SemST,AGAINST,OTHER,POSITIVE,None
20327,Donald Trump,I would be so embarrassed if @realDonaldTrump were my dad. My dad was #conservative #Marine but not stupid or unkind. #yuck #SemST,AGAINST,OTHER,NEGATIVE,None
20328,Donald Trump,I wonder if Trump's campaign manager is still just drinking or have they moved on to harder stuff. #SemST,AGAINST,OTHER,NEGATIVE,None
20329,Donald Trump,Oreo frappie from Mcdonalds is the morning beverage of Champions.#wakeandbake #McDonalds #SemST,AGAINST,OTHER,POSITIVE,None
20330,Donald Trump,@McAndles1 @OldRowRumors Hoobastank goes against Christ. Shame #SemST,AGAINST,OTHER,NEGATIVE,None
20331,Donald Trump,@CarlaChamorros Grassley should know Hilliary answers to no one!!!!!!  #SemST,AGAINST,OTHER,NEGATIVE,None
20332,Donald Trump,@loudobbsnews Don't you just love that truth is now called controversial comments?!  Has this country fallen that low?! #SemST,AGAINST,TARGET,NEGATIVE,Against
20333,Donald Trump,Dear Republicans: Please nominate Donald Trump. The reminder that people like him exist will do wonders for the progressive cause #SemST,AGAINST,OTHER,NEGATIVE,None
20334,Donald Trump,@realDonaldTrump @LadyPatriot777 @Macys lousy merchandise made in China !!!!!!!  #SemST,AGAINST,TARGET,NEGATIVE,Against
20335,Donald Trump,"@realDonaldTrump First sentence a must, but he'll NEVER be my President. #Truth will be revealed. He's an Indonesian citizen.  #SemST",AGAINST,OTHER,NEGATIVE,None
20336,Donald Trump,Everything Donald Trump said was 100% true though. #SemST,FAVOR,TARGET,POSITIVE,Favor
20337,Donald Trump,@gerfingerpoken2 @tomgreen1959 Of course he did. Traitors conspire with #traitors #ImpeachObama #SemST,NONE,OTHER,NEGATIVE,None
20338,Donald Trump,Conflict is a vehicle for change!  Ask @realDonaldTrump Trump becoming a front runner. #USA #leadership #SemST,FAVOR,TARGET,POSITIVE,Favor
20339,Donald Trump,@realDonaldTrump you work on the Mexican wall and I will focus on the Canadian wall!! #trueenemy #Christie2016 #SemST,AGAINST,OTHER,NEGATIVE,None
20340,Donald Trump,@realDonaldTrump @PamplinFilmCo We needs some Ballz back in the WH.. #SemST,FAVOR,TARGET,POSITIVE,Favor
20341,Donald Trump,@realDonaldTrump Its admirable how you're willing to lose sponsors for the greater good. We've longed for voice like yours! #SemST,FAVOR,TARGET,NEGATIVE,Favor
20342,Donald Trump,@realDonaldTrump you're not playing to win this = #SemST,AGAINST,TARGET,NEGATIVE,Against
20343,Donald Trump," TY Michael @ASavageNation ""I'd do anything to help him; he's right, he's telling the truth"" @realDonaldTrump #BoycottMacys  #SemST",FAVOR,TARGET,POSITIVE,Favor
20344,Donald Trump,@POTUS what are your thoughts on #SemST,NONE,NO ONE,NEITHER,None
20345,Donald Trump,Stop thinking you can walk around talking reckless in the end it will bite you in the ass #Dontjudgeme #SemST,AGAINST,TARGET,NEGATIVE,Against
20346,Donald Trump,I'm voting for Donald Trump this election #waitonit #SemST,FAVOR,TARGET,POSITIVE,Favor
20347,Donald Trump,Clearly @realDonaldTrump has very good finance people because his shocking racist comments proves he not an intelligent human! #SemST,AGAINST,TARGET,NEGATIVE,Against
20348,Donald Trump,@realDonaldTrump fuck you racist ass bitch. Go fuck yourself #SemST,AGAINST,TARGET,NEGATIVE,Against
20349,Donald Trump,@thehill @greta @realDonaldTrump Now You Know The Left Is Afraid Of A Executive Over Politicians < Hang In There Donald #SemST,FAVOR,TARGET,POSITIVE,Favor
20350,Donald Trump,GOP candidate predictions? America decides to play the Trump card and go with the man with the plan. #SemST,FAVOR,TARGET,POSITIVE,Favor
20351,Donald Trump,"What does Ivana, NBC, Univision, Gemini's, and Macy's have in common?  Answer: They all dropped #SemST",AGAINST,TARGET,NEGATIVE,Against
20352,Donald Trump,"Corporate America showing there Asses, over #trump is just wrong! I am making note! #SemST",AGAINST,OTHER,NEGATIVE,None
20353,Donald Trump,"If there was such a thing as the ""American"" Hitler. Donald Trump would probably be that guy. #nationalism #SemST",AGAINST,TARGET,NEGATIVE,Against
20354,Donald Trump,"#PrezTrump had a great week, he's the BIG news story, mission accomplished. #tcot #TeaParty #SemST",FAVOR,TARGET,POSITIVE,Favor
20355,Donald Trump,"The way @realDonaldTrump is taking flak, he must be over the target. #SemST",AGAINST,TARGET,POSITIVE,Against
20356,Donald Trump,@DrakeKing15your gay agenda will be met with the wrath of god #SemST,NONE,OTHER,NEGATIVE,None
20357,Donald Trump,"Fuck You Obama, I will continue to fly my confederate flag and I'm going to fly it proudly! Renaming American streets? WTF? #SemST",NONE,OTHER,NEGATIVE,None
20358,Donald Trump,"@boxxers06 This may be true. However, many Americans also travel to these and other places to do the exact same thing.  #SemST",NONE,OTHER,NEGATIVE,None
20359,Donald Trump,"This country needs a President to take control, cut through the BS, and speak the truth! #truthhurts @realDonaldTrump #SemST",FAVOR,TARGET,POSITIVE,Favor
20360,Donald Trump,"Anyone who is against @realDonaldTrump 4 president, has no clue of his success and the potential of greatness he can do 4 us. #SemST",FAVOR,TARGET,POSITIVE,Favor
20361,Donald Trump,"@business  ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #OhHillNo #StopHillary2016 #SemST",AGAINST,TARGET,NEGATIVE,Against
20362,Donald Trump,"Looking at presidential candidates, there is only one candidate, who can stand tall, and is all heads and shoulders. #Trump  #SemST",FAVOR,TARGET,POSITIVE,Favor
20363,Donald Trump,@realDonaldTrump had a point and one the liberal media won't dare come close to! We have a fragile and wide open border!  #SemST,FAVOR,TARGET,POSITIVE,Favor
20364,Donald Trump,@realDonaldTrump first time voting and I'm definitely voting for Trump #SemST,FAVOR,TARGET,POSITIVE,Favor
20365,Donald Trump,5. Obama could kill us all with these race wars and black lives matters stuff. Divide and Conquer. #tcot #SemST,NONE,OTHER,NEGATIVE,None
20366,Donald Trump,"@realDonaldTrump people are scared to hear the truth and that's why they fear you. If you don't tell it like it is, no one will. #SemST",FAVOR,TARGET,POSITIVE,Favor
20367,Donald Trump,@nytimes Does he go to the Dog groomer ? #SemST,NONE,NO ONE,NEITHER,None
20368,Donald Trump,GRATE TWO SEE @realDonaldTrump GET TUFF ON BOARDER CONTROL!  HAS MY VOTE IN 2016!  #TCOT #ILLEGALSSTOLEJOBS #SemST,FAVOR,TARGET,POSITIVE,Favor
20369,Donald Trump,Mexico sucks. What other conclusion is there for ppl to come here illegally?   #Mexico #SemST,NONE,OTHER,NEGATIVE,None
20370,Donald Trump,Wondering who is going to make your suites now. @realDonaldTrump  Maybe the rapist and killers you speak about will. #SemST,AGAINST,TARGET,NEGATIVE,Against
20371,Donald Trump,@realDonaldTrump Any more campaign stops in Chicago anytime soon? Good luck! #SemST,FAVOR,TARGET,POSITIVE,Favor
